ID;Selectiegroep;k_1977_1;k_1978_2;k_1979_3;k_1980_4;k_1981_5;k_1982_6;k_1983_7;k_1984_8;k_1985_9;k_1986_10;k_1987_11;k_1988_12;k_1989_13;k_1990_14;k_1991_15;k_1992_16;k_1993_17;k_1994_18;k_1995_19;k_1996_20;k_1997_21;k_1998_22;k_1999_23;k_2000_24;k_2001_25;k_2002_26;k_2003_27
0;Aalberts Industries NV;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
1;105;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99
2;Accell Group NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99
3;120;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99
4;Afc Ajax NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99
5;AINO NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;99;25;0
6;Air Holland NV;0;0;0;0;0;0;0;0;0;0;0;0;99;99;25;0;0;0;0;0;0;0;0;0;0;0;0
7;Airspray NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99
8;Akzo Nobel NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
9;Alanheri NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99
10;Algemene Vruchten Import Mij NV;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;35;0;0;0
12;Amas NV;99;99;99;99;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;Amsterdam Commodities NV;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
14;Amsterdamsche Droogdok Mij NV;99;99;75;99;99;50;50;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Amsterdamsche Rijtuigen Mij (ARM) NV;99;99;99;99;99;99;99;99;99;99;99;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;AND International Publishers PLC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;37;99;37
17;140;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99
18;Apothekers Cooperatie OPG UA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99
19;Arcadis NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99
20;Arnhemsche Scheepsbouw NV;99;99;99;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Asselberg's IJzerind. en Handelmij NV;99;99;99;75;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;ASM International NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99
23;ASM Lithography Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99
24;115;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;30;0;0;0
