ID;KenmerkenWerknemers;Marges;Perioden;TevredenMetArbeidsomstandigheden_1;TevredenMetWerk_2;LeeftijdWillenDoorwerken_3;LeeftijdInStaatDoorwerken_4;VoldoenAanFysiekeEisenWerk_5;VoldoenAanPsychischeEisenWerk_6;MakkelijkNieuweFunctieEigenWerkgever_7;MakkelijkNieuweBaanAndereWerkgever_8
0;Totaal ;Waarde;2014;73.1;76.5;63.0;62.6;90.6;90.4;47.0;53.2
1;Totaal ;Waarde;2015;73.2;76.4;63.0;62.7;89.8;90.7;47.9;55.0
2;Totaal ;Waarde;2016;73.5;77.0;62.8;62.5;90.8;91.2;49.7;59.6
3;Totaal ;Waarde;2017;72.2;76.0;62.6;62.3;89.1;89.3;52.0;64.5
4;Totaal ;Waarde;2018;72.6;76.6;62.6;62.4;89.9;90.2;52.7;70.0
5;Totaal ;Waarde;2019;74.6;77.9;62.7;62.7;89.7;89.9;53.7;70.9
6;Totaal ;Waarde;2020;76.5;79.2;62.7;63.3;91.9;92.0;56.0;70.6
7;Totaal ;Waarde;2021;76.9;79.0;62.3;63.0;90.6;90.4;57.5;75.2
8;Totaal ;Waarde;2022;75.9;77.9;63.0;62.6;90.9;89.3;58.3;80.6
9;Totaal ;Ondergrens 95%-interval;2014;72.6;76.0;62.9;62.5;90.3;90.1;46.5;52.6
10;Totaal ;Ondergrens 95%-interval;2015;72.7;76.0;62.9;62.6;89.5;90.4;47.4;54.5
11;Totaal ;Ondergrens 95%-interval;2016;73.1;76.6;62.7;62.4;90.5;90.9;49.2;59.1
12;Totaal ;Ondergrens 95%-interval;2017;71.8;75.6;62.4;62.2;88.8;89.0;51.5;64.0
13;Totaal ;Ondergrens 95%-interval;2018;72.2;76.3;62.5;62.3;89.6;90.0;52.2;69.6
14;Totaal ;Ondergrens 95%-interval;2019;74.2;77.6;62.6;62.6;89.4;89.6;53.2;70.5
15;Totaal ;Ondergrens 95%-interval;2020;76.1;78.8;62.6;63.2;91.6;91.7;55.6;70.2
16;Totaal ;Ondergrens 95%-interval;2021;76.5;78.6;62.2;62.9;90.3;90.1;57.0;74.8
17;Totaal ;Ondergrens 95%-interval;2022;75.5;77.5;62.9;62.4;90.7;89.0;57.8;80.2
18;Totaal ;Bovengrens 95%-interval;2014;73.6;77.0;63.2;62.8;90.9;90.7;47.6;53.7
19;Totaal ;Bovengrens 95%-interval;2015;73.6;76.8;63.1;62.8;90.1;91.0;48.4;55.5
20;Totaal ;Bovengrens 95%-interval;2016;73.9;77.4;62.9;62.6;91.1;91.5;50.3;60.1
21;Totaal ;Bovengrens 95%-interval;2017;72.7;76.4;62.7;62.5;89.4;89.6;52.5;65.0
22;Totaal ;Bovengrens 95%-interval;2018;73.0;77.0;62.7;62.6;90.1;90.5;53.1;70.4
23;Totaal ;Bovengrens 95%-interval;2019;75.0;78.3;62.8;62.8;89.9;90.2;54.1;71.3
24;Totaal ;Bovengrens 95%-interval;2020;76.9;79.6;62.8;63.4;92.1;92.2;56.5;71.0
25;Totaal ;Bovengrens 95%-interval;2021;77.3;79.4;62.5;63.2;90.8;90.7;58.0;75.6
26;Totaal ;Bovengrens 95%-interval;2022;76.3;78.3;63.1;62.7;91.2;89.6;58.7;80.9
27;Migratieachtergrond: Nederland;Waarde;2014;74.4;77.8;63.3;62.8;91.2;91.0;46.4;52.9
28;Migratieachtergrond: Nederland;Waarde;2015;74.4;77.7;63.2;62.9;90.3;91.1;47.3;54.7
29;Migratieachtergrond: Nederland;Waarde;2016;74.8;78.4;63.0;62.8;91.3;91.8;49.3;59.6
30;Migratieachtergrond: Nederland;Waarde;2017;73.6;77.5;62.9;62.7;89.7;89.9;51.6;64.6
31;Migratieachtergrond: Nederland;Waarde;2018;74.1;78.4;63.0;62.9;90.7;91.3;52.4;70.3
32;Migratieachtergrond: Nederland;Waarde;2019;76.5;80.0;63.0;63.1;90.3;90.8;53.3;71.5
33;Migratieachtergrond: Nederland;Waarde;2020;78.0;80.9;63.1;63.8;92.4;92.8;55.9;71.2
34;Migratieachtergrond: Nederland;Waarde;2021;78.5;80.6;62.8;63.5;91.4;91.4;57.5;76.0
35;Migratieachtergrond: Nederland;Waarde;2022;;;;;;;;
36;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2014;73.8;77.3;63.1;62.7;90.9;90.7;45.8;52.3
37;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2015;73.9;77.2;63.1;62.8;90.0;90.8;46.8;54.1
38;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2016;74.4;78.0;62.9;62.7;91.0;91.5;48.7;59.0
39;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2017;73.1;77.0;62.8;62.6;89.3;89.6;51.0;64.1
40;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2018;73.7;78.0;62.9;62.8;90.4;91.0;52.0;69.9
