ID;Toepassingsgroepen;SectorenEnGewassen;Perioden;BedrijvenMetGebruik_1;OppervlakteMetGebruik_2;GebruikGeheleJaar_3;GebruikPerHectare_4;GebruikInJanuari_5;GebruikInFebruari_6;GebruikInMaart_7;GebruikInApril_8;GebruikInMei_9;GebruikInJuni_10;GebruikInJuli_11;GebruikInAugustus_12;GebruikInSeptember_13;GebruikInOktober_14;GebruikInNovember_15;GebruikInDecember_16;MinimaalGebruik_17;GemiddeldLaagGebruik_18;GemiddeldGebruik_19;GemiddeldHoogGebruik_20;MaximaalGebruik_21
25;Totaal chemische bestrijdingsmiddelen;Groenten onder glas;1998;0;3027;72445;23.9;2.6;7.5;8.6;8.9;11.0;13.0;17.9;13.9;8.3;5.6;1.8;0.9;0.0;0.0;0.0;0.0;0.0
26;Totaal chemische bestrijdingsmiddelen;Groenten onder glas;2000;0;2951;54720;18.5;5.9;5.3;9.1;9.3;10.4;8.1;8.1;6.3;4.7;5.6;18.9;8.4;0.0;0.0;0.0;0.0;0.0
27;Totaal chemische bestrijdingsmiddelen;Groenten onder glas;2004;0;3289;41136;12.5;3.9;3.5;4.5;6.3;7.1;9.0;10.6;12.1;10.3;7.4;15.8;9.3;0.0;0.0;0.0;0.0;0.0
28;Totaal chemische bestrijdingsmiddelen;Bloemen onder glas;1995;0;2920;133682;45.8;4.9;5.6;8.8;9.4;8.5;9.0;9.6;11.5;11.0;9.5;6.7;5.6;0.0;0.0;0.0;0.0;0.0
29;Totaal chemische bestrijdingsmiddelen;Bloemen onder glas;1998;0;4144;119089;28.7;5.5;6.2;7.3;8.2;8.4;9.9;12.5;11.6;10.4;8.3;6.3;5.4;0.0;0.0;0.0;0.0;0.0
30;Totaal chemische bestrijdingsmiddelen;Bloemen onder glas;2000;0;4330;123025;28.4;7.8;7.2;7.3;7.7;8.2;9.6;11.7;11.1;10.1;7.8;6.6;4.8;0.0;0.0;0.0;0.0;0.0
31;Totaal chemische bestrijdingsmiddelen;Bloemen onder glas;2004;0;4247;123758;29.1;6.3;7.5;8.8;9.5;8.9;12.6;8.1;8.1;8.9;7.9;6.8;6.6;0.0;0.0;0.0;0.0;0.0
32;Totaal chemische bestrijdingsmiddelen;Champignons (sector);1995;704;109;50292;461.4;8.1;7.8;8.1;7.6;8.3;7.3;8.6;9.5;9.8;8.7;9.0;7.1;0.0;0.0;0.0;0.0;0.0
33;Totaal chemische bestrijdingsmiddelen;Champignons (sector);1998;591;98;35066;357.8;7.1;7.3;5.6;6.3;5.9;8.5;7.9;11.4;11.6;10.8;10.6;7.1;0.0;0.0;0.0;0.0;0.0
34;Totaal chemische bestrijdingsmiddelen;Champignons (sector);2000;517;95;26628;280.3;7.6;5.2;4.7;5.5;6.3;7.4;9.7;11.8;11.4;10.9;12.5;7.0;0.0;0.0;0.0;0.0;0.0
35;Totaal chemische bestrijdingsmiddelen;Champignons (sector);2004;331;85;12860;151.3;8.7;7.7;8.7;9.7;6.8;7.4;7.5;7.4;9.4;8.8;8.5;9.3;0.0;0.0;0.0;0.0;0.0
36;Totaal chemische bestrijdingsmiddelen;Wintertarwe;1995;12354;125599;336308;2.7;4.4;0.0;0.0;40.7;30.4;19.3;3.1;0.4;0.2;1.5;0.0;0.0;0.1;0.8;2.7;4.8;9.8
37;Totaal chemische bestrijdingsmiddelen;Wintertarwe;1998;11763;128276;404308;3.2;15.8;0.0;0.0;44.6;29.0;10.0;0.3;0.0;0.2;0.0;0.0;0.0;0.3;1.0;3.2;5.4;9.1
38;Totaal chemische bestrijdingsmiddelen;Wintertarwe;2000;11553;120510;328333;2.7;8.1;0.0;0.0;51.5;29.0;7.6;1.8;0.9;0.1;1.0;0.0;0.0;0.3;1.2;2.7;4.6;6.9
39;Totaal chemische bestrijdingsmiddelen;Wintertarwe;2004;10038;117224;369355;3.2;7.7;0.0;0.0;44.5;21.7;5.7;1.2;0.9;0.4;17.9;0.0;0.0;0.3;1.1;3.150844;5.3;7.0
40;Totaal chemische bestrijdingsmiddelen;Zomertarwe;1995;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;Totaal chemische bestrijdingsmiddelen;Zomertarwe;1998;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42;Totaal chemische bestrijdingsmiddelen;Zomertarwe;2000;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43;Totaal chemische bestrijdingsmiddelen;Zomertarwe;2004;3607;20864;38445;1.8;0.3;0.0;0.0;1.5;70.4;25.3;0.8;1.6;0.0;0.0;0.0;0.0;0.1;0.8;1.842624;3.0;4.7
44;Totaal chemische bestrijdingsmiddelen;Zomergerst;1995;6907;32480;51184;1.6;0.2;0.0;0.0;6.4;68.1;19.8;4.6;0.7;0.0;0.2;0.0;0.0;0.1;0.5;1.6;2.8;6.5
45;Totaal chemische bestrijdingsmiddelen;Zomergerst;1998;6626;36658;45252;1.2;0.7;0.0;0.0;5.9;74.5;16.4;0.4;0.0;2.0;0.0;0.0;0.0;0.1;0.5;1.2;2.1;3.0
