ID;StarRating;Regions;Periods;Accommodation_1;Room_2;SleepingPlace_3;Accommodation_4;Room_5;SleepingPlace_6
0;Total;Nederland;2012 January;;;;;;
1;Total;Nederland;2012 February;;;;;;
2;Total;Nederland;2012 March;;;;;;
3;Total;Nederland;2012 April;;;;;;
4;Total;Nederland;2012 May;;;;;;
5;Total;Nederland;2012 June;;;;;;
6;Total;Nederland;2012 July;;;;;;
7;Total;Nederland;2012 August;;;;;;
8;Total;Nederland;2012 September;;;;;;
9;Total;Nederland;2012 October;;;;;;
10;Total;Nederland;2012 November;;;;;;
11;Total;Nederland;2012 December;;;;;;
12;Total;Nederland;2013 January;;;;;;
13;Total;Nederland;2013 February;;;;;;
14;Total;Nederland;2013 March;;;;;;
15;Total;Nederland;2013 April;;;;;;
16;Total;Nederland;2013 May;;;;;;
17;Total;Nederland;2013 June;;;;;;
18;Total;Nederland;2013 July;;;;;;
19;Total;Nederland;2013 August;;;;;;
20;Total;Nederland;2013 September;;;;;;
21;Total;Nederland;2013 October;;;;;;
22;Total;Nederland;2013 November;;;;;;
23;Total;Nederland;2013 December;;;;;;
24;Total;Nederland;2014 January;;;;;;
25;Total;Nederland;2014 February;;;;;;
26;Total;Nederland;2014 March;;;;;;
27;Total;Nederland;2014 April;;;;;;
28;Total;Nederland;2014 May;;;;;;
29;Total;Nederland;2014 June;;;;;;
30;Total;Nederland;2014 July;;;;;;
31;Total;Nederland;2014 August;;;;;;
32;Total;Nederland;2014 September;;;;;;
33;Total;Nederland;2014 October;;;;;;
34;Total;Nederland;2014 November;;;;;;
35;Total;Nederland;2014 December;;;;;;
36;Total;Nederland;2015 January;;;;;;
37;Total;Nederland;2015 February;;;;;;
38;Total;Nederland;2015 March;;;;;;
39;Total;Nederland;2015 April;;;;;;
40;Total;Nederland;2015 May;;;;;;
41;Total;Nederland;2015 June;;;;;;
42;Total;Nederland;2015 July;;;;;;
43;Total;Nederland;2015 August;;;;;;
44;Total;Nederland;2015 September;;;;;;
45;Total;Nederland;2015 October;;;;;;
46;Total;Nederland;2015 November;;;;;;
47;Total;Nederland;2015 December;;;;;;
48;Total;Nederland;2016 January;;;;;;
49;Total;Nederland;2016 February;;;;;;
50;Total;Nederland;2016 March;;;;;;
51;Total;Nederland;2016 April;;;;;;
52;Total;Nederland;2016 May;;;;;;
53;Total;Nederland;2016 June;;;;;;
54;Total;Nederland;2016 July;;;;;;
55;Total;Nederland;2016 August;;;;;;
56;Total;Nederland;2016 September;;;;;;
57;Total;Nederland;2016 October;;;;;;
58;Total;Nederland;2016 November;;;;;;
59;Total;Nederland;2016 December;;;;;;
60;Total;Nederland;2017 January;3636.0;124049.0;270098.0;3205.0;118184.0;257094.0
61;Total;Nederland;2017 February;3636.0;124049.0;270098.0;3333.0;120057.0;261102.0
62;Total;Nederland;2017 March;3636.0;124049.0;270098.0;3442.0;121584.0;264512.0
