ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;3721828;100.0;100;96;4
1;1;97;0.0;0;0;0
2;2;14567;0.4;0;0;0
3;3;17157;0.5;0;0;0
4;4;892;0.0;0;0;0
5;5;294;0.0;0;0;0
6;6;197;0.0;0;0;0
7;7;499892;13.4;14;14;0
8;8;182;0.0;0;0;0
9;Christelijk Democratische Unie;38464;1.0;1;1;0
10;9;6787;0.2;0;0;0
11;CHU;339809;9.1;10;9;1
12;CPN;118238;3.2;4;4;0
13;Handeldrijvende Middenstand;1123;0.0;0;0;0
14;Hervormd Gereformeerde Staatspartij;33930;0.9;1;1;0
15;Hoofd- en Handarbeiders;763;0.0;0;0;0
16;Katholieke Democratische Bond;20405;0.5;0;0;0
17;Liberale Staatspartij;258732;7.0;7;7;0
18;Lijst Bongers;473;0.0;0;0;0
19;Lijst De Wit;510;0.0;0;0;0
20;Lijst Eijking;1180;0.0;0;0;0
21;Lijst Engels;725;0.0;0;0;0
22;Lijst Groothuis;90;0.0;0;0;0
23;Lijst Jacobs;1629;0.0;0;0;0
24;Lijst Triesscheijn;193;0.0;0;0;0
25;Lijst Wolswinkel;3062;0.1;0;0;0
26;Limburgsche Federatie;6358;0.2;0;0;0
27;Marktkooplieden;3184;0.1;0;0;0
28;Nationaal Socialistische Partij;2127;0.1;0;0;0
29;Nationaal Verbond Plicht, Orde, Recht;11162;0.3;0;0;0
30;Nationaal Verbond v. Arbeidsbelangen;551;0.0;0;0;0
31;Nationale Werkliedenpartij;227;0.0;0;0;0
32;NBTMP;47688;1.3;1;1;0
33;Nederlandse Bond van Belastingbetalers;940;0.0;0;0;0
34;Nederlandse Fascisten Unie;1771;0.0;0;0;0
35;Nieuwe Socialistische Partij;746;0.0;0;0;0
36;Onafhankelijke Socialistische Partij;27470;0.7;0;0;0
37;Onafhankelijke Zakenlui;2422;0.1;0;0;0
38;Opbouw en Verbroedering;142;0.0;0;0;0
39;Oranjefascisten;261;0.0;0;0;0
40;Proletarische groep;185;0.0;0;0;0
41;Recht en Vrijheid;4267;0.1;0;0;0
42;Revolutionair-Socialistische Partij;48405;1.3;1;1;0
43;R.K. Bouwvakarbeiders;1330;0.0;0;0;0
44;Roomsch-Katholieke Arbeiderspartij;6202;0.2;0;0;0
45;Roomsch-Katholieke Volkspartij;40904;1.1;1;1;0
46;Rooms-Katholieke Staatspartij;1037364;27.9;28;27;1
47;SDAP;798632;21.5;22;21;1
48;SGP;93274;2.5;3;3;0
49;Universeele Partij;237;0.0;0;0;0
50;Verbond voor Nationaal Herstel;30332;0.8;1;1;0
51;Verbond van Nationalisten;6449;0.2;0;0;0
52;Voor Algemeen Welzijn;517;0.0;0;0;0
53;Vrijzinnig Democratische Bond;188952;5.1;6;5;1
54;Zuiderzeepartij;338;0.0;0;0;0
