ID;Geslacht;Leeftijd;Herkomstland;GeboortelandOuders;Perioden;UitkeringsontvangersTotaal_1;Werkloosheid_2;BijstandEnBijstandsgerelateerdTotaal_3;Bijstandsuitkering_4;IOAWUitkering_5;IOAZUitkering_6;ArbeidsongeschiktheidTotaal_7;WAOUitkering_8;WIAUitkeringRegelingWGA_9;WIAUitkeringRegelingIVA_10;WAZUitkering_11;WajongUitkering_12;AOW_13
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2013 januari;4644520.0;354590.0;470000.0;432340.0;15550.0;2250.0;767400.0;394230.0;118280.0;43580.0;20520.0;196810.0;3120720.0
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2013 februari;4663830.0;358710.0;475370.0;437200.0;15800.0;2270.0;769390.0;391740.0;120330.0;44140.0;20320.0;198990.0;3129420.0
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2013 maart;4675720.0;358260.0;479930.0;441190.0;16190.0;2270.0;769420.0;388930.0;121690.0;44780.0;20070.0;200130.0;3137210.0
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2013 april;4685420.0;356030.0;483860.0;444960.0;16400.0;2260.0;769240.0;385860.0;123020.0;45500.0;19830.0;201220.0;3145480.0
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2013 mei;4693670.0;355410.0;486550.0;447470.0;16600.0;2280.0;765760.0;382190.0;123370.0;46170.0;19480.0;200640.0;3155340.0
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2013 juni;4707200.0;357990.0;487450.0;448140.0;16860.0;2270.0;765040.0;379230.0;124390.0;46750.0;19260.0;201520.0;3166060.0
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2013 juli;4728720.0;369340.0;488590.0;449330.0;17130.0;2300.0;764900.0;376520.0;125490.0;47390.0;19000.0;202620.0;3175100.0
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2013 augustus;4738600.0;368450.0;488210.0;448550.0;17410.0;2290.0;764540.0;373290.0;126950.0;48010.0;18750.0;203680.0;3187030.0
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2013 september;4748650.0;368080.0;489000.0;449030.0;17630.0;2320.0;764880.0;370640.0;128500.0;48730.0;18540.0;204620.0;3196560.0
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2013 oktober;4773730.0;378550.0;492430.0;452190.0;17840.0;2310.0;766050.0;368160.0;130080.0;49570.0;18340.0;206090.0;3209380.0
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2013 november;4797340.0;390150.0;496570.0;455870.0;18090.0;2290.0;766140.0;365640.0;131060.0;50560.0;18150.0;206930.0;3217980.0
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2013 december;4837450.0;418590.0;501240.0;460150.0;18380.0;2310.0;766150.0;363140.0;132220.0;51170.0;17940.0;207900.0;3225730.0
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2014 januari;4844630.0;425350.0;506530.0;465130.0;18840.0;2430.0;772410.0;363420.0;134380.0;52480.0;17990.0;210500.0;3215040.0
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2014 februari;4852610.0;422630.0;511070.0;469180.0;19210.0;2440.0;771550.0;360660.0;135150.0;53200.0;17700.0;211210.0;3222330.0
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2014 maart;4849580.0;405790.0;515100.0;472730.0;19630.0;2440.0;771730.0;357800.0;136520.0;53980.0;17470.0;212350.0;3231980.0
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2014 april;4855380.0;400570.0;518450.0;475790.0;19900.0;2450.0;772160.0;355360.0;137660.0;54980.0;17250.0;213340.0;3239430.0
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2014 mei;4858270.0;395260.0;520140.0;477240.0;20140.0;2430.0;768470.0;351830.0;137730.0;55710.0;16950.0;212570.0;3249390.0
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2014 juni;4867210.0;395620.0;520500.0;477470.0;20450.0;2430.0;768400.0;349210.0;138770.0;56520.0;16750.0;213470.0;3257720.0
