ID;TypeReIntegratieParticipatievoorz;StatusVoorzieningEindeVerslagperiode;RegioS;Perioden;ReIntegratieParticipatievoorzieningen_1
0;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2019 januari;235130.0
1;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2019 februari;236210.0
2;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2019 maart;238820.0
3;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2019 april;241510.0
4;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2019 mei;244270.0
5;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2019 juni;243450.0
6;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2019 juli;246170.0
7;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2019 augustus;241650.0
8;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2019 september;244630.0
9;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2019 oktober;247920.0
10;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2019 november;248010.0
11;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2019 december;246100.0
12;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2020 januari;237190.0
13;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2020 februari;237290.0
14;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2020 maart;240460.0
15;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2020 april;238660.0
16;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2020 mei;238520.0
17;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2020 juni;239440.0
18;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2020 juli;236190.0
19;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2020 augustus;233300.0
20;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2020 september;236700.0
21;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2020 oktober;237560.0
22;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2020 november;236980.0
23;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2020 december;235950.0
24;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2021 januari;232300.0
25;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2021 februari;234350.0
26;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2021 maart;238160.0
27;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2021 april;240710.0
28;Totaal re-integratie-/participatievoorz.;Totaal voorzieningen:Lopend en beëindigd;Nederland;2021 mei;242080.0
