ID;Perioden;TotaleCVOPopulatie_1;UitsluitendVakantiesInNederland_2;UitsluitendVakantiesInHetBuitenland_3;ZowelInNederlandAlsInHetBuitenland_4;UitsluitendKorteVakanties_5;UitsluitendLangeVakanties_6;ZowelKorteAlsLangeVakanties_7;NeemtNietDeelAanVakanties_8;NeemtDeelAanVakanties_9;GemAantalVakantiesPerDeelnemer_10;NeemtNietDeelAanKorteVakanties_11;NeemtDeelAanKorteVakanties_12;GemAantalKorteVakantiesPerDeelnemer_13;NeemtNietDeelAanLangeVakanties_14;NeemtDeelAanLangeVakanties_15;GemAantalLangeVakantiesPerDeelnemer_16
0;1990;13971;3381;3761;3284;662;6112;3652;3545;10426;2.43;9657;4314;2.1;4207;9764;1.67
1;1991;14038;3461;3878;3372;776;6168;3767;3327;10711;2.49;9495;4543;2.17;4103;9935;1.69
2;1992;14116;3510;3774;3386;741;5897;4032;3446;10670;2.47;9343;4773;2.05;4187;9929;1.67
3;1993;14230;3458;3749;3799;869;6064;4073;3224;11006;2.51;9288;4942;2.05;4093;10137;1.73
4;1994;14310;3077;4191;3895;682;6238;4243;3147;11163;2.59;9385;4925;2.23;3829;10481;1.72
5;1995;14400;3238;4068;3799;763;6283;4059;3295;11105;2.58;9578;4822;2.21;4058;10342;1.73
6;1996;14521;3536;3846;3868;874;5937;4439;3271;11250;2.65;9208;5313;2.11;4145;10376;1.79
7;1997;14640;3532;4027;3841;832;6075;4493;3240;11400;2.56;9315;5325;2.08;4072;10568;1.71
8;1998;14742;3603;4214;3926;813;6596;4334;2999;11743;2.52;9595;5147;2.05;3812;10930;1.74
9;1999;14861;3413;4562;3931;848;6491;4567;2955;11906;2.56;9446;5415;2.07;3803;11058;1.74
10;2000;14982;3367;4485;4042;800;6752;4342;3088;11894;2.57;9840;5142;2.25;3888;11094;1.71
11;2001;15095;3381;4348;4226;760;6559;4636;3140;11955;2.67;9698;5397;2.24;3901;11194;1.77
12;2002;15204;3241;4186;4861;1007;6009;5772;2916;12288;2.89;8925;6279;2.09;3922;11282;1.98
13;2003;15283;3363;4296;4836;1069;6210;5216;2788;12495;2.77;8998;6285;1.93;3856;11427;1.99
14;2004;15347;3379;4250;4827;889;6262;5305;2891;12456;2.82;9153;6194;2.01;3781;11566;1.96
15;2005;15393;3168;4356;4912;940;6226;5269;2957;12436;2.77;9183;6210;1.96;3898;11495;1.93
16;2006;15434;3425;4230;4766;1069;6093;5259;3013;12421;2.78;9106;6328;1.92;4082;11352;1.97
17;2007;15469;3238;4393;4853;1082;6092;5311;2985;12484;2.82;9077;6392;2.0;4067;11402;1.96
18;2008;15510;3109;4457;5095;1014;6398;5250;2849;12661;2.84;9246;6264;1.96;3863;11647;2.03
19;2009;15559;3223;4309;5111;1022;6002;5619;2917;12643;2.88;8917;6641;1.97;3939;11620;2.0
20;2010;15637;3095;4436;5210;993;6193;5554;2897;12740;2.84;9090;6547;1.98;3890;11747;1.96
21;2011;15682;2953;4581;5311;957;6307;5582;2837;12845;2.83;9143;6538;1.94;3794;11888;2.02
22;2012;15732;3235;4449;5127;1114;5998;5698;2922;12811;2.87;8920;6812;2.04;4036;11696;1.96
23;2013;15776;3313;4458;5002;1029;6287;5457;3003;12773;2.79;9290;6486;1.98;4032;11743;1.94
24;2014;15778;3159;4576;4813;1121;6075;5353;3230;12548;2.8;9305;6473;2.01;4351;11427;1.93
25;2015;15825;3176;4524;4962;1177;6108;5376;3164;12661;2.77;9271;6554;1.95;4341;11484;1.94
26;2016;15843;3270;4412;5104;1131;6093;5562;3056;12787;2.78;9150;6693;1.96;4187;11655;1.92
