ID;Perioden;GeregistreerdeSchepen_1;ActieveSchepen_2;BlauweWijting_3;Garnalen_4;Haring_5;Horsmakreel_6;Kabeljauw_7;Makreel_8;Mosselen_9;Oesters_10;Schol_11;Tong_12;Garnalen_13;Haring_14;Kabeljauw_15;Makreel_16;Mosselen_17;Oesters_18;Schol_19;Tong_20;BlauweWijting_21;Garnalen_22;Haring_23;Horsmakreel_24;Kabeljauw_25;Makreel_26;Mosselen_27;Oesters_28;Schol_29;Tong_30
0;1930;4867.0;;;7360.0;90755.0;;10040.0;2724.0;41115.0;2424.0;11523.0;1252.0;527.0;6966.0;959.0;260.0;536.0;1034.0;1305.0;1294.0;;;;;;;;;;
1;1931;4895.0;;;6016.0;101935.0;;8174.0;3409.0;45465.0;2034.0;8817.0;1305.0;522.0;4927.0;774.0;240.0;465.0;780.0;1014.0;978.0;;;;;;;;;;
2;1932;3820.0;;;4879.0;73205.0;;6536.0;2744.0;47959.0;1529.0;8608.0;2005.0;414.0;3499.0;518.0;154.0;357.0;536.0;705.0;859.0;;;;;;;;;;
3;1933;3303.0;;;3834.0;78802.0;;3632.0;2005.0;45535.0;1164.0;8264.0;2063.0;240.0;3070.0;269.0;117.0;271.0;436.0;571.0;655.0;;;;;;;;;;
4;1934;3364.0;;;3250.0;90711.0;;5011.0;3603.0;48052.0;848.0;7834.0;2274.0;196.0;3032.0;394.0;156.0;238.0;282.0;533.0;758.0;;;;;;;;;;
5;1935;3474.0;;;2596.0;73284.0;;3967.0;4912.0;43276.0;652.0;8271.0;2224.0;176.0;2702.0;306.0;198.0;337.0;192.0;529.0;688.0;;;;;;;;;;
6;1936;3443.0;;;3041.0;102717.0;;4035.0;4826.0;40978.0;564.0;8740.0;1999.0;190.0;3931.0;298.0;176.0;417.0;201.0;573.0;655.0;;;;;;;;;;
7;1937;3394.0;;;2693.0;123628.0;;4046.0;5617.0;44614.0;868.0;8427.0;1873.0;187.0;4412.0;357.0;205.0;480.0;381.0;641.0;747.0;;;;;;;;;;
8;1938;3308.0;;;3041.0;97803.0;;5558.0;6944.0;44431.0;848.0;8213.0;1415.0;201.0;3810.0;405.0;227.0;458.0;311.0;632.0;560.0;;;;;;;;;;
9;1939;3201.0;;;3453.0;38477.0;;3896.0;2733.0;40268.0;930.0;7429.0;1554.0;234.0;2752.0;280.0;137.0;421.0;267.0;538.0;483.0;;;;;;;;;;
10;1940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1946;2724.0;;;2237.0;100967.0;;6695.0;485.0;33034.0;1366.0;16103.0;3685.0;419.0;15666.0;1523.0;66.0;767.0;1388.0;3865.0;2843.0;;;;;;;;;;
17;1947;2724.0;;;4172.0;132641.0;;9353.0;1644.0;57437.0;1150.0;10878.0;1624.0;904.0;18414.0;1424.0;295.0;1355.0;1166.0;2071.0;1131.0;;;;;;;;;;
18;1948;2838.0;;;4443.0;139702.0;;3079.0;5511.0;53032.0;1459.0;13546.0;1428.0;1023.0;20695.0;844.0;954.0;1243.0;1470.0;2378.0;1483.0;;;;;;;;;;
19;1949;2897.0;;;3354.0;110104.0;;4308.0;7098.0;53464.0;1637.0;10042.0;2713.0;866.0;14930.0;1093.0;893.0;1252.0;1607.0;2096.0;1759.0;;;;;;;;;;
20;1950;2874.0;;;3332.0;112343.0;;4075.0;6633.0;26932.0;1536.0;11863.0;4963.0;1153.0;13797.0;1012.0;809.0;668.0;1640.0;2259.0;2797.0;;;113323.0;235.0;4232.0;6828.0;31944.0;1537.0;11896.0;4960.0
21;1951;2851.0;;;4575.0;124247.0;;3834.0;10562.0;42320.0;1287.0;11975.0;4511.0;1554.0;15836.0;1197.0;1349.0;1836.0;1664.0;2530.0;3145.0;;;127246.0;389.0;4364.0;11575.0;43012.0;1287.0;11988.0;4516.0
22;1952;2814.0;;;4035.0;134576.0;;4211.0;11400.0;46738.0;1432.0;12385.0;4465.0;1157.0;17407.0;1353.0;1556.0;2118.0;1917.0;2376.0;3184.0;;;135259.0;445.0;4205.0;11640.0;47446.0;1432.0;12354.0;4535.0
23;1953;2553.0;;;4145.0;158815.0;;4745.0;10990.0;57222.0;1225.0;14749.0;4921.0;1300.0;21010.0;1446.0;1457.0;2666.0;1620.0;2497.0;3394.0;;;158974.0;495.0;4591.0;11230.0;57269.0;1226.0;14745.0;4920.0
24;1954;2509.0;;;4174.0;149509.0;;5086.0;11223.0;63156.0;1371.0;11406.0;5159.0;1556.0;19430.0;1565.0;1651.0;2977.0;1884.0;2305.0;3905.0;;;148990.0;272.0;5023.0;11832.0;63158.0;1370.0;11391.0;5153.0
25;1955;2520.0;;;6358.0;125911.0;;4451.0;16274.0;51778.0;1591.0;10395.0;4564.0;2393.0;17442.0;1459.0;2142.0;2757.0;2008.0;2362.0;5119.0;;;126112.0;254.0;4314.0;16333.0;51793.0;1591.0;10370.0;4561.0
26;1956;2472.0;;;5930.0;115922.0;;4260.0;11146.0;50608.0;1867.0;11741.0;4820.0;2918.0;18595.0;1327.0;1640.0;2673.0;1955.0;2808.0;5772.0;;;115977.0;385.0;4161.0;11230.0;50618.0;1866.0;11732.0;4824.0
27;1957;2427.0;;;4399.0;109996.0;;5207.0;14185.0;55183.0;1935.0;12151.0;4520.0;3233.0;18346.0;1642.0;1666.0;3015.0;2146.0;2993.0;5824.0;;;128742.0;452.0;5985.0;15483.0;63429.0;1935.0;13951.0;5192.0
28;1958;2454.0;;;4200.0;108326.0;;5221.0;15397.0;65697.0;1884.0;12182.0;5805.0;2955.0;21797.0;1737.0;1975.0;3378.0;2157.0;3213.0;7638.0;;;125122.0;184.0;6074.0;18088.0;75515.0;1884.0;13991.0;6670.0
29;1959;2540.0;;;4725.0;104628.0;;5650.0;18423.0;59346.0;2109.0;12927.0;5758.0;3949.0;19935.0;1946.0;2411.0;2973.0;2437.0;3524.0;7678.0;;;123473.0;993.0;6551.0;21425.0;68215.0;2109.0;14849.0;6619.0
30;1960;2636.0;;;4295.0;108707.0;;7200.0;25045.0;67535.0;2717.0;13242.0;8063.0;4515.0;20591.0;2488.0;2618.0;3519.0;3052.0;3612.0;10402.0;;;128018.0;53.0;8302.0;29642.0;77626.0;2718.0;15213.0;9274.0
31;1961;2724.0;;;5595.0;113462.0;;7129.0;24481.0;74320.0;2607.0;13866.0;11662.0;3920.0;19633.0;2631.0;2406.0;4037.0;3171.0;3559.0;14474.0;;;133290.0;54.0;8210.0;28733.0;85427.0;2608.0;15951.0;13488.0
32;1962;2807.0;;;5287.0;75385.0;;6582.0;18972.0;83880.0;2235.0;18181.0;14626.0;4786.0;22736.0;2470.0;2598.0;4500.0;3035.0;3907.0;19419.0;;;91675.0;11.0;8178.0;20600.0;96460.0;2235.0;19094.0;16287.0
33;1963;2916.0;;;8046.0;114271.0;;6717.0;11975.0;77976.0;496.0;20834.0;12246.0;4672.0;19963.0;2395.0;2226.0;4103.0;992.0;3841.0;16543.0;;;136507.0;42.0;8351.0;12484.0;89671.0;496.0;23145.0;13596.0
34;1964;1768.0;;;8885.0;104405.0;;9117.0;17522.0;100714.0;558.0;22233.0;7464.0;5139.0;21030.0;2927.0;2459.0;5450.0;1560.0;5124.0;18033.0;;;122422.0;6.0;11185.0;18303.0;115821.0;557.0;24594.0;8272.0
35;1965;1537.0;;;8048.0;72174.0;;17586.0;17960.0;96084.0;716.0;20737.0;11592.0;7845.0;20528.0;5018.0;2402.0;5194.0;2080.0;6633.0;20726.0;;;87848.0;5.0;21999.0;18206.0;110498.0;716.0;23272.0;12993.0
36;1966;1552.0;;;7387.0;60474.0;;18507.0;14500.0;80378.0;749.0;23862.0;23384.0;7836.0;19256.0;5767.0;2422.0;4392.0;2215.0;7261.0;34191.0;;;74809.0;7.0;23713.0;15090.0;92435.0;749.0;27575.0;26707.0
37;1967;1540.0;;;7407.0;43404.0;;20633.0;15197.0;74483.0;796.0;24884.0;22425.0;7850.0;15629.0;6192.0;2517.0;5150.0;2409.0;6834.0;38481.0;;;57545.0;7.0;26826.0;15823.0;85576.0;827.0;29906.0;24900.0
