ID;SoortBromfiets;RegioS;Perioden;AantalVoertuigen_1;PersonenInBezitVanVoertuig_2
0;Alle bromfietsen;Nederland;2007;706429.0;5.4
1;Alle bromfietsen;Nederland;2008;780589.0;5.9
2;Alle bromfietsen;Nederland;2009;869848.0;6.5
3;Alle bromfietsen;Nederland;2010;951452.0;7.1
4;Alle bromfietsen;Nederland;2011;1023582.0;7.6
5;Alle bromfietsen;Noord-Nederland (LD);2007;66439.0;4.8
6;Alle bromfietsen;Noord-Nederland (LD);2008;71727.0;5.2
7;Alle bromfietsen;Noord-Nederland (LD);2009;78129.0;5.6
8;Alle bromfietsen;Noord-Nederland (LD);2010;84161.0;6.0
9;Alle bromfietsen;Noord-Nederland (LD);2011;89968.0;6.4
10;Alle bromfietsen;Oost-Nederland (LD);2007;152819.0;5.5
11;Alle bromfietsen;Oost-Nederland (LD);2008;165391.0;6.0
12;Alle bromfietsen;Oost-Nederland (LD);2009;181318.0;6.5
13;Alle bromfietsen;Oost-Nederland (LD);2010;195878.0;7.0
14;Alle bromfietsen;Oost-Nederland (LD);2011;209290.0;7.4
15;Alle bromfietsen;West-Nederland (LD);2007;319152.0;5.2
16;Alle bromfietsen;West-Nederland (LD);2008;362468.0;5.8
17;Alle bromfietsen;West-Nederland (LD);2009;412561.0;6.6
18;Alle bromfietsen;West-Nederland (LD);2010;457970.0;7.2
19;Alle bromfietsen;West-Nederland (LD);2011;495170.0;7.8
20;Alle bromfietsen;Zuid-Nederland (LD);2007;168019.0;5.8
21;Alle bromfietsen;Zuid-Nederland (LD);2008;181003.0;6.2
22;Alle bromfietsen;Zuid-Nederland (LD);2009;197840.0;6.8
23;Alle bromfietsen;Zuid-Nederland (LD);2010;213443.0;7.3
24;Alle bromfietsen;Zuid-Nederland (LD);2011;229154.0;7.8
25;Alle bromfietsen;Groningen (PV);2007;23021.0;4.9
26;Alle bromfietsen;Groningen (PV);2008;24933.0;5.3
27;Alle bromfietsen;Groningen (PV);2009;27164.0;5.7
28;Alle bromfietsen;Groningen (PV);2010;29575.0;6.2
29;Alle bromfietsen;Groningen (PV);2011;31405.0;6.5
30;Alle bromfietsen;Friesland (PV);2007;26092.0;5.1
31;Alle bromfietsen;Friesland (PV);2008;28031.0;5.4
32;Alle bromfietsen;Friesland (PV);2009;30376.0;5.9
33;Alle bromfietsen;Friesland (PV);2010;32325.0;6.2
34;Alle bromfietsen;Friesland (PV);2011;34681.0;6.6
35;Alle bromfietsen;Drenthe (PV);2007;17326.0;4.4
36;Alle bromfietsen;Drenthe (PV);2008;18763.0;4.8
37;Alle bromfietsen;Drenthe (PV);2009;20589.0;5.2
38;Alle bromfietsen;Drenthe (PV);2010;22261.0;5.6
39;Alle bromfietsen;Drenthe (PV);2011;23882.0;6.0
40;Alle bromfietsen;Overijssel (PV);2007;48110.0;5.4
41;Alle bromfietsen;Overijssel (PV);2008;51982.0;5.8
42;Alle bromfietsen;Overijssel (PV);2009;56797.0;6.3
43;Alle bromfietsen;Overijssel (PV);2010;60803.0;6.7
44;Alle bromfietsen;Overijssel (PV);2011;64687.0;7.1
45;Alle bromfietsen;Flevoland (PV);2007;12608.0;4.4
46;Alle bromfietsen;Flevoland (PV);2008;14524.0;5.0
