ID;Inkomenspositie;Perioden;TotaalBestedingen_1;VasteLastenTotaal_2;BrutoHuurWaarde_3;WaterEnEnergie_4;VerzekeringenEnRetributies_5;ConsumptieveBelastingen_6;VasteLastenMinusHuursubsidie_7;HuurWaardeMinusHuursubsidie_8
0;1;1990/1991;18;33;21;6;4;2;32;20
1;1;1994/1995;21;36;23;5;5;2;35;22
2;1;1995/1996;21;36;24;6;5;2;35;22
3;1;1996/'97;21;37;24;6;5;3;36;22
4;1;1997/'98;22;35;24;6;5;2;35;22
5;1;1998/'99;24;35;23;5;5;2;35;22
6;1;1999/'00;24;35;23;5;4;2;34;22
7;1;2003;28;33;21;6;4;2;32;19
8;2;1990/1991;10;40;25;8;5;2;37;21
9;2;1994/1995;11;47;30;8;5;3;41;25
10;2;1995/1996;12;47;31;8;5;4;42;25
11;2;1996/'97;12;46;30;8;5;3;42;25
12;2;1997/'98;13;46;30;8;5;3;41;24
13;2;1998/'99;14;45;30;8;4;3;41;24
14;2;1999/'00;15;44;30;7;4;3;40;24
15;2;2003;19;41;28;7;3;3;37;22
16;3;1990/1991;19;32;21;5;4;2;32;20
17;3;1994/1995;22;34;22;5;5;2;34;22
18;3;1995/1996;22;35;22;5;5;2;34;22
19;3;1996/'97;23;35;23;6;5;2;35;22
20;3;1997/'98;23;35;23;6;5;2;35;22
21;3;1998/'99;24;34;23;5;5;2;34;22
22;3;1999/'00;26;33;22;5;4;2;33;21
23;3;2003;29;33;20;6;4;2;32;19
