ID;Perioden;TotaalVorderingen_1;ChartaalGeldEnDepositoS_2;TotaalLeningen_3;KortlopendeLeningen_4;LanglopendeLeningen_5;TotaalAandelenEnDeelnemingen_6;BeursgenoteerdeAandelen_7;OverigeAandelenEnDeelnemingen_8;HandelskredietenTransitorischePosten_9;TotaalSchulden_10;ChartaalGeld_11;TotaalEffectenBehalveAandelen_12;KortlopendeEffecten_13;LanglopendeEffecten_14;TotaalLeningen_15;KortlopendeLeningen_16;LanglopendeLeningen_17;HandelskredietenTransitorischePosten_18
0;1999 1e kwartaal;-3256;-2863;-447;-421;-26;10;0;10;44;2227;-20;4288;2517;1771;-1911;1426;-3337;-130
1;1999 2e kwartaal;44;740;-137;-111;-26;-897;0;-897;338;1398;19;3990;1669;2321;-2482;-231;-2251;-129
2;1999 3e kwartaal;-786;731;-333;-307;-26;-206;-117;-89;-978;-1789;-1;-1025;-2268;1243;-635;1020;-1655;-128
3;1999 4e kwartaal;1959;1298;-224;-198;-26;-247;-10;-237;1132;-536;0;-2106;-3647;1541;1528;1599;-71;42
4;1999;-2039;-94;-1141;-1037;-104;-1340;-127;-1213;536;1300;-2;5147;-1729;6876;-3500;3814;-7314;-345
5;2000 1e kwartaal;1974;3609;-256;-362;106;10;0;10;-1389;9716;-7;10246;8553;1693;-247;1002;-1249;-276
6;2000 2e kwartaal;-6717;-6838;-255;-361;106;-329;-307;-22;705;-9217;34;-7168;-3226;-3942;-1955;-46;-1909;-128
7;2000 3e kwartaal;3681;3965;-256;-362;106;51;0;51;-79;839;-4;357;1180;-823;613;1235;-622;-127
8;2000 4e kwartaal;-2968;-3991;-254;-361;107;44;0;44;1233;-6964;10;-9114;-6045;-3069;2302;4493;-2191;-162
9;2000;-4030;-3255;-1021;-1446;425;-224;-307;83;470;-5626;33;-5679;462;-6141;713;6684;-5971;-693
10;2001 1e kwartaal;-1480;-210;437;53;384;-894;-906;12;-813;4818;-34;2643;8704;-6061;2593;3423;-830;-384
11;2001 2e kwartaal;4349;2986;332;-52;384;76;0;76;955;2489;8;6880;539;6341;-4017;-3619;-398;-382
12;2001 3e kwartaal;392;1060;385;1;384;15;0;15;-1068;-3815;-62;-2989;-1391;-1598;-383;-123;-260;-381
13;2001 4e kwartaal;1138;-3716;82;-2;84;2644;1730;914;2128;1527;50;-3187;-7590;4403;3820;5104;-1284;582
14;2001;4399;120;1236;0;1236;1841;824;1017;1202;5019;-38;3347;262;3085;2013;4785;-2772;-565
15;2002 1e kwartaal;-677;238;135;16;119;-30;-14;-16;-1020;5564;0;2760;11111;-8351;4887;4095;792;-2083
16;2002 2e kwartaal;2917;2128;856;574;282;-16;0;-16;-51;646;-12;3655;65;3590;-4018;-3766;-252;1021
17;2002 3e kwartaal;-1781;-1825;1304;981;323;-16;0;-16;-1244;1353;-23;2189;3943;-1754;87;503;-416;-900
18;2002 4e kwartaal;2806;-714;1951;882;1069;-16;0;-16;1585;623;4;-189;-4845;4656;-283;419;-702;1367
19;2002;3265;-173;4246;2453;1793;-78;-14;-64;-730;8186;-31;8415;10274;-1859;673;1251;-578;-595
20;2003 1e kwartaal;-581;2112;-1263;-730;-533;22;0;22;-1452;5418;-15;7226;9546;-2320;-334;-529;195;-1459
21;2003 2e kwartaal;-383;-2087;466;202;264;70;0;70;1168;3793;33;-381;991;-1372;2078;2284;-206;2063
22;2003 3e kwartaal;560;1439;1237;715;522;-1956;-2003;47;-160;3756;2;8807;-1568;10375;-4131;-4012;-119;-922
23;2003 4e kwartaal;2666;-1027;1742;1986;-244;70;0;70;1881;2832;17;-904;-4711;3807;1015;1132;-117;2704
24;2003;2262;437;2182;2173;9;-1794;-2003;209;1437;15799;37;14748;4258;10490;-1372;-1125;-247;2386
25;2004 1e kwartaal;1431;1338;1927;1841;86;0;0;0;-1834;7430;-25;6743;5507;1236;2588;2546;42;-1876
26;2004 2e kwartaal;2900;-488;3520;3120;400;0;0;0;-132;10539;12;4801;-78;4879;3231;3302;-71;2495
27;2004 3e kwartaal;-1693;1991;-2881;-3167;286;49;0;49;-852;-5192;-16;5170;-170;5340;-5197;-5181;-16;-5149
28;2004 4e kwartaal;-2378;-2551;-2386;-2715;329;-1324;-1285;-39;3883;-4006;1;-4451;-7813;3362;-3369;-3275;-94;3813
29;2004;260;290;180;-921;1101;-1275;-1285;10;1065;8771;-28;12263;-2554;14817;-2747;-2608;-139;-717
30;2005 1e kwartaal;-1642;692;1361;1517;-156;-1220;-1380;160;-2475;671;-54;-1452;2151;-3603;3267;3227;40;-1090
31;2005 2e kwartaal;13021;9801;2151;1595;556;17;0;17;1052;15436;15;14328;-2571;16899;1093;1094;-1;0
32;2005 3e kwartaal;-6203;-6383;-1062;-1616;554;1917;-905;2822;-675;-9883;-12;-4830;3865;-8695;-2008;-1760;-248;-3033
33;2005 4e kwartaal;1881;833;28;-1745;1773;-1543;-1349;-194;2563;621;-11;-2474;-3201;727;-642;-774;132;3748
34;2005;7057;4943;2478;-249;2727;-829;-3634;2805;465;6845;-62;5572;244;5328;1710;1787;-77;-375
35;2006 1e kwartaal;814;-2719;3948;3916;32;0;0;0;-415;-874;-14;-857;4286;-5143;836;756;80;-839
36;2006 2e kwartaal;1848;2071;-812;-1295;483;0;0;0;589;1580;15;2319;-1601;3920;-271;-214;-57;-483
37;2006 3e kwartaal;-2437;-1211;76;-931;1007;-1751;-1576;-175;449;-3791;-7;-1047;4562;-5609;-545;-323;-222;-2192
38;2006 4e kwartaal;-4454;-3786;-945;-580;-365;-2257;-1353;-904;2534;-6396;-8;-9871;-11358;1487;-1460;-1438;-22;4943
39;2006;-4454;-3786;-945;-580;-365;-2257;-1353;-904;2534;-6396;-8;-9871;-11358;1487;-1460;-1438;-22;4943
40;2007 1e kwartaal*;3376;955;3468;3718;-250;-339;0;-339;-708;7143;-32;4148;13551;-9403;1052;1046;6;1975
41;2007 2e kwartaal*;6214;4717;1408;850;558;50;0;50;39;5074;16;7197;2509;4688;2173;2221;-48;-4312
42;2007 3e kwartaal*;-4635;-4372;364;-293;657;0;0;0;-627;-3287;-15;-2668;502;-3170;515;523;-8;-1119
43;2007 4e kwartaal*;2329;2436;-1393;-2222;829;-684;0;-684;1970;-4374;26;-11050;-13793;2743;3407;3583;-176;3243
44;2007*;7284;3736;3847;2053;1794;-973;0;-973;674;4556;-5;-2373;2769;-5142;7147;7373;-226;-213
45;2008 1e kwartaal*;-5422;-2638;-861;73;-934;0;0;0;-1923;-920;-30;6173;6613;-440;-2732;-2713;-19;-4331
46;2008 2e kwartaal*;6233;5370;380;-589;969;0;0;0;483;4889;4;5476;308;5168;2660;2710;-50;-3251
47;2008 3e kwartaal*;9608;9075;651;10;641;0;0;0;-118;9753;0;1281;8274;-6993;6746;6762;-16;1726
48;2008 4e kwartaal*;79655;-11802;51186;39735;11451;36695;0;36695;3576;73882;20;62224;51953;10271;4706;-5468;10174;6932
49;2008*;90074;5;51356;39229;12127;36695;0;36695;2018;87604;-6;75154;67148;8006;11380;1291;10089;1076
50;2009 1e kwartaal*;-7387;-3159;-1513;-1080;-433;413;0;413;-3128;-1278;0;-8353;-15307;6954;6118;5928;190;957
51;2009 2e kwartaal*;15889;18319;-22371;-22738;367;0;0;0;19941;18113;0;-14073;-14421;348;6799;6830;-31;25387
52;2009 3e kwartaal*;-16714;-14733;-4705;-4673;-32;-521;0;-521;3245;-8361;0;11666;13524;-1858;-8986;-8186;-800;-11041
53;2009 4e kwartaal*;-7569;-3761;887;1711;-824;-6308;0;-6308;1613;-5713;-3;-2974;-9967;6993;-8416;-8444;28;5680
54;2009*;-15781;-3334;-27702;-26780;-922;-6416;0;-6416;21671;2761;-3;-13734;-26171;12437;-4485;-3872;-613;20983
