ID;Perioden;CPIWerknemersLaag1969100_1;CPIWerknemersLaag1975100_2;CPIWerknemersLaag1980100_3;CPIWerknemersLaag1985100_4;CPIWerknemersLaag1990100_5;CPIWerknemersLaag1995100_6
0;1969;100.0;;;;;
1;1970 januari;100.8;;;;;
2;1970 februari;101.5;;;;;
3;1970 maart;102.4;;;;;
4;1970 april;102.9;;;;;
5;1970 mei;103.0;;;;;
6;1970 juni;103.3;;;;;
7;1970 juli;103.6;;;;;
8;1970 augustus;104.2;;;;;
9;1970 september;105.0;;;;;
10;1970 oktober;105.4;;;;;
11;1970 november;105.7;;;;;
12;1970 december;105.9;;;;;
13;1970;103.6;;;;;
14;1971 januari;107.0;;;;;
15;1971 februari;108.4;;;;;
16;1971 maart;109.1;;;;;
17;1971 april;110.5;;;;;
18;1971 mei;111.0;;;;;
19;1971 juni;111.2;;;;;
20;1971 juli;111.4;;;;;
21;1971 augustus;112.1;;;;;
22;1971 september;113.1;;;;;
23;1971 oktober;113.9;;;;;
24;1971 november;114.2;;;;;
25;1971 december;114.8;;;;;
26;1971;111.4;;;;;
27;1972 januari;115.8;;;;;
28;1972 februari;116.7;;;;;
29;1972 maart;117.7;;;;;
30;1972 april;119.3;;;;;
31;1972 mei;119.6;;;;;
32;1972 juni;119.9;;;;;
33;1972 juli;119.5;;;;;
34;1972 augustus;120.4;;;;;
35;1972 september;121.5;;;;;
36;1972 oktober;123.1;;;;;
37;1972 november;123.6;;;;;
38;1972 december;123.9;;;;;
39;1972;120.1;;;;;
40;1973 januari;124.9;;;;;
41;1973 februari;125.4;;;;;
42;1973 maart;126.7;;;;;
43;1973 april;128.8;;;;;
44;1973 mei;129.5;;;;;
45;1973 juni;129.8;;;;;
46;1973 juli;129.5;;;;;
47;1973 augustus;130.2;;;;;
48;1973 september;131.5;;;;;
49;1973 oktober;132.8;;;;;
50;1973 november;133.4;;;;;
51;1973 december;134.1;;;;;
52;1973;129.7;;;;;
53;1974 januari;135.1;;;;;
54;1974 februari;136.4;;;;;
55;1974 maart;138.4;;;;;
56;1974 april;140.2;;;;;
57;1974 mei;140.8;;;;;
58;1974 juni;141.3;;;;;
59;1974 juli;141.8;;;;;
60;1974 augustus;142.9;;;;;
61;1974 september;145.1;;;;;
62;1974 oktober;147.0;;;;;
63;1974 november;148.1;;;;;
64;1974 december;148.7;;;;;
65;1974;142.2;;;;;
66;1975 januari;150.1;;;;;
67;1975 februari;150.5;;;;;
68;1975 maart;152.7;;;;;
69;1975 april;154.6;;;;;
70;1975 mei;155.5;;;;;
71;1975 juni;155.8;;;;;
72;1975 juli;156.7;;;;;
73;1975 augustus;158.2;;;;;
74;1975 september;160.2;;;;;
75;1975 oktober;161.6;;;;;
76;1975 november;162.0;;;;;
77;1975 december;162.3;;;;;
78;1975;156.7;100.0;;;;
79;1976 januari;163.2;104.5;;;;
80;1976 februari;164.7;105.4;;;;
81;1976 maart;166.3;106.1;;;;
82;1976 april;169.8;108.3;;;;
83;1976 mei;170.4;108.7;;;;
84;1976 juni;170.4;108.7;;;;
85;1976 juli;169.6;108.3;;;;
86;1976 augustus;171.4;109.3;;;;
87;1976 september;173.2;110.5;;;;
88;1976 oktober;175.6;111.9;;;;
89;1976 november;175.8;112.1;;;;
90;1976 december;175.8;112.1;;;;
91;1976;170.5;108.8;;;;
92;1977 januari;175.6;112.3;;;;
93;1977 februari;176.9;113.1;;;;
94;1977 maart;178.4;113.6;;;;
95;1977 april;181.4;115.6;;;;
96;1977 mei;182.3;115.9;;;;
97;1977 juni;182.7;116.0;;;;
98;1977 juli;182.4;116.0;;;;
99;1977 augustus;183.1;116.5;;;;
100;1977 september;184.2;117.2;;;;
101;1977 oktober;185.0;117.7;;;;
102;1977 november;185.4;117.9;;;;
103;1977 december;185.3;117.9;;;;
104;1977;181.9;115.8;;;;
105;1978 januari;184.6;117.5;;;;
106;1978 februari;185.4;118.0;;;;
107;1978 maart;186.9;119.0;;;;
108;1978 april;188.2;119.8;;;;
109;1978 mei;188.5;120.0;;;;
110;1978 juni;188.4;119.9;;;;
111;1978 juli;189.8;120.8;;;;
112;1978 augustus;190.7;121.4;;;;
113;1978 september;192.1;122.3;;;;
114;1978 oktober;192.6;122.6;;;;
