ID;Perioden;Totaal_1;Binnenland_2;Buitenland_3;Totaal_4;Binnenland_5;Buitenland_6;Bezettingsgraad_7;Totaal_8;Binnenland_9;Buitenland_10;Totaal_11;Binnenland_12;Buitenland_13;ZakelijkeOvernachtingen_14;Bezettingsgraad_15;Totaal_16;Binnenland_17;Buitenland_18;Totaal_19;Binnenland_20;Buitenland_21;Bezettingsgraad_22;Totaal_23;Binnenland_24;Buitenland_25;Totaal_26;Binnenland_27;Buitenland_28;Bezettingsgraad_29;Totaal_30;Binnenland_31;Buitenland_32;Totaal_33;Binnenland_34;Buitenland_35;Bezettingsgraad_36;Totaal_37;Binnenland_38;Buitenland_39;Totaal_40;Binnenland_41;Buitenland_42;Bezettingsgraad_43
106;2020 november;1288;1145;144;3094;2736;358;13.0;893;773;119;1406;1174;232;400;15.6;396;371;24;1688;1562;126;11.4;19;16;4;83;66;17;1.8;351;333;19;1539;1435;104;17.5;25;23;2;65;61;5;5.1
107;2020 december;1181;1058;123;3078;2777;301;13.1;756;649;107;1201;993;208;340;13.0;425;409;16;1877;1785;93;13.2;11;10;1;40;35;5;1.0;385;371;14;1746;1663;83;19.4;29;28;1;91;87;4;7.1
108;2021 januari;769;657;112;2179;1948;231;8.7;453;359;95;708;550;158;280;7.4;316;299;17;1470;1398;73;9.5;10;8;2;35;29;5;0.7;299;285;14;1421;1356;65;15.5;7;5;2;14;12;2;1.1
109;2021 februari;1186;1051;135;3234;2895;338;14.0;632;543;89;964;802;162;330;11.1;554;509;46;2270;2094;176;15.8;16;15;2;47;43;4;1.0;530;488;42;2205;2035;170;26.8;8;6;2;17;15;2;1.4
110;2021 maart;1167;1042;125;3070;2793;277;10.3;691;585;106;1102;910;192;390;11.3;477;457;19;1968;1883;85;9.8;24;22;3;72;67;6;0.8;441;426;15;1869;1792;77;19.3;12;10;2;27;24;3;1.8
111;2021 april;1772;1631;141;5033;4678;355;12.3;888;779;109;1445;1243;202;440;15.2;884;852;32;3588;3435;153;11.4;213;205;9;792;750;42;4.0;642;620;22;2718;2609;109;26.6;29;27;2;78;76;2;5.1
112;2021 mei;3161;2897;264;10184;9565;619;23.7;1443;1240;203;2372;2008;364;630;24.0;1718;1657;61;7811;7557;255;23.6;674;648;26;3376;3265;111;16.2;995;962;34;4305;4164;141;40.7;49;47;1;131;128;3;8.1
113;2021 juni;3197;2765;432;10192;8961;1231;24.4;1627;1334;293;2809;2238;571;730;29.3;1570;1431;139;7384;6724;660;22.9;669;603;65;3495;3190;305;17.1;792;720;72;3623;3272;351;35.4;109;107;2;266;262;4;16.9
114;2021 juli;4141;3227;915;15685;12385;3300;36.3;2161;1615;546;4021;2861;1160;800;40.6;1980;1611;369;11665;9525;2140;35.0;866;733;133;5702;4918;784;27.0;1000;771;229;5522;4210;1313;52.2;114;107;7;441;397;43;27.2
115;2021 augustus;4794;3899;896;19377;16400;2977;44.9;2465;1854;611;4676;3317;1359;890;47.3;2329;2044;285;14701;13083;1618;44.1;1086;966;120;7582;6939;643;35.9;1117;960;158;6614;5672;941;62.4;126;119;7;506;472;34;31.1
116;2021 september;3746;2844;902;11505;8813;2692;27.7;2132;1501;631;3984;2592;1392;1090;41.6;1614;1343;271;7521;6221;1300;23.5;534;430;104;2855;2408;447;14.1;879;716;162;4180;3343;837;40.8;202;197;5;486;470;16;31.0
117;2021 oktober;3790;2635;1155;10494;6984;3510;27.9;2386;1588;798;4244;2571;1673;1250;43.1;1404;1046;357;6250;4413;1837;22.5;236;136;100;1287;749;538;8.1;1001;753;248;4544;3278;1266;43.9;167;158;9;419;385;33;26.4
118;2021 november;2589;1712;877;6381;4050;2331;24.6;1722;1091;631;3066;1743;1323;970;32.7;867;620;247;3315;2307;1008;20.0;31;15;16;130;67;63;2.1;764;538;227;3011;2077;935;33.1;72;68;4;174;164;10;12.7
119;2021 december;1408;1114;294;3761;3007;754;14.6;861;625;236;1475;987;488;470;15.3;547;489;58;2286;2020;266;14.2;11;8;3;37;27;10;0.7;504;451;53;2162;1908;254;23.3;32;31;1;87;84;3;6.4
120;2022 januari;1230;989;241;3363;2757;606;12.1;741;552;189;1238;870;368;470;12.6;489;437;51;2125;1887;238;11.7;19;13;6;76;52;23;1.0;450;406;45;2001;1788;213;22.0;20;19;1;49;47;1;3.9
121;2022 februari;1998;1467;531;4693;3469;1223;18.4;1393;953;441;2349;1460;889;770;26.3;605;515;90;2343;2009;334;14.1;28;14;14;98;64;33;1.3;535;460;75;2145;1847;298;26.4;42;41;1;101;98;3;8.7
122;2022 maart;2893;1970;922;6927;4692;2235;22.5;2029;1274;756;3623;2043;1580;1140;36.3;863;697;166;3304;2649;656;15.9;89;53;36;278;164;114;2.8;700;573;127;2850;2316;533;30.4;74;71;3;176;168;8;13.1
123;2022 april;4266;2489;1777;11704;6295;5410;28.2;2649;1476;1173;5092;2456;2636;1500;52.3;1617;1013;604;6612;3838;2774;20.8;432;261;170;1731;988;744;8.6;1028;602;426;4474;2472;2002;43.7;157;149;8;407;378;28;27.6
124;2022 mei;4846;3289;1557;13430;9343;4087;31.1;2895;1709;1186;5329;2792;2538;1670;52.9;1951;1580;371;8101;6551;1550;24.5;695;551;144;3060;2514;546;14.6;1063;847;216;4544;3571;973;42.8;193;182;11;497;466;31;31.7
125;2022 juni;4716;3001;1715;13605;8699;4905;32.5;2839;1615;1225;5449;2760;2690;1740;55.9;1876;1386;490;8155;5940;2215;25.4;766;566;199;3705;2867;839;18.2;892;614;279;3914;2578;1336;38.3;218;206;12;536;496;40;35.2
126;2022 juli;5231;3138;2093;18256;11105;7151;42.1;3110;1699;1411;6150;2956;3193;1440;61.1;2121;1439;682;12106;8149;3957;36.4;935;680;255;5795;4365;1430;27.5;1020;615;404;5686;3297;2389;53.6;166;143;23;625;486;138;39.6
127;2022 augustus;5500;3460;2041;20672;13927;6746;47.7;3076;1692;1383;6308;3081;3228;1370;62.6;2425;1767;657;14364;10846;3518;43.2;1127;853;274;7020;5770;1250;33.3;1155;793;362;6739;4608;2131;63.5;143;122;21;605;469;136;38.3
128;2022 september;4420;2862;1558;12957;8323;4634;31.1;2757;1616;1141;5360;2772;2587;1750;55.2;1663;1246;418;7597;5550;2047;23.8;519;370;149;2683;2041;642;13.3;922;663;259;4386;3013;1373;42.7;223;213;9;528;496;32;34.9
129;2022 oktober;4548;2747;1801;12401;7075;5325;32.5;2941;1694;1247;5542;2793;2750;1750;55.3;1607;1053;554;6858;4283;2576;24.4;313;171;142;1609;932;677;9.9;1127;727;400;4824;2970;1854;46.8;167;154;13;426;381;45;28.1
130;2022 november;3347;2049;1298;7680;4399;3281;27.6;2502;1456;1046;4469;2255;2214;1490;46.3;845;593;252;3211;2145;1066;17.7;64;26;39;251;101;151;3.2;683;474;209;2730;1826;904;30.3;98;94;4;229;218;11;17.6
131;2022 december;3006;1957;1049;6950;4393;2557;24.8;2325;1408;916;4208;2199;2009;1170;42.5;681;548;133;2742;2194;548;15.2;39;22;18;155;99;56;2.1;570;459;111;2380;1902;479;25.6;71;68;4;207;194;13;15.9
132;2023 januari;2734;1756;978;6560;4057;2503;25.5;2001;1188;812;3656;1855;1800;1110;37.9;734;568;166;2904;2201;702;18.1;41;21;20;167;91;76;2.9;630;486;144;2580;1959;621;28.6;63;61;3;157;151;5;12.9
133;2023 februari;2770;1696;1074;6418;3769;2649;27.5;2085;1206;880;3823;1915;1909;1210;43.6;684;490;194;2594;1854;740;17.8;42;20;22;154;89;66;2.9;574;406;168;2276;1612;665;28.2;69;65;4;164;154;10;14.7
134;2023 maart;3331;2051;1280;8023;4830;3193;26.8;2447;1368;1079;4563;2201;2362;1500;46.5;884;683;201;3461;2629;831;17.2;66;36;30;245;139;106;2.7;725;561;164;2993;2286;706;31.1;93;86;7;223;204;19;17.6
135;2023 april;4573;2434;2139;12428;6108;6320;30.1;2928;1478;1450;5734;2472;3263;1590;60.0;1645;956;689;6694;3637;3057;21.1;481;270;211;2002;1110;892;10.0;1029;563;465;4340;2229;2111;42.2;135;122;13;352;297;55;24.9
136;2023 mei;5140;3049;2091;15082;9252;5830;35.0;3002;1528;1474;5823;2569;3254;1640;58.8;2138;1521;617;9259;6683;2576;27.9;826;605;221;4057;3160;897;19.3;1127;742;385;4717;3075;1642;44.3;185;174;11;485;449;36;32.5
137;2023 juni;4853;2874;1979;14455;8473;5981;34.6;2955;1555;1400;5783;2666;3117;1610;60.3;1897;1318;579;8671;5807;2865;27.0;747;519;228;3864;2751;1113;18.9;944;604;340;4291;2582;1709;41.8;206;196;10;516;473;43;35.8
138;2023 juli;5392;2906;2486;19062;10455;8607;44.1;3290;1628;1661;6546;2817;3729;1410;66.1;2102;1277;825;12516;7638;4877;37.6;900;596;303;5956;4213;1744;28.1;1053;564;489;5918;3017;2901;55.6;149;117;33;641;408;233;42.8
139;2023 augustus;5278;3146;2132;20151;13053;7098;46.6;3008;1544;1464;6309;2832;3477;1380;63.8;2270;1602;668;13842;10221;3622;41.5;1067;784;283;6957;5603;1354;32.8;1078;717;361;6324;4233;2091;59.4;125;101;24;561;384;177;37.5
140;2023 september;4472;2714;1758;12960;7845;5115;31.2;2764;1486;1278;5385;2509;2877;1540;56.2;1709;1228;480;7575;5336;2239;23.7;586;416;170;2735;2058;677;13.5;911;610;301;4359;2825;1534;42.4;211;202;9;481;453;27;33.5
141;2023 oktober;4513;2577;1936;12527;6740;5788;33.2;2865;1543;1323;5579;2596;2983;1650;56.5;1648;1035;613;6948;4144;2804;24.9;314;166;148;1610;893;717;10.0;1174;722;452;4936;2897;2039;47.8;159;147;12;402;354;48;27.8
142;2023 november;3254;1929;1325;7496;4181;3315;28.4;2431;1347;1084;4428;2114;2315;1400;46.7;823;582;241;3068;2067;1000;18.2;52;24;28;207;100;107;3.0;675;466;209;2640;1759;882;29.8;97;92;5;220;209;11;18.0
143;2023 december;3094;1968;1125;7110;4405;2705;27.0;2406;1415;990;4346;2192;2154;1120;44.5;688;553;135;2764;2213;551;16.7;36;20;16;148;96;52;2.4;583;468;115;2447;1961;486;27.0;70;65;5;170;156;14;13.8
144;2024 januari;2970;1850;1119;7168;4251;2917;25.7;2165;1253;911;4061;2009;2052;1170;40.9;805;597;208;3107;2242;865;17.3;40;18;23;210;104;106;3.2;695;514;181;2722;1975;747;26.9;70;66;4;175;163;12;13.3
145;2024 februari;2973;1834;1139;7137;4349;2788;28.2;2170;1222;948;4062;1986;2076;1200;45.1;803;612;191;3075;2363;713;18.9;45;22;23;175;102;73;2.9;693;529;164;2747;2118;629;30.2;65;61;4;154;143;10;12.8
146;2024 maart;3621;2000;1620;8848;4441;4406;26.4;2650;1424;1226;5020;2313;2707;1480;49.8;970;576;394;3828;2129;1699;16.4;114;48;66;399;170;229;3.6;759;438;321;3193;1746;1447;29.0;97;90;7;235;213;23;17.2
147;2024 april;4367;2361;2006;11408;5739;5670;26.5;2875;1432;1443;5682;2432;3250;1530;57.9;1493;929;563;5726;3306;2420;17.2;363;199;164;1414;738;676;7.1;991;599;391;3975;2255;1720;33.8;138;131;8;337;313;23;23.0
148;2024 mei;5459;3338;2121;15973;10000;5973;35.6;3102;1631;1471;6021;2780;3242;1670;59.3;2357;1707;650;9952;7220;2731;28.6;889;631;258;4049;3027;1022;19.2;1286;903;382;5412;3733;1679;44.6;182;172;10;491;460;30;31.8
149;2024 juni;4934;3016;1918;14161;8707;5454;32.5;3022;1623;1399;5802;2737;3065;1650;59.0;1913;1393;520;8358;5970;2389;24.8;720;499;221;3535;2585;950;17.2;980;694;287;4329;2933;1396;36.8;212;200;12;495;452;43;33.0
150;2024 juli;5355;2937;2418;18488;10339;8148;40.9;3157;1584;1574;6345;2800;3545;1390;62.4;2197;1353;844;12142;7539;4603;34.7;873;576;298;5285;3781;1504;24.8;1191;665;526;6328;3369;2959;52.0;133;113;20;529;390;139;34.2
151;2024 augustus;5841;3397;2444;21525;13016;8508;47.8;3226;1687;1539;6725;3067;3658;1360;66.2;2615;1710;905;14800;9949;4851;42.4;1143;798;345;6651;5050;1601;31.4;1344;808;536;7637;4527;3110;62.7;128;104;24;511;372;139;33.1
152;2024 september;4834;2961;1872;13802;8395;5407;31.8;2942;1592;1350;5784;2745;3039;1680;58.7;1891;1369;522;8018;5650;2368;23.9;612;434;178;2790;2089;701;13.7;1062;728;334;4725;3094;1632;40.1;217;207;10;502;467;36;33.8
153;2024 oktober;4487;2475;2012;12175;6010;6165;31.1;2918;1578;1340;5633;2630;3003;1560;55.5;1569;897;672;6542;3380;3162;22.6;290;130;161;1344;607;738;8.6;1112;610;502;4782;2394;2388;40.6;167;157;10;416;379;37;27.8
154;2024 november;3444;2084;1360;7924;4646;3278;27.0;2645;1486;1159;4885;2396;2490;1530;50.0;799;598;201;3039;2250;788;15.5;69;32;37;241;122;119;3.0;625;468;157;2551;1901;650;24.9;105;99;6;246;228;19;19.4
155;2024 december;3358;2102;1256;7608;4673;2936;26.8;2552;1455;1097;4583;2256;2327;1170;45.6;806;647;159;3025;2416;609;16.5;48;25;23;132;70;62;1.9;683;552;131;2695;2163;531;26.3;75;70;5;198;183;15;15.5
156;2025 januari;2931;1767;1164;6895;3985;2910;23.5;2235;1258;977;4139;2022;2117;1210;41.0;696;509;187;2756;1963;793;14.3;53;25;28;189;80;110;2.5;583;429;155;2407;1738;669;23.0;60;56;4;160;146;14;13.3
157;2025 februari;2885;1771;1114;6834;4161;2673;25.6;2182;1215;967;4095;1974;2120;1180;44.7;703;556;147;2739;2187;552;15.6;48;29;19;192;134;59;2.7;596;472;124;2396;1911;485;25.4;59;55;4;151;142;9;13.9
