ID;BedrijfstakkenBranchesSBI2008;Beroepenindeling;Perioden;OntstaneVacatures_1
0;A-U Alle economische activiteiten;01 Pedagogische beroepen;2018;58.8
1;A-U Alle economische activiteiten;01 Pedagogische beroepen;2019;65.7
2;A-U Alle economische activiteiten;01 Pedagogische beroepen;2020;54.6
3;A-U Alle economische activiteiten;01 Pedagogische beroepen;2021;72.1
4;A-U Alle economische activiteiten;01 Pedagogische beroepen;2022;77.8
5;A-U Alle economische activiteiten;01 Pedagogische beroepen;2023;72.0
6;A-U Alle economische activiteiten;011 Docenten;2018;37.6
7;A-U Alle economische activiteiten;011 Docenten;2019;37.3
8;A-U Alle economische activiteiten;011 Docenten;2020;32.7
9;A-U Alle economische activiteiten;011 Docenten;2021;44.4
10;A-U Alle economische activiteiten;011 Docenten;2022;44.7
11;A-U Alle economische activiteiten;011 Docenten;2023;43.9
12;A-U Alle economische activiteiten;013 Leidsters kinderopvang en onderw...;2018;
13;A-U Alle economische activiteiten;013 Leidsters kinderopvang en onderw...;2019;
14;A-U Alle economische activiteiten;013 Leidsters kinderopvang en onderw...;2020;
15;A-U Alle economische activiteiten;013 Leidsters kinderopvang en onderw...;2021;
16;A-U Alle economische activiteiten;013 Leidsters kinderopvang en onderw...;2022;
17;A-U Alle economische activiteiten;013 Leidsters kinderopvang en onderw...;2023;
18;A-U Alle economische activiteiten;02 Creatieve en taalkundige beroepen;2018;
19;A-U Alle economische activiteiten;02 Creatieve en taalkundige beroepen;2019;
20;A-U Alle economische activiteiten;02 Creatieve en taalkundige beroepen;2020;
21;A-U Alle economische activiteiten;02 Creatieve en taalkundige beroepen;2021;
22;A-U Alle economische activiteiten;02 Creatieve en taalkundige beroepen;2022;
23;A-U Alle economische activiteiten;02 Creatieve en taalkundige beroepen;2023;
24;A-U Alle economische activiteiten;021 Auteurs en kunstenaars;2018;
25;A-U Alle economische activiteiten;021 Auteurs en kunstenaars;2019;
26;A-U Alle economische activiteiten;021 Auteurs en kunstenaars;2020;
27;A-U Alle economische activiteiten;021 Auteurs en kunstenaars;2021;
28;A-U Alle economische activiteiten;021 Auteurs en kunstenaars;2022;
29;A-U Alle economische activiteiten;021 Auteurs en kunstenaars;2023;
30;A-U Alle economische activiteiten;03 Commerciële beroepen;2018;159.9
31;A-U Alle economische activiteiten;03 Commerciële beroepen;2019;169.8
32;A-U Alle economische activiteiten;03 Commerciële beroepen;2020;124.0
33;A-U Alle economische activiteiten;03 Commerciële beroepen;2021;173.3
34;A-U Alle economische activiteiten;03 Commerciële beroepen;2022;198.5
35;A-U Alle economische activiteiten;03 Commerciële beroepen;2023;161.6
36;A-U Alle economische activiteiten;031 Adviseurs marketing, public relat...;2018;20.8
37;A-U Alle economische activiteiten;031 Adviseurs marketing, public relat...;2019;23.4
38;A-U Alle economische activiteiten;031 Adviseurs marketing, public relat...;2020;17.3
39;A-U Alle economische activiteiten;031 Adviseurs marketing, public relat...;2021;30.2
40;A-U Alle economische activiteiten;031 Adviseurs marketing, public relat...;2022;35.4
41;A-U Alle economische activiteiten;031 Adviseurs marketing, public relat...;2023;29.7
42;A-U Alle economische activiteiten;032 Vertegenwoordigers en inkopers;2018;27.5
43;A-U Alle economische activiteiten;032 Vertegenwoordigers en inkopers;2019;30.0
44;A-U Alle economische activiteiten;032 Vertegenwoordigers en inkopers;2020;21.9
45;A-U Alle economische activiteiten;032 Vertegenwoordigers en inkopers;2021;32.7
46;A-U Alle economische activiteiten;032 Vertegenwoordigers en inkopers;2022;37.7
47;A-U Alle economische activiteiten;032 Vertegenwoordigers en inkopers;2023;33.6
48;A-U Alle economische activiteiten;033 Verkopers;2018;
49;A-U Alle economische activiteiten;033 Verkopers;2019;
50;A-U Alle economische activiteiten;033 Verkopers;2020;
51;A-U Alle economische activiteiten;033 Verkopers;2021;
52;A-U Alle economische activiteiten;033 Verkopers;2022;
53;A-U Alle economische activiteiten;033 Verkopers;2023;
54;A-U Alle economische activiteiten;04 Bedrijfseconomische en administrat...;2018;191.8
55;A-U Alle economische activiteiten;04 Bedrijfseconomische en administrat...;2019;209.8
56;A-U Alle economische activiteiten;04 Bedrijfseconomische en administrat...;2020;158.8
57;A-U Alle economische activiteiten;04 Bedrijfseconomische en administrat...;2021;240.5
58;A-U Alle economische activiteiten;04 Bedrijfseconomische en administrat...;2022;291.3
59;A-U Alle economische activiteiten;04 Bedrijfseconomische en administrat...;2023;267.6
60;A-U Alle economische activiteiten;041 Specialisten bedrijfsbeheer en ad...;2018;44.5
61;A-U Alle economische activiteiten;041 Specialisten bedrijfsbeheer en ad...;2019;51.8
62;A-U Alle economische activiteiten;041 Specialisten bedrijfsbeheer en ad...;2020;43.0
63;A-U Alle economische activiteiten;041 Specialisten bedrijfsbeheer en ad...;2021;65.9
64;A-U Alle economische activiteiten;041 Specialisten bedrijfsbeheer en ad...;2022;81.6
65;A-U Alle economische activiteiten;041 Specialisten bedrijfsbeheer en ad...;2023;81.6
66;A-U Alle economische activiteiten;042 Vakspecialisten bedrijfsbeheer en...;2018;
67;A-U Alle economische activiteiten;042 Vakspecialisten bedrijfsbeheer en...;2019;
68;A-U Alle economische activiteiten;042 Vakspecialisten bedrijfsbeheer en...;2020;
69;A-U Alle economische activiteiten;042 Vakspecialisten bedrijfsbeheer en...;2021;
70;A-U Alle economische activiteiten;042 Vakspecialisten bedrijfsbeheer en...;2022;
71;A-U Alle economische activiteiten;042 Vakspecialisten bedrijfsbeheer en...;2023;
72;A-U Alle economische activiteiten;043 Administratief personeel;2018;113.8
73;A-U Alle economische activiteiten;043 Administratief personeel;2019;119.1
74;A-U Alle economische activiteiten;043 Administratief personeel;2020;83.4
75;A-U Alle economische activiteiten;043 Administratief personeel;2021;129.4
76;A-U Alle economische activiteiten;043 Administratief personeel;2022;155.3
77;A-U Alle economische activiteiten;043 Administratief personeel;2023;139.0
78;A-U Alle economische activiteiten;05 Managers;2018;
79;A-U Alle economische activiteiten;05 Managers;2019;
80;A-U Alle economische activiteiten;05 Managers;2020;
81;A-U Alle economische activiteiten;05 Managers;2021;
82;A-U Alle economische activiteiten;05 Managers;2022;
83;A-U Alle economische activiteiten;05 Managers;2023;
84;A-U Alle economische activiteiten;052 Managers op administratief en com...;2018;
85;A-U Alle economische activiteiten;052 Managers op administratief en com...;2019;
86;A-U Alle economische activiteiten;052 Managers op administratief en com...;2020;
87;A-U Alle economische activiteiten;052 Managers op administratief en com...;2021;
88;A-U Alle economische activiteiten;052 Managers op administratief en com...;2022;
89;A-U Alle economische activiteiten;052 Managers op administratief en com...;2023;
90;A-U Alle economische activiteiten;053 Managers productie en gespecialis...;2018;
91;A-U Alle economische activiteiten;053 Managers productie en gespecialis...;2019;
92;A-U Alle economische activiteiten;053 Managers productie en gespecialis...;2020;
93;A-U Alle economische activiteiten;053 Managers productie en gespecialis...;2021;
