ID;Zuiveringstype;Kenmerken;Perioden;AantalRioolwaterzuiveringsinstallaties_1;CapaciteitInVervuilingseenheden_2;CapaciteitInInwonerequivalenten_3;CapaciteitInInwonerequivalentenEU_4
0;Totaal installaties;Totaal alle installaties;1981;505.0;;20034.0;18030.0
1;Totaal installaties;Totaal alle installaties;1985;487.0;;22676.0;20409.0
2;Totaal installaties;Totaal alle installaties;1990;469.0;;23729.0;21356.0
3;Totaal installaties;Totaal alle installaties;1991;456.0;;23909.0;21518.0
4;Totaal installaties;Totaal alle installaties;1992;449.0;;23998.0;21598.0
5;Totaal installaties;Totaal alle installaties;1993;439.0;;24450.0;22005.0
6;Totaal installaties;Totaal alle installaties;1994;430.0;;24492.0;22043.0
7;Totaal installaties;Totaal alle installaties;1995;424.0;;24409.0;21968.0
8;Totaal installaties;Totaal alle installaties;1996;420.0;;24610.0;22149.0
9;Totaal installaties;Totaal alle installaties;1997;412.0;;24892.0;22403.0
10;Totaal installaties;Totaal alle installaties;1998;408.0;;25108.0;22598.0
11;Totaal installaties;Totaal alle installaties;1999;394.0;;25183.0;22664.0
12;Totaal installaties;Totaal alle installaties;2000;391.0;;25242.0;22718.0
13;Totaal installaties;Totaal alle installaties;2001;384.0;;25322.0;22790.0
14;Totaal installaties;Totaal alle installaties;2002;378.0;;25281.0;22753.0
15;Totaal installaties;Totaal alle installaties;2003;378.0;;25156.0;22640.0
16;Totaal installaties;Totaal alle installaties;2004;375.0;;25184.0;22666.0
17;Totaal installaties;Totaal alle installaties;2005;368.0;;25539.0;22985.0
18;Totaal installaties;Totaal alle installaties;2006;363.0;;25454.0;22909.0
19;Totaal installaties;Totaal alle installaties;2007;356.0;;24462.0;22015.0
20;Totaal installaties;Totaal alle installaties;2008;351.0;;24408.0;21967.0
21;Totaal installaties;Totaal alle installaties;2009;351.0;;24206.0;21786.0
22;Totaal installaties;Totaal alle installaties;2010;349.0;30365.0;24290.0;21861.0
23;Totaal installaties;Totaal alle installaties;2011;346.0;30383.0;24331.0;21898.0
