ID;BedrijfstakkenBranchesSBI2008;Bedrijfsgrootte;Perioden;Totaal_1;OpgerichteWerkgevers_2;OpgehevenWerkgevers_3;Uit1JaarEerder_4;Uit2JaarEerder_5;Uit3JaarEerder_6;Uit4JaarEerder_7;Uit5JaarEerder_8;WerkzamePersonen_9;Werknemers_10;WerkzamePersonen_11;Werknemers_12;WerkzamePersonen_13;Werknemers_14;Uit1JaarEerder_15;Uit2JaarEerder_16;Uit3JaarEerder_17;Uit4JaarEerder_18;Uit5JaarEerder_19;Uit1JaarEerder_20;Uit2JaarEerder_21;Uit3JaarEerder_22;Uit4JaarEerder_23;Uit5JaarEerder_24
0;305700;Totaal;2010;149.0;16.0;9.0;8.0;6.0;11.0;;;;;69.0;64.0;;;195.0;;298.0;;;68.0;73.0;139.0;;
1;305700;Totaal;2011;159.0;18.0;15.0;15.0;6.0;5.0;8.0;;;8239.0;180.0;175.0;64.0;60.0;97.0;;;310.0;;;49.0;;;
2;305700;Totaal;2012;154.0;19.0;14.0;15.0;10.0;6.0;5.0;8.0;;8462.0;;;179.0;173.0;290.0;79.0;;;;175.0;;;;
3;305700;Totaal;2013;159.0;18.0;16.0;14.0;12.0;9.0;6.0;4.0;;10099.0;;;;;;230.0;69.0;;;;100.0;44.0;49.0;
4;305700;Totaal;2014;161.0;14.0;14.0;16.0;8.0;12.0;7.0;4.0;11086.0;11027.0;;;35.0;31.0;;206.0;239.0;39.0;;;;100.0;33.0;35.0
5;305700;Totaal;2015;153.0;9.0;13.0;13.0;13.0;7.0;11.0;6.0;10940.0;10889.0;;;;;;;196.0;244.0;31.0;;;;97.0;28.0
6;305700;Totaal;2016;161.0;21.0;8.0;7.0;11.0;10.0;5.0;10.0;10314.0;10261.0;183.0;;;;97.0;;;;222.0;;;;;91.0
7;305700;Totaal;2017;164.0;14.0;12.0;19.0;7.0;9.0;10.0;5.0;8390.0;8344.0;18.0;16.0;;25.0;;68.0;;;;182.0;;;;
8;305700;Totaal;2018;168.0;17.0;14.0;12.0;16.0;7.0;8.0;7.0;;;111.0;106.0;30.0;26.0;35.0;;68.0;79.0;;14.0;166.0;;;
9;305700;Totaal;2019;171.0;23.0;13.0;15.0;8.0;13.0;6.0;8.0;8293.0;8251.0;401.0;400.0;29.0;27.0;143.0;35.0;;73.0;87.0;106.0;9.0;162.0;;
10;305700;Totaal;2020;170.0;13.0;14.0;21.0;15.0;8.0;12.0;6.0;8164.0;8122.0;45.0;41.0;102.0;94.0;355.0;152.0;33.0;;88.0;390.0;106.0;9.0;158.0;
11;305700;Totaal;2021;164.0;9.0;14.0;11.0;16.0;11.0;6.0;10.0;7505.0;7505.0;9.0;9.0;17.0;17.0;108.0;225.0;;22.0;241.0;44.0;;;6.0;154.0
12;305700;Totaal;2022;163.0;6.0;13.0;8.0;11.0;12.0;10.0;5.0;7677.0;7675.0;9.0;9.0;23.0;23.0;18.0;165.0;220.0;;25.0;8.0;44.0;;;5.0
13;305700;1 tot 5 werknemers;2010;50.0;9.0;7.0;4.0;3.0;6.0;;;127.0;95.0;;;;;;;;;;;;;;
14;305700;1 tot 5 werknemers;2011;59.0;14.0;10.0;8.0;3.0;2.0;5.0;;148.0;111.0;;;16.0;13.0;24.0;;;;;13.0;;;;
15;305700;1 tot 5 werknemers;2012;57.0;14.0;9.0;11.0;4.0;3.0;2.0;5.0;;;;;20.0;;;;;;;;;9.0;;
16;305700;1 tot 5 werknemers;2013;60.0;13.0;10.0;9.0;9.0;4.0;3.0;2.0;;119.0;;;;;31.0;;;;;;;;;
17;305700;1 tot 5 werknemers;2014;60.0;10.0;13.0;13.0;3.0;9.0;3.0;2.0;141.0;116.0;;;;;40.0;;;;;23.0;;;;
18;305700;1 tot 5 werknemers;2015;54.0;7.0;10.0;9.0;10.0;2.0;8.0;3.0;127.0;103.0;16.0;13.0;18.0;;51.0;29.0;;;;;20.0;;;
19;305700;1 tot 5 werknemers;2016;59.0;14.0;5.0;5.0;7.0;7.0;1.0;8.0;135.0;107.0;29.0;23.0;6.0;6.0;;;;;;13.0;;17.0;;
20;305700;1 tot 5 werknemers;2017;70.0;14.0;11.0;12.0;5.0;7.0;7.0;1.0;156.0;129.0;18.0;16.0;21.0;;46.0;;37.0;;;27.0;13.0;14.0;17.0;
