ID;Regio;SBI93;TotaalBeroepsbevolking_1;MetLagerOnderwijs_2;MetMiddelbaarOnderwijs_3;MetHogerOnderwijs_4;AandeelBeroepsbevolkingInDeRegio_5;LagerOnderwijs_6;MiddelbaarOnderwijs_7;HogerOnderwijs_8
0;Nederland;Totaal;7064;2033.0;3080.0;1947.0;100;29.0;44.0;28.0
1;Nederland;1;189;84.0;93.0;;3;44.0;49.0;
2;Nederland;2;1068;424.0;466.0;177.0;15;40.0;44.0;17.0
3;Nederland;3;34;;;;0;;;
4;Nederland;4;498;225.0;236.0;36.0;7;45.0;47.0;7.0
5;Nederland;5;1057;398.0;531.0;128.0;15;38.0;50.0;12.0
6;Nederland;6;205;96.0;90.0;;3;47.0;44.0;
7;Nederland;7;451;178.0;197.0;76.0;6;39.0;44.0;17.0
8;Nederland;8;298;44.0;149.0;106.0;4;15.0;50.0;36.0
9;Nederland;9;858;163.0;314.0;381.0;12;19.0;37.0;44.0
10;Nederland;75: Openbaar bestuur;533;92.0;254.0;187.0;8;17.0;48.0;35.0
11;Nederland;80: Onderwijs;445;34.0;74.0;336.0;6;8.0;17.0;76.0
12;Nederland;85: Gezondheids- en welzijnszorg;993;172.0;485.0;337.0;14;17.0;49.0;34.0
13;Nederland;90-93: Cultuur en ov. dienstverlening;302;77.0;121.0;103.0;4;25.0;40.0;34.0
14;Nederland;Onbekend;131;40.0;52.0;40.0;2;31.0;40.0;31.0
15;Totaal Noord-Nederland;Totaal;697;210.0;328.0;161.0;100;30.0;47.0;23.0
16;Totaal Noord-Nederland;1;26;12.0;13.0;;4;46.0;50.0;
17;Totaal Noord-Nederland;2;119;55.0;52.0;14.0;17;46.0;44.0;12.0
18;Totaal Noord-Nederland;3;3;;;;0;;;
19;Totaal Noord-Nederland;4;60;30.0;26.0;3.0;9;50.0;43.0;5.0
20;Totaal Noord-Nederland;5;88;32.0;47.0;8.0;13;36.0;53.0;9.0
21;Totaal Noord-Nederland;6;18;8.0;9.0;;3;44.0;50.0;
22;Totaal Noord-Nederland;7;37;15.0;16.0;5.0;5;41.0;43.0;14.0
23;Totaal Noord-Nederland;8;30;5.0;15.0;10.0;4;17.0;50.0;33.0
24;Totaal Noord-Nederland;9;65;12.0;29.0;23.0;9;18.0;45.0;35.0
25;Totaal Noord-Nederland;75: Openbaar bestuur;51;8.0;27.0;15.0;7;16.0;53.0;29.0
26;Totaal Noord-Nederland;80: Onderwijs;48;4.0;8.0;37.0;7;8.0;17.0;77.0
27;Totaal Noord-Nederland;85: Gezondheids- en welzijnszorg;116;18.0;62.0;36.0;17;16.0;53.0;31.0
28;Totaal Noord-Nederland;90-93: Cultuur en ov. dienstverlening;23;5.0;13.0;5.0;3;22.0;57.0;22.0
29;Totaal Noord-Nederland;Onbekend;11;4.0;4.0;4.0;2;36.0;36.0;36.0
30;Totaal Oost-Nederland;Totaal;1460;436.0;667.0;357.0;100;30.0;46.0;24.0
31;Totaal Oost-Nederland;1;43;16.0;24.0;;3;37.0;56.0;
32;Totaal Oost-Nederland;2;249;110.0;106.0;33.0;17;44.0;43.0;13.0
33;Totaal Oost-Nederland;3;7;;;;0;;;
34;Totaal Oost-Nederland;4;116;55.0;56.0;6.0;8;47.0;48.0;5.0
35;Totaal Oost-Nederland;5;225;85.0;119.0;22.0;15;38.0;53.0;10.0
36;Totaal Oost-Nederland;6;38;17.0;18.0;;3;45.0;47.0;
37;Totaal Oost-Nederland;7;75;33.0;34.0;8.0;5;44.0;45.0;11.0
38;Totaal Oost-Nederland;8;55;9.0;28.0;18.0;4;16.0;51.0;33.0
39;Totaal Oost-Nederland;9;153;27.0;61.0;65.0;10;18.0;40.0;42.0
