ID;SamenwerkingMetDerden;BedrijfstakkenBranchesSBI93;Perioden;AantalBedrijven_1;PercentageBedrijven_2;AantalBedrijven_3;PercentageBedrijven_4;AantalBedrijven_5;PercentageBedrijven_6;AantalBedrijven_7;PercentageBedrijven_8
0;1;1;2006;821;36;695;31;731;32;707;31
1;1;1;2007;852;38;656;29;610;27;554;25
2;1;1;2008;919;41;666;30;596;26;592;26
3;1;2;2006;259;53;243;49;213;43;256;52
4;1;2;2007;272;55;234;48;170;35;202;41
5;1;2;2008;279;57;238;48;179;36;205;42
6;1;3;2006;109;36;64;21;97;32;79;26
7;1;3;2007;126;42;55;18;65;22;40;13
8;1;3;2008;138;46;72;24;68;23;57;19
9;1;4;2006;54;37;46;32;45;31;33;23
10;1;4;2007;68;47;57;39;60;41;45;31
11;1;4;2008;60;41;37;25;34;23;33;23
12;1;5;2006;21;33;21;33;26;41;23;37
13;1;5;2007;30;48;20;32;35;56;13;21
14;1;5;2008;31;49;19;30;29;46;21;33
15;1;6;2006;128;30;125;29;147;34;123;29
16;1;6;2007;125;29;105;24;116;27;110;26
17;1;6;2008;123;29;104;24;114;27;111;26
18;1;7;2006;250;30;197;24;203;25;193;23
19;1;7;2007;231;28;184;22;163;20;145;18
20;1;7;2008;288;35;197;24;173;21;165;20
21;2;1;2006;532;24;687;30;766;34;588;26
22;2;1;2007;598;27;663;29;567;25;509;23
23;2;1;2008;552;24;597;26;515;23;481;21
24;2;2;2006;134;27;200;41;175;36;166;34
25;2;2;2007;147;30;177;36;100;20;144;29
26;2;2;2008;130;26;162;33;93;19;103;21
27;2;3;2006;66;22;46;15;108;36;46;15
28;2;3;2007;80;27;43;14;69;23;22;7
29;2;3;2008;68;23;54;18;63;21;33;11
30;2;4;2006;28;19;32;22;37;25;31;21
31;2;4;2007;25;17;37;25;44;30;30;21
32;2;4;2008;18;12;30;21;18;12;25;17
33;2;5;2006;15;24;39;62;44;70;17;27
34;2;5;2007;24;38;31;49;34;54;10;16
35;2;5;2008;13;21;24;38;30;48;20;32
36;2;6;2006;57;13;131;30;163;38;129;30
37;2;6;2007;57;13;131;30;121;28;96;22
38;2;6;2008;62;14;102;24;124;29;103;24
39;2;7;2006;231;28;238;29;238;29;200;24
40;2;7;2007;264;32;245;30;199;24;208;25
41;2;7;2008;261;32;226;27;186;22;196;24
42;3;1;2006;1285;57;1357;60;1222;54;1383;61
43;3;1;2007;1230;55;1405;62;1462;65;1545;68
44;3;1;2008;1172;52;1405;62;1478;66;1493;66
45;3;2;2006;202;41;207;42;232;47;213;43
46;3;2;2007;195;40;227;46;303;62;273;55
47;3;2;2008;179;36;219;45;292;59;271;55
48;3;3;2006;159;53;215;72;144;48;200;67
49;3;3;2007;151;51;232;78;194;65;243;81
50;3;3;2008;147;49;208;70;193;65;227;76
51;3;4;2006;85;58;106;73;94;64;112;77
52;3;4;2007;81;55;91;62;85;58;99;68
53;3;4;2008;84;58;102;70;107;73;96;66
54;3;5;2006;49;78;35;56;21;33;42;67
55;3;5;2007;39;62;39;62;33;52;55;87
56;3;5;2008;27;43;28;44;23;37;39;62
57;3;6;2006;290;67;262;61;215;50;255;59
58;3;6;2007;291;68;273;63;269;63;290;67
59;3;6;2008;294;68;300;70;277;64;286;67
60;3;7;2006;500;60;532;64;517;63;562;68
61;3;7;2007;472;57;542;66;578;70;585;71
62;3;7;2008;441;53;549;66;586;71;574;69
