ID;Periode;Instellingen_1;Plaatsen_2;TotaalVerzorgingsdagen_3;Afwezigheidsdagen_4;BezetteArbeidsplaatsen_5;Instellingen_6;Plaatsen_7;TotaalVerzorgingsdagen_8;Afwezigheidsdagen_9;BezetteArbeidsplaatsen_10
0;1985;506;11794;4213;301;6065;312;12736;2965;351;4460
1;1986;526;12451;4493;314;6562;321;13312;3138;382;4753
2;1987;544;13052;4671;307;6686;337;14184;3311;373;4908
3;1988;555;13529;4860;316;6860;340;14582;3503;394;5122
4;1989;557;13857;4975;306;7143;339;14904;3635;410;5366
5;1990;569;14390;5164;287;7265;340;15334;3806;426;5434
6;1991;576;15026;5419;291;7491;350;15914;4072;489;5704
7;1992;596;15574;5650;300;7870;354;16272;4247;508;5898
8;1993;602;15956;5760;298;8303;363;17011;4495;581;6270
9;1994;621;16776;6033;296;8580;364;17102;4667;603;6423
10;1995;628;17495;6269;312;9164;366;17540;4845;654;6631
