ID;Periods;TotalBuildingCosts_1;Wages_2;BuildingMaterials_3
0;2000 January;98.5;99.0;98.2
1;2000 February;98.6;99.0;98.3
2;2000 March;98.6;99.0;98.4
3;2000 April;99.2;99.1;99.2
4;2000 May;99.2;99.1;99.3
5;2000 June;99.3;99.3;99.3
6;2000 July;100.7;100.9;100.6
7;2000 August;100.8;100.9;100.7
8;2000 September;100.8;100.9;100.7
9;2000 October;101.3;100.9;101.6
10;2000 November;101.4;100.9;101.8
11;2000 December;101.5;100.9;101.8
12;2000;100.0;100.0;100.0
13;2001 January;102.8;100.2;104.4
14;2001 February;102.8;100.2;104.4
15;2001 March;102.9;100.4;104.5
16;2001 April;104.2;103.3;104.7
17;2001 May;104.6;104.5;104.7
18;2001 June;104.9;105.3;104.7
19;2001 July;105.3;105.8;105.1
20;2001 August;105.4;105.8;105.1
21;2001 September;105.4;105.8;105.1
22;2001 October;105.4;105.8;105.2
23;2001 November;105.4;105.8;105.2
24;2001 December;105.4;105.8;105.1
25;2001;104.6;104.1;104.9
26;2002 January;107.1;107.2;107.0
27;2002 February;107.0;107.2;106.9
28;2002 March;107.5;108.3;107.0
29;2002 April;107.6;108.4;107.0
30;2002 May;107.6;108.4;107.1
31;2002 June;107.7;108.8;107.1
32;2002 July;108.4;110.2;107.3
33;2002 August;108.4;110.2;107.3
34;2002 September;108.4;110.2;107.3
35;2002 October;108.3;110.2;107.2
36;2002 November;108.3;110.2;107.2
37;2002 December;108.4;110.2;107.2
38;2002;107.9;109.1;107.1
39;2003 January;109.2;111.4;107.9
40;2003 February;109.2;111.4;107.9
41;2003 March;109.3;111.4;108.0
42;2003 April;109.4;111.4;108.1
43;2003 May;109.3;111.4;108.1
44;2003 June;109.4;111.5;108.1
45;2003 July;109.8;113.0;107.8
46;2003 August;109.8;113.0;107.8
47;2003 September;109.8;113.0;107.8
48;2003 October;109.7;113.0;107.6
49;2003 November;109.6;113.0;107.5
50;2003 December;109.6;113.0;107.5
51;2003;109.5;112.2;107.8
52;2004 January;110.1;114.3;107.5
53;2004 February;110.7;115.2;107.9
54;2004 March;111.2;115.2;108.7
55;2004 April;111.7;115.7;109.3
56;2004 May;111.7;115.7;109.3
57;2004 June;111.9;115.8;109.5
58;2004 July;112.3;116.2;109.9
59;2004 August;112.3;116.2;109.9
60;2004 September;112.1;116.2;109.7
61;2004 October;112.5;116.2;110.2
62;2004 November;112.3;116.2;110.0
63;2004 December;112.2;116.2;109.8
64;2004;111.8;115.8;109.3
65;2005 January;113.0;116.1;111.0
66;2005 February;113.3;116.9;111.0
67;2005 March;113.4;117.1;111.1
68;2005 April;113.6;117.1;111.4
69;2005 May;113.4;116.8;111.3
70;2005 June;113.4;116.8;111.3
71;2005 July;113.7;117.6;111.4
72;2005 August;113.8;117.6;111.5
73;2005 September;114.0;117.6;111.8
74;2005 October;114.5;117.6;112.5
75;2005 November;114.3;117.6;112.2
76;2005 December;114.3;117.6;112.3
77;2005;113.7;117.2;111.6
78;2006 January;115.3;117.9;113.7
79;2006 February;115.5;117.9;114.0
80;2006 March;115.6;117.7;114.3
81;2006 April;116.1;117.8;115.1
82;2006 May;116.3;117.8;115.3
83;2006 June;116.4;118.0;115.4
84;2006 July;117.8;118.6;117.3
85;2006 August;118.0;118.6;117.6
86;2006 September;118.1;118.6;117.8
87;2006 October;118.6;118.6;118.6
88;2006 November;118.5;118.6;118.4
89;2006 December;118.4;118.6;118.3
90;2006;117.0;118.2;116.3
91;2007 January;120.5;119.3;121.2
92;2007 February;120.6;119.3;121.4
93;2007 March;120.9;119.3;121.9
94;2007 April;121.5;118.9;123.1
95;2007 May;121.6;118.9;123.2
96;2007 June;121.6;119.0;123.3
97;2007 July;122.3;120.3;123.6
98;2007 August;122.2;120.3;123.4
99;2007 September;122.0;120.3;123.0
100;2007 October;122.3;120.3;123.5
101;2007 November;122.2;120.3;123.4
102;2007 December;122.3;120.3;123.5
103;2007;121.7;119.7;122.9
104;2008 January;124.6;122.0;126.3
105;2008 February;125.0;122.5;126.6
106;2008 March;125.1;122.5;126.7
107;2008 April;126.8;123.9;128.5
108;2008 May;127.1;123.9;129.0
109;2008 June;127.6;124.1;129.7
110;2008 July;129.3;125.5;131.7
111;2008 August;129.3;125.5;131.6
112;2008 September;128.9;125.5;131.0
113;2008 October;128.3;125.5;130.0
114;2008 November;127.8;125.5;129.2
115;2008 December;127.4;125.5;128.5
116;2008;127.3;124.3;129.1
