ID;Overheidslaag;SectorenEnFuncties;Perioden;BeloningVanWerknemers_1;IntermediairVerbruik_2;BetaaldeIndirecteBelastingen_3;Afschrijvingen_4;AanRijk_5;AanOverigeOverheden_6;AanBedrijven_7;InkomenDoorOndernemers_8;ExploitatieSubsidies_9;SubsidiesAanBedrijven_10;AanRijk_11;AanOverigeOverheden_12;AanBedrijven_13;NieuwbouwEnOnroerendeGoederen_14;Grondaankoop_15;DuurzameRoerendeGoederen_16;AanRijk_17;AanOverigeOverheden_18;AanBedrijven_19;AanRijk_20;AanOverigeOverheden_21;AanBedrijven_22;KapitaalinbrengAanMarktbedrijven_23;AanRijk_24;AanBedrijven_25
0;6;16;1993;8808.0;15075.0;241.0;1815.0;1661.0;59.0;16926.0;576.0;436.0;5046.0;23601.0;22312.0;18963.0;6643.0;708.0;885.0;2401.0;476.0;2832.0;345.0;45.0;5613.0;454.0;4610.0;17525.0
1;6;16;1994;16595.0;14566.0;241.0;1797.0;1307.0;54.0;16082.0;545.0;545.0;4638.0;23111.0;19522.0;19399.0;6439.0;1030.0;1307.0;2210.0;889.0;2836.0;245.0;32.0;5037.0;200.0;6421.0;24604.0
2;6;16;1995*;17167.0;14834.0;227.0;1842.0;1398.0;50.0;17607.0;617.0;463.0;2918.0;22017.0;20547.0;19032.0;6435.0;876.0;1284.0;18360.0;1030.0;18124.0;177.0;27.0;4170.0;154.0;11113.0;16540.0
3;6;16;1996*;17094.0;15556.0;231.0;1929.0;200.0;41.0;16994.0;594.0;445.0;2986.0;22049.0;21346.0;19159.0;6825.0;1048.0;1266.0;2255.0;839.0;2559.0;295.0;45.0;3530.0;132.0;18.0;14249.0
4;6;14;1993;16912.0;13858.0;227.0;1420.0;1611.0;59.0;16250.0;;436.0;5046.0;23601.0;22312.0;18950.0;6126.0;699.0;781.0;2401.0;476.0;2813.0;336.0;45.0;5169.0;299.0;4606.0;17316.0
5;6;14;1994;15764.0;13731.0;231.0;1479.0;1094.0;54.0;16082.0;0.0;545.0;4638.0;23111.0;19522.0;19363.0;5931.0;1012.0;1207.0;2210.0;889.0;2827.0;236.0;32.0;4610.0;123.0;6421.0;24359.0
6;6;14;1995*;16345.0;14035.0;222.0;1543.0;1398.0;50.0;17030.0;0.0;463.0;2918.0;22017.0;20547.0;18995.0;6081.0;849.0;1203.0;18360.0;1030.0;18106.0;177.0;27.0;3735.0;95.0;11109.0;16313.0
7;6;14;1996*;16268.0;14743.0;227.0;1625.0;127.0;41.0;16608.0;0.0;445.0;2986.0;22049.0;21346.0;19122.0;6416.0;1026.0;1180.0;2255.0;839.0;2546.0;290.0;45.0;3099.0;68.0;14.0;14017.0
8;6;15;1993;971.0;1216.0;14.0;395.0;50.0;0.0;676.0;576.0;0.0;0.0;0.0;0.0;14.0;517.0;5.0;104.0;0.0;0.0;18.0;9.0;0.0;445.0;150.0;5.0;209.0
9;6;15;1994;830.0;835.0;9.0;318.0;213.0;0.0;0.0;545.0;0.0;0.0;0.0;0.0;36.0;508.0;18.0;100.0;0.0;0.0;9.0;9.0;0.0;427.0;77.0;0.0;245.0
10;6;15;1995*;821.0;799.0;5.0;299.0;0.0;0.0;576.0;617.0;0.0;0.0;0.0;0.0;36.0;354.0;27.0;82.0;0.0;0.0;18.0;0.0;0.0;436.0;59.0;5.0;227.0
11;6;15;1996*;826.0;812.0;5.0;304.0;73.0;0.0;386.0;594.0;0.0;0.0;0.0;0.0;36.0;408.0;23.0;86.0;0.0;0.0;14.0;5.0;0.0;431.0;64.0;5.0;231.0
12;6;1;1993;3698.0;1534.0;41.0;;0.0;0.0;;;0.0;200.0;118.0;327.0;4488.0;422.0;41.0;186.0;0.0;177.0;404.0;0.0;0.0;399.0;0.0;0.0;0.0
13;6;1;1994;3671.0;1702.0;45.0;;0.0;0.0;0.0;0.0;0.0;195.0;59.0;408.0;4002.0;408.0;50.0;250.0;0.0;191.0;422.0;0.0;0.0;408.0;0.0;0.0;
14;6;1;1995*;3526.0;1520.0;32.0;;9.0;0.0;0.0;0.0;0.0;159.0;109.0;340.0;4125.0;445.0;41.0;241.0;0.0;227.0;486.0;68.0;0.0;545.0;0.0;0.0;
15;6;1;1996*;3639.0;1702.0;36.0;;9.0;0.0;0.0;0.0;0.0;150.0;91.0;345.0;4388.0;472.0;50.0;231.0;0.0;222.0;504.0;136.0;0.0;608.0;0.0;0.0;
16;6;2;1993;3517.0;3367.0;0.0;;0.0;0.0;;;0.0;50.0;0.0;5.0;100.0;14.0;0.0;41.0;0.0;0.0;82.0;0.0;0.0;227.0;0.0;0.0;0.0
17;6;2;1994;3422.0;3081.0;;;;;18.0;;;50.0;;5.0;104.0;32.0;;14.0;;;82.0;;;395.0;;;5.0
18;6;2;1995*;3444.0;3036.0;;;;;;;;50.0;;14.0;100.0;23.0;;14.0;;;5.0;;;277.0;;;
19;6;2;1996*;3294.0;3349.0;;;;;;;;45.0;;14.0;95.0;23.0;;32.0;;;;;;299.0;;;
20;6;3;1993;1997.0;812.0;0.0;;0.0;0.0;;;32.0;0.0;1148.0;113.0;191.0;227.0;14.0;141.0;41.0;9.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0
21;6;3;1994;1125.0;594.0;;;0.0;0.0;0.0;0.0;32.0;0.0;86.0;1865.0;213.0;209.0;27.0;172.0;14.0;32.0;18.0;0.0;0.0;0.0;0.0;0.0;
22;6;3;1995*;1225.0;622.0;;;9.0;0.0;0.0;0.0;36.0;0.0;54.0;2060.0;23.0;245.0;14.0;145.0;5.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;
23;6;3;1996*;1266.0;663.0;;;9.0;0.0;0.0;0.0;45.0;0.0;54.0;2224.0;68.0;204.0;9.0;136.0;9.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;
24;6;4;1993;2373.0;771.0;0.0;;0.0;59.0;;;0.0;445.0;2260.0;9312.0;2051.0;236.0;18.0;45.0;277.0;163.0;14.0;0.0;0.0;195.0;0.0;0.0;5.0
25;6;4;1994;2219.0;694.0;;;0.0;45.0;0.0;0.0;0.0;454.0;1997.0;9784.0;2087.0;200.0;14.0;73.0;449.0;508.0;36.0;;0.0;163.0;0.0;0.0;5.0
26;6;4;1995*;2214.0;708.0;;;0.0;41.0;0.0;0.0;0.0;481.0;2237.0;10464.0;1915.0;200.0;9.0;82.0;594.0;517.0;9.0;;0.0;218.0;0.0;0.0;
