ID;Geslacht;Leeftijd;Perioden;Bevolking_1
0;Totaal mannen en vrouwen;Totaal leeftijd;2019;17285137
1;Totaal mannen en vrouwen;Totaal leeftijd;2020;17377973
2;Totaal mannen en vrouwen;Totaal leeftijd;2021;17459109
3;Totaal mannen en vrouwen;Totaal leeftijd;2022;17529633
4;Totaal mannen en vrouwen;Totaal leeftijd;2023;17598097
5;Totaal mannen en vrouwen;Totaal leeftijd;2024;17664458
6;Totaal mannen en vrouwen;Totaal leeftijd;2025;17728731
7;Totaal mannen en vrouwen;Totaal leeftijd;2026;17792587
8;Totaal mannen en vrouwen;Totaal leeftijd;2027;17855130
9;Totaal mannen en vrouwen;Totaal leeftijd;2028;17915631
10;Totaal mannen en vrouwen;Totaal leeftijd;2029;17974130
11;Totaal mannen en vrouwen;Totaal leeftijd;2030;18030355
12;Totaal mannen en vrouwen;Totaal leeftijd;2031;18084107
13;Totaal mannen en vrouwen;Totaal leeftijd;2032;18134950
14;Totaal mannen en vrouwen;Totaal leeftijd;2033;18182638
15;Totaal mannen en vrouwen;Totaal leeftijd;2034;18226953
16;Totaal mannen en vrouwen;Totaal leeftijd;2035;18267933
17;Totaal mannen en vrouwen;Totaal leeftijd;2036;18305472
18;Totaal mannen en vrouwen;Totaal leeftijd;2037;18339414
19;Totaal mannen en vrouwen;Totaal leeftijd;2038;18369699
20;Totaal mannen en vrouwen;Totaal leeftijd;2039;18396401
21;Totaal mannen en vrouwen;Totaal leeftijd;2040;18419768
22;Totaal mannen en vrouwen;Totaal leeftijd;2041;18439905
23;Totaal mannen en vrouwen;Totaal leeftijd;2042;18456986
24;Totaal mannen en vrouwen;Totaal leeftijd;2043;18471380
25;Totaal mannen en vrouwen;Totaal leeftijd;2044;18483457
26;Totaal mannen en vrouwen;Totaal leeftijd;2045;18493584
27;Totaal mannen en vrouwen;Totaal leeftijd;2046;18501824
28;Totaal mannen en vrouwen;Totaal leeftijd;2047;18508784
29;Totaal mannen en vrouwen;Totaal leeftijd;2048;18514774
30;Totaal mannen en vrouwen;Totaal leeftijd;2049;18520012
31;Totaal mannen en vrouwen;Totaal leeftijd;2050;18524719
32;Totaal mannen en vrouwen;Totaal leeftijd;2051;18529301
33;Totaal mannen en vrouwen;Totaal leeftijd;2052;18534102
34;Totaal mannen en vrouwen;Totaal leeftijd;2053;18539522
35;Totaal mannen en vrouwen;Totaal leeftijd;2054;18545796
36;Totaal mannen en vrouwen;Totaal leeftijd;2055;18553427
37;Totaal mannen en vrouwen;Totaal leeftijd;2056;18562716
38;Totaal mannen en vrouwen;Totaal leeftijd;2057;18573917
39;Totaal mannen en vrouwen;Totaal leeftijd;2058;18587171
40;Totaal mannen en vrouwen;Totaal leeftijd;2059;18602750
41;Totaal mannen en vrouwen;Totaal leeftijd;2060;18620615
42;Totaal mannen en vrouwen;0 jaar;2019;169134
43;Totaal mannen en vrouwen;0 jaar;2020;172006
44;Totaal mannen en vrouwen;0 jaar;2021;175340
45;Totaal mannen en vrouwen;0 jaar;2022;179159
46;Totaal mannen en vrouwen;0 jaar;2023;182326
47;Totaal mannen en vrouwen;0 jaar;2024;185665
48;Totaal mannen en vrouwen;0 jaar;2025;189082
49;Totaal mannen en vrouwen;0 jaar;2026;191920
50;Totaal mannen en vrouwen;0 jaar;2027;194144
51;Totaal mannen en vrouwen;0 jaar;2028;195688
52;Totaal mannen en vrouwen;0 jaar;2029;196797
53;Totaal mannen en vrouwen;0 jaar;2030;197518
54;Totaal mannen en vrouwen;0 jaar;2031;197868
55;Totaal mannen en vrouwen;0 jaar;2032;197922
56;Totaal mannen en vrouwen;0 jaar;2033;197717
57;Totaal mannen en vrouwen;0 jaar;2034;197277
58;Totaal mannen en vrouwen;0 jaar;2035;196718
59;Totaal mannen en vrouwen;0 jaar;2036;195993
60;Totaal mannen en vrouwen;0 jaar;2037;194991
61;Totaal mannen en vrouwen;0 jaar;2038;193787
62;Totaal mannen en vrouwen;0 jaar;2039;192460
63;Totaal mannen en vrouwen;0 jaar;2040;191091
64;Totaal mannen en vrouwen;0 jaar;2041;189742
65;Totaal mannen en vrouwen;0 jaar;2042;188435
66;Totaal mannen en vrouwen;0 jaar;2043;187265
67;Totaal mannen en vrouwen;0 jaar;2044;186271
68;Totaal mannen en vrouwen;0 jaar;2045;185471
69;Totaal mannen en vrouwen;0 jaar;2046;184845
70;Totaal mannen en vrouwen;0 jaar;2047;184410
71;Totaal mannen en vrouwen;0 jaar;2048;184191
72;Totaal mannen en vrouwen;0 jaar;2049;184258
73;Totaal mannen en vrouwen;0 jaar;2050;184641
74;Totaal mannen en vrouwen;0 jaar;2051;185343
75;Totaal mannen en vrouwen;0 jaar;2052;186327
76;Totaal mannen en vrouwen;0 jaar;2053;187538
77;Totaal mannen en vrouwen;0 jaar;2054;188943
78;Totaal mannen en vrouwen;0 jaar;2055;190505
79;Totaal mannen en vrouwen;0 jaar;2056;192150
80;Totaal mannen en vrouwen;0 jaar;2057;193815
81;Totaal mannen en vrouwen;0 jaar;2058;195416
82;Totaal mannen en vrouwen;0 jaar;2059;196891
83;Totaal mannen en vrouwen;0 jaar;2060;198194
84;Totaal mannen en vrouwen;1 jaar;2019;170732
85;Totaal mannen en vrouwen;1 jaar;2020;170206
86;Totaal mannen en vrouwen;1 jaar;2021;172959
87;Totaal mannen en vrouwen;1 jaar;2022;176152
88;Totaal mannen en vrouwen;1 jaar;2023;179937
89;Totaal mannen en vrouwen;1 jaar;2024;183087
