ID;EigenaarHuurder;Woningkenmerken;Marges;RegioS;Perioden;TotaalWoonlasten_1;NettoWoonuitgaven_2;BijkomendeWoonlasten_3;Woonquote_4;GeenScheefhuur_5;GoedkopeScheefhuur_6;DureScheefhuur_7
0;Totaal;Totaal woningen;Waarde;Nederland;2012;814.0;597.0;217.0;32.2;;;
1;Totaal;Totaal woningen;Waarde;Nederland;2015;805.0;598.0;207.0;31.7;;;
2;Totaal;Totaal woningen;Waarde;Nederland;2018;823.0;616.0;207.0;31.1;;;
3;Totaal;Totaal woningen;Waarde;Nederland;2021;841.0;644.0;197.0;28.6;;;
4;Totaal;Totaal woningen;Waarde;Noord-Nederland (LD);2012;764.0;537.0;227.0;32.6;;;
5;Totaal;Totaal woningen;Waarde;Noord-Nederland (LD);2015;746.0;533.0;213.0;31.6;;;
6;Totaal;Totaal woningen;Waarde;Noord-Nederland (LD);2018;746.0;532.0;214.0;30.6;;;
7;Totaal;Totaal woningen;Waarde;Noord-Nederland (LD);2021;760.0;553.0;207.0;28.7;;;
8;Totaal;Totaal woningen;Waarde;Oost-Nederland (LD);2012;817.0;597.0;220.0;32.0;;;
9;Totaal;Totaal woningen;Waarde;Oost-Nederland (LD);2015;806.0;599.0;207.0;31.4;;;
10;Totaal;Totaal woningen;Waarde;Oost-Nederland (LD);2018;826.0;618.0;207.0;30.9;;;
11;Totaal;Totaal woningen;Waarde;Oost-Nederland (LD);2021;828.0;628.0;200.0;27.9;;;
12;Totaal;Totaal woningen;Waarde;West-Nederland (LD);2012;820.0;611.0;210.0;32.2;;;
13;Totaal;Totaal woningen;Waarde;West-Nederland (LD);2015;818.0;615.0;203.0;32.0;;;
14;Totaal;Totaal woningen;Waarde;West-Nederland (LD);2018;835.0;631.0;203.0;31.4;;;
15;Totaal;Totaal woningen;Waarde;West-Nederland (LD);2021;871.0;679.0;192.0;29.1;;;
16;Totaal;Totaal woningen;Waarde;Zuid-Nederland (LD);2012;821.0;595.0;226.0;32.1;;;
17;Totaal;Totaal woningen;Waarde;Zuid-Nederland (LD);2015;802.0;589.0;213.0;31.5;;;
18;Totaal;Totaal woningen;Waarde;Zuid-Nederland (LD);2018;829.0;619.0;210.0;30.7;;;
19;Totaal;Totaal woningen;Waarde;Zuid-Nederland (LD);2021;823.0;624.0;199.0;27.9;;;
20;Totaal;Totaal woningen;Waarde;Groningen (PV);2012;734.0;510.0;224.0;33.5;;;
21;Totaal;Totaal woningen;Waarde;Groningen (PV);2015;726.0;515.0;210.0;32.9;;;
22;Totaal;Totaal woningen;Waarde;Groningen (PV);2018;742.0;531.0;211.0;31.7;;;
