ID;NederlandseZeehavens;Vervoerstromen;SoortLading;Perioden;OvergeslagenBrutogewicht_1
0;Totaal;Aan- en afvoer;Totaal;2011 1e kwartaal;134370.0
1;Totaal;Aan- en afvoer;Totaal;2011 2e kwartaal;138562.0
2;Totaal;Aan- en afvoer;Totaal;2011 3e kwartaal;141706.0
3;Totaal;Aan- en afvoer;Totaal;2011 4e kwartaal;136107.0
4;Totaal;Aan- en afvoer;Totaal;2011;550745.0
5;Totaal;Aan- en afvoer;Totaal;2012 1e kwartaal;139659.0
6;Totaal;Aan- en afvoer;Totaal;2012 2e kwartaal;140593.0
7;Totaal;Aan- en afvoer;Totaal;2012 3e kwartaal;138475.0
8;Totaal;Aan- en afvoer;Totaal;2012 4e kwartaal;138537.0
9;Totaal;Aan- en afvoer;Totaal;2012;557264.0
10;Totaal;Aan- en afvoer;Totaal;2013 1e kwartaal;137665.0
11;Totaal;Aan- en afvoer;Totaal;2013 2e kwartaal;142779.0
12;Totaal;Aan- en afvoer;Totaal;2013 3e kwartaal;140549.0
13;Totaal;Aan- en afvoer;Totaal;2013 4e kwartaal;137550.0
14;Totaal;Aan- en afvoer;Totaal;2013;558542.0
15;Totaal;Aan- en afvoer;Totaal;2014 1e kwartaal;143085.0
16;Totaal;Aan- en afvoer;Totaal;2014 2e kwartaal;143902.0
17;Totaal;Aan- en afvoer;Totaal;2014 3e kwartaal;140769.0
18;Totaal;Aan- en afvoer;Totaal;2014 4e kwartaal;143880.0
19;Totaal;Aan- en afvoer;Totaal;2014;571636.0
20;Totaal;Aan- en afvoer;Totaal;2015 1e kwartaal;150497.0
21;Totaal;Aan- en afvoer;Totaal;2015 2e kwartaal;153231.0
22;Totaal;Aan- en afvoer;Totaal;2015 3e kwartaal;143473.0
23;Totaal;Aan- en afvoer;Totaal;2015 4e kwartaal;147070.0
24;Totaal;Aan- en afvoer;Totaal;2015;594272.0
25;Totaal;Aan- en afvoer;Totaal;2016 1e kwartaal;148093.0
26;Totaal;Aan- en afvoer;Totaal;2016 2e kwartaal;143792.0
27;Totaal;Aan- en afvoer;Totaal;2016 3e kwartaal;146744.0
28;Totaal;Aan- en afvoer;Totaal;2016 4e kwartaal;150143.0
29;Totaal;Aan- en afvoer;Totaal;2016;588772.0
30;Totaal;Aan- en afvoer;Totaal;2017 1e kwartaal;153537.0
31;Totaal;Aan- en afvoer;Totaal;2017 2e kwartaal;149941.0
32;Totaal;Aan- en afvoer;Totaal;2017 3e kwartaal;145329.0
33;Totaal;Aan- en afvoer;Totaal;2017 4e kwartaal;147002.0
34;Totaal;Aan- en afvoer;Totaal;2017;595810.0
35;Totaal;Aan- en afvoer;Totaal;2018 1e kwartaal;154711.0
36;Totaal;Aan- en afvoer;Totaal;2018 2e kwartaal;145634.0
37;Totaal;Aan- en afvoer;Totaal;2018 3e kwartaal;149822.0
38;Totaal;Aan- en afvoer;Totaal;2018 4e kwartaal;154374.0
39;Totaal;Aan- en afvoer;Totaal;2018;604541.0
40;Totaal;Aan- en afvoer;Totaal;2019 1e kwartaal;159216.0
41;Totaal;Aan- en afvoer;Totaal;2019 2e kwartaal;152031.0
42;Totaal;Aan- en afvoer;Totaal;2019 3e kwartaal;148335.0
43;Totaal;Aan- en afvoer;Totaal;2019 4e kwartaal;147943.0
44;Totaal;Aan- en afvoer;Totaal;2019;607525.0
45;Totaal;Aan- en afvoer;Totaal;2020 1e kwartaal;145177.0
46;Totaal;Aan- en afvoer;Totaal;2020 2e kwartaal;137315.0
47;Totaal;Aan- en afvoer;Totaal;2020 3e kwartaal;131835.0
48;Totaal;Aan- en afvoer;Totaal;2020 4e kwartaal;143256.0
49;Totaal;Aan- en afvoer;Totaal;2020;557583.0
50;Totaal;Aan- en afvoer;Totaal;2021 1e kwartaal;145448.0
51;Totaal;Aan- en afvoer;Totaal;2021 2e kwartaal;148138.0
52;Totaal;Aan- en afvoer;Totaal;2021 3e kwartaal;148446.0
53;Totaal;Aan- en afvoer;Totaal;2021 4e kwartaal;147674.0
54;Totaal;Aan- en afvoer;Totaal;2021;589707.0
55;Totaal;Aan- en afvoer;Totaal;2022 1e kwartaal;142906.0
56;Totaal;Aan- en afvoer;Totaal;2022 2e kwartaal;152019.0
57;Totaal;Aan- en afvoer;Totaal;2022 3e kwartaal;151755.0
58;Totaal;Aan- en afvoer;Totaal;2022 4e kwartaal;149745.0
59;Totaal;Aan- en afvoer;Totaal;2022;596425.0
60;Totaal;Aan- en afvoer;Droge bulk;2011 1e kwartaal;33693.0
61;Totaal;Aan- en afvoer;Droge bulk;2011 2e kwartaal;37884.0
62;Totaal;Aan- en afvoer;Droge bulk;2011 3e kwartaal;37708.0
63;Totaal;Aan- en afvoer;Droge bulk;2011 4e kwartaal;36246.0
64;Totaal;Aan- en afvoer;Droge bulk;2011;145532.0
65;Totaal;Aan- en afvoer;Droge bulk;2012 1e kwartaal;32558.0
66;Totaal;Aan- en afvoer;Droge bulk;2012 2e kwartaal;32620.0
67;Totaal;Aan- en afvoer;Droge bulk;2012 3e kwartaal;31953.0
68;Totaal;Aan- en afvoer;Droge bulk;2012 4e kwartaal;32875.0
69;Totaal;Aan- en afvoer;Droge bulk;2012;130006.0
70;Totaal;Aan- en afvoer;Droge bulk;2013 1e kwartaal;33986.0
71;Totaal;Aan- en afvoer;Droge bulk;2013 2e kwartaal;37608.0
72;Totaal;Aan- en afvoer;Droge bulk;2013 3e kwartaal;36626.0
73;Totaal;Aan- en afvoer;Droge bulk;2013 4e kwartaal;38577.0
74;Totaal;Aan- en afvoer;Droge bulk;2013;146798.0
75;Totaal;Aan- en afvoer;Droge bulk;2014 1e kwartaal;37476.0
76;Totaal;Aan- en afvoer;Droge bulk;2014 2e kwartaal;37638.0
77;Totaal;Aan- en afvoer;Droge bulk;2014 3e kwartaal;35821.0
78;Totaal;Aan- en afvoer;Droge bulk;2014 4e kwartaal;37470.0
79;Totaal;Aan- en afvoer;Droge bulk;2014;148405.0
80;Totaal;Aan- en afvoer;Droge bulk;2015 1e kwartaal;36027.0
81;Totaal;Aan- en afvoer;Droge bulk;2015 2e kwartaal;36931.0
82;Totaal;Aan- en afvoer;Droge bulk;2015 3e kwartaal;33801.0
83;Totaal;Aan- en afvoer;Droge bulk;2015 4e kwartaal;36852.0
84;Totaal;Aan- en afvoer;Droge bulk;2015;143612.0
85;Totaal;Aan- en afvoer;Droge bulk;2016 1e kwartaal;34911.0
86;Totaal;Aan- en afvoer;Droge bulk;2016 2e kwartaal;32439.0
