ID;PersoonskenmerkenRegioEnBedrijfsind;Perioden;Totaal_1;k_1eJaar_2;k_2eJaar_3;Totaal_4;k_17Dagen_5;k_842Dagen_6;k_4391Dagen_7;k_92182Dagen_8;k_183365Dagen_9;k_366730Dagen_10;Ziekmeldingsfrequentie_11;Totaal_12;Beeindigd1eJaarNaZiekmelding_13;Beeindigd1JrEn2JrNaZiekmelding_14
0;Totaal mannen en vrouwen;2002 1e kwartaal*;6.1;6.1;;6.1;1.1;1.8;1.2;1.1;0.8;;1.52;17.8;17.8;
1;Totaal mannen en vrouwen;2002 2e kwartaal*;5.3;5.3;;5.3;0.8;1.5;1.1;1.1;0.8;;1.16;18.9;18.9;
2;Totaal mannen en vrouwen;2002 3e kwartaal*;4.6;4.6;;4.6;0.6;1.3;0.9;0.9;0.9;;0.98;20.8;20.8;
3;Totaal mannen en vrouwen;2002 4e kwartaal*;5.2;5.2;;5.2;1.0;1.6;1.1;0.9;0.7;;1.4;15.5;15.5;
4;Totaal mannen en vrouwen;2002 jaarcijfer*;5.3;5.3;;5.3;0.8;1.3;0.8;0.9;1.5;;1.26;18.0;18.0;
5;Totaal mannen en vrouwen;2003 1e kwartaal*;5.0;5.0;;5.0;1.2;1.6;1.0;0.7;0.5;;1.6;14.3;14.3;
6;Totaal mannen en vrouwen;2003 2e kwartaal*;4.5;4.5;;4.5;0.8;1.4;1.0;0.9;0.5;;1.16;15.8;15.8;
7;Totaal mannen en vrouwen;2003 3e kwartaal*;4.2;4.2;;4.2;0.7;1.2;0.8;0.9;0.6;;1.04;16.3;16.3;
8;Totaal mannen en vrouwen;2003 4e kwartaal*;5.2;5.2;;5.2;1.1;1.5;1.0;0.9;0.7;;1.49;13.0;13.0;
9;Totaal mannen en vrouwen;2003 jaarcijfer*;4.7;4.7;;4.7;0.9;1.2;0.6;0.6;1.4;;1.32;14.7;14.7;
10;Totaal mannen en vrouwen;2004 1e kwartaal*;4.7;4.7;;4.7;0.9;1.4;1.0;0.8;0.6;;1.27;16.2;16.2;
11;Totaal mannen en vrouwen;2004 2e kwartaal*;4.0;4.0;;4.0;0.6;1.2;0.9;0.8;0.5;;0.95;16.8;16.8;
12;Totaal mannen en vrouwen;2004 3e kwartaal*;3.5;3.5;;3.5;0.5;1.0;0.7;0.7;0.5;;0.8;18.7;18.7;
13;Totaal mannen en vrouwen;2004 4e kwartaal*;4.0;4.0;;4.0;0.9;1.3;0.9;0.6;0.4;;1.19;17.7;17.7;
14;Totaal mannen en vrouwen;2004 jaarcijfer*;4.0;4.0;;4.0;0.7;1.1;0.7;0.7;0.8;;1.05;17.3;17.3;
15;Totaal mannen en vrouwen;2005 1e kwartaal*;4.9;4.8;0.1;4.9;1.0;1.5;0.9;0.8;0.6;0.2;1.38;12.6;12.6;0.0
