ID;RegistrationInDonorregister;Regions;Periods;DonorregisterFixedChoice_1;DonorregisterFixedChoice_2
0;Total registered and non-registered;The Netherlands;2014;14591.0;100.0
1;Total registered and non-registered;The Netherlands;2015;14685.1;100.0
2;Total registered and non-registered;The Netherlands;2016;14782.6;100.0
3;Total registered and non-registered;The Netherlands;2017;14895.2;100.0
4;Total registered and non-registered;The Netherlands;2018;15005.8;100.0
5;Total registered and non-registered;The Netherlands;2019;15117.6;100.0
6;Total registered and non-registered;Noord-Nederland (LD);2014;1498.4;100.0
7;Total registered and non-registered;Noord-Nederland (LD);2015;1503.2;100.0
8;Total registered and non-registered;Noord-Nederland (LD);2016;1507.1;100.0
9;Total registered and non-registered;Noord-Nederland (LD);2017;1513.1;100.0
10;Total registered and non-registered;Noord-Nederland (LD);2018;1516.0;100.0
11;Total registered and non-registered;Noord-Nederland (LD);2019;1520.6;100.0
12;Total registered and non-registered;Oost-Nederland (LD);2014;3063.0;100.0
13;Total registered and non-registered;Oost-Nederland (LD);2015;3081.1;100.0
14;Total registered and non-registered;Oost-Nederland (LD);2016;3102.9;100.0
15;Total registered and non-registered;Oost-Nederland (LD);2017;3127.1;100.0
16;Total registered and non-registered;Oost-Nederland (LD);2018;3150.3;100.0
17;Total registered and non-registered;Oost-Nederland (LD);2019;3176.0;100.0
18;Total registered and non-registered;West-Nederland (LD);2014;6868.2;100.0
19;Total registered and non-registered;West-Nederland (LD);2015;6925.8;100.0
20;Total registered and non-registered;West-Nederland (LD);2016;6983.2;100.0
21;Total registered and non-registered;West-Nederland (LD);2017;7047.6;100.0
22;Total registered and non-registered;West-Nederland (LD);2018;7114.7;100.0
23;Total registered and non-registered;West-Nederland (LD);2019;7178.4;100.0
24;Total registered and non-registered;Zuid-Nederland (LD);2014;3161.3;100.0
25;Total registered and non-registered;Zuid-Nederland (LD);2015;3175.1;100.0
26;Total registered and non-registered;Zuid-Nederland (LD);2016;3189.4;100.0
27;Total registered and non-registered;Zuid-Nederland (LD);2017;3207.4;100.0
28;Total registered and non-registered;Zuid-Nederland (LD);2018;3224.8;100.0
29;Total registered and non-registered;Zuid-Nederland (LD);2019;3242.5;100.0
30;Total registered and non-registered;Groningen (PV);2014;513.8;100.0
31;Total registered and non-registered;Groningen (PV);2015;515.9;100.0
32;Total registered and non-registered;Groningen (PV);2016;516.9;100.0
33;Total registered and non-registered;Groningen (PV);2017;517.3;100.0
34;Total registered and non-registered;Groningen (PV);2018;517.5;100.0
35;Total registered and non-registered;Groningen (PV);2019;519.3;100.0
36;Total registered and non-registered;Friesland (PV);2014;558.8;100.0
37;Total registered and non-registered;Friesland (PV);2015;560.5;100.0
38;Total registered and non-registered;Friesland (PV);2016;562.1;100.0
39;Total registered and non-registered;Friesland (PV);2017;564.3;100.0
40;Total registered and non-registered;Friesland (PV);2018;565.7;100.0
41;Total registered and non-registered;Friesland (PV);2019;567.3;100.0
42;Total registered and non-registered;Drenthe (PV);2014;425.7;100.0
43;Total registered and non-registered;Drenthe (PV);2015;426.8;100.0
44;Total registered and non-registered;Drenthe (PV);2016;428.1;100.0
45;Total registered and non-registered;Drenthe (PV);2017;431.5;100.0
46;Total registered and non-registered;Drenthe (PV);2018;432.8;100.0
47;Total registered and non-registered;Drenthe (PV);2019;434.0;100.0
48;Total registered and non-registered;Overijssel (PV);2014;976.9;100.0
49;Total registered and non-registered;Overijssel (PV);2015;980.8;100.0
50;Total registered and non-registered;Overijssel (PV);2016;987.3;100.0
51;Total registered and non-registered;Overijssel (PV);2017;992.8;100.0
52;Total registered and non-registered;Overijssel (PV);2018;998.7;100.0
53;Total registered and non-registered;Overijssel (PV);2019;1005.8;100.0
54;Total registered and non-registered;Flevoland (PV);2014;335.4;100.0
55;Total registered and non-registered;Flevoland (PV);2015;338.2;100.0
56;Total registered and non-registered;Flevoland (PV);2016;341.3;100.0
57;Total registered and non-registered;Flevoland (PV);2017;345.4;100.0
58;Total registered and non-registered;Flevoland (PV);2018;349.4;100.0
59;Total registered and non-registered;Flevoland (PV);2019;354.3;100.0
60;Total registered and non-registered;Gelderland (PV);2014;1750.7;100.0
61;Total registered and non-registered;Gelderland (PV);2015;1762.1;100.0
62;Total registered and non-registered;Gelderland (PV);2016;1774.3;100.0
63;Total registered and non-registered;Gelderland (PV);2017;1789.0;100.0
64;Total registered and non-registered;Gelderland (PV);2018;1802.2;100.0
65;Total registered and non-registered;Gelderland (PV);2019;1815.9;100.0
66;Total registered and non-registered;Utrecht (PV);2014;1070.7;100.0
67;Total registered and non-registered;Utrecht (PV);2015;1081.6;100.0
68;Total registered and non-registered;Utrecht (PV);2016;1092.6;100.0
69;Total registered and non-registered;Utrecht (PV);2017;1104.1;100.0
70;Total registered and non-registered;Utrecht (PV);2018;1115.1;100.0
71;Total registered and non-registered;Utrecht (PV);2019;1127.2;100.0
72;Total registered and non-registered;Noord-Holland (PV);2014;2376.1;100.0
73;Total registered and non-registered;Noord-Holland (PV);2015;2398.8;100.0
74;Total registered and non-registered;Noord-Holland (PV);2016;2421.9;100.0
75;Total registered and non-registered;Noord-Holland (PV);2017;2447.2;100.0
76;Total registered and non-registered;Noord-Holland (PV);2018;2472.1;100.0
77;Total registered and non-registered;Noord-Holland (PV);2019;2494.8;100.0
78;Total registered and non-registered;Zuid-Holland (PV);2014;3088.8;100.0
79;Total registered and non-registered;Zuid-Holland (PV);2015;3111.9;100.0
80;Total registered and non-registered;Zuid-Holland (PV);2016;3134.1;100.0
81;Total registered and non-registered;Zuid-Holland (PV);2017;3161.0;100.0
82;Total registered and non-registered;Zuid-Holland (PV);2018;3191.2;100.0
83;Total registered and non-registered;Zuid-Holland (PV);2019;3219.1;100.0
84;Total registered and non-registered;Zeeland (PV);2014;332.7;100.0
85;Total registered and non-registered;Zeeland (PV);2015;333.5;100.0
86;Total registered and non-registered;Zeeland (PV);2016;334.5;100.0
87;Total registered and non-registered;Zeeland (PV);2017;335.3;100.0
88;Total registered and non-registered;Zeeland (PV);2018;336.3;100.0
89;Total registered and non-registered;Zeeland (PV);2019;337.3;100.0
90;Total registered and non-registered;Noord-Brabant (PV);2014;2161.9;100.0
91;Total registered and non-registered;Noord-Brabant (PV);2015;2175.4;100.0
92;Total registered and non-registered;Noord-Brabant (PV);2016;2189.3;100.0
93;Total registered and non-registered;Noord-Brabant (PV);2017;2204.8;100.0
94;Total registered and non-registered;Noord-Brabant (PV);2018;2221.9;100.0
95;Total registered and non-registered;Noord-Brabant (PV);2019;2239.7;100.0
96;Total registered and non-registered;Limburg (PV);2014;999.4;100.0
97;Total registered and non-registered;Limburg (PV);2015;999.7;100.0
98;Total registered and non-registered;Limburg (PV);2016;1000.1;100.0
99;Total registered and non-registered;Limburg (PV);2017;1002.6;100.0
100;Total registered and non-registered;Limburg (PV);2018;1002.9;100.0
101;Total registered and non-registered;Limburg (PV);2019;1002.8;100.0
102;Total registered and non-registered;Oost-Groningen (CR);2014;120.4;100.0
103;Total registered and non-registered;Oost-Groningen (CR);2015;120.8;100.0
104;Total registered and non-registered;Oost-Groningen (CR);2016;120.8;100.0
105;Total registered and non-registered;Oost-Groningen (CR);2017;120.0;100.0
106;Total registered and non-registered;Oost-Groningen (CR);2018;119.7;100.0
107;Total registered and non-registered;Oost-Groningen (CR);2019;119.9;100.0
108;Total registered and non-registered;Delfzijl en omgeving (CR);2014;42.2;100.0
109;Total registered and non-registered;Delfzijl en omgeving (CR);2015;42.0;100.0
110;Total registered and non-registered;Delfzijl en omgeving (CR);2016;41.7;100.0
111;Total registered and non-registered;Delfzijl en omgeving (CR);2017;41.5;100.0
112;Total registered and non-registered;Delfzijl en omgeving (CR);2018;41.1;100.0
113;Total registered and non-registered;Delfzijl en omgeving (CR);2019;40.9;100.0
114;Total registered and non-registered;Overig Groningen (CR);2014;351.1;100.0
115;Total registered and non-registered;Overig Groningen (CR);2015;353.1;100.0
116;Total registered and non-registered;Overig Groningen (CR);2016;354.4;100.0
117;Total registered and non-registered;Overig Groningen (CR);2017;355.9;100.0
118;Total registered and non-registered;Overig Groningen (CR);2018;356.7;100.0
119;Total registered and non-registered;Overig Groningen (CR);2019;358.5;100.0
120;Total registered and non-registered;Noord-Friesland (CR);2014;275.9;100.0
121;Total registered and non-registered;Noord-Friesland (CR);2015;276.5;100.0
122;Total registered and non-registered;Noord-Friesland (CR);2016;277.3;100.0
123;Total registered and non-registered;Noord-Friesland (CR);2017;278.3;100.0
124;Total registered and non-registered;Noord-Friesland (CR);2018;278.7;100.0
125;Total registered and non-registered;Noord-Friesland (CR);2019;279.5;100.0
126;Total registered and non-registered;Zuidwest-Friesland (CR);2014;121.4;100.0
127;Total registered and non-registered;Zuidwest-Friesland (CR);2015;121.7;100.0
128;Total registered and non-registered;Zuidwest-Friesland (CR);2016;122.1;100.0
129;Total registered and non-registered;Zuidwest-Friesland (CR);2017;122.8;100.0
130;Total registered and non-registered;Zuidwest-Friesland (CR);2018;123.3;100.0
131;Total registered and non-registered;Zuidwest-Friesland (CR);2019;123.6;100.0
132;Total registered and non-registered;Zuidoost-Friesland (CR);2014;161.5;100.0
133;Total registered and non-registered;Zuidoost-Friesland (CR);2015;162.4;100.0
134;Total registered and non-registered;Zuidoost-Friesland (CR);2016;162.7;100.0
135;Total registered and non-registered;Zuidoost-Friesland (CR);2017;163.2;100.0
136;Total registered and non-registered;Zuidoost-Friesland (CR);2018;163.8;100.0
137;Total registered and non-registered;Zuidoost-Friesland (CR);2019;164.2;100.0
138;Total registered and non-registered;Noord-Drenthe (CR);2014;164.7;100.0
139;Total registered and non-registered;Noord-Drenthe (CR);2015;165.1;100.0
140;Total registered and non-registered;Noord-Drenthe (CR);2016;165.8;100.0
141;Total registered and non-registered;Noord-Drenthe (CR);2017;168.2;100.0
142;Total registered and non-registered;Noord-Drenthe (CR);2018;168.5;100.0
143;Total registered and non-registered;Noord-Drenthe (CR);2019;168.6;100.0
144;Total registered and non-registered;Zuidoost-Drenthe (CR);2014;148.5;100.0
145;Total registered and non-registered;Zuidoost-Drenthe (CR);2015;148.5;100.0
146;Total registered and non-registered;Zuidoost-Drenthe (CR);2016;148.6;100.0
147;Total registered and non-registered;Zuidoost-Drenthe (CR);2017;148.8;100.0
148;Total registered and non-registered;Zuidoost-Drenthe (CR);2018;148.7;100.0
149;Total registered and non-registered;Zuidoost-Drenthe (CR);2019;149.1;100.0
150;Total registered and non-registered;Zuidwest-Drenthe (CR);2014;112.5;100.0
151;Total registered and non-registered;Zuidwest-Drenthe (CR);2015;113.1;100.0
152;Total registered and non-registered;Zuidwest-Drenthe (CR);2016;113.7;100.0
153;Total registered and non-registered;Zuidwest-Drenthe (CR);2017;114.5;100.0
154;Total registered and non-registered;Zuidwest-Drenthe (CR);2018;115.6;100.0
155;Total registered and non-registered;Zuidwest-Drenthe (CR);2019;116.3;100.0
156;Total registered and non-registered;Noord-Overijssel (CR);2014;305.6;100.0
157;Total registered and non-registered;Noord-Overijssel (CR);2015;307.3;100.0
158;Total registered and non-registered;Noord-Overijssel (CR);2016;310.4;100.0
159;Total registered and non-registered;Noord-Overijssel (CR);2017;312.7;100.0
160;Total registered and non-registered;Noord-Overijssel (CR);2018;315.6;100.0
161;Total registered and non-registered;Noord-Overijssel (CR);2019;318.7;100.0
162;Total registered and non-registered;Zuidwest-Overijssel (CR);2014;131.3;100.0
163;Total registered and non-registered;Zuidwest-Overijssel (CR);2015;132.1;100.0
164;Total registered and non-registered;Zuidwest-Overijssel (CR);2016;133.1;100.0
165;Total registered and non-registered;Zuidwest-Overijssel (CR);2017;134.0;100.0
