ID;Onderwijsvolgend;Arbeidskenmerken;Uitkering;GeregistreerdWerkzoekendeBijUWV;RegioS;Perioden;Jongeren15Tot27Jaar_1
34;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2007;509100.0
35;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2008;512000.0
36;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2009;516800.0
37;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2010;520800.0
38;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2011;523200.0
39;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2012;525200.0
40;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2013;525200.0
41;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2014;527100.0
42;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2015;533200.0
43;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2016;541700.0
44;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2017;546700.0
45;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2018;552400.0
46;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2019;556500.0
47;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Oost-Nederland (LD);2020;557200.0
48;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2005;1103900.0
49;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2006;1114100.0
50;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2007;1123300.0
51;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2008;1135100.0
52;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2009;1148900.0
53;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2010;1162100.0
54;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2011;1170700.0
55;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2012;1176700.0
56;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2013;1180700.0
57;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2014;1189500.0
58;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2015;1202400.0
59;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2016;1216700.0
60;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2017;1225400.0
61;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2018;1232100.0
62;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2019;1240600.0
63;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;West-Nederland (LD);2020;1237900.0
64;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Nederland (LD);2005;489700.0
65;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Nederland (LD);2006;490900.0
66;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Nederland (LD);2007;492000.0
67;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Nederland (LD);2008;494800.0
68;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Nederland (LD);2009;500000.0
69;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Nederland (LD);2010;504700.0
70;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Nederland (LD);2011;508600.0
71;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Nederland (LD);2012;511100.0
72;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Nederland (LD);2013;513200.0
73;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Nederland (LD);2014;514600.0
74;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Nederland (LD);2015;517400.0
75;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Nederland (LD);2016;523000.0
76;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Nederland (LD);2017;526400.0
77;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Nederland (LD);2018;527900.0
78;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Nederland (LD);2019;529500.0
79;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Nederland (LD);2020;526500.0
80;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Groningen (PV);2005;96500.0
81;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Groningen (PV);2006;97200.0
82;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Groningen (PV);2007;97700.0
83;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Groningen (PV);2008;98500.0
84;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Groningen (PV);2009;100200.0
85;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Groningen (PV);2010;101700.0
86;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Groningen (PV);2011;103700.0
87;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Groningen (PV);2012;104800.0
88;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Groningen (PV);2013;105500.0
89;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Groningen (PV);2014;106500.0
90;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Groningen (PV);2015;106700.0
91;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Groningen (PV);2016;107300.0
92;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Groningen (PV);2017;106700.0
93;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Groningen (PV);2018;107100.0
94;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Groningen (PV);2019;107400.0
95;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Groningen (PV);2020;106600.0
96;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Fryslân (PV);2005;92100.0
97;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Fryslân (PV);2006;91600.0
98;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Fryslân (PV);2007;91200.0
99;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Fryslân (PV);2008;91100.0
100;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Fryslân (PV);2009;91400.0
