ID;Geslacht;Persoonskenmerken;CaribischNederland;Perioden;BeroepsEnNietBeroepsbevolking_1;WerkzameBeroepsbevolking_2;WilMeerUrenWerkenBeschikbaar_3;WilNietMeerWerkenOfNietBeschikbaar_4;NietWerkzameBevolking_5;WerklozeBeroepsbevolking_6;NietBeroepsbevolking_7;BeschikbaarNietGezocht_8;GezochtNietBeschikbaar_9;NietGezochtNietBeschikbaar_10;WilWerken_11;WilOfKanNietWerken_12;VanwegeZorgGezinHuishouden_13;VanwegeOpleidingStudie_14;VanwegeVutPensioenHogeLeeftijd_15;VanwegeZiekteArbeidsongeschiktheid_16;VanwegeAndereRedenen_17
0;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Caribisch Nederland;2012;2680;1100;360;740;1580;140;1450;170;20;1250;50;1200;20;1040;0;10;140
1;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Caribisch Nederland;2014;2820;980;320;660;1840;220;1620;180;30;1410;100;1310;0;1200;0;50;60
2;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Caribisch Nederland;2016;2690;950;190;760;1740;270;1470;90;10;1360;20;1350;0;1290;0;10;50
3;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Caribisch Nederland;2018;2760;1230;220;1010;1530;100;1430;160;40;1230;60;1170;0;1130;0;0;40
4;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Caribisch Nederland;2020;2550;1060;270;790;1500;140;1360;140;20;1210;110;1100;0;1080;0;20;0
5;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Caribisch Nederland;2022;2680;1210;190;1020;1470;150;1320;170;30;1120;40;1090;0;1030;0;0;60
6;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Bonaire;2012;1940;880;270;620;1060;120;940;100;10;830;40;800;10;670;0;10;110
7;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Bonaire;2014;2100;770;270;500;1330;170;1160;100;30;1030;70;960;0;880;0;40;40
8;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Bonaire;2016;2110;830;160;670;1280;210;1070;40;0;1030;0;1030;0;980;0;10;40
9;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Bonaire;2018;2130;980;190;790;1150;80;1070;130;40;910;60;850;0;810;0;0;40
10;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Bonaire;2020;2050;870;230;650;1170;100;1070;90;10;970;100;880;0;860;0;20;0
11;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Bonaire;2022;2170;1080;190;890;1100;130;970;100;30;840;30;810;0;770;0;0;40
12;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Sint-Eustatius;2012;380;90;40;50;300;0;290;40;10;240;10;230;0;210;0;0;20
13;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Sint-Eustatius;2014;390;110;40;70;290;40;250;60;10;180;30;150;0;120;0;10;20
14;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Sint-Eustatius;2016;300;50;10;40;250;50;210;40;10;160;10;150;0;140;0;0;10
15;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Sint-Eustatius;2018;340;120;20;100;220;20;200;30;0;180;0;180;0;170;0;0;10
16;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Sint-Eustatius;2020;310;100;30;70;210;30;190;10;0;180;10;170;0;170;0;0;0
17;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Sint-Eustatius;2022;340;100;0;100;230;20;220;70;0;150;0;150;0;140;0;0;10
18;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Saba;2012;350;130;50;80;230;10;220;30;10;180;10;170;10;160;0;0;10
19;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Saba;2014;320;100;20;90;220;10;220;10;0;210;0;200;0;200;0;0;0
20;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Saba;2016;280;80;30;50;200;10;190;10;0;180;10;170;0;170;0;0;0
21;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Saba;2018;280;130;10;110;160;0;150;10;0;150;0;150;0;150;0;0;0
22;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Saba;2020;190;80;10;70;110;10;100;50;0;60;0;50;0;50;0;0;0
23;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Saba;2022;170;30;0;30;140;0;140;0;0;140;10;130;0;120;0;0;10
24;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;Caribisch Nederland;2012;6770;5600;1010;4590;1170;310;860;350;30;480;100;380;80;190;0;40;70
25;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;Caribisch Nederland;2014;7380;6250;1350;4910;1120;360;770;160;120;490;50;440;110;230;0;70;40
26;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;Caribisch Nederland;2016;7410;6250;550;5700;1160;420;740;250;10;480;70;420;110;130;0;80;110
27;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;Caribisch Nederland;2018;7290;6310;870;5440;980;220;760;210;60;490;60;430;80;190;0;80;80
28;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;Caribisch Nederland;2020;7640;6590;850;5740;1050;330;720;220;30;460;50;410;140;80;0;120;70
29;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;Caribisch Nederland;2022;8220;7360;1060;6310;860;170;690;120;10;560;110;460;130;120;0;80;140
30;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;Bonaire;2012;4820;4050;740;3300;780;260;520;290;10;220;70;150;40;40;0;40;40
