ID;Vervoerstromen;Goederensoort;Perioden;BrutoplusgewichtOvergeslagenGoederen_1
0;Totaal aan- en afvoer;Totaal goederen;2015;622428.0
1;Totaal aan- en afvoer;Totaal goederen;2016;615703.0
2;Totaal aan- en afvoer;Totaal goederen;2017;631252.0
3;Totaal aan- en afvoer;Totaal goederen;2018;638915.0
4;Totaal aan- en afvoer;Totaal goederen;2019;643478.0
5;Totaal aan- en afvoer;Totaal goederen;2020;587139.0
6;Totaal aan- en afvoer;Totaal goederen;2021;621984.0
7;Totaal aan- en afvoer;Totaal goederen;2022;630446.0
8;Totaal aan- en afvoer;Totaal goederen;2023;582988.0
9;Totaal aan- en afvoer;01 Producten van de landbouw, jacht e...;2015;24194.0
10;Totaal aan- en afvoer;01 Producten van de landbouw, jacht e...;2016;23434.0
11;Totaal aan- en afvoer;01 Producten van de landbouw, jacht e...;2017;26786.0
12;Totaal aan- en afvoer;01 Producten van de landbouw, jacht e...;2018;29485.0
13;Totaal aan- en afvoer;01 Producten van de landbouw, jacht e...;2019;30711.0
14;Totaal aan- en afvoer;01 Producten van de landbouw, jacht e...;2020;34445.0
15;Totaal aan- en afvoer;01 Producten van de landbouw, jacht e...;2021;33574.0
16;Totaal aan- en afvoer;01 Producten van de landbouw, jacht e...;2022;29330.0
17;Totaal aan- en afvoer;01 Producten van de landbouw, jacht e...;2023;26769.0
18;Totaal aan- en afvoer;"02 Steenkool en bruinkool; ruwe aardo...";2015;166405.0
19;Totaal aan- en afvoer;"02 Steenkool en bruinkool; ruwe aardo...";2016;161574.0
20;Totaal aan- en afvoer;"02 Steenkool en bruinkool; ruwe aardo...";2017;159940.0
21;Totaal aan- en afvoer;"02 Steenkool en bruinkool; ruwe aardo...";2018;157870.0
22;Totaal aan- en afvoer;"02 Steenkool en bruinkool; ruwe aardo...";2019;162797.0
23;Totaal aan- en afvoer;"02 Steenkool en bruinkool; ruwe aardo...";2020;134449.0
24;Totaal aan- en afvoer;"02 Steenkool en bruinkool; ruwe aardo...";2021;151004.0
25;Totaal aan- en afvoer;"02 Steenkool en bruinkool; ruwe aardo...";2022;172543.0
26;Totaal aan- en afvoer;"02 Steenkool en bruinkool; ruwe aardo...";2023;158482.0
27;Totaal aan- en afvoer;03 Metaalertsen en andere delfstoffen...;2015;61089.0
28;Totaal aan- en afvoer;03 Metaalertsen en andere delfstoffen...;2016;55706.0
29;Totaal aan- en afvoer;03 Metaalertsen en andere delfstoffen...;2017;59426.0
30;Totaal aan- en afvoer;03 Metaalertsen en andere delfstoffen...;2018;62274.0
31;Totaal aan- en afvoer;03 Metaalertsen en andere delfstoffen...;2019;60140.0
32;Totaal aan- en afvoer;03 Metaalertsen en andere delfstoffen...;2020;50643.0
33;Totaal aan- en afvoer;03 Metaalertsen en andere delfstoffen...;2021;61268.0
34;Totaal aan- en afvoer;03 Metaalertsen en andere delfstoffen...;2022;59631.0
35;Totaal aan- en afvoer;03 Metaalertsen en andere delfstoffen...;2023;56107.0
