ID;Sterklassen;Perioden;ZakelijkeOvernachtingen_1
0;Totaal Nederlandse hotels;2012 januari;1050
1;Totaal Nederlandse hotels;2012 februari;1050
2;Totaal Nederlandse hotels;2012 maart;1320
3;Totaal Nederlandse hotels;2012 1e kwartaal;3410
4;Totaal Nederlandse hotels;2012 april;1540
5;Totaal Nederlandse hotels;2012 mei;1550
6;Totaal Nederlandse hotels;2012 juni;1470
7;Totaal Nederlandse hotels;2012 2e kwartaal;4560
8;Totaal Nederlandse hotels;2012 juli;1190
9;Totaal Nederlandse hotels;2012 augustus;1290
10;Totaal Nederlandse hotels;2012 september;1550
11;Totaal Nederlandse hotels;2012 3e kwartaal;4030
12;Totaal Nederlandse hotels;2012 oktober;1460
13;Totaal Nederlandse hotels;2012 november;1300
14;Totaal Nederlandse hotels;2012 december;990
15;Totaal Nederlandse hotels;2012 4e kwartaal;3760
16;Totaal Nederlandse hotels;2012;15750
17;Totaal Nederlandse hotels;2013 januari;1030
18;Totaal Nederlandse hotels;2013 februari;1010
19;Totaal Nederlandse hotels;2013 maart;1280
20;Totaal Nederlandse hotels;2013 1e kwartaal;3320
21;Totaal Nederlandse hotels;2013 april;1460
22;Totaal Nederlandse hotels;2013 mei;1560
23;Totaal Nederlandse hotels;2013 juni;1490
24;Totaal Nederlandse hotels;2013 2e kwartaal;4510
25;Totaal Nederlandse hotels;2013 juli;1240
26;Totaal Nederlandse hotels;2013 augustus;1400
27;Totaal Nederlandse hotels;2013 september;1570
28;Totaal Nederlandse hotels;2013 3e kwartaal;4200
29;Totaal Nederlandse hotels;2013 oktober;1530
30;Totaal Nederlandse hotels;2013 november;1330
31;Totaal Nederlandse hotels;2013 december;990
32;Totaal Nederlandse hotels;2013 4e kwartaal;3850
33;Totaal Nederlandse hotels;2013;15880
34;Totaal Nederlandse hotels;2014 januari;1050
35;Totaal Nederlandse hotels;2014 februari;1080
36;Totaal Nederlandse hotels;2014 maart;1360
37;Totaal Nederlandse hotels;2014 1e kwartaal;3490
38;Totaal Nederlandse hotels;2014 april;1490
39;Totaal Nederlandse hotels;2014 mei;1620
40;Totaal Nederlandse hotels;2014 juni;1570
41;Totaal Nederlandse hotels;2014 2e kwartaal;4680
42;Totaal Nederlandse hotels;2014 juli;1260
43;Totaal Nederlandse hotels;2014 augustus;1370
44;Totaal Nederlandse hotels;2014 september;1600
45;Totaal Nederlandse hotels;2014 3e kwartaal;4230
46;Totaal Nederlandse hotels;2014 oktober;1570
47;Totaal Nederlandse hotels;2014 november;1350
48;Totaal Nederlandse hotels;2014 december;1060
49;Totaal Nederlandse hotels;2014 4e kwartaal;3980
50;Totaal Nederlandse hotels;2014;16380
51;Totaal Nederlandse hotels;2015 januari;1110
52;Totaal Nederlandse hotels;2015 februari;1150
53;Totaal Nederlandse hotels;2015 maart;1340
54;Totaal Nederlandse hotels;2015 1e kwartaal;3600
55;Totaal Nederlandse hotels;2015 april;1560
56;Totaal Nederlandse hotels;2015 mei;1640
57;Totaal Nederlandse hotels;2015 juni;1550
58;Totaal Nederlandse hotels;2015 2e kwartaal;4750
59;Totaal Nederlandse hotels;2015 juli;1350
60;Totaal Nederlandse hotels;2015 augustus;1410
61;Totaal Nederlandse hotels;2015 september;1630
62;Totaal Nederlandse hotels;2015 3e kwartaal;4390
63;Totaal Nederlandse hotels;2015 oktober;1630
64;Totaal Nederlandse hotels;2015 november;1370
65;Totaal Nederlandse hotels;2015 december;1080
66;Totaal Nederlandse hotels;2015 4e kwartaal;4090
67;Totaal Nederlandse hotels;2015;16820
68;Hotels zonder ster;2012 januari;100
69;Hotels zonder ster;2012 februari;90
70;Hotels zonder ster;2012 maart;120
71;Hotels zonder ster;2012 1e kwartaal;320
72;Hotels zonder ster;2012 april;160
73;Hotels zonder ster;2012 mei;150
74;Hotels zonder ster;2012 juni;150
75;Hotels zonder ster;2012 2e kwartaal;460
76;Hotels zonder ster;2012 juli;120
77;Hotels zonder ster;2012 augustus;130
78;Hotels zonder ster;2012 september;140
79;Hotels zonder ster;2012 3e kwartaal;380
80;Hotels zonder ster;2012 oktober;140
81;Hotels zonder ster;2012 november;110
82;Hotels zonder ster;2012 december;80
83;Hotels zonder ster;2012 4e kwartaal;330
84;Hotels zonder ster;2012;1490
85;Hotels zonder ster;2013 januari;100
86;Hotels zonder ster;2013 februari;90
87;Hotels zonder ster;2013 maart;120
88;Hotels zonder ster;2013 1e kwartaal;310
89;Hotels zonder ster;2013 april;140
90;Hotels zonder ster;2013 mei;150
91;Hotels zonder ster;2013 juni;140
92;Hotels zonder ster;2013 2e kwartaal;430
93;Hotels zonder ster;2013 juli;120
94;Hotels zonder ster;2013 augustus;140
95;Hotels zonder ster;2013 september;150
96;Hotels zonder ster;2013 3e kwartaal;410
97;Hotels zonder ster;2013 oktober;130
98;Hotels zonder ster;2013 november;110
99;Hotels zonder ster;2013 december;90
100;Hotels zonder ster;2013 4e kwartaal;330
101;Hotels zonder ster;2013;1470
102;Hotels zonder ster;2014 januari;100
103;Hotels zonder ster;2014 februari;100
104;Hotels zonder ster;2014 maart;120
105;Hotels zonder ster;2014 1e kwartaal;330
106;Hotels zonder ster;2014 april;160
107;Hotels zonder ster;2014 mei;160
108;Hotels zonder ster;2014 juni;150
109;Hotels zonder ster;2014 2e kwartaal;470
110;Hotels zonder ster;2014 juli;120
111;Hotels zonder ster;2014 augustus;130
112;Hotels zonder ster;2014 september;160
113;Hotels zonder ster;2014 3e kwartaal;420
114;Hotels zonder ster;2014 oktober;140
115;Hotels zonder ster;2014 november;120
116;Hotels zonder ster;2014 december;90
117;Hotels zonder ster;2014 4e kwartaal;350
118;Hotels zonder ster;2014;1570
119;Hotels zonder ster;2015 januari;120
120;Hotels zonder ster;2015 februari;120
121;Hotels zonder ster;2015 maart;140
122;Hotels zonder ster;2015 1e kwartaal;380
123;Hotels zonder ster;2015 april;160
124;Hotels zonder ster;2015 mei;180
125;Hotels zonder ster;2015 juni;170
126;Hotels zonder ster;2015 2e kwartaal;520
127;Hotels zonder ster;2015 juli;150
128;Hotels zonder ster;2015 augustus;160
129;Hotels zonder ster;2015 september;190
130;Hotels zonder ster;2015 3e kwartaal;500
131;Hotels zonder ster;2015 oktober;170
132;Hotels zonder ster;2015 november;130
133;Hotels zonder ster;2015 december;110
134;Hotels zonder ster;2015 4e kwartaal;410
135;Hotels zonder ster;2015;1800
136;Hotels met 1 ster;2012 januari;10
137;Hotels met 1 ster;2012 februari;10
138;Hotels met 1 ster;2012 maart;10
139;Hotels met 1 ster;2012 1e kwartaal;40
140;Hotels met 1 ster;2012 april;10
141;Hotels met 1 ster;2012 mei;20
142;Hotels met 1 ster;2012 juni;20
143;Hotels met 1 ster;2012 2e kwartaal;40
144;Hotels met 1 ster;2012 juli;10
145;Hotels met 1 ster;2012 augustus;10
146;Hotels met 1 ster;2012 september;10
147;Hotels met 1 ster;2012 3e kwartaal;40
148;Hotels met 1 ster;2012 oktober;10
149;Hotels met 1 ster;2012 november;10
150;Hotels met 1 ster;2012 december;10
151;Hotels met 1 ster;2012 4e kwartaal;40
152;Hotels met 1 ster;2012;150
