ID;Bedrijfstak;Landen;Perioden;UrenPerWerkzamePersoon_1
0;Landbouw;Australië;1979;2171.0
1;Landbouw;Australië;1980;2142.0
2;Landbouw;Australië;1981;2142.0
3;Landbouw;Australië;1982;2129.0
4;Landbouw;Australië;1983;2112.0
5;Landbouw;Australië;1984;2130.0
6;Landbouw;Australië;1985;2119.0
7;Landbouw;Australië;1986;2048.0
8;Landbouw;Australië;1987;2126.0
9;Landbouw;Australië;1988;2158.0
10;Landbouw;Australië;1989;2061.0
11;Landbouw;Australië;1990;2106.0
12;Landbouw;Australië;1991;2113.0
13;Landbouw;Australië;1992;2087.0
14;Landbouw;Australië;1993;2126.0
15;Landbouw;Australië;1994;2087.0
16;Landbouw;Australië;1995;2080.0
17;Landbouw;Australië;1996;2089.0
18;Landbouw;Australië;1997;2156.0
19;Landbouw;Australië;1998;2094.0
20;Landbouw;Australië;1999;2131.0
21;Landbouw;Australië;2000;2101.0
22;Landbouw;Australië;2001;2174.0
23;Landbouw;Australië;2002;2097.0
24;Landbouw;Australië;2003;2132.0
25;Landbouw;Australië;2004;
26;Landbouw;België;1979;1311.0
27;Landbouw;België;1980;1296.0
28;Landbouw;België;1981;1279.0
29;Landbouw;België;1982;1268.0
30;Landbouw;België;1983;1272.0
31;Landbouw;België;1984;1287.0
32;Landbouw;België;1985;1293.0
33;Landbouw;België;1986;1282.0
34;Landbouw;België;1987;1274.0
35;Landbouw;België;1988;1269.0
36;Landbouw;België;1989;1260.0
37;Landbouw;België;1990;1269.0
38;Landbouw;België;1991;1244.0
39;Landbouw;België;1992;1231.0
40;Landbouw;België;1993;1202.0
41;Landbouw;België;1994;1204.0
42;Landbouw;België;1995;1226.0
43;Landbouw;België;1996;1116.0
44;Landbouw;België;1997;1107.0
45;Landbouw;België;1998;1106.0
46;Landbouw;België;1999;1168.0
47;Landbouw;België;2000;1205.0
48;Landbouw;België;2001;1215.0
49;Landbouw;België;2002;1152.0
50;Landbouw;België;2003;1148.0
51;Landbouw;België;2004;
52;Landbouw;Canada;1979;2218.0
53;Landbouw;Canada;1980;2109.0
54;Landbouw;Canada;1981;2102.0
55;Landbouw;Canada;1982;2145.0
56;Landbouw;Canada;1983;2080.0
57;Landbouw;Canada;1984;2067.0
58;Landbouw;Canada;1985;2086.0
59;Landbouw;Canada;1986;2071.0
60;Landbouw;Canada;1987;2061.0
61;Landbouw;Canada;1988;2040.0
62;Landbouw;Canada;1989;2067.0
63;Landbouw;Canada;1990;2070.0
64;Landbouw;Canada;1991;2074.0
65;Landbouw;Canada;1992;2063.0
66;Landbouw;Canada;1993;2058.0
67;Landbouw;Canada;1994;2045.0
68;Landbouw;Canada;1995;2039.0
69;Landbouw;Canada;1996;2055.0
70;Landbouw;Canada;1997;2091.0
71;Landbouw;Canada;1998;2121.0
72;Landbouw;Canada;1999;2130.0
73;Landbouw;Canada;2000;2151.0
74;Landbouw;Canada;2001;2163.0
75;Landbouw;Canada;2002;2115.0
76;Landbouw;Canada;2003;2147.0
77;Landbouw;Canada;2004;
78;Landbouw;Denemarken;1979;1706.0
79;Landbouw;Denemarken;1980;1702.0
80;Landbouw;Denemarken;1981;1677.0
81;Landbouw;Denemarken;1982;1638.0
82;Landbouw;Denemarken;1983;1605.0
83;Landbouw;Denemarken;1984;1591.0
84;Landbouw;Denemarken;1985;1571.0
85;Landbouw;Denemarken;1986;1574.0
86;Landbouw;Denemarken;1987;1571.0
87;Landbouw;Denemarken;1988;1561.0
88;Landbouw;Denemarken;1989;1589.0
89;Landbouw;Denemarken;1990;1605.0
90;Landbouw;Denemarken;1991;1618.0
91;Landbouw;Denemarken;1992;1595.0
92;Landbouw;Denemarken;1993;1596.0
93;Landbouw;Denemarken;1994;1590.0
94;Landbouw;Denemarken;1995;1577.0
95;Landbouw;Denemarken;1996;1574.0
96;Landbouw;Denemarken;1997;1542.0
97;Landbouw;Denemarken;1998;1587.0
98;Landbouw;Denemarken;1999;1595.0
99;Landbouw;Denemarken;2000;1619.0
100;Landbouw;Denemarken;2001;1741.0
101;Landbouw;Denemarken;2002;1793.0
102;Landbouw;Denemarken;2003;1724.0
103;Landbouw;Denemarken;2004;
104;Landbouw;Duitsland;1979;1523.0
105;Landbouw;Duitsland;1980;1500.0
106;Landbouw;Duitsland;1981;1486.0
107;Landbouw;Duitsland;1982;1490.0
108;Landbouw;Duitsland;1983;1471.0
109;Landbouw;Duitsland;1984;1457.0
110;Landbouw;Duitsland;1985;1442.0
111;Landbouw;Duitsland;1986;1441.0
112;Landbouw;Duitsland;1987;1443.0
113;Landbouw;Duitsland;1988;1450.0
114;Landbouw;Duitsland;1989;1443.0
115;Landbouw;Duitsland;1990;1411.0
116;Landbouw;Duitsland;1991;1405.0
117;Landbouw;Duitsland;1992;1567.0
118;Landbouw;Duitsland;1993;1595.0
119;Landbouw;Duitsland;1994;1589.0
120;Landbouw;Duitsland;1995;1571.0
