ID;Beroep;BeroepVoorgaandePeriode;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1
81;Totaal;Totaal;Totaal personen;2019 4e kwartaal;8702.0
82;Totaal;Totaal;Totaal personen;2019;8249.0
83;Totaal;Totaal;Totaal personen;2020 1e kwartaal;8735.0
84;Totaal;Totaal;Totaal personen;2020 2e kwartaal;8675.0
85;Totaal;Totaal;Totaal personen;2020 3e kwartaal;8604.0
86;Totaal;Totaal;Totaal personen;2020 4e kwartaal;8638.0
87;Totaal;Totaal;Totaal personen;2020;8320.0
88;Totaal;Totaal;Totaal personen;2021 1e kwartaal;
89;Totaal;Totaal;Totaal personen;2021 2e kwartaal;8857.0
90;Totaal;Totaal;Totaal personen;2021 3e kwartaal;8910.0
91;Totaal;Totaal;Totaal personen;2021 4e kwartaal;8977.0
92;Totaal;Totaal;Totaal personen;2022 1e kwartaal;9073.0
93;Totaal;Totaal;Totaal personen;2022 2e kwartaal;9156.0
94;Totaal;Totaal;Geslacht: Mannen;2003 2e kwartaal;4263.0
95;Totaal;Totaal;Geslacht: Mannen;2003 3e kwartaal;4248.0
96;Totaal;Totaal;Geslacht: Mannen;2003 4e kwartaal;4250.0
97;Totaal;Totaal;Geslacht: Mannen;2004 1e kwartaal;4252.0
98;Totaal;Totaal;Geslacht: Mannen;2004 2e kwartaal;4237.0
99;Totaal;Totaal;Geslacht: Mannen;2004 3e kwartaal;4223.0
100;Totaal;Totaal;Geslacht: Mannen;2004 4e kwartaal;4225.0
101;Totaal;Totaal;Geslacht: Mannen;2004;4139.0
102;Totaal;Totaal;Geslacht: Mannen;2005 1e kwartaal;4212.0
103;Totaal;Totaal;Geslacht: Mannen;2005 2e kwartaal;4223.0
104;Totaal;Totaal;Geslacht: Mannen;2005 3e kwartaal;4234.0
105;Totaal;Totaal;Geslacht: Mannen;2005 4e kwartaal;4223.0
106;Totaal;Totaal;Geslacht: Mannen;2005;4095.0
107;Totaal;Totaal;Geslacht: Mannen;2006 1e kwartaal;4236.0
108;Totaal;Totaal;Geslacht: Mannen;2006 2e kwartaal;4237.0
109;Totaal;Totaal;Geslacht: Mannen;2006 3e kwartaal;4271.0
110;Totaal;Totaal;Geslacht: Mannen;2006 4e kwartaal;4303.0
111;Totaal;Totaal;Geslacht: Mannen;2006;4115.0
112;Totaal;Totaal;Geslacht: Mannen;2007 1e kwartaal;4348.0
113;Totaal;Totaal;Geslacht: Mannen;2007 2e kwartaal;4372.0
114;Totaal;Totaal;Geslacht: Mannen;2007 3e kwartaal;4384.0
115;Totaal;Totaal;Geslacht: Mannen;2007 4e kwartaal;4390.0
116;Totaal;Totaal;Geslacht: Mannen;2007;4249.0
117;Totaal;Totaal;Geslacht: Mannen;2008 1e kwartaal;4423.0
118;Totaal;Totaal;Geslacht: Mannen;2008 2e kwartaal;4444.0
119;Totaal;Totaal;Geslacht: Mannen;2008 3e kwartaal;4476.0
120;Totaal;Totaal;Geslacht: Mannen;2008 4e kwartaal;4460.0
121;Totaal;Totaal;Geslacht: Mannen;2008;4318.0
122;Totaal;Totaal;Geslacht: Mannen;2009 1e kwartaal;4454.0
123;Totaal;Totaal;Geslacht: Mannen;2009 2e kwartaal;4439.0
124;Totaal;Totaal;Geslacht: Mannen;2009 3e kwartaal;4416.0
125;Totaal;Totaal;Geslacht: Mannen;2009 4e kwartaal;4374.0
126;Totaal;Totaal;Geslacht: Mannen;2009;4327.0
127;Totaal;Totaal;Geslacht: Mannen;2010 1e kwartaal;4334.0
128;Totaal;Totaal;Geslacht: Mannen;2010 2e kwartaal;4302.0
129;Totaal;Totaal;Geslacht: Mannen;2010 3e kwartaal;4335.0
130;Totaal;Totaal;Geslacht: Mannen;2010 4e kwartaal;4348.0
131;Totaal;Totaal;Geslacht: Mannen;2010;4241.0
132;Totaal;Totaal;Geslacht: Mannen;2011 1e kwartaal;4328.0
133;Totaal;Totaal;Geslacht: Mannen;2011 2e kwartaal;4312.0
134;Totaal;Totaal;Geslacht: Mannen;2011 3e kwartaal;4322.0
135;Totaal;Totaal;Geslacht: Mannen;2011 4e kwartaal;4332.0
136;Totaal;Totaal;Geslacht: Mannen;2011;4196.0
137;Totaal;Totaal;Geslacht: Mannen;2012 1e kwartaal;4325.0
138;Totaal;Totaal;Geslacht: Mannen;2012 2e kwartaal;4345.0
139;Totaal;Totaal;Geslacht: Mannen;2012 3e kwartaal;4350.0
140;Totaal;Totaal;Geslacht: Mannen;2012 4e kwartaal;4341.0
141;Totaal;Totaal;Geslacht: Mannen;2012;4199.0
142;Totaal;Totaal;Geslacht: Mannen;2013 1e kwartaal;4320.0
143;Totaal;Totaal;Geslacht: Mannen;2013 2e kwartaal;4290.0
144;Totaal;Totaal;Geslacht: Mannen;2013 3e kwartaal;4297.0
145;Totaal;Totaal;Geslacht: Mannen;2013 4e kwartaal;4304.0
146;Totaal;Totaal;Geslacht: Mannen;2013;4187.0
147;Totaal;Totaal;Geslacht: Mannen;2014 1e kwartaal;4294.0
148;Totaal;Totaal;Geslacht: Mannen;2014 2e kwartaal;4283.0
149;Totaal;Totaal;Geslacht: Mannen;2014 3e kwartaal;4295.0
150;Totaal;Totaal;Geslacht: Mannen;2014 4e kwartaal;4294.0
151;Totaal;Totaal;Geslacht: Mannen;2014;4150.0
152;Totaal;Totaal;Geslacht: Mannen;2015 1e kwartaal;4307.0
153;Totaal;Totaal;Geslacht: Mannen;2015 2e kwartaal;4317.0
154;Totaal;Totaal;Geslacht: Mannen;2015 3e kwartaal;4329.0
155;Totaal;Totaal;Geslacht: Mannen;2015 4e kwartaal;4332.0
156;Totaal;Totaal;Geslacht: Mannen;2015;4160.0
157;Totaal;Totaal;Geslacht: Mannen;2016 1e kwartaal;4319.0
158;Totaal;Totaal;Geslacht: Mannen;2016 2e kwartaal;4355.0
159;Totaal;Totaal;Geslacht: Mannen;2016 3e kwartaal;4367.0
160;Totaal;Totaal;Geslacht: Mannen;2016 4e kwartaal;4402.0
161;Totaal;Totaal;Geslacht: Mannen;2016;4200.0
162;Totaal;Totaal;Geslacht: Mannen;2017 1e kwartaal;4407.0
163;Totaal;Totaal;Geslacht: Mannen;2017 2e kwartaal;4435.0
164;Totaal;Totaal;Geslacht: Mannen;2017 3e kwartaal;4463.0
165;Totaal;Totaal;Geslacht: Mannen;2017 4e kwartaal;4515.0
166;Totaal;Totaal;Geslacht: Mannen;2017;4251.0
167;Totaal;Totaal;Geslacht: Mannen;2018 1e kwartaal;4526.0
168;Totaal;Totaal;Geslacht: Mannen;2018 2e kwartaal;4552.0
169;Totaal;Totaal;Geslacht: Mannen;2018 3e kwartaal;4568.0
170;Totaal;Totaal;Geslacht: Mannen;2018 4e kwartaal;4591.0
171;Totaal;Totaal;Geslacht: Mannen;2018;4358.0
172;Totaal;Totaal;Geslacht: Mannen;2019 1e kwartaal;4600.0
173;Totaal;Totaal;Geslacht: Mannen;2019 2e kwartaal;4602.0
174;Totaal;Totaal;Geslacht: Mannen;2019 3e kwartaal;4633.0
175;Totaal;Totaal;Geslacht: Mannen;2019 4e kwartaal;4660.0
176;Totaal;Totaal;Geslacht: Mannen;2019;4438.0
177;Totaal;Totaal;Geslacht: Mannen;2020 1e kwartaal;4679.0
178;Totaal;Totaal;Geslacht: Mannen;2020 2e kwartaal;4617.0
179;Totaal;Totaal;Geslacht: Mannen;2020 3e kwartaal;4586.0
180;Totaal;Totaal;Geslacht: Mannen;2020 4e kwartaal;4594.0
181;Totaal;Totaal;Geslacht: Mannen;2020;4472.0
182;Totaal;Totaal;Geslacht: Mannen;2021 1e kwartaal;
183;Totaal;Totaal;Geslacht: Mannen;2021 2e kwartaal;4708.0
184;Totaal;Totaal;Geslacht: Mannen;2021 3e kwartaal;4709.0
185;Totaal;Totaal;Geslacht: Mannen;2021 4e kwartaal;4750.0
186;Totaal;Totaal;Geslacht: Mannen;2022 1e kwartaal;4810.0
187;Totaal;Totaal;Geslacht: Mannen;2022 2e kwartaal;4843.0
188;Totaal;Totaal;Geslacht: Vrouwen;2003 2e kwartaal;3254.0
189;Totaal;Totaal;Geslacht: Vrouwen;2003 3e kwartaal;3256.0
190;Totaal;Totaal;Geslacht: Vrouwen;2003 4e kwartaal;3240.0
191;Totaal;Totaal;Geslacht: Vrouwen;2004 1e kwartaal;3224.0
192;Totaal;Totaal;Geslacht: Vrouwen;2004 2e kwartaal;3232.0
193;Totaal;Totaal;Geslacht: Vrouwen;2004 3e kwartaal;3270.0
194;Totaal;Totaal;Geslacht: Vrouwen;2004 4e kwartaal;3277.0
195;Totaal;Totaal;Geslacht: Vrouwen;2004;3101.0
196;Totaal;Totaal;Geslacht: Vrouwen;2005 1e kwartaal;3287.0
197;Totaal;Totaal;Geslacht: Vrouwen;2005 2e kwartaal;3293.0
198;Totaal;Totaal;Geslacht: Vrouwen;2005 3e kwartaal;3314.0
199;Totaal;Totaal;Geslacht: Vrouwen;2005 4e kwartaal;3353.0
200;Totaal;Totaal;Geslacht: Vrouwen;2005;3155.0
201;Totaal;Totaal;Geslacht: Vrouwen;2006 1e kwartaal;3355.0
202;Totaal;Totaal;Geslacht: Vrouwen;2006 2e kwartaal;3377.0
203;Totaal;Totaal;Geslacht: Vrouwen;2006 3e kwartaal;3383.0
204;Totaal;Totaal;Geslacht: Vrouwen;2006 4e kwartaal;3405.0
205;Totaal;Totaal;Geslacht: Vrouwen;2006;3218.0
206;Totaal;Totaal;Geslacht: Vrouwen;2007 1e kwartaal;3429.0
207;Totaal;Totaal;Geslacht: Vrouwen;2007 2e kwartaal;3467.0
208;Totaal;Totaal;Geslacht: Vrouwen;2007 3e kwartaal;3512.0
209;Totaal;Totaal;Geslacht: Vrouwen;2007 4e kwartaal;3553.0
210;Totaal;Totaal;Geslacht: Vrouwen;2007;3297.0
211;Totaal;Totaal;Geslacht: Vrouwen;2008 1e kwartaal;3566.0
212;Totaal;Totaal;Geslacht: Vrouwen;2008 2e kwartaal;3599.0
213;Totaal;Totaal;Geslacht: Vrouwen;2008 3e kwartaal;3613.0
