ID;EnergyCommodities;SectorBranchesSIC2008;Periods;TotalEnergyConsumption_1;FinalEnergyConsumption_2;NonEnergyUse_3;NetEnergyTransformation_4;EnergyTransformationInput_5;EnergyTransformationOutput_6;TotalEnergyConsumption_7;IndigenousProduction_8;SupplyOfEnergy_9;DeliveryOfEnergy_10;StockChange_11
0;Total energy commodities;A-U All economic activities;2011;2325.5;1223.0;573.4;529.0;4256.6;3727.6;2325.5;2687.9;16138.5;16633.2;132.4
1;Total energy commodities;A-U All economic activities;2012;2318.7;1211.7;592.2;514.9;4317.8;3802.9;2318.7;2701.2;16641.0;16974.6;-48.9
2;Total energy commodities;A-U All economic activities;2013;2283.1;1202.6;582.8;497.7;4251.6;3753.9;2283.1;2893.3;16494.3;17073.2;-31.5
3;Total energy commodities;A-U All economic activities;2014;2263.1;1139.5;586.5;537.0;4393.1;3856.0;2263.1;2530.7;16774.7;16894.0;-148.6
4;Total energy commodities;A-U All economic activities;2015;2296.3;1170.8;562.3;563.1;4675.4;4112.3;2296.3;2132.7;20182.6;19732.0;-287.0
5;Total energy commodities;A-U All economic activities;2016;2305.0;1195.1;565.2;544.7;4842.3;4297.6;2305.1;1999.3;20413.4;20209.3;101.7
6;Total energy commodities;A Agriculture, forestry and fishing;2011;166.3;151.9;;14.4;110.6;96.2;166.3;9.1;191.4;34.2;
7;Total energy commodities;A Agriculture, forestry and fishing;2012;168.0;155.0;;13.0;105.7;92.8;168.0;9.1;190.6;31.7;
8;Total energy commodities;A Agriculture, forestry and fishing;2013;168.4;156.0;;12.4;103.4;90.9;168.4;9.7;189.3;30.5;
9;Total energy commodities;A Agriculture, forestry and fishing;2014;156.5;146.1;;10.5;86.8;76.4;156.5;11.4;169.3;24.1;
10;Total energy commodities;A Agriculture, forestry and fishing;2015;164.3;153.3;;11.0;92.0;81.0;164.3;13.1;176.0;24.8;
11;Total energy commodities;A Agriculture, forestry and fishing;2016;167.1;156.8;;10.3;84.2;73.9;167.1;13.2;176.6;22.8;
12;Total energy commodities;01 Agriculture;2011;157.7;143.3;;14.4;110.6;96.2;157.7;9.1;182.8;34.2;
13;Total energy commodities;01 Agriculture;2012;160.5;147.5;;13.0;105.7;92.8;160.5;9.1;183.1;31.7;
14;Total energy commodities;01 Agriculture;2013;160.1;147.7;;12.4;103.4;90.9;160.1;9.7;181.0;30.5;
15;Total energy commodities;01 Agriculture;2014;148.2;137.7;;10.5;86.8;76.4;148.2;11.4;160.9;24.1;
16;Total energy commodities;01 Agriculture;2015;156.5;145.5;;11.0;92.0;81.0;156.5;13.1;168.3;24.8;
17;Total energy commodities;01 Agriculture;2016;159.5;149.2;;10.3;84.2;73.9;159.5;13.2;169.0;22.8;
18;Total energy commodities;02 Forestry and logging;2011;;;;;;;;;;;
19;Total energy commodities;02 Forestry and logging;2012;;;;;;;;;;;
20;Total energy commodities;02 Forestry and logging;2013;;;;;;;;;;;
21;Total energy commodities;02 Forestry and logging;2014;;;;;;;;;;;
22;Total energy commodities;02 Forestry and logging;2015;;;;;;;;;;;
23;Total energy commodities;02 Forestry and logging;2016;;;;;;;;;;;
24;Total energy commodities;03 Fishing and aquaculture;2011;8.5;8.5;;;;;8.5;;8.5;;
25;Total energy commodities;03 Fishing and aquaculture;2012;7.5;7.5;;;;;7.5;;7.5;;
26;Total energy commodities;03 Fishing and aquaculture;2013;8.3;8.3;;;;;8.3;;8.3;;
27;Total energy commodities;03 Fishing and aquaculture;2014;8.3;8.3;;;;;8.3;;8.3;;
28;Total energy commodities;03 Fishing and aquaculture;2015;7.8;7.8;;;;;7.8;;7.8;;
29;Total energy commodities;03 Fishing and aquaculture;2016;7.6;7.6;;;;;7.6;;7.6;;
30;Total energy commodities;B-E Industry (no construction), energy;2011;1839.8;768.4;562.6;508.8;3780.0;3271.2;1839.8;2658.5;8569.1;9456.1;68.4
31;Total energy commodities;B-E Industry (no construction), energy;2012;1820.3;744.6;581.7;493.9;3712.0;3218.0;1820.3;2645.5;8593.9;9375.2;-43.9
32;Total energy commodities;B-E Industry (no construction), energy;2013;1781.1;735.3;572.0;473.7;3617.3;3143.6;1781.1;2816.6;8357.7;9412.0;18.6
33;Total energy commodities;B-E Industry (no construction), energy;2014;1807.5;716.9;576.0;514.6;3730.1;3215.5;1807.5;2451.1;8477.4;9022.1;-99.2
34;Total energy commodities;B-E Industry (no construction), energy;2015;1814.8;728.1;552.7;534.0;3870.3;3336.3;1814.8;2114.8;10925.1;;
35;Total energy commodities;B-E Industry (no construction), energy;2016;1820.8;743.6;557.0;520.2;3908.4;3388.2;1820.8;1979.6;10849.0;;
36;Total energy commodities;B Mining and quarrying ;2011;38.2;37.9;;0.3;2.9;2.6;38.2;2480.4;702.9;3142.8;-2.2
37;Total energy commodities;B Mining and quarrying ;2012;40.6;40.3;;0.3;3.4;3.1;40.6;2467.5;797.1;3219.7;-4.3
38;Total energy commodities;B Mining and quarrying ;2013;46.4;45.9;;0.5;9.6;9.1;46.4;2651.3;827.7;3434.1;1.6
39;Total energy commodities;B Mining and quarrying ;2014;40.2;39.8;;0.4;8.4;8.0;40.2;2263.8;887.0;3027.0;-83.6
40;Total energy commodities;B Mining and quarrying ;2015;39.8;39.5;;0.3;1.8;1.5;39.8;1857.2;17.3;1840.8;6.0
41;Total energy commodities;B Mining and quarrying ;2016;39.1;39.0;;0.1;0.5;0.4;39.1;1725.0;15.1;1699.3;-1.8
42;Total energy commodities;06 Extraction of crude petroleum and gas;2011;32.1;32.0;;0.1;1.0;0.9;32.1;2480.4;696.6;3142.6;-2.2
43;Total energy commodities;06 Extraction of crude petroleum and gas;2012;34.1;34.0;;0.1;1.5;1.4;34.1;2467.5;789.5;3218.6;-4.3
44;Total energy commodities;06 Extraction of crude petroleum and gas;2013;40.2;39.9;;0.3;7.7;7.4;40.2;2651.3;819.9;3432.6;1.6
45;Total energy commodities;06 Extraction of crude petroleum and gas;2014;36.2;35.9;;0.3;7.4;7.1;36.2;2263.8;882.8;3026.8;-83.6
46;Total energy commodities;06 Extraction of crude petroleum and gas;2015;34.6;34.3;;;;;34.6;1857.2;12.1;1840.8;6.0
47;Total energy commodities;06 Extraction of crude petroleum and gas;2016;34.0;33.9;;;;;34.0;1725.0;10.1;1699.3;-1.8
48;Total energy commodities;08 Mining and quarrying (no oil and gas);2011;6.0;5.8;;0.2;1.9;1.7;6.0;;6.2;0.2;0.0
49;Total energy commodities;08 Mining and quarrying (no oil and gas);2012;6.4;6.2;;0.2;1.9;1.7;6.4;;6.6;0.2;0.0
50;Total energy commodities;08 Mining and quarrying (no oil and gas);2013;6.1;5.9;;0.2;1.9;1.7;6.1;;6.3;0.2;0.0
51;Total energy commodities;08 Mining and quarrying (no oil and gas);2014;3.9;3.8;;0.1;1.0;0.9;3.9;;4.2;0.2;0.0
52;Total energy commodities;08 Mining and quarrying (no oil and gas);2015;5.1;5.1;;;;;5.1;;5.1;;0.0
53;Total energy commodities;08 Mining and quarrying (no oil and gas);2016;4.9;4.9;;;;;4.9;;4.9;;0.0
54;Total energy commodities;09 Mining support activities;2011;0.0;0.0;;;;;0.0;;0.0;;
55;Total energy commodities;09 Mining support activities;2012;0.1;0.1;;;;;0.1;;0.9;0.8;
56;Total energy commodities;09 Mining support activities;2013;0.1;0.1;;;;;0.1;;1.4;1.4;
57;Total energy commodities;09 Mining support activities;2014;0.1;0.1;;;;;0.1;;0.1;;
58;Total energy commodities;09 Mining support activities;2015;0.1;0.1;;;;;0.1;;0.1;;
59;Total energy commodities;09 Mining support activities;2016;0.1;0.1;;;;;0.1;;0.1;;
60;Total energy commodities;C Manufacturing;2011;1394.0;690.5;562.6;140.9;2944.1;2803.2;1394.0;24.2;6073.6;4775.6;71.9
61;Total energy commodities;C Manufacturing;2012;1388.6;661.4;581.7;145.5;2943.1;2797.6;1388.6;24.5;6017.0;4613.1;-39.7
62;Total energy commodities;C Manufacturing;2013;1355.3;645.5;572.0;137.7;2858.1;2720.4;1355.3;26.2;5724.3;4413.8;18.5
63;Total energy commodities;C Manufacturing;2014;1357.4;635.6;576.0;145.8;2922.0;2776.2;1357.4;33.5;5901.6;4565.8;-11.8
64;Total energy commodities;C Manufacturing;2015;1338.3;642.2;552.7;143.4;3026.7;2883.3;1338.3;90.9;6153.9;4874.8;-31.7
65;Total energy commodities;C Manufacturing;2016;1348.9;659.6;557.0;132.3;3058.9;2926.6;1348.9;84.2;5976.0;4744.7;33.4
66;Total energy commodities;10-12 Manufacture of food and beverages;2011;85.2;79.4;0.3;5.5;25.6;20.1;85.2;1.0;85.9;1.8;0.0
67;Total energy commodities;10-12 Manufacture of food and beverages;2012;81.1;77.4;0.2;3.5;22.9;19.5;81.1;1.1;82.2;2.3;0.0
68;Total energy commodities;10-12 Manufacture of food and beverages;2013;80.2;76.4;0.3;3.5;22.7;19.2;80.2;2.1;80.4;2.2;-0.1
69;Total energy commodities;10-12 Manufacture of food and beverages;2014;85.0;81.4;0.3;3.3;22.2;18.8;85.0;2.2;85.1;2.4;0.0
70;Total energy commodities;10-12 Manufacture of food and beverages;2015;88.5;84.7;0.3;3.5;21.1;17.6;88.5;6.2;89.0;6.7;0.0
71;Total energy commodities;10-12 Manufacture of food and beverages;2016;90.2;87.2;0.2;2.8;19.0;16.2;90.2;6.5;91.0;7.1;-0.2
72;Total energy commodities;10 Manufacture of food products;2011;79.7;74.1;0.3;5.2;23.6;18.4;79.7;0.8;80.6;1.8;0.0
73;Total energy commodities;10 Manufacture of food products;2012;75.7;72.2;0.2;3.2;21.0;17.7;75.7;1.0;77.0;2.2;0.0
74;Total energy commodities;10 Manufacture of food products;2013;74.8;71.3;0.3;3.3;20.8;17.5;74.8;1.9;75.2;2.2;-0.1
75;Total energy commodities;10 Manufacture of food products;2014;80.3;77.0;0.3;3.1;20.2;17.1;80.3;2.0;80.6;2.3;0.0
76;Total energy commodities;10 Manufacture of food products;2015;83.8;80.5;0.3;3.1;19.1;16.1;83.8;6.0;84.4;6.7;0.0
77;Total energy commodities;10 Manufacture of food products;2016;85.7;82.8;0.2;2.6;17.4;14.8;85.7;6.4;86.6;7.1;-0.2
78;Total energy commodities;101 Slaughtering, processing of meat;2011;5.5;5.5;;0.0;0.0;0.0;5.5;;5.5;0.0;
79;Total energy commodities;101 Slaughtering, processing of meat;2012;4.7;4.6;;0.0;0.1;0.0;4.7;;4.8;0.1;
80;Total energy commodities;101 Slaughtering, processing of meat;2013;5.2;5.2;;;;;5.2;;5.2;;
81;Total energy commodities;101 Slaughtering, processing of meat;2014;5.0;5.0;;;;;5.0;;5.0;;
82;Total energy commodities;101 Slaughtering, processing of meat;2015;5.4;5.4;;;;;5.4;;5.4;0.0;
83;Total energy commodities;101 Slaughtering, processing of meat;2016;6.3;6.3;;;;;6.3;;6.3;0.0;
84;Total energy commodities;102 Processing of fish;2011;;;;;;;;;;;
85;Total energy commodities;102 Processing of fish;2012;;;;;;;;;;;
86;Total energy commodities;102 Processing of fish;2013;;;;;;;;;;;
87;Total energy commodities;102 Processing of fish;2014;;;;;;;;;;;
88;Total energy commodities;102 Processing of fish;2015;;;;;;;;;;;
89;Total energy commodities;102 Processing of fish;2016;;;;;;;;;;;
90;Total energy commodities;103  Processing of vegetables and fruit;2011;11.2;11.0;;0.2;1.3;1.1;11.2;0.2;12.0;1.0;
91;Total energy commodities;103  Processing of vegetables and fruit;2012;10.5;10.3;;0.2;1.3;1.2;10.5;0.2;11.3;1.0;
92;Total energy commodities;103  Processing of vegetables and fruit;2013;10.2;9.9;;0.2;1.4;1.2;10.2;0.2;10.7;0.8;
93;Total energy commodities;103  Processing of vegetables and fruit;2014;9.6;9.5;;0.1;1.1;1.0;9.6;0.2;9.9;0.5;
94;Total energy commodities;103  Processing of vegetables and fruit;2015;9.6;9.4;;0.1;1.3;1.1;9.6;0.2;10.4;1.0;
95;Total energy commodities;103  Processing of vegetables and fruit;2016;9.9;9.7;;0.3;1.6;1.3;9.9;0.2;10.7;0.9;
96;Total energy commodities;104 Manufacture of edible oils and fats;2011;8.6;8.1;;0.5;4.9;4.4;8.6;;8.7;0.1;
97;Total energy commodities;104 Manufacture of edible oils and fats;2012;8.2;7.7;;0.5;4.7;4.2;8.2;;8.3;0.1;
98;Total energy commodities;104 Manufacture of edible oils and fats;2013;8.1;7.4;;0.7;5.0;4.3;8.1;;8.2;0.1;
99;Total energy commodities;104 Manufacture of edible oils and fats;2014;8.0;7.6;;0.5;4.0;3.6;8.0;;8.1;0.1;
100;Total energy commodities;104 Manufacture of edible oils and fats;2015;8.6;8.1;;0.5;4.6;4.1;8.6;;8.8;3.5;0.0
101;Total energy commodities;104 Manufacture of edible oils and fats;2016;7.9;7.5;;0.4;4.7;4.3;7.9;;8.2;4.1;-0.1
102;Total energy commodities;105 Manufacture of dairy products;2011;15.1;14.3;;0.8;5.3;4.5;15.1;;15.3;0.2;
103;Total energy commodities;105 Manufacture of dairy products;2012;14.1;13.3;;0.7;4.6;3.9;14.1;;14.3;0.2;
104;Total energy commodities;105 Manufacture of dairy products;2013;14.3;13.5;;0.8;4.4;3.6;14.3;;14.4;0.1;
105;Total energy commodities;105 Manufacture of dairy products;2014;21.1;20.4;;0.7;3.7;3.0;21.1;;21.2;0.1;
106;Total energy commodities;105 Manufacture of dairy products;2015;21.2;20.9;;0.3;3.0;2.6;21.2;0.0;21.2;0.0;
107;Total energy commodities;105 Manufacture of dairy products;2016;22.2;21.8;;0.3;2.4;2.1;22.2;0.2;22.1;0.1;
108;Total energy commodities;106 Grain milling and starch products;2011;10.4;8.8;;1.6;5.6;4.0;10.4;0.2;10.4;0.2;
109;Total energy commodities;106 Grain milling and starch products;2012;10.5;9.3;;1.2;5.8;4.6;10.5;0.2;10.6;0.3;
