ID;EnergyCommodities;Periods;EnergyConsumptionInTheEnergySector_1
0;1;1967;
1;1;1968;
2;1;1969;
3;1;1970;
4;1;1971;
5;1;1972;
6;1;1973;
7;1;1974;
8;1;1975;525.0
9;1;1976;575.0
10;1;1977;563.0
11;1;1978;556.0
12;1;1979;574.0
13;1;1980;546.0
14;1;1981;520.0
15;1;1982;496.0
16;1;1983;488.0
17;1;1984;512.0
18;1;1985;483.0
19;1;1986;530.0
20;1;1987;532.0
21;1;1988;544.0
22;1;1989;568.0
23;1;1990;539.0
24;1;1991;563.0
25;1;1992;567.0
26;1;1993;587.0
27;1;1994;593.0
28;1;1995;562.0
29;1;1996;567.0
30;1;1997;559.0
31;1;1998;586.0
32;1;1999 1st quarter;137.0
33;1;1999 2nd quarter;130.0
34;1;1999 3rd quarter;129.0
35;1;1999 4th quarter;141.0
36;1;1999;536.0
37;1;2000 1st quarter;141.0
38;1;2000 2nd quarter;129.0
39;1;2000 3rd quarter;140.0
40;1;2000 4th quarter;146.0
41;1;2000;556.0
42;1;2001 1st quarter;157.0
43;1;2001 2nd quarter;145.0
44;1;2001 3rd quarter;144.0
45;1;2001 4th quarter;159.0
46;1;2001;604.0
47;1;2002 1st quarter;155.0
48;1;2002 2nd quarter;144.0
49;1;2002 3rd quarter;147.0
50;1;2002 4th quarter;153.0
51;1;2002;599.0
52;1;2003 1st quarter;156.0
53;1;2003 2nd quarter;145.0
54;1;2003 3rd quarter;154.0
55;1;2003 4th quarter;157.0
56;1;2003;611.0
57;1;2004 1st quarter;163.0
58;1;2004 2nd quarter;148.0
59;1;2004 3rd quarter;156.0
60;1;2004 4th quarter;159.0
61;1;2004;626.0
62;1;2005 1st quarter;158.0
63;1;2005 2nd quarter;150.0
64;1;2005 3rd quarter;146.0
65;1;2005 4th quarter;157.0
66;1;2005;610.0
67;1;2006 1st quarter;156.0
68;1;2006 2nd quarter;134.0
69;1;2006 3rd quarter;144.0
70;1;2006 4th quarter;148.0
71;1;2006;582.0
72;1;2007 1st quarter;159.0
73;1;2007 2nd quarter;139.0
74;1;2007 3rd quarter;144.0
75;1;2007 4th quarter;159.0
76;1;2007;601.0
77;1;2008 1st quarter;159.0
78;1;2008 2nd quarter;137.0
79;1;2008 3rd quarter;139.0
80;1;2008 4th quarter;146.0
81;1;2008;582.0
82;1;2009 1st quarter;152.0
83;1;2009 2nd quarter;133.0
84;1;2009 3rd quarter;153.0
85;1;2009 4th quarter;162.0
86;1;2009;599.0
87;1;2010 1st quarter;165.0
88;1;2010 2nd quarter;139.0
89;1;2010 3rd quarter;140.0
90;1;2010 4th quarter;165.0
91;1;2010;608.0
92;1;2011 1st quarter;153.0
93;1;2011 2nd quarter;135.0
94;1;2011 3rd quarter;137.0
95;1;2011 4th quarter;158.0
96;1;2011;582.0
97;1;2012 1st quarter;154.0
98;1;2012 2nd quarter;122.0
99;1;2012 3rd quarter;131.0
100;1;2012 4th quarter;145.0
101;1;2012;551.0
102;1;2013 1st quarter;141.0
