ID;BedrijfstakkenBranchesSBI2008;Investeringsmotieven;Perioden;InvesteringenVerwachtingen_1;InvesteringenRealisaties_2
0;305700;Totaal;2023;;100.0
1;305700;Totaal;2024;100.0;
2;305700;Emissiereductie;2023;;6.0
3;305700;Emissiereductie;2024;4.0;
4;305700;Energiereductie;2023;;1.0
5;305700;Energiereductie;2024;2.0;
6;305700;Circulair produceren;2023;;1.0
7;305700;Circulair produceren;2024;3.0;
8;305700;Digitalisering;2023;;1.0
9;305700;Digitalisering;2024;3.0;
10;305700;Overig;2023;;91.0
11;305700;Overig;2024;88.0;
12;300002;Totaal;2023;;100.0
13;300002;Totaal;2024;100.0;
14;300002;Emissiereductie;2023;;9.0
15;300002;Emissiereductie;2024;6.0;
16;300002;Energiereductie;2023;;15.0
17;300002;Energiereductie;2024;21.0;
18;300002;Circulair produceren;2023;;3.0
19;300002;Circulair produceren;2024;3.0;
20;300002;Digitalisering;2023;;3.0
21;300002;Digitalisering;2024;2.0;
22;300002;Overig;2023;;70.0
23;300002;Overig;2024;68.0;
24;300003;Totaal;2023;;100.0
25;300003;Totaal;2024;100.0;
26;300003;Emissiereductie;2023;;9.0
27;300003;Emissiereductie;2024;6.0;
28;300003;Energiereductie;2023;;13.0
29;300003;Energiereductie;2024;20.0;
30;300003;Circulair produceren;2023;;3.0
31;300003;Circulair produceren;2024;3.0;
32;300003;Digitalisering;2023;;3.0
33;300003;Digitalisering;2024;2.0;
34;300003;Overig;2023;;72.0
35;300003;Overig;2024;69.0;
36;305800;Totaal;2023;;100.0
37;305800;Totaal;2024;100.0;
38;305800;Emissiereductie;2023;;0.0
39;305800;Emissiereductie;2024;1.0;
40;305800;Energiereductie;2023;;0.0
41;305800;Energiereductie;2024;1.0;
42;305800;Circulair produceren;2023;;0.0
43;305800;Circulair produceren;2024;1.0;
44;305800;Digitalisering;2023;;1.0
45;305800;Digitalisering;2024;3.0;
46;305800;Overig;2023;;99.0
47;305800;Overig;2024;94.0;
48;306300;Totaal;2023;;100.0
49;306300;Totaal;2024;100.0;
