ID;InvoerUitvoerEnSaldo;Landen;Perioden;TotaalDiensten_1;TotaalVervoersdiensten_2;TotaalZeevaart_3;Passagiersvervoer_4;Vrachtvervoer_5;VervoersondersteunendeDiensten_6;TotaalLuchtvaart_7;Passagiersvervoer_8;Vrachtvervoer_9;VervoersondersteunendeDiensten_10;TotaalOverigVervoer_11;TotaalPassagiersvervoer_12;Spoorvervoer_13;Wegvervoer_14;Binnenvaart_15;TotaalVrachtvervoer_16;Spoorvervoer_17;Wegvervoer_18;Binnenvaart_19;VervoerPerPijpleidingEnTransport_20;TotaalVervoersondersteunendeDiensten_21;Spoorvervoer_22;Wegvervoer_23;Binnenvaart_24;OverigeVervoersondersteunendeDiensten_25;TotaalReisverkeer_26;Zakelijk_27;Prive_28;TotaalCommunicatiediensten_29;PostEnKoeriersdiensten_30;Telecommunicatiediensten_31;TotaalBouwdiensten_32;BouwdienstenInHetBuitenland_33;BouwdienstenInNederland_34;Verzekeringsdiensten_35;FinancieleDiensten_36;TotaalComputerEnInformatiediensten_37;Computerdiensten_38;Informatiediensten_39;TotaalRoyaltySEnLicentierechten_40;FranchisesEnSoortgelijkeGebruiks_41;AndereGebruiksrechtenEnLicenties_42;TotaalOverigeZakelijkeDiensten_43;TransitohandelsEnAndereAanDeHan_44;OperationeleLeasing_45;TotaalOverigeZakelijkeProfessionele_46;JuridischeDiensten_47;AccountingAuditingBoekhouding_48;ZakelijkAdviesManagementadvies_49;AdverterenMarktonderzoekEnOpinie_50;ResearchEnOntwikkeling_51;ArchitectenIngenieursdienstenEnA_52;AfvalverwerkingEnMilieudiensten_53;LandbouwkundigeMijnbouwkundige_54;AndereNietEldersGenoemdeZakeli_55;IntraconcerndienstenNietEldersGenoemd_56;TotaalPersoonlijkeCultureleEnRec_57;AudiovisueleEnVerwanteDiensten_58;AnderePersoonlijkeCultureleEnR_59;OverheidsdienstenNietEldersGenoemd_60
0;Invoer van diensten;Totaal landen;2003 1e kwartaal;13812.0;2489.0;;;;;;;;;;;;;;;;;;;;;;;;2435.0;688.0;1746.0;573.0;;;225.0;;;153.0;165.0;562.0;;;1838.0;;;4936.0;;;;;;;;;;;;;;160.0;;;276.0
1;Invoer van diensten;Totaal landen;2003 2e kwartaal;15117.0;2383.0;;;;;;;;;;;;;;;;;;;;;;;;3549.0;764.0;2785.0;618.0;;;191.0;;;141.0;238.0;549.0;;;1496.0;;;5636.0;;;;;;;;;;;;;;147.0;;;168.0
2;Invoer van diensten;Totaal landen;2003 3e kwartaal;17113.0;2472.0;;;;;;;;;;;;;;;;;;;;;;;;4945.0;654.0;4291.0;628.0;;;245.0;;;139.0;227.0;564.0;;;1821.0;;;5683.0;;;;;;;;;;;;;;161.0;;;227.0
3;Invoer van diensten;Totaal landen;2003 4e kwartaal;16522.0;2639.0;;;;;;;;;;;;;;;;;;;;;;;;2760.0;1049.0;1711.0;608.0;;;264.0;;;151.0;233.0;610.0;;;2293.0;;;6614.0;;;;;;;;;;;;;;183.0;;;167.0
4;Invoer van diensten;Totaal landen;2003;62563.0;9983.0;4387.0;2.0;3219.0;1166.0;3946.0;299.0;267.0;3380.0;1649.0;177.0;;;;1300.0;;;;;172.0;;;;;13689.0;3155.0;10534.0;2427.0;;;925.0;;;584.0;863.0;2284.0;;;7448.0;;;22870.0;3253.0;530.0;19086.0;;;;;3573.0;;;;;10395.0;651.0;509.0;142.0;838.0
5;Invoer van diensten;Totaal landen;2004 1e kwartaal;14474.0;2606.0;;;;;;;;;;;;;;;;;;;;;;;;2585.0;854.0;1732.0;563.0;;;182.0;;;149.0;234.0;567.0;;;1512.0;;;5768.0;;;;;;;;;;;;;;163.0;;;144.0
6;Invoer van diensten;Totaal landen;2004 2e kwartaal;16257.0;2758.0;;;;;;;;;;;;;;;;;;;;;;;;3441.0;842.0;2599.0;567.0;;;215.0;;;149.0;244.0;628.0;;;1849.0;;;6064.0;;;;;;;;;;;;;;146.0;;;196.0
7;Invoer van diensten;Totaal landen;2004 3e kwartaal;17289.0;2799.0;;;;;;;;;;;;;;;;;;;;;;;;4511.0;511.0;4000.0;578.0;;;220.0;;;153.0;239.0;639.0;;;1752.0;;;6043.0;;;;;;;;;;;;;;172.0;;;182.0
8;Invoer van diensten;Totaal landen;2004 4e kwartaal;16077.0;2871.0;;;;;;;;;;;;;;;;;;;;;;;;2673.0;1043.0;1630.0;596.0;;;241.0;;;158.0;256.0;667.0;;;1781.0;;;6424.0;;;;;;;;;;;;;;224.0;;;185.0
9;Invoer van diensten;Totaal landen;2004;64097.0;11035.0;5240.0;2.0;3851.0;1387.0;3910.0;293.0;442.0;3174.0;1885.0;184.0;;;;1545.0;;;;;156.0;;;;;13211.0;3250.0;9961.0;2304.0;;;858.0;;;609.0;973.0;2501.0;;;6895.0;;;24298.0;3641.0;580.0;20077.0;;;;;3337.0;;;;;11566.0;705.0;624.0;82.0;707.0
