ID;RegioS;TypeVerwarmingsinstallatie;Perioden;Woningen_1
0;Nederland, Buitenland, Niet in te delen;Individuele cv;2017;84.7
1;Nederland, Buitenland, Niet in te delen;Individuele cv;2018;84.6
2;Nederland, Buitenland, Niet in te delen;Individuele cv;2019;84.2
3;Nederland, Buitenland, Niet in te delen;Individuele cv;2020;83.8
4;Nederland, Buitenland, Niet in te delen;Individuele cv;2021;83.5
5;Nederland, Buitenland, Niet in te delen;Individuele cv;2022;82.4
6;Nederland, Buitenland, Niet in te delen;Blokverwarming;2017;5.7
7;Nederland, Buitenland, Niet in te delen;Blokverwarming;2018;5.8
8;Nederland, Buitenland, Niet in te delen;Blokverwarming;2019;5.7
9;Nederland, Buitenland, Niet in te delen;Blokverwarming;2020;5.8
10;Nederland, Buitenland, Niet in te delen;Blokverwarming;2021;5.3
11;Nederland, Buitenland, Niet in te delen;Blokverwarming;2022;5.0
12;Nederland, Buitenland, Niet in te delen;Stadsverwarming met hoog gasverbruik;2017;0.3
13;Nederland, Buitenland, Niet in te delen;Stadsverwarming met hoog gasverbruik;2018;0.4
14;Nederland, Buitenland, Niet in te delen;Stadsverwarming met hoog gasverbruik;2019;0.4
15;Nederland, Buitenland, Niet in te delen;Stadsverwarming met hoog gasverbruik;2020;0.4
16;Nederland, Buitenland, Niet in te delen;Stadsverwarming met hoog gasverbruik;2021;0.4
17;Nederland, Buitenland, Niet in te delen;Stadsverwarming met hoog gasverbruik;2022;0.3
18;Nederland, Buitenland, Niet in te delen;Stadsverwarming met laag gasverbruik;2017;0.6
19;Nederland, Buitenland, Niet in te delen;Stadsverwarming met laag gasverbruik;2018;0.6
20;Nederland, Buitenland, Niet in te delen;Stadsverwarming met laag gasverbruik;2019;0.6
21;Nederland, Buitenland, Niet in te delen;Stadsverwarming met laag gasverbruik;2020;0.7
22;Nederland, Buitenland, Niet in te delen;Stadsverwarming met laag gasverbruik;2021;0.6
23;Nederland, Buitenland, Niet in te delen;Stadsverwarming met laag gasverbruik;2022;0.6
24;Nederland, Buitenland, Niet in te delen;Stadsverwarming zonder gasverbruik;2017;4.8
25;Nederland, Buitenland, Niet in te delen;Stadsverwarming zonder gasverbruik;2018;5.0
26;Nederland, Buitenland, Niet in te delen;Stadsverwarming zonder gasverbruik;2019;5.2
27;Nederland, Buitenland, Niet in te delen;Stadsverwarming zonder gasverbruik;2020;5.4
28;Nederland, Buitenland, Niet in te delen;Stadsverwarming zonder gasverbruik;2021;5.6
29;Nederland, Buitenland, Niet in te delen;Stadsverwarming zonder gasverbruik;2022;5.8
30;Nederland, Buitenland, Niet in te delen;Elektrisch verwarmd met hoog gasverbruik;2017;0.4
31;Nederland, Buitenland, Niet in te delen;Elektrisch verwarmd met hoog gasverbruik;2018;0.5
32;Nederland, Buitenland, Niet in te delen;Elektrisch verwarmd met hoog gasverbruik;2019;0.6
33;Nederland, Buitenland, Niet in te delen;Elektrisch verwarmd met hoog gasverbruik;2020;0.8
34;Nederland, Buitenland, Niet in te delen;Elektrisch verwarmd met hoog gasverbruik;2021;0.8
35;Nederland, Buitenland, Niet in te delen;Elektrisch verwarmd met hoog gasverbruik;2022;1.0
36;Nederland, Buitenland, Niet in te delen;Elektrisch verwarmd met laag gasverbruik;2017;0.0
