ID;Geslacht;Kenmerken;Perioden;WerkendeBevolking_1
0;1100;1;2010;7137
1;1100;2;2010;779
2;1100;3;2010;6279
3;1100;4;2010;4131
4;1100;5;2010;666
5;1100;6;2010;526
6;1100;7;2010;956
7;1100;8;2010;78
8;1100;9;2010;145
9;1100;10;2010;628
10;1100;11;2010;998
11;1100;12;2010;1408
12;1100;13;2010;1152
13;1100;14;2010;815
14;1100;15;2010;1265
15;1100;16;2010;498
16;1100;17;2010;228
17;3000;1;2010;3910
18;3000;2;2010;518
19;3000;3;2010;3350
20;3000;4;2010;2255
21;3000;5;2010;316
22;3000;6;2010;296
23;3000;7;2010;483
24;3000;8;2010;42
25;3000;9;2010;27
26;3000;10;2010;162
27;3000;11;2010;521
28;3000;12;2010;789
29;3000;13;2010;710
30;3000;14;2010;566
31;3000;15;2010;725
32;3000;16;2010;344
33;3000;17;2010;67
34;4000;1;2010;3227
35;4000;2;2010;261
36;4000;3;2010;2929
37;4000;4;2010;1876
38;4000;5;2010;350
39;4000;6;2010;230
40;4000;7;2010;473
41;4000;8;2010;37
42;4000;9;2010;119
43;4000;10;2010;466
44;4000;11;2010;477
45;4000;12;2010;619
46;4000;13;2010;442
47;4000;14;2010;250
48;4000;15;2010;540
49;4000;16;2010;153
50;4000;17;2010;161
