ID;SBI2008PartBedrijvenOverheid;Perioden;VacaturesSeizoengecorrigeerd_1
0;A-U Alle economische activiteiten;1997 1e kwartaal;83.8
1;A-U Alle economische activiteiten;1997 2e kwartaal;86.2
2;A-U Alle economische activiteiten;1997 3e kwartaal;107.6
3;A-U Alle economische activiteiten;1997 4e kwartaal;122.9
4;A-U Alle economische activiteiten;1998 1e kwartaal;128.0
5;A-U Alle economische activiteiten;1998 2e kwartaal;136.9
6;A-U Alle economische activiteiten;1998 3e kwartaal;145.3
7;A-U Alle economische activiteiten;1998 4e kwartaal;144.7
8;A-U Alle economische activiteiten;1999 1e kwartaal;152.1
9;A-U Alle economische activiteiten;1999 2e kwartaal;179.4
10;A-U Alle economische activiteiten;1999 3e kwartaal;187.7
11;A-U Alle economische activiteiten;1999 4e kwartaal;192.1
12;A-U Alle economische activiteiten;2000 1e kwartaal;209.3
13;A-U Alle economische activiteiten;2000 2e kwartaal;201.0
14;A-U Alle economische activiteiten;2000 3e kwartaal;201.2
15;A-U Alle economische activiteiten;2000 4e kwartaal;213.9
16;A-U Alle economische activiteiten;2001 1e kwartaal;209.7
17;A-U Alle economische activiteiten;2001 2e kwartaal;202.4
18;A-U Alle economische activiteiten;2001 3e kwartaal;187.8
19;A-U Alle economische activiteiten;2001 4e kwartaal;173.7
20;A-U Alle economische activiteiten;2002 1e kwartaal;172.3
21;A-U Alle economische activiteiten;2002 2e kwartaal;148.0
22;A-U Alle economische activiteiten;2002 3e kwartaal;129.8
23;A-U Alle economische activiteiten;2002 4e kwartaal;129.8
24;A-U Alle economische activiteiten;2003 1e kwartaal;117.9
25;A-U Alle economische activiteiten;2003 2e kwartaal;112.1
26;A-U Alle economische activiteiten;2003 3e kwartaal;94.0
27;A-U Alle economische activiteiten;2003 4e kwartaal;102.4
28;A-U Alle economische activiteiten;2004 1e kwartaal;115.8
29;A-U Alle economische activiteiten;2004 2e kwartaal;122.9
30;A-U Alle economische activiteiten;2004 3e kwartaal;120.9
31;A-U Alle economische activiteiten;2004 4e kwartaal;128.4
32;A-U Alle economische activiteiten;2005 1e kwartaal;148.8
33;A-U Alle economische activiteiten;2005 2e kwartaal;141.3
34;A-U Alle economische activiteiten;2005 3e kwartaal;163.7
35;A-U Alle economische activiteiten;2005 4e kwartaal;165.3
36;A-U Alle economische activiteiten;2006 1e kwartaal;187.3
37;A-U Alle economische activiteiten;2006 2e kwartaal;209.7
38;A-U Alle economische activiteiten;2006 3e kwartaal;230.1
39;A-U Alle economische activiteiten;2006 4e kwartaal;230.3
40;A-U Alle economische activiteiten;2007 1e kwartaal;234.9
41;A-U Alle economische activiteiten;2007 2e kwartaal;238.3
42;A-U Alle economische activiteiten;2007 3e kwartaal;246.8
43;A-U Alle economische activiteiten;2007 4e kwartaal;249.3
44;A-U Alle economische activiteiten;2008 1e kwartaal;247.0
45;A-U Alle economische activiteiten;2008 2e kwartaal;244.9
46;A-U Alle economische activiteiten;2008 3e kwartaal;246.7
47;A-U Alle economische activiteiten;2008 4e kwartaal;197.4
48;A-U Alle economische activiteiten;2009 1e kwartaal;153.9
49;A-U Alle economische activiteiten;2009 2e kwartaal;128.4
50;A-U Alle economische activiteiten;2009 3e kwartaal;130.7
51;A-U Alle economische activiteiten;2009 4e kwartaal;125.4
52;A-U Alle economische activiteiten;2010 1e kwartaal;115.6
53;A-U Alle economische activiteiten;2010 2e kwartaal;117.5
54;A-U Alle economische activiteiten;2010 3e kwartaal;125.3
55;A-U Alle economische activiteiten;2010 4e kwartaal;128.3
56;A-U Alle economische activiteiten;2011 1e kwartaal;135.1
57;A-U Alle economische activiteiten;2011 2e kwartaal;134.7
58;A-U Alle economische activiteiten;2011 3e kwartaal;134.1
59;A-U Alle economische activiteiten;2011 4e kwartaal;122.7
60;A-U Alle economische activiteiten;2012 1e kwartaal;117.4
61;A-U Alle economische activiteiten;2012 2e kwartaal;109.3
62;A-U Alle economische activiteiten;2012 3e kwartaal;106.6
63;A-U Alle economische activiteiten;2012 4e kwartaal;101.7
64;A-U Alle economische activiteiten;2013 1e kwartaal;96.3
65;A-U Alle economische activiteiten;2013 2e kwartaal;91.3
66;A-U Alle economische activiteiten;2013 3e kwartaal;95.1
67;A-U Alle economische activiteiten;2013 4e kwartaal;96.5
68;A-U Alle economische activiteiten;2014 1e kwartaal;104.1
69;A-U Alle economische activiteiten;2014 2e kwartaal;107.5
70;A-U Alle economische activiteiten;2014 3e kwartaal;113.4
71;A-U Alle economische activiteiten;2014 4e kwartaal;118.8
72;A-U Alle economische activiteiten;2015 1e kwartaal;124.9
73;A-U Alle economische activiteiten;2015 2e kwartaal;130.3
74;A-U Alle economische activiteiten;2015 3e kwartaal;132.9
75;A-U Alle economische activiteiten;2015 4e kwartaal;142.7
76;A-U Alle economische activiteiten;2016 1e kwartaal;149.5
