ID;KenmerkenOverledeneOverlijden;Perioden;TotaalOverledenen_1;TotaalZonderMBLHandelwijze_2;PlotselingEnOnverwachtOverleden_3;NietPlotselingOnverwachtOverleden_4;TotaalMetMBLHandelwijze_5;NISRekeningHoudendMetOverlijden_6;PSBRekeningHoudendMetOverlijden_7;PSBOverlijdenMedeDoel_8;NISOverlijdenUitdrukkelijkDoel_9;TotaalToedienenMiddel_10;Euthanasie_11;HulpBijZelfdoding_12;LevensbeeindigendHandZonderVerzoek_13
0;1;1990;41587.0;25181.0;12470.0;12711.0;16406.0;3845.0;6244.0;1590.0;3602.0;1125.0;718.0;82.0;325.0
1;1;1995;43391.0;24923.0;13588.0;11335.0;18468.0;3002.0;7057.0;1243.0;5765.0;1401.0;1020.0;80.0;301.0
2;1;2001;44733.0;25162.0;14745.0;10417.0;19571.0;3351.0;8337.0;675.0;5667.0;1541.0;1147.0;94.0;300.0
3;2;1990;21525.0;13699.0;7086.0;6614.0;7826.0;1778.0;2993.0;757.0;1610.0;688.0;422.0;43.0;223.0
4;2;1995;21887.0;13428.0;7860.0;5568.0;8459.0;1215.0;3524.0;587.0;2492.0;641.0;443.0;49.0;149.0
5;2;2001;21735.0;12807.0;7796.0;5011.0;8928.0;1407.0;3830.0;322.0;2551.0;818.0;620.0;56.0;142.0
6;3;1990;20062.0;11481.0;5385.0;6097.0;8581.0;2068.0;3251.0;833.0;1991.0;437.0;296.0;39.0;102.0
7;3;1995;21504.0;11494.0;5727.0;5767.0;10010.0;1787.0;3533.0;657.0;3273.0;760.0;577.0;31.0;152.0
8;3;2001;22998.0;12355.0;6948.0;5406.0;10643.0;1944.0;4507.0;353.0;3116.0;723.0;527.0;38.0;158.0
9;4;1990;495.0;;;;;;;;;;;;
10;4;1995;338.0;;;;;;;;;;;;
11;4;2001;347.0;113.0;70.0;43.0;234.0;28.0;25.0;3.0;146.0;32.0;0.0;0.0;32.0
12;5;1990;245.0;;;;;;;;;;;;
13;5;1995;252.0;;;;;;;;;;;;
14;5;2001;196.0;126.0;81.0;45.0;70.0;5.0;40.0;2.0;17.0;5.0;1.0;0.0;4.0
15;6;1990;3430.0;2330.0;1740.0;590.0;1100.0;183.0;359.0;87.0;318.0;152.0;66.0;14.0;72.0
16;6;1995;3405.0;2306.0;1736.0;569.0;1099.0;92.0;442.0;114.0;290.0;161.0;95.0;14.0;52.0
17;6;2001;;;;;;;;;;;;;
18;7;1990;5656.0;3406.0;1941.0;1465.0;2250.0;325.0;1006.0;329.0;325.0;265.0;182.0;14.0;69.0
19;7;1995;5559.0;3057.0;1945.0;1112.0;2502.0;219.0;1035.0;257.0;638.0;354.0;290.0;16.0;48.0
20;7;2001;;;;;;;;;;;;;
21;8;1990;8346.0;;;;;;;;;;;;
22;8;1995;8374.0;;;;;;;;;;;;
23;8;2001;8558.0;5145.0;3444.0;1701.0;3413.0;372.0;1493.0;158.0;878.0;513.0;430.0;27.0;56.0
24;9;1990;15542.0;9607.0;4644.0;4963.0;5935.0;1199.0;2491.0;659.0;1163.0;424.0;323.0;27.0;74.0
25;9;1995;15782.0;9415.0;5114.0;4301.0;6367.0;772.0;2666.0;455.0;1920.0;554.0;439.0;22.0;93.0
26;9;2001;15386.0;8703.0;5237.0;3466.0;6683.0;1006.0;2930.0;263.0;1909.0;575.0;470.0;39.0;66.0
27;10;1990;16959.0;9838.0;4146.0;5692.0;7121.0;2138.0;2389.0;515.0;1795.0;284.0;147.0;27.0;110.0
28;10;1995;18645.0;10145.0;4792.0;5353.0;8500.0;1919.0;2914.0;418.0;2917.0;332.0;196.0;28.0;108.0
29;10;2001;20246.0;11076.0;5913.0;5162.0;9170.0;1940.0;3849.0;249.0;2717.0;416.0;246.0;28.0;142.0
30;11;1990;;;;;;;;;;;;;
31;11;1995;;;;;;;;;;;;;
32;11;2001;13928.0;8143.0;5146.0;2998.0;5785.0;846.0;2481.0;242.0;1667.0;549.0;421.0;44.0;85.0
33;16;1990;;;;;;;;;;;;;
34;16;1995;;;;;;;;;;;;;
35;16;2001;12476.0;7248.0;4454.0;2794.0;5228.0;870.0;2159.0;231.0;1499.0;468.0;382.0;31.0;55.0
36;21;1990;;;;;;;;;;;;;
37;21;1995;;;;;;;;;;;;;
38;21;2001;6715.0;3774.0;2235.0;1540.0;2941.0;481.0;1167.0;111.0;859.0;323.0;257.0;8.0;57.0
39;26;1990;;;;;;;;;;;;;
40;26;1995;;;;;;;;;;;;;
41;26;2001;11614.0;5996.0;2911.0;3085.0;5618.0;1155.0;2530.0;91.0;1642.0;200.0;87.0;11.0;103.0
42;31;1990;17075.0;11284.0;6286.0;4998.0;5791.0;1184.0;2284.0;719.0;968.0;637.0;480.0;68.0;89.0
43;31;1995;18681.0;12416.0;7456.0;4960.0;6265.0;872.0;2755.0;626.0;1127.0;885.0;719.0;77.0;89.0
44;31;2001;16705.0;9972.0;4955.0;5017.0;6733.0;1003.0;3109.0;385.0;1170.0;1066.0;884.0;82.0;101.0
45;32;1990;16431.0;9793.0;4037.0;5755.0;6638.0;1428.0;2483.0;623.0;1649.0;454.0;229.0;0.0;225.0
46;32;1995;15115.0;8356.0;4044.0;4312.0;6759.0;1120.0;2156.0;444.0;2595.0;445.0;274.0;0.0;171.0
47;32;2001;13766.0;6948.0;3718.0;3230.0;6818.0;1305.0;2302.0;197.0;2609.0;405.0;237.0;3.0;164.0
48;33;1990;7039.0;3102.0;1186.0;1916.0;3937.0;1215.0;1467.0;248.0;979.0;28.0;9.0;14.0;5.0
49;33;1995;7853.0;2856.0;963.0;1893.0;4997.0;962.0;1963.0;168.0;1837.0;67.0;24.0;3.0;41.0
50;33;2001;9085.0;3323.0;1344.0;1979.0;5762.0;1011.0;2806.0;77.0;1798.0;70.0;26.0;9.0;35.0
51;34;1990;1042.0;1002.0;960.0;42.0;40.0;18.0;10.0;0.0;5.0;6.0;0.0;0.0;6.0
52;34;1995;1742.0;1295.0;1125.0;170.0;447.0;49.0;184.0;6.0;206.0;3.0;3.0;0.0;0.0
53;34;2001;658.0;414.0;247.0;167.0;244.0;17.0;120.0;16.0;91.0;0.0;0.0;0.0;0.0
54;35;1990;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
55;35;1995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56;35;2001;4519.0;4504.0;4480.0;24.0;15.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57;36;1990;17500.0;10294.0;4281.0;6012.0;7206.0;1671.0;2673.0;686.0;1698.0;477.0;233.0;11.0;234.0
58;36;1995;18692.0;9590.0;4775.0;4815.0;9102.0;1528.0;3047.0;568.0;3468.0;492.0;301.0;0.0;191.0
59;36;2001;14800.0;8056.0;4624.0;3432.0;6744.0;1313.0;2235.0;210.0;2588.0;398.0;237.0;3.0;158.0
60;37;1990;24087.0;14887.0;8189.0;6698.0;9200.0;2174.0;3571.0;904.0;1903.0;647.0;485.0;71.0;91.0
61;37;1995;24699.0;15333.0;8812.0;6521.0;9366.0;1474.0;4011.0;676.0;2297.0;909.0;719.0;80.0;110.0
62;37;2001;29933.0;17106.0;10120.0;6985.0;12827.0;2038.0;6102.0;465.0;3079.0;1143.0;910.0;91.0;142.0
63;38;1990;12152.0;4962.0;908.0;4054.0;7190.0;1082.0;3278.0;970.0;1098.0;762.0;505.0;57.0;200.0
64;38;1995;12480.0;4909.0;1055.0;3854.0;7571.0;690.0;3690.0;790.0;1403.0;998.0;815.0;62.0;121.0
65;38;2001;12562.0;5275.0;1638.0;3637.0;7287.0;709.0;3791.0;402.0;1320.0;1066.0;879.0;70.0;117.0
66;39;1990;12675.0;10007.0;6644.0;3364.0;2668.0;666.0;1003.0;150.0;753.0;97.0;;;
67;39;1995;12424.0;9971.0;7546.0;2425.0;2453.0;381.0;849.0;184.0;992.0;47.0;;;
68;39;2001;11055.0;8482.0;6494.0;1988.0;2573.0;400.0;1167.0;61.0;846.0;99.0;;;
69;40;1990;3086.0;1942.0;716.0;1226.0;1144.0;346.0;308.0;129.0;292.0;69.0;;;
70;40;1995;3414.0;1782.0;655.0;1126.0;1632.0;395.0;531.0;51.0;608.0;48.0;;;
71;40;2001;3907.0;2000.0;867.0;1134.0;1907.0;471.0;779.0;16.0;566.0;75.0;;;
72;Ziekten van het zenuwstelsel;1990;4837.0;2736.0;1090.0;1646.0;2101.0;814.0;569.0;153.0;538.0;27.0;;;
73;Ziekten van het zenuwstelsel;1995;4682.0;2357.0;991.0;1366.0;2325.0;644.0;532.0;81.0;962.0;106.0;;;
74;Ziekten van het zenuwstelsel;2001;4639.0;2347.0;1216.0;1131.0;2292.0;516.0;742.0;93.0;857.0;84.0;;;
75;41;1990;8838.0;5534.0;3114.0;2421.0;3304.0;937.0;1087.0;188.0;921.0;171.0;;;
76;41;1995;10391.0;5904.0;3342.0;2563.0;4487.0;892.0;1456.0;136.0;1800.0;203.0;;;
77;41;2001;12027.0;6817.0;4379.0;2438.0;5210.0;1222.0;1793.0;99.0;1917.0;180.0;;;
78;42;1990;;;;;5498.0;1791.0;2985.0;195.0;511.0;16.0;12.0;0.0;4.0
79;42;1995;;;;;6115.0;1381.0;3376.0;275.0;1060.0;23.0;15.0;0.0;8.0
80;42;2001;;;;;6307.0;1325.0;3717.0;128.0;1101.0;36.0;18.0;1.0;17.0
81;43;1990;;;;;2560.0;289.0;982.0;549.0;470.0;271.0;136.0;11.0;124.0
82;43;1995;;;;;3203.0;218.0;1281.0;417.0;1019.0;266.0;169.0;7.0;90.0
83;43;2001;;;;;3432.0;455.0;1300.0;286.0;1174.0;217.0;102.0;5.0;110.0
84;44;1990;;;;;4049.0;606.0;875.0;649.0;1459.0;460.0;283.0;26.0;151.0
85;44;1995;;;;;4452.0;492.0;952.0;386.0;1986.0;636.0;449.0;13.0;174.0
86;44;2001;;;;;4206.0;510.0;1227.0;197.0;1724.0;548.0;409.0;35.0;104.0
87;45;1990;;;;;1704.0;384.0;259.0;144.0;700.0;216.0;185.0;11.0;20.0
