ID;Persoonskenmerken;Marges;Perioden;TotaalOnlineAankopenVoorPrive_1;MinderDan3MaandenGeleden_2;k_3Tot12MaandenGeleden_3;MeerDan12MaandenGeleden_4;NogNooit_5;KledingSchoenenAccessoires_6;Sportartikelen_7;SpeelgoedBabyspullen_8;CosmeticaParfumSchoonheidsproducten_9;SchoonmaakmiddelenVerzorgingsartikelen_10;MeubelsWoonaccessoiresTuinartikelen_11;VoertuigenOfOnderdelen_12;EtenswarenDrank_13;MaaltijdenBesteld_14;MedicijnenVitaminepillen_15;GedrukteBoekenTijdschriftenKranten_16;ComputersTabletsMobieleTelefoon_17;ElektronicaHuishoudelijkeApparatuur_18;AndereGoederen_19;MuziekViaStreamingsdienstOfDownload_20;FilmsSeriesViaStreamingsdienst_21;EBooksOnlineTijdschriftenKranten_22;OnlineSpellenGamesOfDownload_23;ComputersoftwareOfSoftwareUpgrades_24;BetaaldeGezondheidsOfSportapps_25;AndereBetaaldeApps_26;KaartjesSportevenementen_27;KaartjesBioscoopCultureleEvenement_28;AbonnementVoorInternetOfTelefoon_29
0;Totaal personen;Waarde;2020;84.9;71.2;9.7;4.0;7.5;48.4;22.9;12.9;21.4;14.5;23.0;8.7;17.7;35.4;14.0;21.2;21.7;17.2;26.8;32.2;41.7;16.3;16.7;14.9;4.0;8.8;6.9;28.7;30.4
1;Totaal personen;Waarde;2021;86.7;77.4;6.9;2.5;5.9;59.3;27.8;16.0;29.0;21.2;30.1;10.9;25.0;46.9;18.4;25.7;24.3;21.7;31.0;35.1;45.8;17.8;16.6;15.1;5.5;8.9;2.1;7.9;35.4
2;Totaal personen;Waarde;2022;86.6;73.5;9.6;3.4;6.9;53.5;26.1;14.4;26.6;19.1;24.7;9.9;24.0;42.8;18.5;21.4;22.1;18.4;25.8;37.0;46.3;18.2;16.6;14.6;5.2;9.9;8.5;33.9;38.7
3;Totaal personen;Waarde;2023;90.6;78.5;8.6;3.5;6.7;57.0;27.5;14.5;29.0;21.0;24.2;10.0;22.6;41.5;19.2;21.4;21.1;17.7;30.3;39.9;47.9;19.3;16.5;15.1;5.8;11.7;10.4;42.4;44.4
4;Totaal personen;Waarde;2024;92.5;80.8;8.6;3.1;5.9;58.7;28.4;15.2;30.7;23.5;24.4;10.2;21.8;40.4;20.9;21.3;21.1;17.7;23.2;40.1;49.0;;15.8;16.9;6.5;14.0;;;48.9
5;Totaal personen;Ondergrens 95%-interval;2020;84.0;70.0;9.0;3.5;6.8;47.2;21.9;12.0;20.4;13.6;21.9;8.0;16.7;34.2;13.1;20.2;20.7;16.2;25.7;31.0;40.5;15.4;15.8;14.0;3.5;8.1;6.3;27.6;29.2
6;Totaal personen;Ondergrens 95%-interval;2021;85.8;76.2;6.2;2.0;5.3;57.9;26.6;15.0;27.8;20.1;28.9;10.1;23.8;45.6;17.4;24.6;23.2;20.7;29.8;33.9;44.5;16.9;15.6;14.2;4.9;8.2;1.7;7.2;34.2
7;Totaal personen;Ondergrens 95%-interval;2022;85.6;72.4;8.8;2.9;6.2;52.2;24.9;13.4;25.4;18.0;23.5;9.1;22.9;41.5;17.5;20.3;21.0;17.4;24.7;35.8;45.0;17.2;15.6;13.7;4.6;9.1;7.8;32.6;37.4
8;Totaal personen;Ondergrens 95%-interval;2023;89.9;77.4;7.9;3.0;6.0;55.7;26.3;13.6;27.8;19.9;23.1;9.2;21.5;40.2;18.2;20.3;20.1;16.7;29.2;38.6;46.6;18.3;15.5;14.1;5.2;10.8;9.7;41.2;43.2
9;Totaal personen;Ondergrens 95%-interval;2024;91.8;79.7;7.9;2.6;5.3;57.4;27.3;14.3;29.5;22.4;23.3;9.5;20.8;39.2;19.8;20.3;20.1;16.7;22.2;38.8;47.7;;14.9;16.0;5.9;13.2;;;47.6
10;Totaal personen;Bovengrens 95%-interval;2020;85.9;72.4;10.5;4.5;8.2;49.7;24.0;13.7;22.4;15.3;24.0;9.5;18.6;36.6;14.9;22.2;22.7;18.1;27.9;33.4;42.9;17.2;17.7;15.8;4.5;9.5;7.5;29.8;31.5
11;Totaal personen;Bovengrens 95%-interval;2021;87.7;78.5;7.6;2.9;6.6;60.6;28.9;17.0;30.2;22.3;31.3;11.7;26.1;48.2;19.4;26.9;25.5;22.8;32.2;36.4;47.1;18.8;17.6;16.0;6.0;9.7;2.4;8.6;36.7
