ID;Beroepsniveau;BedrijfsgrootteSBI93;Perioden;TotaalAantalBanen_1;Voltijdbanen_2;BrutoUurloonAlleBanen_3;BrutoMaandloonAlleBanen_4;BrutoJaarloonAlleBanen_5;BrutoJaarloonVoltijdbanen_6
0;Totaal beroepsniveau;Totaal bedrijfsgrootte;2002;6996.3;3887.2;17.24;1958.0;26.2;35.5
1;Totaal beroepsniveau;Totaal bedrijfsgrootte;2003;;;;;;
2;Totaal beroepsniveau;Bedrijfsgrootte < 10 werknemers;2002;1123.5;545.7;15.08;1591.0;20.4;30.8
3;Totaal beroepsniveau;Bedrijfsgrootte < 10 werknemers;2003;;;;;;
4;Totaal beroepsniveau;Bedrijfsgrootte 10-99 werknemers;2002;1774.8;1104.3;16.28;1916.0;25.8;33.4
5;Totaal beroepsniveau;Bedrijfsgrootte 10-99 werknemers;2003;;;;;;
6;Totaal beroepsniveau;Bedrijfsgrootte >- 100 werknemers;2002;4098.1;2237.2;18.22;2076.0;27.9;37.8
7;Totaal beroepsniveau;Bedrijfsgrootte >- 100 werknemers;2003;;;;;;
8;Totaal beroepsniveau;SBI'93 totaal;2002;6996.3;3887.2;17.24;1958.0;26.2;35.5
9;Totaal beroepsniveau;SBI'93 totaal;2003;;;;;;
10;Totaal beroepsniveau;01-05 Landbouw en visserij;2002;101.0;58.0;13.62;1540.0;19.8;26.8
11;Totaal beroepsniveau;01-05 Landbouw en visserij;2003;;;;;;
12;Totaal beroepsniveau;10-45 Industrie en bouwnijverheid;2002;1354.4;1142.3;17.31;2300.0;31.4;34.2
13;Totaal beroepsniveau;10-45 Industrie en bouwnijverheid;2003;;;;;;
14;Totaal beroepsniveau;50-74 Commerciële dienstverlening;2002;3278.7;1733.7;16.37;1811.0;24.2;35.9
15;Totaal beroepsniveau;50-74 Commerciële dienstverlening;2003;;;;;;
16;Totaal beroepsniveau;75-93 Niet-commerciële dienstverlening;2002;2262.2;953.1;18.69;1984.0;26.2;37.1
17;Totaal beroepsniveau;75-93 Niet-commerciële dienstverlening;2003;;;;;;
