ID;InstitutioneleSectoren;Perioden;Totaal_1;Woningen_2;Bedrijfsgebouwen_3;GrondWegEnWaterbouwkundigeWerken_4;OverdrachtskostenOpGrond_5;Totaal_6;PersonenautoS_7;OverigeWegvervoermiddelen_8;TreinenEnTrams_9;Schepen_10;Vliegtuigen_11;Computers_12;Telecommunicatieapparatuur_13;MachinesEnInstallaties_14;OverigeMaterieleVasteActiva_15;InCultuurGebrachteActiva_16;OnderzoekEnOntwikkeling_17;ComputerprogrammatuurEnDatabanken_18;OverigeImmaterieleActiva_19;VerkoopVanGebruikteVasteActiva_20;BrutoInvesteringenInVasteActiva_21;Totaal_22;Woningen_23;Bedrijfsgebouwen_24;GrondWegEnWaterbouwkundigeWerken_25;OverdrachtskostenOpGrond_26;Totaal_27;PersonenautoS_28;OverigeWegvervoermiddelen_29;TreinenEnTrams_30;Schepen_31;Vliegtuigen_32;Computers_33;Telecommunicatieapparatuur_34;MachinesEnInstallaties_35;OverigeMaterieleVasteActiva_36;InCultuurGebrachteActiva_37;OnderzoekEnOntwikkeling_38;ComputerprogrammatuurEnDatabanken_39;OverigeImmaterieleActiva_40;VerkoopVanGebruikteVasteActiva_41;BrutoInvesteringenInVasteActiva_42;Totaal_43;Woningen_44;Bedrijfsgebouwen_45;GrondWegEnWaterbouwkundigeWerken_46;OverdrachtskostenOpGrond_47;Totaal_48;PersonenautoS_49;OverigeWegvervoermiddelen_50;TreinenEnTrams_51;Schepen_52;Vliegtuigen_53;Computers_54;Telecommunicatieapparatuur_55;MachinesEnInstallaties_56;OverigeMaterieleVasteActiva_57;InCultuurGebrachteActiva_58;OnderzoekEnOntwikkeling_59;ComputerprogrammatuurEnDatabanken_60;OverigeImmaterieleActiva_61;VerkoopVanGebruikteVasteActiva_62;BrutoInvesteringenInVasteActiva_63;Totaal_64;Woningen_65;Bedrijfsgebouwen_66;GrondWegEnWaterbouwkundigeWerken_67;OverdrachtskostenOpGrond_68;Totaal_69;PersonenautoS_70;OverigeWegvervoermiddelen_71;TreinenEnTrams_72;Schepen_73;Vliegtuigen_74;Computers_75;Telecommunicatieapparatuur_76;MachinesEnInstallaties_77;OverigeMaterieleVasteActiva_78;InCultuurGebrachteActiva_79;OnderzoekEnOntwikkeling_80;ComputerprogrammatuurEnDatabanken_81;OverigeImmaterieleActiva_82;VerkoopVanGebruikteVasteActiva_83;BrutoInvesteringenInVasteActiva_84
0;Totale binnenlandse sectoren;1995;69687;17380;10194;7119;737;6446;2956;1420;297;631;1142;2426;428;11492;3189;331;5588;3900;457;715;68972;92485;26638;16283;10799;1317;7861;3427;1625;553.0;798.0;1912.0;323;169;15242;4876;316.0;8925;4589;689.0;895;91511;;;;;;;;;;;;;;;;;;;;;;75.3;65.2;62.6;65.9;55.9;82.0;86.3;87.4;53.7;79.1;59.7;751.5;253.0;75.4;65.4;104.8;62.6;85.0;66.3;79.9;75.4
1;Totale binnenlandse sectoren;1996;75046;18858;10150;7986;939;6565;3331;1525;260;761;688;2901;498;12224;3619;299;5808;4594;605;706;74340;98639;27749;15689;11915;1598;7954;3808;1742;471.0;973.0;1160.0;491;199;16151;5415;343.0;9037;5420;886.0;880;97679;6.7;4.2;-3.6;10.3;21.3;1.2;11.1;7.2;-14.8;21.9;-39.3;52.1;17.8;6.0;11.1;8.8;1.3;18.1;28.7;-1.7;6.7;76.1;68.0;64.7;67.0;58.8;82.5;87.5;87.6;55.2;78.2;59.3;590.8;250.0;75.7;66.8;87.1;64.3;84.8;68.3;80.3;76.1
2;Totale binnenlandse sectoren;1997;80811;20560;10787;7488;909;6453;3708;1527;183;477;558;3106;542;14000;4369;704;6290;4945;658;796;80015;104977;29377;16309;10971;1491;7886;4265;1781;330.0;621.0;929.0;582;228;18293;6420;760.0;9639;5867;938.0;983;103906;6.4;5.9;4.0;-7.9;-6.7;-0.9;12.0;2.2;-30.0;-36.1;-19.9;18.6;14.5;13.3;18.5;121.4;6.7;8.2;5.8;11.8;6.4;77.0;70.0;66.1;68.3;61.0;81.8;86.9;85.8;55.5;76.8;60.1;533.4;237.7;76.5;68.1;92.6;65.3;84.3;70.2;81.0;77.0
3;Totale binnenlandse sectoren;1998;87313;21570;11888;7962;1015;7647;4200;1936;176;741;594;3347;684;14025;4990;245;6346;6880;714;1175;86138;112493;29758;17511;11447;1529;9242;4783;2290;306.0;892.0;976.0;815;298;18203;7160;261.0;9450;8204;990.0;1444;110935;7.2;1.3;7.4;4.3;2.5;17.2;12.1;28.6;-7.1;43.6;5.0;40.0;30.8;-0.5;11.5;-65.6;-2.0;39.8;5.6;46.9;6.8;77.6;72.5;67.9;69.6;66.4;82.7;87.8;84.5;57.4;83.1;60.9;410.5;229.3;77.0;69.7;93.8;67.2;83.9;72.1;81.4;77.6
4;Totale binnenlandse sectoren;1999;97241;23317;13543;8890;1131;8195;4878;2093;66;842;316;3852;778;16249;5345;332;7044;7948;617;1111;96130;123462;30578;19345;12496;1614;9890;5552;2485;113.0;1000.0;511.0;1146;351;21053;7580;371.0;10210;9257;832.0;1335;122013;9.7;2.8;10.5;9.2;5.6;7.0;16.1;8.5;-63.1;12.1;-47.6;40.6;17.7;15.7;5.9;42.0;8.0;12.8;-16.0;-7.6;10.0;78.8;76.3;70.0;71.1;70.1;82.9;87.9;84.2;58.3;84.2;61.9;336.0;221.6;77.2;70.5;89.4;69.0;85.9;74.1;83.3;78.8
5;Totale binnenlandse sectoren;2000;102940;25236;15284;10350;1462;8512;5006;1846;172;558;930;3895;766;15039;5520;230;7350;8709;587;1084;101856;126255;30991;20759;14006;1887;10017;5518;2147;286.0;663.0;1486.0;1326;353;19067;7641;238.0;10188;9935;776.0;1278;124865;2.3;1.4;7.3;12.1;16.9;1.3;-0.6;-13.6;153.0;-33.7;190.8;15.7;0.5;-9.4;0.8;-35.8;-0.2;7.3;-6.8;-4.2;2.3;81.5;81.4;73.6;73.9;77.5;85.0;90.7;86.0;60.1;84.2;62.6;293.7;217.1;78.9;72.2;96.6;72.1;87.7;75.7;84.8;81.6
6;Totale binnenlandse sectoren;2001;108405;27821;16518;11368;1280;8596;5255;2123;200;437;581;3994;683;14469;5681;258;7900;9110;727;1699;106706;128567;31918;21191;14704;1506;10041;5708;2461;318.0;553.0;928.0;1609;333;18136;7614;264.0;10469;10162;922.0;1952;126475;1.8;3.0;2.1;5.0;-20.2;0.2;3.5;14.6;11.0;-16.7;-37.5;21.3;-5.7;-4.9;-0.4;10.9;2.8;2.3;18.9;52.8;1.3;84.3;87.2;77.9;77.3;85.0;85.6;92.1;86.3;62.9;79.1;62.6;248.2;205.4;79.8;74.6;97.7;75.5;89.7;78.8;87.0;84.4
7;Totale binnenlandse sectoren;2002;107445;27889;17266;11690;1134;7929;4969;1871;269;457;363;3642;624;13762;5528;248;7879;9001;853;1788;105657;123506;30101;21173;14575;1303;9138;5354;2158;405.0;529.0;574.0;1705;320;16837;7188;261.0;10029;9888;1048.0;2046;121321;-3.9;-5.7;-0.1;-0.9;-13.5;-9.0;-6.2;-12.3;27.5;-4.3;-38.2;6.0;-3.7;-7.2;-5.6;-1.2;-4.2;-2.7;13.6;4.8;-4.1;87.0;92.7;81.5;80.2;87.0;86.8;92.8;86.7;66.3;86.5;63.3;213.6;194.8;81.7;76.9;95.0;78.6;91.0;81.4;87.4;87.1
8;Totale binnenlandse sectoren;2003;107758;27994;17102;11661;839;9289;5060;1975;527;569;1158;3810;674;12871;5474;197;8052;9011;784;2122;105636;121770;28909;20518;14122;935;10631;5425;2259;763.0;635.0;1860.0;2018;365;15758;7045;190.0;9977;9820;953.0;2408;119223;-1.4;-4.0;-3.1;-3.1;-28.2;16.3;1.3;4.6;88.1;20.1;224.2;18.3;13.8;-6.4;-2.0;-27.0;-0.5;-0.7;-9.0;17.7;-1.7;88.5;96.8;83.4;82.6;89.7;87.4;93.3;87.4;69.1;89.6;62.3;188.8;184.9;81.7;77.7;103.4;80.7;91.8;82.2;88.1;88.6
9;Totale binnenlandse sectoren;2004;109583;30212;16360;10854;1021;9122;5620;2117;484;466;435;3755;679;12495;5438;259;8518;9991;879;2179;107404;122052;30249;19286;13042;1113;10289;5929;2406;650.0;529.0;695.0;2134;392;15126;6846;249.0;10391;10829;1061.0;2447;119466;0.2;4.6;-6.0;-7.6;19.1;-3.2;9.3;6.5;-14.8;-16.7;-62.6;5.7;7.6;-4.0;-2.8;31.0;4.1;10.3;11.4;1.6;0.2;89.8;99.9;84.8;83.2;91.7;88.7;94.8;88.0;74.5;88.1;62.6;176.0;173.2;82.6;79.4;103.8;82.0;92.3;82.8;89.1;89.9
