ID;Periods;TotalRevenue_1;CurrentAndCapitalTransactions_2;FinancialTransactions_3;InternalCashFlows_4;TotalExpenditure_5;CurrentAndCapitalTransactions_6;FinancialTransactions_7;InternalCashFlows_8;TotalBalance_9;BalanceCurrentAndCapitalTransactions_10;BalanceFinancialTransactions_11
0;2014 January;39.7;21.3;13.7;4.8;33.8;12.1;17.0;4.8;5.9;9.2;-3.3
1;2014 February;21.7;11.8;7.4;2.5;26.6;13.8;10.3;2.5;-4.9;-2.0;-2.9
2;2014 March;22.4;8.9;11.9;1.6;21.8;12.5;7.8;1.6;0.5;-3.7;4.2
3;2014 April;34.2;20.7;10.5;3.1;22.4;13.2;6.2;3.1;11.8;7.5;4.3
4;2014 May;21.4;11.0;5.6;4.8;27.1;15.4;6.9;4.8;-5.6;-4.4;-1.2
5;2014 June;20.3;13.5;5.5;1.4;31.5;25.1;5.1;1.4;-11.1;-11.6;0.4
6;2014 July;33.9;22.3;8.5;3.1;28.3;11.2;13.9;3.1;5.6;11.0;-5.4
7;2014 August;15.0;9.6;4.1;1.3;16.0;12.1;2.5;1.3;-1.0;-2.5;1.5
8;2014 September;20.1;9.2;7.6;3.3;18.5;12.0;3.2;3.3;1.6;-2.8;4.4
9;2014 October;26.5;19.9;3.7;2.9;17.7;13.1;1.8;2.9;8.8;6.8;1.9
10;2014 November;17.2;8.8;5.2;3.2;20.1;13.4;3.5;3.2;-3.0;-4.6;1.6
11;2014 December;12.0;9.2;1.5;1.3;23.9;16.4;6.3;1.3;-11.9;-7.1;-4.8
12;2015 January;30.4;21.9;4.5;4.0;34.7;13.4;17.3;4.0;-4.3;8.5;-12.8
13;2015 February;19.5;12.7;2.9;3.9;22.5;13.5;5.1;3.9;-3.0;-0.8;-2.2
14;2015 March;24.0;8.8;12.7;2.5;17.5;13.0;2.0;2.5;6.5;-4.2;10.7
15;2015 April;31.2;20.7;7.1;3.5;31.2;13.4;14.3;3.5;0.0;7.3;-7.3
16;2015 May;23.3;12.3;7.0;4.1;21.7;15.5;2.1;4.1;1.6;-3.3;4.9
17;2015 June;22.9;14.3;7.1;1.4;30.2;27.7;1.1;1.4;-7.3;-13.3;6.0
18;2015 July;36.6;21.8;7.0;7.8;35.3;14.3;13.2;7.8;1.3;7.5;-6.2
19;2015 August;16.0;9.8;4.8;1.4;13.0;9.8;1.7;1.4;3.0;0.0;3.1
20;2015 September;20.7;9.3;8.4;3.0;24.1;14.4;6.8;3.0;-3.5;-5.1;1.6
21;2015 October;27.9;20.2;4.8;3.0;28.0;13.1;12.0;3.0;0.0;7.2;-7.2
22;2015 November;20.6;7.9;9.0;3.7;21.8;14.2;3.9;3.7;-1.1;-6.3;5.1
23;2015 December;17.8;9.0;6.3;2.4;18.9;14.9;1.5;2.4;-1.1;-5.9;4.8
24;2016 January;28.5;22.2;2.3;4.0;26.5;14.2;8.3;4.0;2.0;8.0;-6.1
25;2016 February;17.2;13.5;1.2;2.5;20.7;12.6;5.6;2.5;-3.6;0.8;-4.4
26;2016 March;19.1;9.1;8.6;1.4;17.3;13.6;2.3;1.4;1.8;-4.5;6.3
27;2016 April;29.8;21.0;5.3;3.5;29.7;13.3;12.8;3.5;0.2;7.7;-7.5
28;2016 May;25.0;10.5;10.5;4.1;20.9;16.0;0.9;4.1;4.1;-5.5;9.6
29;2016 June;23.4;15.0;7.0;1.4;23.9;16.1;6.4;1.4;-0.5;-1.1;0.6
30;2016 July;31.8;22.2;6.4;3.2;42.7;25.4;14.0;3.2;-10.8;-3.2;-7.6
31;2016 August;16.3;10.2;4.3;1.8;16.0;13.5;0.7;1.8;0.3;-3.3;3.6
32;2016 September;19.7;9.3;7.5;2.9;19.4;12.1;4.4;2.9;0.3;-2.8;3.1
33;2016 October;28.0;21.4;3.1;3.5;20.5;16.1;1.0;3.5;7.5;5.4;2.1
34;2016 November;17.8;8.8;5.0;4.0;20.5;15.8;0.7;4.0;-2.7;-6.9;4.2
35;2016 December;22.1;9.0;10.7;2.4;17.9;14.4;1.1;2.4;4.2;-5.5;9.6
36;2017 January;36.0;27.6;4.7;3.8;33.8;14.6;15.5;3.8;2.2;13.0;-10.8
37;2017 February;26.6;17.1;6.5;3.1;22.3;12.7;6.5;3.1;4.3;4.4;0.0
38;2017 March;15.7;9.6;4.2;1.8;17.1;13.1;2.2;1.8;-1.4;-3.5;2.0
39;2017 April;31.0;22.2;4.4;4.4;30.8;14.1;12.3;4.4;0.2;8.1;-8.0
40;2017 May;22.5;10.1;8.4;4.0;22.0;16.6;1.4;4.0;0.5;-6.5;7.0
41;2017 June;22.9;15.1;6.1;1.8;28.5;26.4;0.4;1.8;-5.6;-11.4;5.8
42;2017 July;30.7;23.5;3.0;4.1;31.3;14.5;12.7;4.1;-0.6;9.1;-9.7
43;2017 August;12.9;9.8;1.4;1.7;16.1;13.8;0.5;1.7;-3.1;-4.0;0.9
44;2017 September;19.0;10.4;5.4;3.2;17.3;12.4;1.6;3.2;1.8;-2.0;3.8
45;2017 October;34.5;22.4;7.7;4.4;28.4;13.9;10.1;4.4;6.1;8.5;-2.4
46;2017 November;17.1;9.3;4.7;3.2;17.9;13.5;1.2;3.2;-0.8;-4.3;3.5
47;2017 December;23.7;12.0;8.3;3.4;21.2;14.3;3.5;3.4;2.5;-2.3;4.8
48;2018 January;30.6;26.3;0.4;3.8;27.2;14.5;8.9;3.8;3.4;11.9;-8.5
49;2018 February;22.9;20.3;0.6;2.0;20.9;14.2;4.7;2.0;2.0;6.1;-4.1
50;2018 March;16.9;8.6;6.4;1.9;14.6;12.4;0.3;1.9;2.2;-3.8;6.0
51;2018 April;28.3;24.0;0.5;3.8;29.5;13.8;11.9;3.8;-1.2;10.2;-11.4
52;2018 May;17.0;8.7;5.4;2.9;20.8;17.5;0.3;2.9;-3.8;-8.9;5.1
53;2018 June;21.8;12.9;6.5;2.4;19.1;16.3;0.4;2.4;2.8;-3.4;6.2
54;2018 July;30.9;26.2;0.7;4.0;41.1;27.5;9.7;4.0;-10.3;-1.3;-9.0
55;2018 August;14.1;9.9;2.1;2.1;15.2;12.9;0.3;2.1;-1.1;-3.0;1.9
56;2018 September;23.1;11.8;4.0;7.3;21.3;13.7;0.3;7.3;1.8;-1.9;3.7
57;2018 October;29.4;24.1;0.7;4.6;25.6;14.5;6.5;4.6;3.8;9.6;-5.8
58;2018 November;14.8;9.6;1.1;4.1;20.3;15.9;0.3;4.1;-5.5;-6.2;0.8
59;2018 December;31.3;14.0;12.2;5.1;22.3;16.8;0.5;5.1;8.9;-2.8;11.7
60;2019 January;37.1;28.6;4.5;4.0;35.2;15.7;15.5;4.0;1.9;12.9;-11.0
61;2019 February;31.4;23.3;6.2;1.9;25.0;14.3;8.8;1.9;6.5;9.0;-2.6
62;2019 March;16.1;9.8;4.7;1.7;16.4;13.9;0.9;1.7;-0.3;-4.0;3.7
63;2019 April;32.9;24.9;2.1;5.9;31.8;14.4;11.5;5.9;1.1;10.5;-9.4
64;2019 May;23.9;9.2;9.3;5.4;22.8;16.8;0.6;5.4;1.1;-7.6;8.7
65;2019 June;15.9;13.3;0.7;2.0;36.3;33.9;0.4;2.0;-20.3;-20.6;0.2
66;2019 July;36.8;28.3;4.4;4.1;34.3;16.1;14.0;4.1;2.6;12.1;-9.6
67;2019 August;12.5;10.1;0.2;2.2;17.9;14.5;1.3;2.2;-5.4;-4.4;-1.1
68;2019 September;21.3;11.5;5.9;3.9;18.2;13.8;0.5;3.9;3.1;-2.4;5.5
69;2019 October;31.4;25.8;1.4;4.2;30.0;15.4;10.5;4.2;1.3;10.4;-9.1
70;2019 November;15.8;9.8;3.3;2.7;19.0;16.0;0.4;2.7;-3.3;-6.2;3.0
71;2019 December;43.3;15.9;22.0;5.5;30.3;19.5;5.4;5.5;12.9;-3.6;16.5
72;2020 January;38.8;32.5;2.0;4.2;35.3;16.0;15.2;4.2;3.4;16.6;-13.2
73;2020 February;26.6;22.5;0.2;3.9;20.4;15.8;0.7;3.9;6.2;6.7;-0.5
74;2020 March;30.0;11.5;16.5;2.0;18.4;15.9;0.4;2.0;11.6;-4.4;16.1
75;2020 April;45.7;18.1;22.9;4.6;26.9;21.9;0.4;4.6;18.8;-3.7;22.5
76;2020 May;15.3;2.6;7.9;4.8;27.8;22.6;0.4;4.8;-12.5;-20.0;7.5
77;2020 June;24.4;8.6;13.3;2.6;22.7;19.5;0.6;2.6;1.8;-11.0;12.7
78;2020 July;35.6;26.4;4.6;4.7;59.7;40.2;14.8;4.7;-24.0;-13.9;-10.2
79;2020 August;19.0;13.1;3.9;1.9;18.2;15.4;0.9;1.9;0.8;-2.3;3.1
80;2020 September;42.6;13.7;25.0;3.9;20.0;15.5;0.5;3.9;22.6;-1.8;24.5
81;2020 October;30.3;24.8;0.8;4.7;22.1;16.9;0.5;4.7;8.2;7.9;0.4
82;2020 November;8.0;11.0;-6.9;3.9;25.0;21.1;0.1;3.9;-17.0;-10.1;-6.9
83;2020 December;19.3;17.6;-1.2;2.8;28.1;24.3;1.0;2.8;-8.9;-6.7;-2.2
84;2021 January;36.7;30.4;1.8;4.6;22.5;17.7;0.2;4.6;14.3;12.6;1.6
85;2021 February;21.8;17.9;1.8;2.2;21.1;19.7;-0.7;2.2;0.7;-1.8;2.5
86;2021 March;19.8;13.4;-0.5;6.9;27.7;20.1;0.7;6.9;-7.8;-6.7;-1.2
87;2021 April;40.7;27.4;4.3;9.0;27.2;17.9;0.4;9.0;13.4;9.4;4.0
88;2021 May;18.3;8.5;3.0;6.9;29.4;21.4;1.1;6.9;-11.1;-13.0;1.9
89;2021 June;23.5;9.9;10.8;2.9;29.3;25.5;1.0;2.9;-5.8;-15.6;9.8
90;2021 July;39.9;31.4;3.2;5.2;63.1;41.4;16.5;5.2;-23.3;-10.0;-13.3
91;2021 August;16.6;12.2;1.5;2.9;23.3;19.9;0.5;2.9;-6.8;-7.7;0.9
92;2021 September;41.5;13.4;20.8;7.3;24.6;16.3;0.9;7.3;16.9;-2.9;19.8
93;2021 October;37.3;30.9;1.6;4.9;23.8;18.9;0.0;4.9;13.5;12.0;1.5
94;2021 November;29.5;13.3;16.2;0.0;21.0;20.9;0.2;0.0;8.5;-7.5;16.0
95;2021 December;34.7;18.6;13.0;3.1;53.2;23.6;26.4;3.1;-18.5;-5.1;-13.4
96;2022 January;40.3;33.5;2.5;4.3;36.2;19.7;12.2;4.3;4.1;13.8;-9.6
97;2022 February;32.4;20.4;3.9;8.1;30.4;18.3;4.0;8.1;1.9;2.1;-0.2
98;2022 March;23.1;14.7;5.9;2.6;22.6;19.4;0.6;2.6;0.6;-4.8;5.3
99;2022 April;41.1;32.3;2.9;5.9;25.7;19.5;0.3;5.9;15.3;12.8;2.5
100;2022 May;23.5;11.2;4.7;7.7;30.3;22.3;0.4;7.7;-6.8;-11.1;4.3
101;2022 June;31.2;20.2;7.7;3.3;24.8;21.0;0.5;3.3;6.5;-0.7;7.2
102;2022 July;55.9;33.6;16.5;5.8;61.7;42.7;13.2;5.8;-5.8;-9.1;3.3
103;2022 August;16.6;12.6;0.5;3.4;25.6;19.7;2.5;3.4;-9.0;-7.1;-2.0
104;2022 September;32.1;13.9;12.2;5.9;26.9;19.9;1.0;5.9;5.2;-6.0;11.2
105;2022 October;39.2;30.3;2.7;6.2;27.8;21.6;0.0;6.2;11.4;8.7;2.7
106;2022 November;46.6;14.0;21.2;11.4;38.0;26.1;0.5;11.4;8.6;-12.1;20.7
107;2022 December;29.0;19.1;2.6;7.2;33.9;25.9;0.7;7.2;-4.9;-6.8;1.9
108;2023 January;47.7;39.2;4.3;4.3;32.0;20.8;6.9;4.3;15.7;18.4;-2.7
109;2023 February;31.6;22.6;4.2;4.8;33.6;20.6;8.3;4.8;-2.0;2.1;-4.1
110;2023 March;30.0;15.9;11.2;3.0;37.0;33.7;0.3;3.0;-7.0;-17.9;10.9
111;2023 April;52.7;36.1;6.3;10.4;30.7;20.0;0.4;10.4;22.0;16.1;5.9
112;2023 May;22.2;13.2;5.0;4.1;27.6;23.0;0.6;4.1;-5.4;-9.8;4.4
113;2023 June;22.5;18.9;0.3;3.3;44.9;41.3;0.2;3.3;-22.3;-22.5;0.1
114;2023 July;48.0;39.4;3.0;5.6;43.9;21.6;16.6;5.6;4.1;17.7;-13.6
115;2023 August;24.0;14.8;5.6;3.6;25.8;21.6;0.6;3.6;-1.8;-6.8;5.0
116;2023 September;28.7;14.4;9.0;5.3;26.5;20.4;0.7;5.3;2.2;-6.1;8.2
117;2023 October;27.0;35.4;-13.9;5.5;29.2;23.2;0.5;5.5;-2.2;12.2;-14.4
118;2023 November;31.6;15.6;9.8;6.2;30.3;22.9;1.1;6.2;1.4;-7.4;8.7
119;2023 December;42.6;20.5;16.9;5.2;43.2;35.9;2.1;5.2;-0.7;-15.4;14.8
120;2024 January;47.3;43.1;-1.7;5.9;43.0;21.1;16.0;5.9;4.3;22.0;-17.7
121;2024 February;34.2;19.9;0.0;14.3;36.1;20.9;0.9;14.3;-1.9;-1.0;-0.9
122;2024 March;29.9;18.4;7.3;4.1;29.1;20.7;4.4;4.1;0.8;-2.2;3.0
123;2024 April;34.4;38.4;-10.6;6.5;32.9;22.9;3.5;6.5;1.5;15.5;-14.0
124;2024 May;39.4;18.0;11.2;10.2;37.8;24.4;3.3;10.2;1.6;-6.4;7.9
125;2024 June;26.7;24.6;-0.5;2.6;62.7;56.3;3.7;2.6;-36.0;-31.8;-4.2
