ID;Geslacht;Leeftijd;Perioden;JongerenInJeugdzorgPlus_1
0;Totaal mannen en vrouwen;Totaal leeftijd tot 21 jaar;2012;2535.0
1;Totaal mannen en vrouwen;Totaal leeftijd tot 21 jaar;2013;2415.0
2;Totaal mannen en vrouwen;Totaal leeftijd tot 21 jaar;2014;2280.0
3;Totaal mannen en vrouwen;0 tot 5 jaar;2012;
4;Totaal mannen en vrouwen;0 tot 5 jaar;2013;
5;Totaal mannen en vrouwen;0 tot 5 jaar;2014;
6;Totaal mannen en vrouwen;5 tot 12 jaar;2012;25.0
7;Totaal mannen en vrouwen;5 tot 12 jaar;2013;50.0
8;Totaal mannen en vrouwen;5 tot 12 jaar;2014;40.0
9;Totaal mannen en vrouwen;12 tot 18 jaar;2012;2035.0
10;Totaal mannen en vrouwen;12 tot 18 jaar;2013;1895.0
11;Totaal mannen en vrouwen;12 tot 18 jaar;2014;1815.0
12;Totaal mannen en vrouwen;18 tot 21 jaar;2012;475.0
13;Totaal mannen en vrouwen;18 tot 21 jaar;2013;470.0
14;Totaal mannen en vrouwen;18 tot 21 jaar;2014;425.0
15;Mannen;Totaal leeftijd tot 21 jaar;2012;1405.0
16;Mannen;Totaal leeftijd tot 21 jaar;2013;1365.0
17;Mannen;Totaal leeftijd tot 21 jaar;2014;1305.0
18;Mannen;0 tot 5 jaar;2012;
19;Mannen;0 tot 5 jaar;2013;
20;Mannen;0 tot 5 jaar;2014;
21;Mannen;5 tot 12 jaar;2012;25.0
22;Mannen;5 tot 12 jaar;2013;40.0
23;Mannen;5 tot 12 jaar;2014;35.0
24;Mannen;12 tot 18 jaar;2012;1080.0
25;Mannen;12 tot 18 jaar;2013;1050.0
26;Mannen;12 tot 18 jaar;2014;1025.0
27;Mannen;18 tot 21 jaar;2012;295.0
28;Mannen;18 tot 21 jaar;2013;275.0
29;Mannen;18 tot 21 jaar;2014;245.0
30;Vrouwen;Totaal leeftijd tot 21 jaar;2012;1135.0
31;Vrouwen;Totaal leeftijd tot 21 jaar;2013;1050.0
32;Vrouwen;Totaal leeftijd tot 21 jaar;2014;975.0
33;Vrouwen;0 tot 5 jaar;2012;
34;Vrouwen;0 tot 5 jaar;2013;
35;Vrouwen;0 tot 5 jaar;2014;
36;Vrouwen;5 tot 12 jaar;2012;0.0
37;Vrouwen;5 tot 12 jaar;2013;10.0
38;Vrouwen;5 tot 12 jaar;2014;5.0
39;Vrouwen;12 tot 18 jaar;2012;955.0
40;Vrouwen;12 tot 18 jaar;2013;845.0
41;Vrouwen;12 tot 18 jaar;2014;790.0
42;Vrouwen;18 tot 21 jaar;2012;180.0
43;Vrouwen;18 tot 21 jaar;2013;195.0
44;Vrouwen;18 tot 21 jaar;2014;180.0
