ID;Energie;Perioden;Invoerwaarde_1;Uitvoerwaarde_2
0;Totaal energiedragers;1996 januari;903503.0;1099602.0
1;Totaal energiedragers;1996 februari;811467.0;1061133.0
2;Totaal energiedragers;1996 maart;867150.0;1165039.0
3;Totaal energiedragers;1996 april;964179.0;980238.0
4;Totaal energiedragers;1996 mei;921469.0;933000.0
5;Totaal energiedragers;1996 juni;818394.0;871592.0
6;Totaal energiedragers;1996 juli;946131.0;917466.0
7;Totaal energiedragers;1996 augustus;956910.0;829509.0
8;Totaal energiedragers;1996 september;961854.0;993086.0
9;Totaal energiedragers;1996 oktober;1183195.0;1043720.0
10;Totaal energiedragers;1996 november;1243199.0;1163253.0
11;Totaal energiedragers;1996 december;1244352.0;1443279.0
12;Totaal energiedragers;1996;11821803.0;12500917.0
13;Totaal energiedragers;1997 januari;1263841.0;1483249.0
14;Totaal energiedragers;1997 februari;1126234.0;1125071.0
15;Totaal energiedragers;1997 maart;1040008.0;1118335.0
16;Totaal energiedragers;1997 april;1110823.0;1093773.0
17;Totaal energiedragers;1997 mei;1066906.0;1049745.0
18;Totaal energiedragers;1997 juni;1027142.0;977179.0
19;Totaal energiedragers;1997 juli;1162268.0;999311.0
20;Totaal energiedragers;1997 augustus;1229567.0;1029595.0
21;Totaal energiedragers;1997 september;1030812.0;997239.0
22;Totaal energiedragers;1997 oktober;1137364.0;1106575.0
23;Totaal energiedragers;1997 november;1035745.0;1165709.0
24;Totaal energiedragers;1997 december;950523.0;1201012.0
25;Totaal energiedragers;1997;13181233.0;13346793.0
26;Totaal energiedragers;1998 januari;1008859.0;1176331.0
27;Totaal energiedragers;1998 februari;923307.0;987442.0
28;Totaal energiedragers;1998 maart;934229.0;1101516.0
29;Totaal energiedragers;1998 april;919552.0;959305.0
30;Totaal energiedragers;1998 mei;860100.0;834851.0
31;Totaal energiedragers;1998 juni;811871.0;801711.0
32;Totaal energiedragers;1998 juli;831350.0;845805.0
33;Totaal energiedragers;1998 augustus;845890.0;793236.0
34;Totaal energiedragers;1998 september;836797.0;787705.0
35;Totaal energiedragers;1998 oktober;795463.0;846103.0
36;Totaal energiedragers;1998 november;659308.0;920790.0
37;Totaal energiedragers;1998 december;683001.0;945665.0
38;Totaal energiedragers;1998;10109727.0;11000460.0
39;Totaal energiedragers;1999 januari;782082.0;868630.0
40;Totaal energiedragers;1999 februari;662335.0;829362.0
41;Totaal energiedragers;1999 maart;863192.0;940820.0
42;Totaal energiedragers;1999 april;904446.0;864601.0
43;Totaal energiedragers;1999 mei;941917.0;784177.0
44;Totaal energiedragers;1999 juni;946044.0;801347.0
45;Totaal energiedragers;1999 juli;1166749.0;867311.0
46;Totaal energiedragers;1999 augustus;1067870.0;969127.0
47;Totaal energiedragers;1999 september;1245918.0;1022887.0
48;Totaal energiedragers;1999 oktober;1210834.0;1153668.0
49;Totaal energiedragers;1999 november;1368458.0;1363257.0
50;Totaal energiedragers;1999 december;1498540.0;1572161.0
51;Totaal energiedragers;1999;12658385.0;12037348.0
52;Totaal energiedragers;2000 januari;1676335.0;1635747.0
53;Totaal energiedragers;2000 februari;1779022.0;1695071.0
54;Totaal energiedragers;2000 maart;1633954.0;1736994.0
55;Totaal energiedragers;2000 april;1624734.0;1554095.0
56;Totaal energiedragers;2000 mei;1726188.0;1651107.0
57;Totaal energiedragers;2000 juni;2030601.0;1661442.0
58;Totaal energiedragers;2000 juli;2011803.0;1751460.0
59;Totaal energiedragers;2000 augustus;1837650.0;1718696.0
60;Totaal energiedragers;2000 september;2294625.0;1834642.0
61;Totaal energiedragers;2000 oktober;2122927.0;1991927.0
62;Totaal energiedragers;2000 november;2163550.0;2184815.0
63;Totaal energiedragers;2000 december;2023990.0;2026988.0
64;Totaal energiedragers;2000;22925379.0;21442984.0
65;Totaal energiedragers;2001 januari;2061056.0;2316325.0
66;Totaal energiedragers;2001 februari;1791399.0;2057360.0
67;Totaal energiedragers;2001 maart;2028620.0;2131895.0
68;Totaal energiedragers;2001 april;1928278.0;2216432.0
69;Totaal energiedragers;2001 mei;2234956.0;2216017.0
70;Totaal energiedragers;2001 juni;2043682.0;1864355.0
71;Totaal energiedragers;2001 juli;2067987.0;1806194.0
72;Totaal energiedragers;2001 augustus;1975651.0;1767091.0
73;Totaal energiedragers;2001 september;1794104.0;1888455.0
74;Totaal energiedragers;2001 oktober;1578711.0;1778113.0
75;Totaal energiedragers;2001 november;1676300.0;1772509.0
76;Totaal energiedragers;2001 december;1597022.0;1831337.0
77;Totaal energiedragers;2001;22777766.0;23646083.0
78;Totaal energiedragers;2002 januari;1588485.0;1802156.0
79;Totaal energiedragers;2002 februari;1688543.0;1630870.0
80;Totaal energiedragers;2002 maart;1964577.0;1847180.0
81;Totaal energiedragers;2002 april;1815000.0;1765670.0
82;Totaal energiedragers;2002 mei;1942141.0;1684053.0
83;Totaal energiedragers;2002 juni;1846152.0;1691290.0
84;Totaal energiedragers;2002 juli;1544338.0;1542671.0
85;Totaal energiedragers;2002 augustus;1785750.0;1513088.0
86;Totaal energiedragers;2002 september;1828098.0;1764082.0
87;Totaal energiedragers;2002 oktober;1946125.0;1854750.0
88;Totaal energiedragers;2002 november;1741686.0;1635558.0
89;Totaal energiedragers;2002 december;2039320.0;2173731.0
90;Totaal energiedragers;2002;21730215.0;20905099.0
91;Totaal energiedragers;2003 januari;1939184.0;2185080.0
92;Totaal energiedragers;2003 februari;1940689.0;2136917.0
93;Totaal energiedragers;2003 maart;2175570.0;2121789.0
94;Totaal energiedragers;2003 april;1941544.0;1588809.0
95;Totaal energiedragers;2003 mei;1761422.0;1524219.0
96;Totaal energiedragers;2003 juni;1790178.0;1532435.0
97;Totaal energiedragers;2003 juli;1788330.0;1527532.0
98;Totaal energiedragers;2003 augustus;2029570.0;1486054.0
99;Totaal energiedragers;2003 september;1731192.0;1483832.0
100;Totaal energiedragers;2003 oktober;1801022.0;1950319.0
101;Totaal energiedragers;2003 november;1709818.0;1813506.0
102;Totaal energiedragers;2003 december;1876421.0;1964054.0
103;Totaal energiedragers;2003;22484940.0;21314546.0
104;Totaal energiedragers;2004 januari;1921389.0;2010577.0
