ID;Afstandsklasse;Perioden;VervoerdLadinggewicht_1
0;Totaal alle afstanden;2012;369160
1;Totaal alle afstanden;2013;376988
2;Totaal alle afstanden;2014;350427
3;Totaal alle afstanden;2015;338220
4;Totaal alle afstanden;2016;344319
5;Totaal alle afstanden;2017;342621
6;Totaal alle afstanden;2018;327602
7;0 tot 10 km;2012;33173
8;0 tot 10 km;2013;30296
9;0 tot 10 km;2014;30539
10;0 tot 10 km;2015;33436
11;0 tot 10 km;2016;34707
12;0 tot 10 km;2017;34662
13;0 tot 10 km;2018;36724
14;10 tot 25 km;2012;67616
15;10 tot 25 km;2013;60648
16;10 tot 25 km;2014;63583
17;10 tot 25 km;2015;63501
18;10 tot 25 km;2016;61906
19;10 tot 25 km;2017;60044
20;10 tot 25 km;2018;57378
21;25 tot 50 km;2012;5341
22;25 tot 50 km;2013;5405
23;25 tot 50 km;2014;4842
24;25 tot 50 km;2015;5602
25;25 tot 50 km;2016;6712
26;25 tot 50 km;2017;6672
27;25 tot 50 km;2018;5891
28;50 tot 100 km;2012;40873
29;50 tot 100 km;2013;46040
30;50 tot 100 km;2014;37261
31;50 tot 100 km;2015;26338
32;50 tot 100 km;2016;25743
33;50 tot 100 km;2017;23384
34;50 tot 100 km;2018;20314
35;100 tot 150 km;2012;196082
36;100 tot 150 km;2013;208305
37;100 tot 150 km;2014;187588
38;100 tot 150 km;2015;182267
39;100 tot 150 km;2016;187828
40;100 tot 150 km;2017;189691
41;100 tot 150 km;2018;182705
42;150 km of meer;2012;26076
43;150 km of meer;2013;26295
44;150 km of meer;2014;26614
45;150 km of meer;2015;27076
46;150 km of meer;2016;27424
47;150 km of meer;2017;28169
48;150 km of meer;2018;24591
