ID;Bouwjaarklasse;Woningkenmerken;Energielabelklasse;GebruiksOppervlakteklasse;Percentielen;Perioden;AardgasleveringenOpenbareNet_1
0;Totaal;Appartement;Totaal;Totaal;Gemiddelde;2012;13.9
1;Totaal;Appartement;Totaal;Totaal;Gemiddelde;2013;13.9
2;Totaal;Appartement;Totaal;Totaal;Gemiddelde;2014;12.7
3;Totaal;Appartement;Totaal;Totaal;Gemiddelde;2015;12.5
4;Totaal;Appartement;Totaal;Totaal;Gemiddelde;2016;12.7
5;Totaal;Appartement;Totaal;Totaal;Gemiddelde;2017;12.7
6;Totaal;Appartement;Totaal;Totaal;Gemiddelde;2018;13.0
7;Totaal;Appartement;Totaal;Totaal;Gemiddelde;2019;12.0
8;Totaal;Appartement;Totaal;Totaal;5e percentiel;2012;5.5
9;Totaal;Appartement;Totaal;Totaal;5e percentiel;2013;5.4
10;Totaal;Appartement;Totaal;Totaal;5e percentiel;2014;4.9
11;Totaal;Appartement;Totaal;Totaal;5e percentiel;2015;4.9
12;Totaal;Appartement;Totaal;Totaal;5e percentiel;2016;4.9
13;Totaal;Appartement;Totaal;Totaal;5e percentiel;2017;4.9
14;Totaal;Appartement;Totaal;Totaal;5e percentiel;2018;4.9
15;Totaal;Appartement;Totaal;Totaal;5e percentiel;2019;4.4
16;Totaal;Appartement;Totaal;Totaal;25e percentiel;2012;9.2
17;Totaal;Appartement;Totaal;Totaal;25e percentiel;2013;9.1
18;Totaal;Appartement;Totaal;Totaal;25e percentiel;2014;8.3
19;Totaal;Appartement;Totaal;Totaal;25e percentiel;2015;8.2
20;Totaal;Appartement;Totaal;Totaal;25e percentiel;2016;8.4
21;Totaal;Appartement;Totaal;Totaal;25e percentiel;2017;8.4
22;Totaal;Appartement;Totaal;Totaal;25e percentiel;2018;8.4
23;Totaal;Appartement;Totaal;Totaal;25e percentiel;2019;7.7
24;Totaal;Appartement;Totaal;Totaal;50e percentiel;2012;13.0
25;Totaal;Appartement;Totaal;Totaal;50e percentiel;2013;12.9
26;Totaal;Appartement;Totaal;Totaal;50e percentiel;2014;11.8
27;Totaal;Appartement;Totaal;Totaal;50e percentiel;2015;11.6
28;Totaal;Appartement;Totaal;Totaal;50e percentiel;2016;11.8
29;Totaal;Appartement;Totaal;Totaal;50e percentiel;2017;11.8
