ID;Gender;Origin;TransferredTo;Periods;PupilsAndStudents_1
0;Males and females;0;1;1995/'96;
1;Males and females;0;1;1996/'97;
2;Males and females;0;1;1997/'98;
3;Males and females;0;1;1998/'99;
4;Males and females;0;1;1999/'00;
5;Males and females;0;1;2000/'01;
6;Males and females;0;1;2001/'02;
7;Males and females;0;1;2002/'03;
8;Males and females;0;1;2003/'04;
9;Males and females;0;1;2004/'05;
10;Males and females;0;1;2005/'06;
11;Males and females;0;1;2006/'07;
12;Males and females;0;1;2007/'08;
13;Males and females;0;1;2008/'09;
14;Males and females;0;3;1995/'96;3379747.0
15;Males and females;0;3;1996/'97;3400585.0
16;Males and females;0;3;1997/'98;3415775.0
17;Males and females;0;3;1998/'99;3451301.0
18;Males and females;0;3;1999/'00;3488365.0
19;Males and females;0;3;2000/'01;3524834.0
20;Males and females;0;3;2001/'02;3554144.0
21;Males and females;0;3;2002/'03;3591457.0
22;Males and females;0;3;2003/'04;3620200.0
23;Males and females;0;3;2004/'05;3648814.0
24;Males and females;0;3;2005/'06;3675019.0
25;Males and females;0;3;2006/'07;3705193.0
26;Males and females;0;3;2007/'08;3722132.0
27;Males and females;0;3;2008/'09;3760569.0
28;Males and females;0;4;1995/'96;1501618.0
29;Males and females;0;4;1996/'97;1520066.0
30;Males and females;0;4;1997/'98;1533974.0
31;Males and females;0;4;1998/'99;1543383.0
32;Males and females;0;4;1999/'00;1546681.0
33;Males and females;0;4;2000/'01;1552459.0
34;Males and females;0;4;2001/'02;1550085.0
35;Males and females;0;4;2002/'03;1547725.0
36;Males and females;0;4;2003/'04;1548880.0
37;Males and females;0;4;2004/'05;1549472.0
38;Males and females;0;4;2005/'06;1548774.0
39;Males and females;0;4;2006/'07;1552204.0
40;Males and females;0;4;2007/'08;1553050.0
41;Males and females;0;4;2008/'09;1547966.0
42;Males and females;0;5;1995/'96;55578.0
43;Males and females;0;5;1996/'97;54673.0
44;Males and females;0;5;1997/'98;53606.0
45;Males and females;0;5;1998/'99;52047.0
46;Males and females;0;5;1999/'00;51557.0
47;Males and females;0;5;2000/'01;51784.0
48;Males and females;0;5;2001/'02;52077.0
49;Males and females;0;5;2002/'03;51368.0
50;Males and females;0;5;2003/'04;50070.0
51;Males and females;0;5;2004/'05;48300.0
52;Males and females;0;5;2005/'06;46307.0
53;Males and females;0;5;2006/'07;44931.0
54;Males and females;0;5;2007/'08;44054.0
55;Males and females;0;5;2008/'09;43326.0
56;Males and females;0;6;1995/'96;36801.0
57;Males and females;0;6;1996/'97;38804.0
58;Males and females;0;6;1997/'98;41048.0
59;Males and females;0;6;1998/'99;43502.0
60;Males and females;0;6;1999/'00;45817.0
61;Males and females;0;6;2000/'01;48169.0
62;Males and females;0;6;2001/'02;51683.0
63;Males and females;0;6;2002/'03;54012.0
64;Males and females;0;6;2003/'04;55606.0
65;Males and females;0;6;2004/'05;59027.0
66;Males and females;0;6;2005/'06;61870.0
67;Males and females;0;6;2006/'07;64624.0
68;Males and females;0;6;2007/'08;66271.0
69;Males and females;0;6;2008/'09;67653.0
70;Males and females;0;7;1995/'96;360086.0
71;Males and females;0;7;1996/'97;366279.0
72;Males and females;0;7;1997/'98;378186.0
73;Males and females;0;7;1998/'99;388580.0
74;Males and females;0;7;1999/'00;396324.0
75;Males and females;0;7;2000/'01;395082.0
76;Males and females;0;7;2001/'02;404321.0
77;Males and females;0;7;2002/'03;408137.0
78;Males and females;0;7;2003/'04;406666.0
79;Males and females;0;7;2004/'05;399300.0
80;Males and females;0;7;2005/'06;394332.0
81;Males and females;0;7;2006/'07;390046.0
82;Males and females;0;7;2007/'08;385392.0
83;Males and females;0;7;2008/'09;387596.0
84;Males and females;0;8;1995/'96;27224.0
85;Males and females;0;8;1996/'97;27856.0
86;Males and females;0;8;1997/'98;28626.0
87;Males and females;0;8;1998/'99;22496.0
88;Males and females;0;8;1999/'00;16933.0
89;Males and females;0;8;2000/'01;13800.0
90;Males and females;0;8;2001/'02;
91;Males and females;0;8;2002/'03;
92;Males and females;0;8;2003/'04;
93;Males and females;0;8;2004/'05;
94;Males and females;0;8;2005/'06;
95;Males and females;0;8;2006/'07;
96;Males and females;0;8;2007/'08;
97;Males and females;0;8;2008/'09;
98;Males and females;0;9;1995/'96;
99;Males and females;0;9;1996/'97;
100;Males and females;0;9;1997/'98;
101;Males and females;0;9;1998/'99;6963.0
102;Males and females;0;9;1999/'00;13406.0
103;Males and females;0;9;2000/'01;16992.0
104;Males and females;0;9;2001/'02;22770.0
105;Males and females;0;9;2002/'03;24661.0
106;Males and females;0;9;2003/'04;26378.0
107;Males and females;0;9;2004/'05;27382.0
108;Males and females;0;9;2005/'06;27320.0
109;Males and females;0;9;2006/'07;27178.0
110;Males and females;0;9;2007/'08;26868.0
111;Males and females;0;9;2008/'09;26759.0
112;Males and females;0;10;1995/'96;240312.0
113;Males and females;0;10;1996/'97;228769.0
114;Males and females;0;10;1997/'98;221440.0
115;Males and females;0;10;1998/'99;219803.0
116;Males and females;0;10;1999/'00;222707.0
117;Males and females;0;10;2000/'01;229016.0
118;Males and females;0;10;2001/'02;230244.0
119;Males and females;0;10;2002/'03;228501.0
120;Males and females;0;10;2003/'04;226337.0
121;Males and females;0;10;2004/'05;226164.0
122;Males and females;0;10;2005/'06;223371.0
123;Males and females;0;10;2006/'07;217458.0
124;Males and females;0;10;2007/'08;212172.0
125;Males and females;0;10;2008/'09;207414.0
126;Males and females;0;11;1995/'96;19360.0
127;Males and females;0;11;1996/'97;15376.0
128;Males and females;0;11;1997/'98;11947.0
129;Males and females;0;11;1998/'99;10816.0
130;Males and females;0;11;1999/'00;10372.0
131;Males and females;0;11;2000/'01;8792.0
132;Males and females;0;11;2001/'02;6807.0
133;Males and females;0;11;2002/'03;4834.0
134;Males and females;0;11;2003/'04;3568.0
135;Males and females;0;11;2004/'05;3249.0
136;Males and females;0;11;2005/'06;2798.0
137;Males and females;0;11;2006/'07;2785.0
138;Males and females;0;11;2007/'08;2555.0
139;Males and females;0;11;2008/'09;2619.0
140;Males and females;0;12;1995/'96;125559.0
141;Males and females;0;12;1996/'97;127269.0
142;Males and females;0;12;1997/'98;126978.0
143;Males and females;0;12;1998/'99;122715.0
144;Males and females;0;12;1999/'00;117181.0
145;Males and females;0;12;2000/'01;121085.0
146;Males and females;0;12;2001/'02;124383.0
147;Males and females;0;12;2002/'03;128490.0
148;Males and females;0;12;2003/'04;132615.0
149;Males and females;0;12;2004/'05;137185.0
150;Males and females;0;12;2005/'06;141834.0
151;Males and females;0;12;2006/'07;145305.0
152;Males and females;0;12;2007/'08;145649.0
153;Males and females;0;12;2008/'09;149338.0
154;Males and females;0;13;1995/'96;13028.0
155;Males and females;0;13;1996/'97;11655.0
156;Males and females;0;13;1997/'98;10340.0
157;Males and females;0;13;1998/'99;9608.0
158;Males and females;0;13;1999/'00;9612.0
159;Males and females;0;13;2000/'01;7510.0
160;Males and females;0;13;2001/'02;6420.0
161;Males and females;0;13;2002/'03;5954.0
162;Males and females;0;13;2003/'04;6906.0
163;Males and females;0;13;2004/'05;7168.0
164;Males and females;0;13;2005/'06;7052.0
165;Males and females;0;13;2006/'07;7822.0
166;Males and females;0;13;2007/'08;9619.0
167;Males and females;0;13;2008/'09;9945.0
168;Males and females;0;14;1995/'96;132110.0
169;Males and females;0;14;1996/'97;130370.0
170;Males and females;0;14;1997/'98;128534.0
171;Males and females;0;14;1998/'99;128289.0
172;Males and females;0;14;1999/'00;128297.0
173;Males and females;0;14;2000/'01;128361.0
174;Males and females;0;14;2001/'02;131931.0
175;Males and females;0;14;2002/'03;136499.0
176;Males and females;0;14;2003/'04;142558.0
177;Males and females;0;14;2004/'05;149596.0
178;Males and females;0;14;2005/'06;155928.0
179;Males and females;0;14;2006/'07;161290.0
180;Males and females;0;14;2007/'08;164422.0
181;Males and females;0;14;2008/'09;163847.0
182;Males and females;0;15;1995/'96;7977.0
183;Males and females;0;15;1996/'97;6518.0
184;Males and females;0;15;1997/'98;5365.0
185;Males and females;0;15;1998/'99;4704.0
186;Males and females;0;15;1999/'00;4312.0
187;Males and females;0;15;2000/'01;3797.0
188;Males and females;0;15;2001/'02;2807.0
189;Males and females;0;15;2002/'03;2252.0
190;Males and females;0;15;2003/'04;2468.0
191;Males and females;0;15;2004/'05;2460.0
192;Males and females;0;15;2005/'06;2449.0
193;Males and females;0;15;2006/'07;2920.0
194;Males and females;0;15;2007/'08;3242.0
195;Males and females;0;15;2008/'09;4555.0
196;Males and females;0;16;1995/'96;285169.0
197;Males and females;0;16;1996/'97;284122.0
198;Males and females;0;16;1997/'98;275931.0
199;Males and females;0;16;1998/'99;271367.0
200;Males and females;0;16;1999/'00;270861.0
201;Males and females;0;16;2000/'01;269462.0
202;Males and females;0;16;2001/'02;279525.0
203;Males and females;0;16;2002/'03;295769.0
204;Males and females;0;16;2003/'04;315851.0
205;Males and females;0;16;2004/'05;331184.0
206;Males and females;0;16;2005/'06;338776.0
207;Males and females;0;16;2006/'07;335723.0
208;Males and females;0;16;2007/'08;329951.0
209;Males and females;0;16;2008/'09;339429.0
210;Males and females;0;17;1995/'96;24892.0
211;Males and females;0;17;1996/'97;23134.0
212;Males and females;0;17;1997/'98;24993.0
213;Males and females;0;17;1998/'99;23436.0
214;Males and females;0;17;1999/'00;26905.0
215;Males and females;0;17;2000/'01;27820.0
216;Males and females;0;17;2001/'02;25783.0
217;Males and females;0;17;2002/'03;20261.0
218;Males and females;0;17;2003/'04;15726.0
219;Males and females;0;17;2004/'05;14668.0
220;Males and females;0;17;2005/'06;13154.0
221;Males and females;0;17;2006/'07;11268.0
222;Males and females;0;17;2007/'08;9695.0
223;Males and females;0;17;2008/'09;8971.0
224;Males and females;0;18;1995/'96;111120.0
225;Males and females;0;18;1996/'97;127515.0
226;Males and females;0;18;1997/'98;128244.0
227;Males and females;0;18;1998/'99;140010.0
228;Males and females;0;18;1999/'00;150703.0
229;Males and females;0;18;2000/'01;158560.0
230;Males and females;0;18;2001/'02;164609.0
231;Males and females;0;18;2002/'03;160074.0
232;Males and females;0;18;2003/'04;142696.0
233;Males and females;0;18;2004/'05;133258.0
234;Males and females;0;18;2005/'06;138112.0
235;Males and females;0;18;2006/'07;156229.0
236;Males and females;0;18;2007/'08;167131.0
237;Males and females;0;18;2008/'09;167101.0
238;Males and females;0;19;1995/'96;231643.0
239;Males and females;0;19;1996/'97;235304.0
240;Males and females;0;19;1997/'98;240260.0
241;Males and females;0;19;1998/'99;248875.0
242;Males and females;0;19;1999/'00;252135.0
243;Males and females;0;19;2000/'01;255677.0
244;Males and females;0;19;2001/'02;257548.0
245;Males and females;0;19;2002/'03;268162.0
246;Males and females;0;19;2003/'04;280147.0
247;Males and females;0;19;2004/'05;292184.0
248;Males and females;0;19;2005/'06;304034.0
249;Males and females;0;19;2006/'07;312832.0
250;Males and females;0;19;2007/'08;321353.0
