ID;RegioS;Perioden;BbpMarktprijzen_1;BbpPerInwoner_2;ToegevoegdeWaardeBrutoBasisprijzen_3;BeloningVanWerknemers_4;ArbeidsvolumeWerkzamePersonen_5;ArbeidsvolumeWerknemers_6
0;Nederland;1995;305261;19746.0;275686;155837;;5000.6
1;Nederland;1996;319755;20589.0;287079;161820;;5105.7
2;Nederland;1997;342237;21923.0;306539;171222;;5269.7
3;Nederland;1998;362464;23076.0;324027;184054;;5457.3
4;Nederland;1999;386193;24424.0;344335;197344;;5627.8
5;Nederland;2000;417960;26245.0;373415;211803;;5749.9
6;Nederland;2001;447731;27903.0;397556;227390;6636.4;5858.4
7;Nederland;2002;465214;28808.0;414374;238825;6619.5;5850.4
8;Nederland;2003;476945;29395.0;425256;245752;6547.2;5776.3
9;Nederland;2004;491184;30168.0;436874;251030;6480.1;5699.4
10;Nederland;2005;513407;31459.0;456182;254563;6478.0;5682.5
11;Nederland;2006;540216;33049.0;479012;264925;6582.8;5772.6
12;Nederland;2007;571773;34903.0;507650;280309;6728.3;5905.3
13;Nederland;2008;594481;36148.0;528239;294716;6832.4;6013.3
14;Nederland;2009;573235;34678.0;510852;298488;6759.4;5939.6
15;Nederland;2010;586789;35316.0;524120;300491;6719.31542;5892.45364
16;Nederland;2011;599047;35886.0;536618;306215;6753.00164;5909.81395
17;Extra-Regio (LD);1995;2694;;2433;311;;6.1
18;Extra-Regio (LD);1996;2917;;2619;293;;5.5
19;Extra-Regio (LD);1997;3205;;2871;294;;5.3
20;Extra-Regio (LD);1998;2745;;2454;310;;5.4
21;Extra-Regio (LD);1999;2821;;2515;314;;5.3
22;Extra-Regio (LD);2000;4084;;3649;314;;5.2
23;Extra-Regio (LD);2001;4987;;4428;327;5.2;5.2
24;Extra-Regio (LD);2002;4286;;3818;341;5.2;5.2
25;Extra-Regio (LD);2003;4147;;3698;354;5.3;5.3
26;Extra-Regio (LD);2004;4918;;4374;375;5.4;5.4
27;Extra-Regio (LD);2005;5183;;4605;384;5.4;5.4
28;Extra-Regio (LD);2006;6731;;5968;412;5.5;5.5
29;Extra-Regio (LD);2007;7086;;6291;427;5.6;5.6
30;Extra-Regio (LD);2008;8169;;7259;431;5.5;5.5
31;Extra-Regio (LD);2009;5888;;5247;443;5.6;5.6
32;Extra-Regio (LD);2010;5082;;4539;447;5.59517853;5.59517853
33;Extra-Regio (LD);2011;5790;;5187;445;5.54081051;5.54081051
34;Noord-Nederland (LD);1995;31292;19257.0;28260;13745;;462.5
35;Noord-Nederland (LD);1996;33072;20280.0;29692;14141;;470.3
36;Noord-Nederland (LD);1997;34618;21142.0;31007;14877;;481.7
37;Noord-Nederland (LD);1998;35152;21375.0;31424;15826;;494.3
38;Noord-Nederland (LD);1999;35962;21760.0;32064;16869;;507.0
39;Noord-Nederland (LD);2000;39791;23909.0;35550;17986;;516.0
40;Noord-Nederland (LD);2001;43561;25952.0;38679;19350;605.9;519.6
41;Noord-Nederland (LD);2002;44538;26358.0;39671;20399;609.4;523.5
42;Noord-Nederland (LD);2003;46222;27246.0;41213;21103;606.5;520.0
43;Noord-Nederland (LD);2004;46870;27569.0;41688;21571;601.3;514.0
44;Noord-Nederland (LD);2005;50042;29418.0;44464;21801;602.8;513.9
45;Noord-Nederland (LD);2006;54020;31751.0;47900;22432;602.3;512.3
46;Noord-Nederland (LD);2007;55863;32795.0;49598;23594;610.1;520.5
47;Noord-Nederland (LD);2008;62006;36329.0;55097;24715;616.1;528.4
48;Noord-Nederland (LD);2009;57095;33362.0;50882;24867;603.4;516.3
49;Noord-Nederland (LD);2010;58993;34382.0;52693;24881;601.112806;513.785422
50;Noord-Nederland (LD);2011;61524;35805.0;55112;25312;604.723986;515.620747
51;Oost-Nederland (LD);1995;53616;16806.0;48421;28674;;971.3
52;Oost-Nederland (LD);1996;55950;17406.0;50232;29584;;987.2
53;Oost-Nederland (LD);1997;59966;18512.0;53711;31157;;1009.6
54;Oost-Nederland (LD);1998;63726;19499.0;56968;33577;;1046.8
55;Oost-Nederland (LD);1999;68091;20641.0;60711;36097;;1081.7
56;Oost-Nederland (LD);2000;73524;22068.0;65688;38830;;1107.7
57;Oost-Nederland (LD);2001;79054;23477.0;70195;42014;1297.1;1129.1
58;Oost-Nederland (LD);2002;81805;24068.0;72865;43991;1296.8;1130.7
59;Oost-Nederland (LD);2003;84419;24665.0;75270;45752;1293.2;1126.5
60;Oost-Nederland (LD);2004;86329;25097.0;76784;46599;1279.8;1111.3
61;Oost-Nederland (LD);2005;89574;25936.0;79590;47432;1287.1;1115.5
62;Oost-Nederland (LD);2006;95370;27525.0;84565;49539;1308.8;1134.7
63;Oost-Nederland (LD);2007;101575;29220.0;90184;52704;1345.0;1168.7
