ID;LeeftijdMannen;Perioden;TotaalVrouwen_1;k_1519Jaar_2;k_2024Jaar_3;k_2529Jaar_4;k_3034Jaar_5;k_3539Jaar_6;k_4044Jaar_7;k_4549Jaar_8;k_5059Jaar_9;k_60JaarOfOuder_10
0;Totaal mannen;1994;100.0;0.4;7.0;17.3;22.6;19.4;14.1;9.9;7.6;1.8
1;Totaal mannen;1996;100.0;0.1;5.5;16.0;20.4;21.2;14.8;11.7;8.2;2.1
2;Totaal mannen;1997;100.0;0.2;4.4;17.0;20.5;18.7;15.9;10.5;10.1;2.7
3;Totaal mannen;1999;100.0;0.1;3.0;14.8;21.3;20.8;16.7;10.5;10.1;2.6
4;Totaal mannen;2001;100.0;0.2;3.3;10.7;20.4;22.0;17.7;12.2;10.6;2.9
5;Totaal mannen;2003;100.0;0.1;3.1;9.4;17.1;21.3;21.5;13.1;11.7;2.6
6;Totaal mannen;2005;100.0;0.1;2.7;9.1;15.4;21.4;20.2;14.7;13.3;3.3
7;Totaal mannen;2007;100.0;0.0;2.4;8.2;14.5;19.9;20.1;16.8;14.5;3.7
8;Totaal mannen;2009;100.0;0.1;2.0;7.1;12.3;19.7;20.5;17.8;16.0;4.4
9;Totaal mannen;2011;100.0;0.0;2.3;7.6;12.7;16.3;19.9;17.2;17.9;6.1
10;Totaal mannen;2013;100.0;0.1;1.4;9.8;11.8;15.1;18.5;18.5;19.0;5.7
11;15-19 jaar;1994;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;15-19 jaar;1996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;15-19 jaar;1997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;15-19 jaar;1999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;15-19 jaar;2001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;15-19 jaar;2003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;15-19 jaar;2005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;15-19 jaar;2007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;15-19 jaar;2009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;15-19 jaar;2011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;15-19 jaar;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;20-24 jaar;1994;2.9;0.2;1.7;0.8;0.2;0.0;0.0;0.0;0.0;0.0
23;20-24 jaar;1996;1.7;0.0;1.2;0.3;0.1;0.0;0.0;0.0;0.0;0.0
24;20-24 jaar;1997;1.6;0.1;0.8;0.5;0.2;0.0;0.0;0.0;0.0;0.0
25;20-24 jaar;1999;0.9;0.0;0.5;0.3;0.1;0.0;0.0;0.0;0.0;0.0
26;20-24 jaar;2001;0.8;0.1;0.5;0.2;0.0;0.0;0.0;0.0;0.0;0.0
27;20-24 jaar;2003;1.2;0.1;0.8;0.1;0.1;0.0;0.0;0.0;0.0;0.0
28;20-24 jaar;2005;0.8;0.0;0.5;0.2;0.1;0.0;0.0;0.0;0.0;0.0
29;20-24 jaar;2007;0.6;0.0;0.4;0.1;0.0;0.0;0.0;0.0;0.0;0.0
30;20-24 jaar;2009;0.4;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31;20-24 jaar;2011;0.6;0.0;0.4;0.1;0.0;0.0;0.0;0.0;0.0;0.0
32;20-24 jaar;2013;0.9;0.1;0.4;0.3;0.0;0.0;0.0;0.0;0.0;0.0
33;25-29 jaar;1994;13.4;0.1;3.4;6.4;2.1;0.8;0.5;0.0;0.0;0.0
34;25-29 jaar;1996;10.3;0.1;2.5;5.4;1.6;0.5;0.2;0.0;0.1;0.0
35;25-29 jaar;1997;10.1;0.1;2.2;5.9;1.0;0.6;0.1;0.1;0.1;0.0
