ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
0;J Informatie en communicatie;2005 1e kwartaal;85.2;
1;J Informatie en communicatie;2005 2e kwartaal;86.9;
2;J Informatie en communicatie;2005 3e kwartaal;84.9;
3;J Informatie en communicatie;2005 4e kwartaal;99.2;
4;J Informatie en communicatie;2005;89.1;
5;J Informatie en communicatie;2006 1e kwartaal;91.0;6.8
6;J Informatie en communicatie;2006 2e kwartaal;91.1;4.8
7;J Informatie en communicatie;2006 3e kwartaal;90.1;6.1
8;J Informatie en communicatie;2006 4e kwartaal;107.9;8.8
9;J Informatie en communicatie;2006;95.0;6.7
10;J Informatie en communicatie;2007 1e kwartaal;98.1;7.7
11;J Informatie en communicatie;2007 2e kwartaal;98.9;8.6
12;J Informatie en communicatie;2007 3e kwartaal;96.1;6.7
13;J Informatie en communicatie;2007 4e kwartaal;111.9;3.7
14;J Informatie en communicatie;2007;101.2;6.5
15;J Informatie en communicatie;2008 1e kwartaal;99.4;1.3
16;J Informatie en communicatie;2008 2e kwartaal;101.4;2.5
17;J Informatie en communicatie;2008 3e kwartaal;98.2;2.2
18;J Informatie en communicatie;2008 4e kwartaal;114.7;2.5
19;J Informatie en communicatie;2008;103.4;2.2
20;J Informatie en communicatie;2009 1e kwartaal;101.0;1.7
21;J Informatie en communicatie;2009 2e kwartaal;99.2;-2.2
22;J Informatie en communicatie;2009 3e kwartaal;92.9;-5.4
23;J Informatie en communicatie;2009 4e kwartaal;108.6;-5.3
24;J Informatie en communicatie;2009;100.4;-2.9
25;J Informatie en communicatie;2010 1e kwartaal;98.4;-2.6
26;J Informatie en communicatie;2010 2e kwartaal;96.4;-2.8
27;J Informatie en communicatie;2010 3e kwartaal;94.8;2.1
28;J Informatie en communicatie;2010 4e kwartaal;110.3;1.6
29;J Informatie en communicatie;2010;100.0;-0.4
30;J Informatie en communicatie;2011 1e kwartaal;98.0;-0.4
31;J Informatie en communicatie;2011 2e kwartaal;98.4;2.1
32;J Informatie en communicatie;2011 3e kwartaal;96.2;1.5
33;J Informatie en communicatie;2011 4e kwartaal;110.8;0.4
34;J Informatie en communicatie;2011;100.9;0.9
35;J Informatie en communicatie;2012 1e kwartaal;97.6;-0.4
36;J Informatie en communicatie;2012 2e kwartaal;96.0;-2.5
37;J Informatie en communicatie;2012 3e kwartaal;93.4;-3.0
38;J Informatie en communicatie;2012 4e kwartaal;104.3;-5.8
39;J Informatie en communicatie;2012;97.8;-3.0
40;J Informatie en communicatie;2013 1e kwartaal;93.4;-4.4
41;J Informatie en communicatie;2013 2e kwartaal;93.4;-2.7
42;J Informatie en communicatie;2013 3e kwartaal;91.0;-2.5
43;J Informatie en communicatie;2013 4e kwartaal;103.9;-0.5
44;J Informatie en communicatie;2013;95.4;-2.5
45;J Informatie en communicatie;2014 1e kwartaal;94.7;1.4
46;J Informatie en communicatie;2014 2e kwartaal;95.1;1.9
47;J Informatie en communicatie;2014 3e kwartaal;93.5;2.7
48;J Informatie en communicatie;2014 4e kwartaal;108.2;4.2
49;J Informatie en communicatie;2014;97.9;2.6
50;J Informatie en communicatie;2015 1e kwartaal;97.8;3.3
51;J Informatie en communicatie;2015 2e kwartaal;100.0;5.1
52;J Informatie en communicatie;2015 3e kwartaal;98.6;5.4
53;J Informatie en communicatie;2015 4e kwartaal;113.2;4.5
54;J Informatie en communicatie;2015;102.4;4.6
55;J Informatie en communicatie;2016 1e kwartaal;100.4;2.7
56;J Informatie en communicatie;2016 2e kwartaal;100.0;0.0
57;J Informatie en communicatie;2016 3e kwartaal;99.8;1.2
58;J Informatie en communicatie;2016 4e kwartaal;114.4;1.1
59;J Informatie en communicatie;2016;103.6;1.3
60;J Informatie en communicatie;2017 1e kwartaal;103.4;3.0
61;J Informatie en communicatie;2017 2e kwartaal;103.0;3.0
62;J Informatie en communicatie;2017 3e kwartaal;102.3;2.5
63;J Informatie en communicatie;2017 4e kwartaal;117.4;2.6
64;J Informatie en communicatie;2017;106.5;2.7
65;58-60 Uitgeverijen, film,radio en t.v.;2005 1e kwartaal;83.2;
66;58-60 Uitgeverijen, film,radio en t.v.;2005 2e kwartaal;91.5;
67;58-60 Uitgeverijen, film,radio en t.v.;2005 3e kwartaal;87.7;
68;58-60 Uitgeverijen, film,radio en t.v.;2005 4e kwartaal;105.2;
69;58-60 Uitgeverijen, film,radio en t.v.;2005;91.9;
70;58-60 Uitgeverijen, film,radio en t.v.;2006 1e kwartaal;87.5;5.2
71;58-60 Uitgeverijen, film,radio en t.v.;2006 2e kwartaal;95.2;4.0
72;58-60 Uitgeverijen, film,radio en t.v.;2006 3e kwartaal;90.8;3.6
73;58-60 Uitgeverijen, film,radio en t.v.;2006 4e kwartaal;111.6;6.1
74;58-60 Uitgeverijen, film,radio en t.v.;2006;96.3;4.8
75;58-60 Uitgeverijen, film,radio en t.v.;2007 1e kwartaal;93.8;7.2
76;58-60 Uitgeverijen, film,radio en t.v.;2007 2e kwartaal;102.4;7.6
77;58-60 Uitgeverijen, film,radio en t.v.;2007 3e kwartaal;95.9;5.5
78;58-60 Uitgeverijen, film,radio en t.v.;2007 4e kwartaal;117.3;5.1
79;58-60 Uitgeverijen, film,radio en t.v.;2007;102.4;6.3
80;58-60 Uitgeverijen, film,radio en t.v.;2008 1e kwartaal;95.3;1.6
81;58-60 Uitgeverijen, film,radio en t.v.;2008 2e kwartaal;105.1;2.6
82;58-60 Uitgeverijen, film,radio en t.v.;2008 3e kwartaal;98.2;2.4
83;58-60 Uitgeverijen, film,radio en t.v.;2008 4e kwartaal;117.9;0.5
84;58-60 Uitgeverijen, film,radio en t.v.;2008;104.1;1.7
85;58-60 Uitgeverijen, film,radio en t.v.;2009 1e kwartaal;93.9;-1.5
86;58-60 Uitgeverijen, film,radio en t.v.;2009 2e kwartaal;103.0;-2.0
87;58-60 Uitgeverijen, film,radio en t.v.;2009 3e kwartaal;94.0;-4.3
88;58-60 Uitgeverijen, film,radio en t.v.;2009 4e kwartaal;114.7;-2.7
89;58-60 Uitgeverijen, film,radio en t.v.;2009;101.4;-2.6
90;58-60 Uitgeverijen, film,radio en t.v.;2010 1e kwartaal;92.2;-1.8
91;58-60 Uitgeverijen, film,radio en t.v.;2010 2e kwartaal;98.1;-4.7
92;58-60 Uitgeverijen, film,radio en t.v.;2010 3e kwartaal;94.1;0.1
93;58-60 Uitgeverijen, film,radio en t.v.;2010 4e kwartaal;115.6;0.8
94;58-60 Uitgeverijen, film,radio en t.v.;2010;100.0;-1.4
95;58-60 Uitgeverijen, film,radio en t.v.;2011 1e kwartaal;91.0;-1.3
96;58-60 Uitgeverijen, film,radio en t.v.;2011 2e kwartaal;100.0;1.9
97;58-60 Uitgeverijen, film,radio en t.v.;2011 3e kwartaal;91.1;-3.2
98;58-60 Uitgeverijen, film,radio en t.v.;2011 4e kwartaal;110.0;-4.9
99;58-60 Uitgeverijen, film,radio en t.v.;2011;98.0;-2.0
100;58-60 Uitgeverijen, film,radio en t.v.;2012 1e kwartaal;88.4;-2.9
101;58-60 Uitgeverijen, film,radio en t.v.;2012 2e kwartaal;95.6;-4.4
102;58-60 Uitgeverijen, film,radio en t.v.;2012 3e kwartaal;90.2;-1.0
103;58-60 Uitgeverijen, film,radio en t.v.;2012 4e kwartaal;103.1;-6.3
104;58-60 Uitgeverijen, film,radio en t.v.;2012;94.3;-3.8
105;58-60 Uitgeverijen, film,radio en t.v.;2013 1e kwartaal;85.0;-3.8
106;58-60 Uitgeverijen, film,radio en t.v.;2013 2e kwartaal;92.6;-3.1
107;58-60 Uitgeverijen, film,radio en t.v.;2013 3e kwartaal;85.1;-5.7
108;58-60 Uitgeverijen, film,radio en t.v.;2013 4e kwartaal;98.7;-4.2
109;58-60 Uitgeverijen, film,radio en t.v.;2013;90.3;-4.2
110;58-60 Uitgeverijen, film,radio en t.v.;2014 1e kwartaal;81.8;-3.7
111;58-60 Uitgeverijen, film,radio en t.v.;2014 2e kwartaal;89.7;-3.1
112;58-60 Uitgeverijen, film,radio en t.v.;2014 3e kwartaal;84.7;-0.4
113;58-60 Uitgeverijen, film,radio en t.v.;2014 4e kwartaal;98.8;0.1
114;58-60 Uitgeverijen, film,radio en t.v.;2014;88.8;-1.7
115;58-60 Uitgeverijen, film,radio en t.v.;2015 1e kwartaal;82.1;0.3
116;58-60 Uitgeverijen, film,radio en t.v.;2015 2e kwartaal;91.4;1.9
117;58-60 Uitgeverijen, film,radio en t.v.;2015 3e kwartaal;87.1;2.8
118;58-60 Uitgeverijen, film,radio en t.v.;2015 4e kwartaal;99.8;1.1
119;58-60 Uitgeverijen, film,radio en t.v.;2015;90.1;1.5
120;58-60 Uitgeverijen, film,radio en t.v.;2016 1e kwartaal;82.6;0.7
121;58-60 Uitgeverijen, film,radio en t.v.;2016 2e kwartaal;90.9;-0.5
122;58-60 Uitgeverijen, film,radio en t.v.;2016 3e kwartaal;90.8;4.2
123;58-60 Uitgeverijen, film,radio en t.v.;2016 4e kwartaal;101.6;1.7
124;58-60 Uitgeverijen, film,radio en t.v.;2016;91.5;1.5
