ID;RegioS;WijzeBeeindiging;Perioden;PersonenMetBeeindigdeSchuldsanering_1
0;Nederland;Totaal alle beëindigingen;1999;200.0
1;Nederland;Totaal alle beëindigingen;2000;935.0
2;Nederland;Totaal alle beëindigingen;2001;2100.0
3;Nederland;Totaal alle beëindigingen;2002;4395.0
4;Nederland;Totaal alle beëindigingen;2003;8020.0
5;Nederland;Totaal alle beëindigingen;2004;9045.0
6;Nederland;Totaal alle beëindigingen;2005;10635.0
7;Nederland;Totaal alle beëindigingen;2006;11210.0
8;Nederland;Totaal alle beëindigingen;2007;12655.0
9;Nederland;Totaal alle beëindigingen;2008;14125.0
10;Nederland;Totaal alle beëindigingen;2009;13905.0
11;Nederland;Totaal alle beëindigingen;2010;13515.0
12;Nederland;Totaal alle beëindigingen;2011;10960.0
13;Nederland;Totaal alle beëindigingen;2012;9935.0
14;Nederland;Totaal alle beëindigingen;2013;11280.0
15;Nederland;Totaal alle beëindigingen;2014;13450.0
16;Nederland;Totaal alle beëindigingen;2015;14000.0
17;Nederland;Totaal alle beëindigingen;2016;12680.0
18;Nederland;Totaal alle beëindigingen;2017;12260.0
19;Nederland;Totaal alle beëindigingen;2018;11225.0
20;Nederland;Totaal alle beëindigingen;2019;9900.0
21;Nederland;Totaal alle beëindigingen;2020;8030.0
22;Nederland;Totaal alle beëindigingen;2021;5805.0
23;Nederland;Totaal alle beëindigingen;2022;4900.0
24;Nederland;Totaal alle beëindigingen;2023;3110.0
25;Nederland;Beëindigingen door schone lei;1999;
26;Nederland;Beëindigingen door schone lei;2000;175.0
27;Nederland;Beëindigingen door schone lei;2001;515.0
28;Nederland;Beëindigingen door schone lei;2002;2670.0
29;Nederland;Beëindigingen door schone lei;2003;5765.0
30;Nederland;Beëindigingen door schone lei;2004;6390.0
31;Nederland;Beëindigingen door schone lei;2005;7035.0
32;Nederland;Beëindigingen door schone lei;2006;7265.0
33;Nederland;Beëindigingen door schone lei;2007;8890.0
34;Nederland;Beëindigingen door schone lei;2008;10220.0
35;Nederland;Beëindigingen door schone lei;2009;10350.0
36;Nederland;Beëindigingen door schone lei;2010;10830.0
37;Nederland;Beëindigingen door schone lei;2011;8340.0
38;Nederland;Beëindigingen door schone lei;2012;7125.0
39;Nederland;Beëindigingen door schone lei;2013;8300.0
40;Nederland;Beëindigingen door schone lei;2014;10795.0
41;Nederland;Beëindigingen door schone lei;2015;11770.0
42;Nederland;Beëindigingen door schone lei;2016;10865.0
43;Nederland;Beëindigingen door schone lei;2017;10645.0
44;Nederland;Beëindigingen door schone lei;2018;9715.0
45;Nederland;Beëindigingen door schone lei;2019;8725.0
46;Nederland;Beëindigingen door schone lei;2020;6890.0
47;Nederland;Beëindigingen door schone lei;2021;2750.0
48;Nederland;Beëindigingen door schone lei;2022;650.0
49;Nederland;Beëindigingen door schone lei;2023;250.0
50;Nederland;Beëindigingen door akkoord;1999;75.0
51;Nederland;Beëindigingen door akkoord;2000;245.0
52;Nederland;Beëindigingen door akkoord;2001;375.0
53;Nederland;Beëindigingen door akkoord;2002;280.0
54;Nederland;Beëindigingen door akkoord;2003;190.0
55;Nederland;Beëindigingen door akkoord;2004;170.0
