ID;Perioden;SlotenGrendelsOpBuitendeuren_1;LuikenVoorRamenDeuren_2;Buitenverlichting_3;Alarminstallatie_4;Waakhond_5;AndereVoorzieningen_6;GeenMaatregelen_7;AndereMensenTijdelijkInHuis_8;BurenEAHoudenOogjeInTZeil_9;PolitieWordtIngelicht_10;ErBrandAltijdLicht_11;WaardevolleDingenOpgeborgen_12;Waakhond_13;AndereMaatregelen_14;GeenNVTAltijdIemandInHuis_15;NVTAltijdIemandInHuis_16;GeenMaatregelen_17;Fietsbezitters_18;Veiligheidsslot_19;GegraveerdePostcode_20;Registratiekaart_21;Diefstalpreventiechip_22;Autogebruikers18_23;TotaalStartonderbrekerAlarminstallatie_24
0;1992;75.3;10.7;66.9;6.2;16.0;10.4;8.2;13.3;78.4;10.7;39.9;46.9;5.6;3.6;12.4;;;85.5;76.9;41.7;29.6;;46.5;6.3
1;1993;75.3;11.4;68.0;5.7;17.0;10.8;8.5;15.0;78.6;9.8;40.3;47.3;6.5;4.3;11.4;;;85.1;77.0;39.3;28.4;;46.9;6.6
2;1994;77.0;10.5;70.9;6.1;17.1;11.3;7.7;12.7;78.9;9.7;42.2;47.5;5.9;4.4;11.7;;;85.7;78.7;37.9;28.4;;47.6;8.5
3;1995;78.7;10.8;72.1;5.9;17.1;10.9;7.3;13.9;80.5;9.4;46.0;51.0;5.8;3.9;11.3;;;87.1;80.6;36.5;25.0;;49.2;9.4
4;1996;78.5;10.3;73.3;7.2;16.0;10.6;7.2;14.0;81.3;11.0;46.5;50.0;5.2;3.6;10.3;;;86.9;80.2;36.5;26.2;;48.4;10.5
5;1997;79.0;12.3;74.2;7.6;16.6;9.7;7.5;13.1;79.2;9.9;43.0;48.2;5.7;4.7;12.4;;;88.4;82.2;35.8;25.9;;55.1;17.5
6;1998;79.2;12.2;75.9;8.4;16.5;10.7;6.6;14.4;80.5;10.4;45.7;49.6;5.9;5.5;12.0;;;86.5;82.2;34.3;24.9;;56.5;23.0
7;1999;80.6;12.8;75.6;8.5;14.7;9.8;6.4;12.3;80.7;10.3;43.6;49.8;5.7;4.8;;9.2;4.0;86.0;83.9;32.6;24.3;;57.2;32.7
8;2000;81.2;13.0;76.0;8.6;15.3;10.2;6.1;13.0;81.6;10.0;46.2;51.1;6.2;5.0;;7.9;3.8;87.6;84.6;31.5;24.3;;57.8;40.2
9;2001;81.4;12.9;74.7;9.1;16.2;8.8;6.1;12.3;79.7;8.5;43.8;50.2;5.6;4.4;;8.7;5.4;86.6;85.3;31.0;22.0;;59.0;41.3
10;2002;82.1;12.4;77.3;9.0;15.7;8.1;5.9;13.3;80.4;7.5;42.6;48.9;4.6;4.7;;9.2;4.1;86.8;86.3;29.3;23.4;;59.7;44.5
11;2003;82.1;14.0;76.8;9.4;16.7;7.5;5.8;13.6;80.0;6.8;41.3;48.3;5.4;4.9;;9.0;4.5;87.6;85.1;26.1;20.8;;61.3;45.9
12;2004;83.3;13.5;78.4;9.3;15.7;8.5;5.3;12.0;79.8;6.6;40.1;50.3;3.8;4.3;;9.9;4.3;87.2;86.3;24.8;;5.9;61.0;52.2
