ID;Sectoren;Perioden;BrutoToegevoegdeWaardeBbp_1;ToegevoegdeWaardeNetto_2;SaldoGoederenEnDienstentransacties_3;ExploitatieoverschotNetto_4;SaldoPrimaireInkomensNetto_5;BeschikbaarInkomenNetto_6;AlternatiefBeschikbaarInkomenNetto_7;BesparingenNetto_8;SaldoLopendeTransactiesBuitenland_9;SaldoNettoBespEnKapitaaloverdr_10;Vorderingensaldo_11;VeranderingInFinancieelVermogen_12;StatistischVerschil_13;FinancieelVermogen_14
0;Totale economie NL;2001 1e kwartaal;;;;;;;;;;;;;;
1;Totale economie NL;2001 2e kwartaal;;;;;;;;;;;;;;
2;Totale economie NL;2001 3e kwartaal;;;;;;;;;;;;;;
3;Totale economie NL;2001 4e kwartaal;;;;;;;;;;;;;;
4;Totale economie NL;2001;;;;;;;;;;;;;;
5;Totale economie NL;2002 1e kwartaal;;;;;;;;;;;;;;
6;Totale economie NL;2002 2e kwartaal;;;;;;;;;;;;;;
7;Totale economie NL;2002 3e kwartaal;;;;;;;;;;;;;;
8;Totale economie NL;2002 4e kwartaal;;;;;;;;;;;;;;
9;Totale economie NL;2002;;;;;;;;;;;;;;
10;Totale economie NL;2003 1e kwartaal;;;;;;;;;;;;;;
11;Totale economie NL;2003 2e kwartaal;;;;;;;;;;;;;;
12;Totale economie NL;2003 3e kwartaal;;;;;;;;;;;;;;
13;Totale economie NL;2003 4e kwartaal;;;;;;;;;;;;;;
14;Totale economie NL;2003;;;;;;;;;;;;;;
15;Totale economie NL;2004 1e kwartaal;;;;;;;;;;;;;;
16;Totale economie NL;2004 2e kwartaal;;;;;;;;;;;;;;
17;Totale economie NL;2004 3e kwartaal;;;;;;;;;;;;;;
18;Totale economie NL;2004 4e kwartaal;;;;;;;;;;;;;;
19;Totale economie NL;2004;;;;;;;;;;;;;;
20;Totale economie NL;2005 1e kwartaal;124851.0;106253.0;;33867.0;108846.0;106222.0;;16724.0;;16435.0;11735.0;14346.0;2611.0;164350.0
21;Totale economie NL;2005 2e kwartaal;130213.0;111399.0;;23347.0;111023.0;109646.0;;15169.0;;14729.0;9135.0;5455.0;-3680.0;162151.0
22;Totale economie NL;2005 3e kwartaal;124278.0;105243.0;;32306.0;102849.0;101016.0;;8780.0;;8444.0;4866.0;7206.0;2340.0;174635.0
23;Totale economie NL;2005 4e kwartaal;134065.0;114803.0;;34814.0;117458.0;115073.0;;19654.0;;18968.0;10935.0;10139.0;-796.0;140678.0
24;Totale economie NL;2005;513407.0;437698.0;;124334.0;440176.0;431957.0;;60327.0;;58576.0;36671.0;37146.0;475.0;140678.0
25;Totale economie NL;2006 1e kwartaal;132488.0;113181.0;;37213.0;116627.0;114464.0;;20017.0;;19581.0;13340.0;14769.0;1429.0;176489.0
26;Totale economie NL;2006 2e kwartaal;136691.0;117160.0;;23816.0;125647.0;124133.0;;24513.0;;24001.0;17138.0;17522.0;384.0;197432.0
27;Totale economie NL;2006 3e kwartaal;129982.0;110222.0;;35810.0;112486.0;110728.0;;14435.0;;13996.0;8662.0;6674.0;-1988.0;174027.0
28;Totale economie NL;2006 4e kwartaal;141055.0;121059.0;;36670.0;121387.0;118802.0;;19278.0;;18777.0;7716.0;8449.0;733.0;207194.0
29;Totale economie NL;2006;540216.0;461622.0;;133509.0;476147.0;468127.0;;78243.0;;76355.0;46856.0;47414.0;558.0;207194.0
30;Totale economie NL;2007 1e kwartaal;139690.0;119528.0;;38741.0;120925.0;118533.0;;20005.0;;19337.0;11379.0;12654.0;1275.0;266243.0
31;Totale economie NL;2007 2e kwartaal;143852.0;123457.0;;27498.0;128395.0;126831.0;;23399.0;;23022.0;14564.0;14770.0;206.0;242390.0
32;Totale economie NL;2007 3e kwartaal;138091.0;117457.0;;38742.0;120115.0;118007.0;;17271.0;;17233.0;9942.0;11640.0;1698.0;284118.0
33;Totale economie NL;2007 4e kwartaal;150140.0;129259.0;;38233.0;129768.0;127075.0;;22147.0;;22044.0;11016.0;9307.0;-1709.0;259182.0
34;Totale economie NL;2007;571773.0;489701.0;;143214.0;499203.0;490446.0;;82822.0;;81636.0;46901.0;48371.0;1470.0;259182.0
35;Totale economie NL;2008 1e kwartaal;147240.0;126218.0;;41866.0;122860.0;120448.0;;17711.0;;16825.0;8132.0;7093.0;-1039.0;267827.0
36;Totale economie NL;2008 2e kwartaal;150380.0;129210.0;;27288.0;129278.0;127472.0;;19681.0;;18822.0;9389.0;6553.0;-2836.0;272054.0
37;Totale economie NL;2008 3e kwartaal;143521.0;122043.0;;39064.0;122584.0;120777.0;;16474.0;;15862.0;8477.0;12187.0;3710.0;331470.0
38;Totale economie NL;2008 4e kwartaal;153340.0;131598.0;;38649.0;121721.0;118758.0;;10661.0;;10914.0;-19.0;806.0;825.0;276928.0
39;Totale economie NL;2008;594481.0;509069.0;;146867.0;496443.0;487455.0;;64527.0;;62423.0;25979.0;26639.0;660.0;276928.0
40;Totale economie NL;2009 1e kwartaal;143752.0;122140.0;;37572.0;115707.0;112599.0;;7856.0;;7345.0;789.0;3004.0;2215.0;282010.0
41;Totale economie NL;2009 2e kwartaal;143781.0;121920.0;;20760.0;123215.0;123235.0;;15213.0;;14503.0;9892.0;7667.0;-2225.0;333682.0
42;Totale economie NL;2009 3e kwartaal;137444.0;115326.0;;33929.0;110169.0;107860.0;;2939.0;;2461.0;794.0;-380.0;-1174.0;360591.0
43;Totale economie NL;2009 4e kwartaal;148258.0;125875.0;;34342.0;122320.0;119450.0;;9689.0;;8857.0;4174.0;7065.0;2891.0;377276.0
44;Totale economie NL;2009;573235.0;485261.0;;126603.0;471411.0;463144.0;;35697.0;;33166.0;15649.0;17356.0;1707.0;377276.0
45;Totale economie NL;2010 1e kwartaal;143658.0;121742.0;;37115.0;117054.0;114027.0;;8524.0;;7997.0;4129.0;5364.0;1235.0;382783.0
46;Totale economie NL;2010 2e kwartaal;148691.0;126522.0;;23830.0;129715.0;127215.0;;17103.0;;16717.0;9806.0;8527.0;-1279.0;384441.0
47;Totale economie NL;2010 3e kwartaal;142073.0;119644.0;;37393.0;115475.0;113718.0;;6823.0;;5896.0;4681.0;4674.0;-7.0;407936.0
48;Totale economie NL;2010 4e kwartaal;154318.0;131620.0;;37283.0;127861.0;126274.0;;14063.0;;12644.0;7991.0;8731.0;740.0;383392.0
49;Totale economie NL;2010;588740.0;499528.0;;135621.0;490105.0;481234.0;;46513.0;;43254.0;26607.0;27296.0;689.0;383392.0
50;Totale economie NL;2011 1e kwartaal;149448.0;127651.0;;41103.0;131095.0;127933.0;;20706.0;;19862.0;13366.0;14640.0;1274.0;399075.0
51;Totale economie NL;2011 2e kwartaal;152166.0;130118.0;;26289.0;131289.0;129102.0;;17635.0;;17360.0;10919.0;10487.0;-432.0;411124.0
52;Totale economie NL;2011 3e kwartaal;144993.0;122686.0;;38573.0;123782.0;122152.0;;14180.0;;13884.0;11125.0;10776.0;-349.0;447776.0
53;Totale economie NL;2011 4e kwartaal;155366.0;132792.0;;38137.0;132288.0;130019.0;;17499.0;;16856.0;12367.0;10688.0;-1679.0;429526.0
54;Totale economie NL;2011;601973.0;513247.0;;144102.0;518454.0;509206.0;;70020.0;;67962.0;47777.0;46591.0;-1186.0;429526.0
55;Totale economie NL;2012 1e kwartaal;149744.0;128066.0;;41561.0;132137.0;128791.0;;19589.0;;18996.0;15354.0;14995.0;-359.0;467097.0
56;Niet-financiële vennootschappen;2001 1e kwartaal;;;;;;;;;;;;;;
57;Niet-financiële vennootschappen;2001 2e kwartaal;;;;;;;;;;;;;;
58;Niet-financiële vennootschappen;2001 3e kwartaal;;;;;;;;;;;;;;
59;Niet-financiële vennootschappen;2001 4e kwartaal;;;;;;;;;;;;;;
60;Niet-financiële vennootschappen;2001;;;;;;;;;;;;;;
61;Niet-financiële vennootschappen;2002 1e kwartaal;;;;;;;;;;;;;;
62;Niet-financiële vennootschappen;2002 2e kwartaal;;;;;;;;;;;;;;
63;Niet-financiële vennootschappen;2002 3e kwartaal;;;;;;;;;;;;;;
64;Niet-financiële vennootschappen;2002 4e kwartaal;;;;;;;;;;;;;;
65;Niet-financiële vennootschappen;2002;;;;;;;;;;;;;;
66;Niet-financiële vennootschappen;2003 1e kwartaal;;;;;;;;;;;;;;
67;Niet-financiële vennootschappen;2003 2e kwartaal;;;;;;;;;;;;;;
68;Niet-financiële vennootschappen;2003 3e kwartaal;;;;;;;;;;;;;;
69;Niet-financiële vennootschappen;2003 4e kwartaal;;;;;;;;;;;;;;
70;Niet-financiële vennootschappen;2003;;;;;;;;;;;;;;
71;Niet-financiële vennootschappen;2004 1e kwartaal;;;;;;;;;;;;;;
72;Niet-financiële vennootschappen;2004 2e kwartaal;;;;;;;;;;;;;;
73;Niet-financiële vennootschappen;2004 3e kwartaal;;;;;;;;;;;;;;
74;Niet-financiële vennootschappen;2004 4e kwartaal;;;;;;;;;;;;;;
75;Niet-financiële vennootschappen;2004;;;;;;;;;;;;;;
76;Niet-financiële vennootschappen;2005 1e kwartaal;70654.0;60719.0;;21306.0;19059.0;15900.0;;15900.0;;16125.0;14907.0;9958.0;-4949.0;-417966.0
77;Niet-financiële vennootschappen;2005 2e kwartaal;71368.0;61359.0;;11847.0;566.0;-1702.0;;-1702.0;;-1397.0;-1993.0;-775.0;1218.0;-444963.0
78;Niet-financiële vennootschappen;2005 3e kwartaal;69376.0;59263.0;;19883.0;12880.0;9937.0;;9937.0;;10006.0;9363.0;12412.0;3049.0;-452035.0
79;Niet-financiële vennootschappen;2005 4e kwartaal;75764.0;65553.0;;22469.0;17510.0;13215.0;;13215.0;;13702.0;11295.0;11296.0;1.0;-491922.0
80;Niet-financiële vennootschappen;2005;287162.0;246894.0;;75505.0;50015.0;37350.0;;37350.0;;38436.0;33572.0;32891.0;-681.0;-491922.0
81;Niet-financiële vennootschappen;2006 1e kwartaal;75105.0;65062.0;;24754.0;21728.0;18722.0;;18722.0;;18785.0;16526.0;16457.0;-69.0;-499911.0
82;Niet-financiële vennootschappen;2006 2e kwartaal;74801.0;64449.0;;11140.0;5724.0;3460.0;;3460.0;;3699.0;2870.0;2990.0;120.0;-485423.0
83;Niet-financiële vennootschappen;2006 3e kwartaal;73577.0;63125.0;;23346.0;15222.0;12014.0;;12014.0;;12222.0;11859.0;11993.0;134.0;-490068.0
84;Niet-financiële vennootschappen;2006 4e kwartaal;80729.0;70077.0;;23523.0;17788.0;13037.0;;13037.0;;13314.0;9277.0;9616.0;339.0;-484594.0
85;Niet-financiële vennootschappen;2006;304212.0;262713.0;;82763.0;60462.0;47233.0;;47233.0;;48020.0;40532.0;41056.0;524.0;-484594.0
86;Niet-financiële vennootschappen;2007 1e kwartaal;80030.0;69767.0;;26485.0;20360.0;16981.0;;16981.0;;17329.0;15170.0;15729.0;559.0;-454187.0
87;Niet-financiële vennootschappen;2007 2e kwartaal;80367.0;69440.0;;15306.0;10435.0;7396.0;;7396.0;;7735.0;5804.0;5122.0;-682.0;-500141.0
88;Niet-financiële vennootschappen;2007 3e kwartaal;78715.0;67855.0;;25145.0;18577.0;15876.0;;15876.0;;16304.0;14679.0;15345.0;666.0;-485144.0
89;Niet-financiële vennootschappen;2007 4e kwartaal;86092.0;74941.0;;24267.0;19185.0;13649.0;;13649.0;;13965.0;8636.0;7687.0;-949.0;-495287.0
90;Niet-financiële vennootschappen;2007;325204.0;282003.0;;91203.0;68557.0;53902.0;;53902.0;;55333.0;44289.0;43883.0;-406.0;-495287.0
91;Niet-financiële vennootschappen;2008 1e kwartaal;84643.0;73587.0;;27276.0;21163.0;17902.0;;17902.0;;18102.0;16587.0;15484.0;-1103.0;-408351.0
92;Niet-financiële vennootschappen;2008 2e kwartaal;84404.0;73253.0;;14762.0;4975.0;1192.0;;1192.0;;1569.0;-798.0;-4680.0;-3882.0;-409957.0
93;Niet-financiële vennootschappen;2008 3e kwartaal;81996.0;70583.0;;25165.0;20872.0;17470.0;;17470.0;;17956.0;14734.0;17448.0;2714.0;-331677.0
94;Niet-financiële vennootschappen;2008 4e kwartaal;88829.0;77459.0;;26263.0;17007.0;11764.0;;11764.0;;11955.0;6914.0;9662.0;2748.0;-282901.0
95;Niet-financiële vennootschappen;2008;339872.0;294882.0;;93466.0;64017.0;48328.0;;48328.0;;49582.0;37437.0;37914.0;477.0;-282901.0
96;Niet-financiële vennootschappen;2009 1e kwartaal;83198.0;72060.0;;25436.0;16321.0;13262.0;;13262.0;;13476.0;12853.0;12543.0;-310.0;-241354.0
97;Niet-financiële vennootschappen;2009 2e kwartaal;79570.0;68028.0;;10070.0;4531.0;2422.0;;2422.0;;836.0;1635.0;835.0;-800.0;-264079.0
98;Niet-financiële vennootschappen;2009 3e kwartaal;77650.0;66069.0;;20909.0;16132.0;14580.0;;14580.0;;14942.0;16734.0;16482.0;-252.0;-313300.0
99;Niet-financiële vennootschappen;2009 4e kwartaal;82511.0;70747.0;;20721.0;12763.0;10277.0;;10277.0;;10634.0;9421.0;11981.0;2560.0;-332915.0
100;Niet-financiële vennootschappen;2009;322929.0;276904.0;;77136.0;49747.0;40541.0;;40541.0;;39888.0;40643.0;41841.0;1198.0;-332915.0
101;Niet-financiële vennootschappen;2010 1e kwartaal;81898.0;70564.0;;23948.0;16083.0;12454.0;;12454.0;;12816.0;10740.0;10360.0;-380.0;-336849.0
102;Niet-financiële vennootschappen;2010 2e kwartaal;82219.0;70591.0;;12171.0;10000.0;7187.0;;7187.0;;7646.0;5497.0;4329.0;-1168.0;-314033.0
103;Niet-financiële vennootschappen;2010 3e kwartaal;79992.0;68387.0;;23143.0;19175.0;17453.0;;17453.0;;17807.0;19332.0;21788.0;2456.0;-304636.0
104;Niet-financiële vennootschappen;2010 4e kwartaal;86364.0;74560.0;;23314.0;15615.0;12613.0;;12613.0;;13658.0;11912.0;14007.0;2095.0;-315824.0
105;Niet-financiële vennootschappen;2010;330473.0;284102.0;;82576.0;60873.0;49707.0;;49707.0;;51927.0;47481.0;50484.0;3003.0;-315824.0
106;Niet-financiële vennootschappen;2011 1e kwartaal;86153.0;74767.0;;26836.0;24764.0;20915.0;;20915.0;;21246.0;17758.0;17448.0;-310.0;-300243.0
107;Niet-financiële vennootschappen;2011 2e kwartaal;84542.0;73091.0;;13515.0;8778.0;6450.0;;6450.0;;6761.0;4874.0;4166.0;-708.0;-274270.0
108;Niet-financiële vennootschappen;2011 3e kwartaal;83112.0;71419.0;;24423.0;21710.0;19237.0;;19237.0;;19549.0;20582.0;20082.0;-500.0;-222756.0
109;Niet-financiële vennootschappen;2011 4e kwartaal;87561.0;75842.0;;23722.0;21154.0;18901.0;;18901.0;;19839.0;18382.0;17077.0;-1305.0;-264876.0
110;Niet-financiële vennootschappen;2011;341368.0;295119.0;;88496.0;76406.0;65503.0;;65503.0;;67395.0;61596.0;58773.0;-2823.0;-264876.0
111;Niet-financiële vennootschappen;2012 1e kwartaal;86523.0;75431.0;;27039.0;25230.0;21612.0;;21612.0;;21897.0;21279.0;18352.0;-2927.0;-247047.0
112;Financiële instellingen;2001 1e kwartaal;;;;;;;;;;;;;;
113;Financiële instellingen;2001 2e kwartaal;;;;;;;;;;;;;;
114;Financiële instellingen;2001 3e kwartaal;;;;;;;;;;;;;;
115;Financiële instellingen;2001 4e kwartaal;;;;;;;;;;;;;;
116;Financiële instellingen;2001;;;;;;;;;;;;;;
117;Financiële instellingen;2002 1e kwartaal;;;;;;;;;;;;;;
118;Financiële instellingen;2002 2e kwartaal;;;;;;;;;;;;;;
119;Financiële instellingen;2002 3e kwartaal;;;;;;;;;;;;;;
