ID;EnergyCommodities;Periods;TotalSupply_1;Production_2;TotalPureAndBlended_3;Pure_4;Blended_5;TotalPureAndBlended_6;Pure_7;Blended_8;Mass_9;Volume_10;Energy_11;PartOfTotalGasolineDiesel_12;Pure_13;Blended_14;Blending_15;ProductionCapacity_16
0;Liquid biofuels for transport, total;2003;4;;;;0;;;0;4;4;134;0.03;4.0;0;0;
1;Liquid biofuels for transport, total;2004;4;;;;0;;;0;4;4;134;0.03;4.0;0;0;
2;Liquid biofuels for transport, total;2005;3;;;;0;;;0;3;3;101;0.02;3.0;0;0;
3;Liquid biofuels for transport, total;2006;54;29.0;24.0;24.0;0;0.0;0.0;0;54;67;1766;0.38;3.0;51;51;81.0
4;Liquid biofuels for transport, total;2007;384;95.0;373.0;395.0;-22;-84.0;-84.0;0;384;463;13031;2.78;3.0;381;403;200.0
5;Liquid biofuels for transport, total;2008;367;90.0;388.0;499.0;-111;-111.0;-111.0;0;367;449;12048;2.56;0.0;367;478;531.0
6;Liquid biofuels for transport, total;2009;478;274.0;220.0;271.0;-50;-16.0;-16.0;0;478;586;15606;3.42;0.0;478;529;1323.0
7;Liquid biofuels for transport, total;2010;315;;;;36;72.0;72.0;0;315;399;9577;2.09;;315;280;
8;Liquid biofuels for transport, total;2011;426;;;;135;-48.0;-48.0;0;426;529;13438;;;426;291;
9;Liquid biofuels for transport, total;2012;431;;;;19;-65.0;-65.0;0;431;528;14017;;;431;412;
10;Liquid biofuels for transport, total;2013;414;1789.0;-1268.0;-1204.0;-64;-107.0;-107.0;0;414;509;13378;;;414;478;2517.0
11;Liquid biofuels for transport, total;2014;478;;;;-39;83.0;83.0;0;478;582;15686;;;478;516;
12;Liquid biofuels for transport, total;2015;423;;;;-58;14.0;14.0;0;423;524;13439;;;423;481;
13;Liquid biofuels for transport, total;2016;341;;;;-45;-22.0;-22.0;0;341;425;10747;;;341;383;
14;Liquid biofuels for transport, total;2017;429;;;;-82;-110.0;-110.0;0;429;528;13891;;;429;511;
15;Liquid biofuels for transport, total;2018;693;;;;-58;-178.0;-178.0;0;693;839;22993;;;693;770;
16;Biogasoline;2003;0;;;;0;;;0;0;0;0;0.0;0.0;0;0;
17;Biogasoline;2004;0;10.0;-10.0;-10.0;0;;;0;0;0;0;0.0;0.0;0;0;11.0
18;Biogasoline;2005;0;6.0;-6.0;-6.0;0;;;0;0;0;0;0.0;0.0;0;0;11.0
19;Biogasoline;2006;28;11.0;17.0;17.0;0;0.0;0.0;0;28;38;798;0.43;0.0;28;28;11.0
20;Biogasoline;2007;132;10.0;146.0;146.0;0;-25.0;-25.0;0;132;176;3687;2.0;0.0;132;132;11.0
21;Biogasoline;2008;163;7.0;153.0;180.0;-27;4.0;4.0;0;163;218;4524;2.47;0.0;163;190;11.0
22;Biogasoline;2009;213;0.0;225.0;214.0;12;-13.0;-13.0;0;213;284;5771;3.14;0.0;213;201;0.0
23;Biogasoline;2010;208;;;;37;7.0;7.0;0;208;278;5614;3.05;0.0;208;171;
24;Biogasoline;2011;231;;;;160;0.0;0.0;0;231;309;6231;;0.0;231;71;
25;Biogasoline;2012;193;;;;54;-10.0;-10.0;0;193;258;5211;;0.0;193;139;
26;Biogasoline;2013;194;414.0;-224.0;-215.0;-9;4.0;4.0;0;194;259;5238;;0.0;194;203;503.0
27;Biogasoline;2014;199;;;;5;13.0;13.0;0;199;266;5379;;0.0;199;194;
28;Biogasoline;2015;220;;;;-10;2.0;2.0;0;220;295;5950;;0.0;220;230;
29;Biogasoline;2016;187;;;;-17;-15.0;-15.0;0;187;250;5049;;0.0;187;201;
30;Biogasoline;2017;200;;;;-21;-6.0;-6.0;0;200;267;5399;;0.0;200;221;
31;Biogasoline;2018;265;;;;-7;10.0;10.0;0;265;354;7146;;0.0;265;272;
32;Biodiesel;2003;4;;;;0;;;0;4;4;134;0.05;4.0;0;0;
33;Biodiesel;2004;4;;;;0;;;0;4;4;134;0.05;4.0;0;0;
34;Biodiesel;2005;3;;;;0;;;0;3;3;101;0.04;3.0;0;0;
35;Biodiesel;2006;25;18.0;7.0;7.0;0;0.0;0.0;0;25;29;968;0.35;3.0;22;22;70.0
36;Biodiesel;2007;253;85.0;227.0;249.0;-22;-60.0;-60.0;0;253;286;9344;3.28;3.0;250;271;189.0
37;Biodiesel;2008;203;83.0;235.0;319.0;-84;-115.0;-115.0;0;203;231;7524;2.61;0.0;203;287;520.0
38;Biodiesel;2009;266;274.0;-5.0;57.0;-62;-3.0;-3.0;0;266;301;9835;3.61;0.0;266;328;1323.0
