ID;Deelgebieden;Perioden;InputPriceIndices_1;ChangesComparedTo1YearEarlier_2
0;42/43 Civil engineering works;2012 January;104.0;
1;42/43 Civil engineering works;2012 April;105.9;
2;42/43 Civil engineering works;2012 July;106.0;
3;42/43 Civil engineering works;2012 October;107.0;
4;42/43 Civil engineering works;2013 January;106.0;2.0
5;42/43 Civil engineering works;2013 April;106.0;0.0
6;42/43 Civil engineering works;2013 July;105.0;-0.9
7;42/43 Civil engineering works;2013 October;105.6;-1.3
8;42/43 Civil engineering works;2014 January;105.5;-0.5
9;42/43 Civil engineering works;2014 April;104.7;-1.1
10;42/43 Civil engineering works;2014 July;105.0;0.0
11;42/43 Civil engineering works;2014 October;105.6;-0.1
12;42/43 Civil engineering works;2015 January;100.0;-5.2
13;42/43 Civil engineering works;2015 April;100.7;-3.8
14;42/43 Civil engineering works;2015 July;101.5;-3.3
15;42/43 Civil engineering works;2015 October;98.5;-6.7
16;42/43 Civil engineering works;2016 January;96.0;-4.1
17;42/43 Civil engineering works;2016 April;96.9;-3.9
18;42/43 Civil engineering works;2016 July;99.7;-1.8
19;42/43 Civil engineering works;2016 October;100.5;2.0
20;42/43 Civil engineering works;2017 January;103.2;7.5
21;42/43 Civil engineering works;2017 April;103.5;6.9
22;42/43 Civil engineering works;2017 July;103.1;3.5
23;42/43 Civil engineering works;2017 October;104.0;3.6
24;42/43 Civil engineering works;2018 January;106.5;3.2
25;42/43 Civil engineering works;2018 April;106.4;2.8
26;42/43 Civil engineering works;2018 July;110.2;6.8
27;42/43 Civil engineering works;2018 October;112.1;7.8
28;42/43 Civil engineering works;2019 January;110.3;3.6
29;42/43 Civil engineering works;2019 April;112.2;5.4
30;42/43 Civil engineering works;2019 July;113.1;2.7
31;42/43 Civil engineering works;2019 October;112.4;0.3
32;42/43 Civil engineering works;2020 January;113.9;3.3
33;42/43 Civil engineering works;2020 April;111.1;-0.9
34;42/43 Civil engineering works;2020 July;113.0;-0.1
35;42/43 Civil engineering works;2020 October;112.5;0.0
36;42/43 Civil engineering works;2021 January;114.0;0.1
37;42/43 Civil engineering works;2021 April;117.6;5.8
38;42/43 Civil engineering works;2021 July;120.5;6.6
39;42/43 Civil engineering works;2021 October;121.9;8.4
40;42/43 Civil engineering works;2022 January;126.9;11.3
41;42/43 Civil engineering works;2022 April;140.8;19.7
42;42/43 Civil engineering works;2022 July;141.5;17.4
43;42/43 Civil engineering works;2022 October;140.3;15.1
44;42/43 Civil engineering works;2023 January;138.6;9.3
45;42/43 Civil engineering works;2023 April;139.8;-0.7
46;42/43 Civil engineering works;2023 July;142.2;0.5
47;42/43 Civil engineering works;2023 October;145.9;3.9
48;42/43 Civil engineering works;2024 January;145.4;4.9
49;42/43 Civil engineering works;2024 April;146.5;4.8
50;42/43 Civil engineering works;2024 July;148.9;4.7
51;42/43 Civil engineering works;2024 October;147.1;0.8
52;"4211a Road construction; brick paving";2012 January;97.7;
53;"4211a Road construction; brick paving";2012 April;98.4;
54;"4211a Road construction; brick paving";2012 July;99.2;
55;"4211a Road construction; brick paving";2012 October;99.9;
56;"4211a Road construction; brick paving";2013 January;99.5;1.9
57;"4211a Road construction; brick paving";2013 April;99.5;1.2
58;"4211a Road construction; brick paving";2013 July;99.2;0.1
59;"4211a Road construction; brick paving";2013 October;99.1;-0.8
60;"4211a Road construction; brick paving";2014 January;100.3;0.9
61;"4211a Road construction; brick paving";2014 April;100.0;0.5
62;"4211a Road construction; brick paving";2014 July;100.0;0.8
63;"4211a Road construction; brick paving";2014 October;100.4;1.3
64;"4211a Road construction; brick paving";2015 January;99.4;-1.0
65;"4211a Road construction; brick paving";2015 April;99.6;-0.4
66;"4211a Road construction; brick paving";2015 July;100.5;0.4
67;"4211a Road construction; brick paving";2015 October;100.3;-0.2
68;"4211a Road construction; brick paving";2016 January;100.0;0.7
69;"4211a Road construction; brick paving";2016 April;100.6;1.0
70;"4211a Road construction; brick paving";2016 July;101.8;1.3
71;"4211a Road construction; brick paving";2016 October;101.8;1.5
72;"4211a Road construction; brick paving";2017 January;101.5;1.5
73;"4211a Road construction; brick paving";2017 April;102.3;1.7
74;"4211a Road construction; brick paving";2017 July;102.3;0.5
75;"4211a Road construction; brick paving";2017 October;103.1;1.3
76;"4211a Road construction; brick paving";2018 January;104.1;2.5
77;"4211a Road construction; brick paving";2018 April;104.8;2.4
78;"4211a Road construction; brick paving";2018 July;105.7;3.4
79;"4211a Road construction; brick paving";2018 October;107.2;4.0
80;"4211a Road construction; brick paving";2019 January;107.2;2.9
81;"4211a Road construction; brick paving";2019 April;108.0;3.1
82;"4211a Road construction; brick paving";2019 July;109.3;3.3
83;"4211a Road construction; brick paving";2019 October;109.6;2.2
84;"4211a Road construction; brick paving";2020 January;113.4;5.8
85;"4211a Road construction; brick paving";2020 April;112.9;4.5
86;"4211a Road construction; brick paving";2020 July;113.9;4.2
87;"4211a Road construction; brick paving";2020 October;113.7;3.7
88;"4211a Road construction; brick paving";2021 January;114.2;0.7
89;"4211a Road construction; brick paving";2021 April;114.9;1.7
90;"4211a Road construction; brick paving";2021 July;115.6;1.5
91;"4211a Road construction; brick paving";2021 October;116.2;2.3
92;"4211a Road construction; brick paving";2022 January;120.8;5.7
93;"4211a Road construction; brick paving";2022 April;124.8;8.7
94;"4211a Road construction; brick paving";2022 July;127.6;10.3
95;"4211a Road construction; brick paving";2022 October;129.6;11.5
96;"4211a Road construction; brick paving";2023 January;133.6;10.6
97;"4211a Road construction; brick paving";2023 April;135.5;8.6
98;"4211a Road construction; brick paving";2023 July;137.1;7.5
99;"4211a Road construction; brick paving";2023 October;138.6;6.9
100;"4211a Road construction; brick paving";2024 January;140.7;5.3
101;"4211a Road construction; brick paving";2024 April;141.1;4.1
102;"4211a Road construction; brick paving";2024 July;143.5;4.6
103;"4211a Road construction; brick paving";2024 October;143.4;3.5
104;"4211b Road construction; asphalt paving";2012 January;132.6;
105;"4211b Road construction; asphalt paving";2012 April;140.0;
106;"4211b Road construction; asphalt paving";2012 July;133.7;
107;"4211b Road construction; asphalt paving";2012 October;138.2;
108;"4211b Road construction; asphalt paving";2013 January;133.3;0.5
109;"4211b Road construction; asphalt paving";2013 April;132.9;-5.0
110;"4211b Road construction; asphalt paving";2013 July;130.1;-2.7
111;"4211b Road construction; asphalt paving";2013 October;133.8;-3.1
112;"4211b Road construction; asphalt paving";2014 January;130.7;-2.0
113;"4211b Road construction; asphalt paving";2014 April;127.8;-3.9
114;"4211b Road construction; asphalt paving";2014 July;127.7;-1.8
115;"4211b Road construction; asphalt paving";2014 October;126.4;-5.5
116;"4211b Road construction; asphalt paving";2015 January;100.8;-22.9
117;"4211b Road construction; asphalt paving";2015 April;103.7;-18.8
118;"4211b Road construction; asphalt paving";2015 July;106.4;-16.7
119;"4211b Road construction; asphalt paving";2015 October;93.1;-26.3
120;"4211b Road construction; asphalt paving";2016 January;84.0;-16.7
121;"4211b Road construction; asphalt paving";2016 April;85.2;-17.8
122;"4211b Road construction; asphalt paving";2016 July;95.4;-10.4
123;"4211b Road construction; asphalt paving";2016 October;98.3;5.5
124;"4211b Road construction; asphalt paving";2017 January;108.2;28.8
125;"4211b Road construction; asphalt paving";2017 April;107.0;25.5
126;"4211b Road construction; asphalt paving";2017 July;104.2;9.2
127;"4211b Road construction; asphalt paving";2017 October;106.9;8.8
128;"4211b Road construction; asphalt paving";2018 January;114.4;5.7
129;"4211b Road construction; asphalt paving";2018 April;112.2;4.9
130;"4211b Road construction; asphalt paving";2018 July;128.5;23.4
131;"4211b Road construction; asphalt paving";2018 October;133.7;25.0
132;"4211b Road construction; asphalt paving";2019 January;124.6;9.0
133;"4211b Road construction; asphalt paving";2019 April;129.8;15.7
134;"4211b Road construction; asphalt paving";2019 July;132.6;3.2
135;"4211b Road construction; asphalt paving";2019 October;128.3;-4.0
136;"4211b Road construction; asphalt paving";2020 January;124.9;0.2
137;"4211b Road construction; asphalt paving";2020 April;113.3;-12.8
138;"4211b Road construction; asphalt paving";2020 July;120.1;-9.4
139;"4211b Road construction; asphalt paving";2020 October;117.8;-8.2
140;"4211b Road construction; asphalt paving";2021 January;118.2;-5.3
141;"4211b Road construction; asphalt paving";2021 April;128.6;13.5
142;"4211b Road construction; asphalt paving";2021 July;132.5;10.3
143;"4211b Road construction; asphalt paving";2021 October;137.3;16.6
144;"4211b Road construction; asphalt paving";2022 January;140.8;19.1
145;"4211b Road construction; asphalt paving";2022 April;180.8;40.6
146;"4211b Road construction; asphalt paving";2022 July;177.8;34.2
147;"4211b Road construction; asphalt paving";2022 October;161.2;17.4
148;"4211b Road construction; asphalt paving";2023 January;155.6;10.5
149;"4211b Road construction; asphalt paving";2023 April;154.5;-14.5
150;"4211b Road construction; asphalt paving";2023 July;160.4;-9.8
151;"4211b Road construction; asphalt paving";2023 October;177.3;10.0
152;"4211b Road construction; asphalt paving";2024 January;163.7;5.2
153;"4211b Road construction; asphalt paving";2024 April;166.1;7.5
154;"4211b Road construction; asphalt paving";2024 July;170.2;6.1
155;"4211b Road construction; asphalt paving";2024 October;162.4;-8.4
156;4212 Railways and underground railway.;2012 January;99.3;
