ID;TypeLozing;IndustrieVolgensSBI93;Perioden;FosforverbindingenAlsP_1;StikstofverbindingenAlsN_2;AntimoonverbindingenAlsSb_3;ArseenverbindingenAlsAs_4;CadmiumverbindingenAlsCd_5;ChroomverbindingenAlsCr_6;KobaltverbindingenAlsCo_7;KoperverbindingenAlsCu_8;KwikverbindingenAlsHg_9;LoodverbindingenAlsPb_10;NikkelverbindingenAlsNi_11;ZinkverbindingenAlsZn_12;Benzeen_13;Ethylbenzeen_14;Isopropylbenzeen_15;SomPAK6VanBorneff_16;Tolueen_17;XyleenTotaal_18;Dichloorethaan12_19;Hexachloorbutadieen_20;TetrachlooretheenPer_21;TetrachloormethaanTetra_22;DrinsAldrinDieldrinEnz_23;Hexachloorbenzenen_24;Pentachloorfenol_25;ChloorverbAnorgChloridenAlsCl_26;Fluoriden_27;CyanidenAnorganischAlsCN_28;CZV_29
0;Totale lozing;D Industrie;1990;12337;20955;982.794;4888.0;4007.84;45988.9;;53712;723.205;25570;42940;175794;29509.0;3378.6;167.5;1586.5;45103.7;19293.2;5583.4;1.088;106.167;396.954;8.92;23.952;1.4;946438;37473;22924;165262
1;Totale lozing;D Industrie;1995;5247;14560;560.863;1832.6;816.821;38682.5;;36655;299.344;11957;33295;84221;7575.4;7288.4;48.5;313.0;7472.3;13362.6;1362.7;0.185;135.857;115.082;2.817;1.545;15.062;439502;1808;37739;142793
2;Totale lozing;D Industrie;2000;3127;11388;298.968;1799.4;321.484;24188.8;;28336;31.941;6320;17843;55281;1393.6;3104.2;5.7;85.3;2554.2;4509.9;2917.3;0.01;33.001;6.9;0.0;0.05;0.009;1131533;2716;15975;147619
3;Totale lozing;D Industrie;2003;1696;11468;323.313;1099.4;245.871;21974.9;284.3;23192;36.608;4466;17146;55436;1290.8;3262.5;2.0;25.1;1354.0;5222.7;1478.7;0.025;28.327;2.267;0.001;0.058;0.0;829582;2296;12524;150537
4;Totale lozing;D Industrie;2004;1678;11229;245.081;1253.8;242.792;23197.8;208.5;24012;40.81;4619;17405;59728;2073.0;3191.7;5.7;24.4;1009.5;5250.1;1110.0;0.013;4.381;4.799;0.0;0.01;0.0;694722;2311;16569;166118
5;Totale lozing;D Industrie;2005;1806;11759;478.563;1058.7;183.997;23279.7;416.0;20623;45.484;3212;16210;44915;959.1;2121.9;50.6;88.7;462.9;5148.7;1290.0;0.01;1.836;1.149;0.0;0.01;0.089;663660;1173;15206;151062
6;Totale lozing;D Industrie;2006;1578;10848;255.387;843.2;179.445;23952.8;495.6;17532;37.682;2911;16714;35462;2746.8;2938.8;64.9;84.9;951.0;2487.8;564.4;0.021;1.042;1.209;0.0;0.011;0.0;622064;1611;15808;134390
7;Totale lozing;D Industrie;2007;1471;10461;177.358;1081.7;344.598;21488.2;486.5;15847;28.725;2480;15792;27678;1822.2;2640.1;58.1;61.2;1000.4;2376.2;650.6;0.036;0.73;1.452;0.0;0.005;0.0;725244;1640;12212;99299
8;Totale lozing;D Industrie;2008*;1610;9551;193.588;1059.7;351.976;20955.0;404.0;14085;22.287;2612;14813;31305;4859.2;2290.9;108.1;63.9;2067.9;1364.3;1217.2;0.009;0.081;2.091;0.0;0.005;0.0;953271;913;18715;95462
9;Totale lozing;DA Voedings- en genotmiddelenindustrie;1990;1243;8457;0.0;35.4;9.139;440.0;;3873;16.802;516;1094;16965;101.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39820;0;0;87290
10;Totale lozing;DA Voedings- en genotmiddelenindustrie;1995;1826;5698;0.0;224.9;86.304;1447.0;;3838;10.936;940;1506;12072;16.9;0.0;0.0;0.0;384.3;0.2;0.1;0.0;0.0;0.0;0.004;0.004;0.028;47228;0;0;73208
11;Totale lozing;DA Voedings- en genotmiddelenindustrie;2000;1502;5230;0.0;81.8;15.139;415.4;;2760;1.175;223;556;8065;0.0;0.0;0.0;0.0;63.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71736;0;0;75242
12;Totale lozing;DA Voedings- en genotmiddelenindustrie;2003;1139;5464;0.0;46.2;13.001;830.7;0.0;2169;1.249;104;513;7949;15.0;0.0;0.0;0.0;4.9;0.0;0.0;0.0;0.0;0.071;0.0;0.0;0.0;67979;0;0;69498
13;Totale lozing;DA Voedings- en genotmiddelenindustrie;2004;1199;4559;0.0;79.2;9.013;543.8;0.0;2229;8.056;145;464;8760;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59681;0;0;76020
14;Totale lozing;DA Voedings- en genotmiddelenindustrie;2005;1395;4404;0.0;145.0;10.87;746.4;0.0;2209;0.728;190;754;7954;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59410;0;0;70286
15;Totale lozing;DA Voedings- en genotmiddelenindustrie;2006;1138;4508;0.0;95.4;8.722;453.7;0.0;1330;1.041;150;419;6631;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51757;0;0;66071
16;Totale lozing;DA Voedings- en genotmiddelenindustrie;2007;1076;4626;0.0;143.9;1.605;111.0;0.0;784;0.586;96;341;3037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52586;0;0;59871
17;Totale lozing;DA Voedings- en genotmiddelenindustrie;2008*;1122;3753;0.0;62.6;5.169;140.8;0.0;579;0.63;81;320;2053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58903;0;0;40774
18;Totale lozing;15 Voedingsmiddelen- en drankenind.;1990;1242;8298;0.0;35.4;9.139;440.0;;3873;16.802;516;1094;16965;99.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39692;0;0;86782
19;Totale lozing;15 Voedingsmiddelen- en drankenind.;1995;1823;5664;0.0;224.9;86.304;1438.0;;3800;10.936;928;1502;12001;15.2;0.0;0.0;0.0;41.7;0.2;0.1;0.0;0.0;0.0;0.004;0.004;0.028;46975;0;0;72192
20;Totale lozing;15 Voedingsmiddelen- en drankenind.;2000;1495;5184;0.0;81.8;15.113;409.2;;2707;1.169;223;554;8002;0.0;0.0;0.0;0.0;63.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71581;0;0;74204
21;Totale lozing;15 Voedingsmiddelen- en drankenind.;2003;1138;5454;0.0;44.6;13.001;819.8;0.0;2140;1.244;104;505;7907;15.0;0.0;0.0;0.0;4.9;0.0;0.0;0.0;0.0;0.071;0.0;0.0;0.0;67979;0;0;69077
22;Totale lozing;15 Voedingsmiddelen- en drankenind.;2004;1198;4549;0.0;77.7;9.013;532.8;0.0;2198;8.051;145;457;8714;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59681;0;0;75579
23;Totale lozing;15 Voedingsmiddelen- en drankenind.;2005;1394;4394;0.0;144.7;10.8;738.2;0.0;2144;0.728;189;747;7909;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59410;0;0;69780
24;Totale lozing;15 Voedingsmiddelen- en drankenind.;2006;1137;4498;0.0;95.4;8.63;453.7;0.0;1285;1.024;150;414;6591;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51757;0;0;65580
25;Totale lozing;15 Voedingsmiddelen- en drankenind.;2007;1076;4626;0.0;143.9;1.605;111.0;0.0;784;0.586;96;341;3037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52586;0;0;59871
26;Totale lozing;15 Voedingsmiddelen- en drankenind.;2008*;1122;3753;0.0;62.6;5.169;140.8;0.0;579;0.63;81;320;2053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58903;0;0;40774
