ID;Leeftijd;RegioS;Inwoners_1;Bijstandontvangers_2;Bijstandsdichtheid_3;Instromers_4;Instromers_5;Uitstromers_6;Uitstromers_7;UitstromersNaarWerk_8;UitstromersNaarWerk_9;PersonenMetReIntegratievoorziening_10;WerkendenNaReIntegratie_11;WerkendenNaReIntegratie_12;PersonenMetBijstandEnReIntegratie_13;BijstandontvangersMetReIntegratie_14;ReIntegratieontvangersMetBijstand_15;WSWWerknemers_16;WSWDichtheid_17
0;15 jaar of ouder;Nederland;14188300;496600;35.0;155440;24.5;140070;22.0;59780.0;10.5;165440.0;43480.0;17.0;126710.0;28.0;76.5;96370.0;7.0
1;15 jaar of ouder;Noord-Nederland (LD);1445540;55770;38.5;19100;26.0;16870;23.0;8340.0;11.5;23550.0;6290.0;18.5;18860.0;35.5;80.0;14560.0;10.0
2;15 jaar of ouder;Oost-Nederland (LD);2964440;91660;31.0;29940;25.5;25700;22.0;11930.0;11.0;35090.0;9340.0;18.5;27420.0;32.5;78.0;21890.0;7.5
3;15 jaar of ouder;West-Nederland (LD);6711040;260210;39.0;75610;23.0;66290;20.0;28750.0;10.0;77680.0;20330.0;16.0;58000.0;25.0;74.5;30840.0;4.5
4;15 jaar of ouder;Zuid-Nederland (LD);3067270;88480;29.0;28400;25.0;23940;21.0;10760.0;10.5;29120.0;7520.0;18.0;22420.0;27.5;77.0;28860.0;9.5
5;15 jaar of ouder;Groningen (PV);498550;22780;45.5;7750;25.5;6870;23.0;3440.0;12.0;9660.0;2440.0;17.5;7980.0;36.5;82.5;5900.0;12.0
6;15 jaar of ouder;Friesland (PV);537510;20230;37.5;6780;26.0;5830;22.0;2830.0;11.0;6980.0;1920.0;18.0;5610.0;29.0;80.5;4390.0;8.0
7;15 jaar of ouder;Drenthe (PV);409480;12760;31.0;4560;26.5;4180;24.5;2070.0;12.5;6910.0;1920.0;21.0;5280.0;43.5;76.5;4270.0;10.5
8;15 jaar of ouder;Overijssel (PV);942690;31260;33.0;9990;25.0;8670;21.5;4060.0;11.0;11040.0;3070.0;18.0;8940.0;31.5;81.0;7900.0;8.5
9;15 jaar of ouder;Flevoland (PV);324140;11950;37.0;4280;27.0;3710;23.0;1760.0;12.0;4360.0;1380.0;20.0;3460.0;32.0;79.5;1300.0;4.0
10;15 jaar of ouder;Gelderland (PV);1697620;48440;28.5;15670;25.5;13320;21.5;6110.0;10.5;19680.0;4900.0;18.5;15030.0;33.5;76.5;12700.0;7.5
11;15 jaar of ouder;Utrecht (PV);1045470;29330;28.0;9410;25.0;7970;21.5;3330.0;10.0;8160.0;2460.0;19.5;6350.0;24.0;78.0;4140.0;4.0
12;15 jaar of ouder;Noord-Holland (PV);2331730;87690;37.5;23870;21.5;22000;20.0;9620.0;10.0;30440.0;6450.0;16.5;20130.0;26.0;66.0;9990.0;4.5
13;15 jaar of ouder;Zuid-Holland (PV);3012920;134770;44.5;39500;23.0;34100;20.0;14710.0;9.5;35960.0;10660.0;15.0;29110.0;24.5;81.0;14260.0;4.5
14;15 jaar of ouder;Zeeland (PV);320930;8410;26.0;2830;26.5;2220;21.0;1100.0;11.0;3130.0;760.0;15.5;2410.0;31.0;77.0;2460.0;7.5
15;15 jaar of ouder;Noord-Brabant (PV);2101950;56100;26.5;18420;25.5;15310;21.5;6930.0;10.5;17780.0;4830.0;17.5;13960.0;27.5;78.5;18240.0;8.5
16;15 jaar of ouder;Limburg (PV);965330;32380;33.5;9980;24.0;8630;21.0;3830.0;10.0;11340.0;2680.0;18.5;8460.0;28.5;74.5;10620.0;11.0
17;15 jaar of ouder;Oost-Groningen (CR);126510;5220;41.5;2060;29.0;1650;23.0;780.0;11.5;3500.0;860.0;18.5;2920.0;58.0;83.5;2800.0;22.0
18;15 jaar of ouder;Delfzijl en omgeving (CR);40110;1860;46.5;660;26.5;570;23.0;280.0;12.0;450.0;160.0;13.0;420.0;23.5;91.5;480.0;12.0
19;15 jaar of ouder;Overig Groningen (CR);331930;15700;47.5;5030;24.5;4650;22.5;2380.0;12.0;5710.0;1430.0;18.0;4640.0;31.0;81.5;2630.0;8.0
20;15 jaar of ouder;Noord-Friesland (CR);270130;11160;41.5;3660;25.5;3190;22.0;1460.0;10.5;3380.0;900.0;15.5;2730.0;25.5;81.0;2240.0;8.5
21;15 jaar of ouder;Zuidwest-Friesland (CR);111920;3600;32.0;1200;26.0;930;20.5;500.0;11.0;1600.0;300.0;16.0;1260.0;36.0;78.5;720.0;6.5
