ID;SBI93;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2
0;40 Energiebedrijven;2003 januari;149;
1;40 Energiebedrijven;2003 februari;137;
2;40 Energiebedrijven;2003 maart;127;
3;40 Energiebedrijven;2003 1e kwartaal;138;
4;40 Energiebedrijven;2003 april;105;
5;40 Energiebedrijven;2003 mei;95;
6;40 Energiebedrijven;2003 juni;89;
7;40 Energiebedrijven;2003 2e kwartaal;96;
8;40 Energiebedrijven;2003 juli;82;
9;40 Energiebedrijven;2003 augustus;86;
10;40 Energiebedrijven;2003 september;93;
11;40 Energiebedrijven;2003 3e kwartaal;87;
12;40 Energiebedrijven;2003 oktober;120;
13;40 Energiebedrijven;2003 november;131;
14;40 Energiebedrijven;2003 december;165;
15;40 Energiebedrijven;2003 4e kwartaal;139;
16;40 Energiebedrijven;2003;115;
17;40 Energiebedrijven;2004 januari;160;7.0
18;40 Energiebedrijven;2004 februari;150;9.0
19;40 Energiebedrijven;2004 maart;152;20.0
20;40 Energiebedrijven;2004 1e kwartaal;154;12.0
21;40 Energiebedrijven;2004 april;116;10.0
22;40 Energiebedrijven;2004 mei;108;14.0
23;40 Energiebedrijven;2004 juni;97;9.0
24;40 Energiebedrijven;2004 2e kwartaal;107;11.0
25;40 Energiebedrijven;2004 juli;96;16.0
26;40 Energiebedrijven;2004 augustus;94;9.0
27;40 Energiebedrijven;2004 september;105;13.0
28;40 Energiebedrijven;2004 3e kwartaal;98;12.0
29;40 Energiebedrijven;2004 oktober;117;-3.0
30;40 Energiebedrijven;2004 november;140;7.0
31;40 Energiebedrijven;2004 december;167;1.0
32;40 Energiebedrijven;2004 4e kwartaal;141;2.0
33;40 Energiebedrijven;2004;125;9.0
34;40 Energiebedrijven;2005 januari;168;5.0
35;40 Energiebedrijven;2005 februari;153;3.0
36;40 Energiebedrijven;2005 maart;153;0.0
37;40 Energiebedrijven;2005 1e kwartaal;158;3.0
38;40 Energiebedrijven;2005 april;131;14.0
39;40 Energiebedrijven;2005 mei;123;14.0
40;40 Energiebedrijven;2005 juni;116;20.0
41;40 Energiebedrijven;2005 2e kwartaal;123;16.0
42;40 Energiebedrijven;2005 juli;104;8.0
43;40 Energiebedrijven;2005 augustus;102;8.0
44;40 Energiebedrijven;2005 september;118;13.0
45;40 Energiebedrijven;2005 3e kwartaal;108;10.0
46;40 Energiebedrijven;2005 oktober;138;18.0
47;40 Energiebedrijven;2005 november;182;30.0
48;40 Energiebedrijven;2005 december;215;28.0
49;40 Energiebedrijven;2005 4e kwartaal;178;26.0
50;40 Energiebedrijven;2005;142;13.0
51;40 Energiebedrijven;2006 januari;232;38.0
52;40 Energiebedrijven;2006 februari;235;53.0
53;40 Energiebedrijven;2006 maart;218;43.0
54;40 Energiebedrijven;2006 1e kwartaal;228;44.0
55;40 Energiebedrijven;2006 april;169;29.0
56;40 Energiebedrijven;2006 mei;141;14.0
57;40 Energiebedrijven;2006 juni;124;7.0
58;40 Energiebedrijven;2006 2e kwartaal;144;17.0
59;40 Energiebedrijven;2006 juli;121;17.0
60;40 Energiebedrijven;2006 augustus;124;21.0
61;40 Energiebedrijven;2006 september;128;8.0
62;40 Energiebedrijven;2006 3e kwartaal;124;15.0
63;40 Energiebedrijven;2006 oktober;152;10.0
64;40 Energiebedrijven;2006 november;169;-7.0
65;40 Energiebedrijven;2006 december;194;-9.0
66;40 Energiebedrijven;2006 4e kwartaal;172;-4.0
67;40 Energiebedrijven;2006;167;18.0
68;40 Energiebedrijven;2007 januari;203;-12.0
69;40 Energiebedrijven;2007 februari;205;-13.0
70;40 Energiebedrijven;2007 maart;192;-12.0
71;40 Energiebedrijven;2007 1e kwartaal;200;-12.0
72;40 Energiebedrijven;2007 april;141;-16.0
73;40 Energiebedrijven;2007 mei;136;-3.0
74;40 Energiebedrijven;2007 juni;129;4.0
75;40 Energiebedrijven;2007 2e kwartaal;135;-6.0
76;40 Energiebedrijven;2007 juli;129;7.0
77;40 Energiebedrijven;2007 augustus;129;4.0
78;40 Energiebedrijven;2007 september;137;7.0
79;40 Energiebedrijven;2007 3e kwartaal;132;6.0
80;40 Energiebedrijven;2007 oktober;175;15.0
81;40 Energiebedrijven;2007 november;197;16.0
82;40 Energiebedrijven;2007 december;220;13.0
83;40 Energiebedrijven;2007 4e kwartaal;197;15.0
