ID;Perioden;VolumeIndexFiguresConstruction_1;VolumeYearOnYearChangeConstruction_2
0;2005 January;90.1;-3.3
1;2005 February;98.8;1.5
2;2005 March;114.4;-2.0
3;2005 1st quarter;101.1;-1.3
4;2005 April;107.4;9.9
5;2005 May;103.7;10.3
6;2005 June;129.1;7.0
7;2005 2nd quarter;113.4;8.9
8;2005 July;84.3;0.0
9;2005 August;66.7;13.3
10;2005 September;124.8;6.1
11;2005 3rd quarter;91.9;5.8
12;2005 October;112.9;2.8
13;2005 November;122.7;3.9
14;2005 December;80.3;3.6
15;2005 4th quarter;105.3;3.4
16;2005;102.9;4.2
17;2006 January;91.6;1.6
18;2006 February;102.3;3.5
19;2006 March;123.7;8.1
20;2006 1st quarter;105.9;4.7
21;2006 April;101.3;-5.6
22;2006 May;114.1;10.0
23;2006 June;127.0;-1.6
24;2006 2nd quarter;114.1;0.6
25;2006 July;85.4;1.3
26;2006 August;71.3;6.9
27;2006 September;130.7;4.7
28;2006 3rd quarter;95.8;4.2
29;2006 October;118.3;4.8
30;2006 November;128.0;4.3
31;2006 December;82.1;2.2
32;2006 4th quarter;109.5;3.9
33;2006;106.3;3.3
34;2007 January;100.5;9.8
35;2007 February;112.0;9.5
36;2007 March;132.9;7.4
37;2007 1st quarter;115.1;8.8
38;2007 April;111.2;9.7
39;2007 May;118.3;3.7
40;2007 June;138.2;8.9
41;2007 2nd quarter;122.6;7.4
42;2007 July;90.7;6.2
43;2007 August;79.6;11.7
44;2007 September;131.1;0.3
45;2007 3rd quarter;100.5;4.9
46;2007 October;127.7;7.9
47;2007 November;132.7;3.7
48;2007 December;79.9;-2.8
49;2007 4th quarter;113.4;3.6
50;2007;112.9;6.2
51;2008 January;111.8;11.1
52;2008 February;125.2;11.8
53;2008 March;127.8;-3.8
54;2008 1st quarter;121.6;5.6
55;2008 April;127.9;15.0
56;2008 May;120.2;1.6
57;2008 June;142.0;2.7
58;2008 2nd quarter;130.0;6.1
59;2008 July;90.1;-0.6
60;2008 August;82.1;3.1
61;2008 September;140.7;7.3
62;2008 3rd quarter;104.3;3.8
63;2008 October;133.8;4.8
64;2008 November;125.1;-5.7
65;2008 December;82.5;3.3
66;2008 4th quarter;113.8;0.3
67;2008;117.4;4.0
68;2009 January;115.3;3.2
69;2009 February;120.4;-3.8
70;2009 March;136.9;7.1
71;2009 1st quarter;124.2;2.1
72;2009 April;123.3;-3.5
73;2009 May;116.9;-2.7
74;2009 June;133.5;-6.0
75;2009 2nd quarter;124.6;-4.2
76;2009 July;95.5;5.9
77;2009 August;70.3;-14.4
78;2009 September;129.4;-8.0
79;2009 3rd quarter;98.4;-5.7
80;2009 October;119.8;-10.5
81;2009 November;114.2;-8.7
82;2009 December;71.0;-13.9
83;2009 4th quarter;101.7;-10.7
84;2009;112.2;-4.4
85;2010 January;95.6;-17.1
86;2010 February;95.1;-21.0
87;2010 March;120.2;-12.2
88;2010 1st quarter;103.6;-16.6
89;2010 April;108.3;-12.2
90;2010 May;102.1;-12.7
91;2010 June;125.3;-6.2
92;2010 2nd quarter;111.9;-10.2
93;2010 July;85.0;-11.0
94;2010 August;68.2;-2.9
95;2010 September;115.8;-10.6
96;2010 3rd quarter;89.7;-8.9
97;2010 October;108.5;-9.4
98;2010 November;112.3;-1.7
99;2010 December;63.7;-10.3
100;2010 4th quarter;94.8;-6.7
101;2010;100.0;-10.9
102;2011 January;104.3;9.1
103;2011 February;109.3;15.0
104;2011 March;123.0;2.3
105;2011 1st quarter;112.2;8.3
106;2011 April;105.8;-2.4
107;2011 May;114.9;12.6
108;2011 June;113.3;-9.6
109;2011 2nd quarter;111.3;-0.5
110;2011 July;79.8;-6.1
111;2011 August;67.7;-0.8
112;2011 September;116.8;0.9
113;2011 3rd quarter;88.1;-1.7
114;2011 October;101.9;-6.1
115;2011 November;108.2;-3.7
116;2011 December;66.4;4.2
117;2011 4th quarter;92.2;-2.8
118;2011;100.9;0.9
119;2012 January;96.1;-7.8
120;2012 February;94.1;-13.8
121;2012 March;110.3;-10.3
122;2012 1st quarter;100.2;-10.7
123;2012 April;97.3;-8.0
124;2012 May;101.2;-12.0
125;2012 June;112.4;-0.8
126;2012 2nd quarter;103.6;-6.9
127;2012 July;74.3;-7.0
128;2012 August;66.8;-1.3
129;2012 September;105.2;-9.9
130;2012 3rd quarter;82.1;-6.8
131;2012 October;97.7;-4.1
132;2012 November;100.7;-7.0
133;2012 December;56.6;-14.7
134;2012 4th quarter;85.0;-7.8
135;2012;92.7;-8.1
136;2013 January;88.4;-8.0
137;2013 February;85.0;-9.7
138;2013 March;98.3;-10.9
139;2013 1st quarter;90.6;-9.6
140;2013 April;90.7;-6.8
141;2013 May;95.8;-5.3
142;2013 June;104.0;-7.5
143;2013 2nd quarter;96.8;-6.5
144;2013 July;71.5;-3.7
145;2013 August;63.2;-5.3
146;2013 September;99.4;-5.5
147;2013 October;100.4;2.8
148;2013 3rd quarter;78.1;-4.9
149;2013 November;98.3;-2.3
150;2013 December;59.3;4.7
151;2013 4th quarter;86.0;1.2
152;2013;87.9;-5.2
153;2014 January;97.0;9.8
154;2014 February;94.7;11.5
155;2014 March;98.1;-0.3
156;2014 1st quarter;96.6;6.7
157;2014 April;96.5;6.4
158;2014 May;95.8;0.0
159;2014 June;102.5;-1.5
160;2014 2nd quarter;98.3;1.5
161;2014 July;75.4;5.5
162;2014 August;57.5;-9.0
163;2014 September;100.8;1.4
164;2014 3rd quarter;77.9;-0.2
165;2014 October;110.5;10.1
166;2014 November;105.7;7.5
167;2014 December;66.0;11.3
168;2014 4th quarter;94.1;9.4
169;2014;91.7;4.4
170;2015 January;102.3;5.4
171;2015 February;98.9;4.5
172;2015 March;114.6;16.8
173;2015 1st quarter;105.3;9.0
174;2015 April;101.0;4.7
175;2015 May;101.0;5.4
176;2015 June;129.4;26.3
177;2015 2nd quarter;110.5;12.5
178;2015 July;81.4;7.9
179;2015 August;64.3;11.8
180;2015 September;110.0;9.1
181;2015 3rd quarter;85.2;9.4
182;2015 October;109.8;-0.6
183;2015 November;111.4;5.4
184;2015 December;67.8;2.7
185;2015 4th quarter;96.3;2.4
186;2015;99.3;8.3
187;2016 January;108.9;6.4
188;2016 February;110.8;12.0
189;2016 March;120.2;4.9
190;2016 1st quarter;113.3;7.6
191;2016 April;109.6;8.5
192;2016 May;108.8;7.7
193;2016 June;129.5;0.0
194;2016 2nd quarter;116.0;4.9
195;2016 July;92.6;13.8
196;2016 August;70.2;9.1
197;2016 September;118.8;8.0
198;2016 3rd quarter;93.9;10.1
199;2016 October;116.9;6.4
200;2016 November;122.3;9.8
201;2016 December;74.8;10.4
202;2016 4th quarter;104.7;8.7
203;2016;107.0;7.7
204;2017 January;109.7;0.8
205;2017 February;114.4;3.2
206;2017 March;135.2;12.5
207;2017 1st quarter;119.8;5.7
208;2017 April;110.0;0.3
209;2017 May;123.5;13.4
210;2017 June;135.8;4.9
211;2017 2nd quarter ;123.1;6.1
212;2017 July;96.0;3.6
213;2017 August;74.8;6.6
214;2017 September;121.8;2.5
215;2017 3rd quarter ;97.5;3.9
216;2017 October;125.5;7.3
217;2017 November ;132.7;8.5
218;2017 December;77.9;4.1
219;2017 4th quarter;112.0;7.0
220;2017 ;113.1;5.7
