ID;Mineralen;Perioden;TotaalAanvoerNaarVeehouderij_1;TotaalKrachtvoer_2;Rundvee_3;Varkens_4;Pluimvee_5;OverigeDieren_6;TotaalRuwvoer_7;Rundvee_8;Varkens_9;Pluimvee_10;OverigeDieren_11;TotaalAfvoerVanVeehouderij_12;TotaalVastlegging_13;Rundvee_14;Varkens_15;Pluimvee_16;OverigeDieren_17;TotaalUitscheidingVeestapel_18;Rundvee_19;Varkens_20;Pluimvee_21;OverigeDieren_22;TotaalVeehouderij_23;Rundvee_24;Varkens_25;Pluimvee_26;OverigeDieren_27;TotaalAanvoerNaarCultuurgrond_28;TotaalDierlijkMest_29;Weidemest_30;Stalmest_31;TotaalUitscheidingVeestapel_32;UitscheidingInDeWei_33;UitscheidingInDeStal_34;TotaalStikstofvervluchtiging_35;Ammoniakvervluchtiging_36;OverigeStikstofvervluchtiging_37;MestafzetBuitenDeLandbouw_38;Kunstmest_39;TotaalLuchtdepositie_40;HerkomstLandbouw_41;HerkomstNietLandbouw_42;TotaalOverigeAanvoer_43;BiologischeStikstofbinding_44;OverigeAanvoer_45;TotaalAfvoerVanCultuurgrond_46;TotaalStikstofvervluchtiging_47;TotaalDierlijkMest_48;Weidemest_49;Stalmest_50;Kunstmest_51;OverigeAanvoer_52;TotaalAfvoerViaGewassen_53;TotaalRuwvoer_54;Kuilgras_55;Weidegras_56;Hooi_57;Snijmais_58;TotaalAfzetPlantaardigeProducten_59;TotaalAkkerbouwgewassen_60;Aardappelen_61;Suikerbieten_62;Tarwe_63;OverigeAkkerbouwgewassen_64;TotaalTuinbouwgewassen_65;GroenteEnFruit_66;OverigeTuinbouwgewassen_67;TotaalStikstofvervluchtiging_68;Conserveringsverlies_69;GewasrestenEnAfrijpendeGewassen_70;VerliesNaarDeBodem_71;BenuttingMineralenCultuurgrond_72;TotaalAanvoer_73;DierlijkeMest_74;Kunstmest_75;Luchtdepositie_76;OverigeAanvoer_77;TotaalAfvoer_78;StikstofvervluchtigingWeiEnToediening_79;Ruwvoer_80;Akkerbouwgewassen_81;Tuinbouwgewassen_82;StikstofvervluchtigingGewassen_83;VerliesNaarDeBodem_84;TotaalAanvoerNaarSectorLandbouw_85;Krachtvoer_86;Kunstmest_87;LuchtdepositieHerkomstNietLandbouw_88;OverigeAanvoer_89;TotaalAfvoerVanSectorLandbouw_90;MestafzetBuitenDeLandbouw_91;VastleggingInDierlijkeProductie_92;AfzetPlantaardigeProducten_93;VoorraadmutatieRuwvoer_94;TotaalVerlies_95;VerliesNaarDeBodem_96;TotaalVerliesNaarLucht_97;StikstofvervluchtigingStalEnOpslag_98;StikstofvervluchtigingWeiEnToediening_99;StikstofvervluchtigingGewassen_100;LuchtdepositieHerkomstLandbouw_101;BenuttingMineralenLandbouw_102
0;Stikstof (N);1990 ;881;465;149;211;99;6;416;392;0;0;25;881;189;88;61;36;3;692;452;150;63;28;21;16;29;37;9;1068;580;188;392;692;188;504;93.0;81.0;12.0;19;395;75.0;41.0;34.0;18;7.0;11;1068;184.0;171.0;12.0;159.0;11.0;1.0;508;410;142;230;10;28;88;76;21;18;19;17;12;8;5;10.0;5.0;5.0;376;48;532;289;197;37.0;9;532;92.0;205;38;6;5.0;187;912;465;395;34.0;18;912;19;189;88;-6;622;376;246.0;93.0;184.0;10.0;41.0;31
1;Stikstof (N);1991 ;908;468;154;203;106;6;440;413;0;0;27;908;191;89;61;38;3;717;478;142;68;30;21;16;30;36;9;1081;605;191;414;717;191;526;95.0;82.0;13.0;17;383;76.0;41.0;34.0;17;6.0;10;1081;193.0;181.0;14.0;167.0;11.0;1.0;499;409;130;241;9;28;81;68;21;15;17;15;13;8;5;9.0;5.0;5.0;389;46;543;304;192;38.0;8;543;97.0;205;34;6;5.0;195;902;468;383;34.0;17;902;17;191;81;-31;645;389;256.0;95.0;193.0;9.0;41.0;31
2;Stikstof (N);1992;909;489;154;214;115;6;420;394;0;0;26;909;194;87;63;41;3;715;461;151;74;30;21;16;30;35;9;1061;597;192;405;715;192;524;96.0;83.0;12.0;23;374;73.0;40.0;33.0;17;6.0;11;1061;141.0;130.0;15.0;115.0;10.0;0.0;531;436;138;259;8;32;86;72;23;17;18;14;13;9;5;9.0;5.0;4.0;389;50;535;301;189;37.0;9;535;71.0;220;36;7;5.0;196;914;489;374;33.0;17;914;23;194;86;16;596;389;206.0;96.0;141.0;9.0;40.0;31
3;Stikstof (N);1993 ;905;495;153;225;112;5;410;382;0;0;27;905;196;87;67;40;3;708;448;158;72;30;22;16;30;36;9;1045;585;181;404;708;181;527;96.0;84.0;13.0;27;372;72.0;39.0;33.0;15;5.0;10;1045;139.0;129.0;12.0;116.0;10.0;0.0;522;421;152;228;8;34;90;77;25;16;20;16;13;9;5;10.0;5.0;5.0;384;50;526;294;187;36.0;8;526;70.0;212;39;7;5.0;193;916;495;372;33.0;15;916;27;196;90;12;590;384;206.0;96.0;139.0;10.0;39.0;32
4;Stikstof (N);1994;871;475;151;218;101;5;396;370;0;0;26;871;191;85;65;38;3;681;436;153;63;28;22;16;30;37;9;991;552;170;382;681;170;511;93.0;81.0;12.0;36;354;71.0;39.0;32.0;14;5.0;9;991;109.0;99.0;9.0;90.0;10.0;0.0;457;366;117;208;7;33;82;69;23;13;19;14;13;8;5;9.0;4.0;5.0;425;46;503;280;180;36.0;7;503;56.0;186;35;7;4.0;215;876;475;354;32.0;14;876;36;191;82;-30;597;425;173.0;93.0;109.0;9.0;39.0;32
5;Stikstof (N);1995;870;490;171;213;101;5;380;355;0;0;25;870;192;88;64;38;3;678;438;150;63;28;22;17;30;37;8;1014;549;172;377;678;172;506;92.0;79.0;13.0;38;388;64.0;30.0;34.0;14;4.0;9;1014;82.0;70.0;11.0;59.0;11.0;0.0;456;361;114;208;9;30;86;73;24;14;22;13;13;8;5;9.0;4.0;5.0;476;45;516;279;198;32.0;7;516;42.0;184;37;7;5.0;242;926;490;388;34.0;14;926;38;192;86;-19;629;476;153.0;92.0;82.0;9.0;30.0;31
6;Stikstof (N);1996;859;477;159;212;101;5;382;354;0;0;27;859;192;87;64;38;3;666;426;148;63;29;22;17;30;38;8;997;550;180;371;666;180;487;90.0;77.0;12.0;26;372;60.0;27.0;33.0;15;5.0;10;997;85.0;74.0;14.0;60.0;11.0;0.0;480;381;124;219;6;31;89;76;26;12;24;15;13;8;5;10.0;4.0;5.0;432;48;503;278;187;30.0;7;503;43.0;192;38;7;5.0;218;896;477;372;33.0;15;896;26;192;89;-1;589;432;158.0;90.0;85.0;10.0;27.0;32
7;Stikstof (N);1997;829;452;145;202;100;5;377;352;0;0;26;829;187;84;60;40;3;643;412;143;60;28;23;17;30;40;9;991;531;168;363;643;168;475;86.0;74.0;12.0;26;383;63.0;29.0;33.0;15;5.0;10;991;81.0;70.0;10.0;60.0;11.0;0.0;494;395;140;209;8;38;88;75;26;12;20;17;14;9;5;10.0;5.0;5.0;417;50;505;270;195;32.0;8;505;41.0;201;38;7;5.0;212;884;452;383;33.0;15;884;26;187;88;18;564;417;147.0;86.0;81.0;10.0;29.0;32
8;Stikstof (N);1998;792;450;143;199;102;6;342;317;0;0;25;792;192;84;63;42;3;600;376;136;59;28;24;18;32;42;9;954;489;142;347;600;142;458;82.0;70.0;12.0;29;385;66.0;31.0;35.0;14;5.0;9;954;72.0;61.0;5.0;56.0;11.0;0.0;417;331;143;150;6;32;76;63;17;10;20;16;13;8;5;10.0;5.0;5.0;465;44;484;248;195;33.0;7;484;36.0;168;32;7;5.0;236;885;450;385;35.0;14;885;29;192;76;-11;598;465;133.0;82.0;72.0;10.0;31.0;31
9;Stikstof (N);1999;781;448;134;199;109;7;333;310;0;0;23;781;198;83;67;45;3;583;360;132;64;27;25;19;34;41;10;915;472;135;337;583;135;448;81.0;70.0;11.0;30;366;63.0;29.0;34.0;15;5.0;9;915;72.0;61.0;5.0;56.0;11.0;0.0;427;331;126;159;7;39;87;73;26;13;16;17;14;9;6;8.0;5.0;4.0;416;47;465;240;186;32.0;7;465;37.0;168;37;7;4.0;212;863;448;366;34.0;15;863;30;198;87;-2;549;416;133.0;81.0;72.0;8.0;29.0;34
10;Stikstof (N);2000;742;428;130;186;106;7;314;291;0;0;23;742;195;82;65;45;3;547;339;121;61;27;26;19;35;43;10;841;444;125;320;547;125;422;74.0;63.0;11.0;29;322;59.0;27.0;32.0;16;5.0;11;841;61.0;52.0;4.0;48.0;9.0;0.0;418;315;136;140;7;33;94;80;26;12;22;20;14;9;6;9.0;5.0;4.0;361;50;426;225;163;30.0;8;426;31.0;160;40;7;4.0;183;798;428;322;32.0;16;798;29;195;94;2;478;361;117.0;74.0;61.0;9.0;27.0;38
11;Stikstof (N);2001;733;406;126;173;100;7;327;305;0;0;22;733;193;83;63;44;3;540;348;110;56;26;26;19;36;44;10;779;426;127;299;540;127;412;71.0;60.0;10.0;43;281;56.0;24.0;32.0;16;6.0;10;779;58.0;49.0;5.0;44.0;9.0;0.0;407;311;121;150;7;34;87;73;22;11;19;21;14;8;6;8.0;4.0;4.0;314;52;400;219;144;29.0;8;400;30.0;160;38;7;4.0;161;735;406;281;32.0;16;735;43;193;87;-16;427;314;113.0;71.0;58.0;8.0;24.0;41
12;Stikstof (N);2002;687;389;122;156;104;7;298;277;0;0;21;687;185;79;57;46;3;502;320;99;58;25;27;20;37;44;10;735;390;105;285;502;105;397;68.0;58.0;10.0;44;275;55.0;23.0;32.0;15;6.0;9;735;55.0;44.0;3.0;41.0;10.0;0.0;422;325;138;142;9;37;88;74;24;11;20;19;14;9;6;9.0;5.0;4.0;258;57;374;199;140;28.0;8;374;28.0;165;38;7;4.0;132;711;389;275;32.0;15;711;44;185;88;27;366;258;108.0;68.0;55.0;9.0;23.0;41
13;Stikstof (N);2003;646;356;123;152;74;7;291;269;0;0;21;646;169;79;55;32;3;478;313;97;42;25;26;20;36;43;10;724;387;100;287;478;100;378;64.0;55.0;10.0;27;273;49.0;20.0;29.0;16;6.0;10;724;55.0;44.0;3.0;41.0;11.0;0.0;346;252;104;104;10;35;86;72;21;11;20;20;15;9;6;7.0;4.0;4.0;323;48;372;199;140;25.0;8;372;29.0;129;37;7;4.0;166;674;356;273;29.0;16;674;27;169;86;-39;431;323;108.0;64.0;55.0;7.0;20.0;39
14;Stikstof (N);2004;641;368;123;149;89;7;274;256;0;0;17;641;176;80;56;38;3;465;300;94;51;21;27;21;37;43;11;721;370;92;278;465;92;374;65.0;55.0;9.0;31;283;53.0;22.0;31.0;15;6.0;10;721;54.0;43.0;2.0;41.0;11.0;0.0;382;283;136;99;12;36;91;76;24;11;22;19;15;10;6;8.0;5.0;3.0;285;53;370;190;145;27.0;8;370;28.0;145;39;8;4.0;146;697;368;283;31.0;15;697;31;176;91;9;390;285;105.0;65.0;54.0;8.0;22.0;40
15;Stikstof (N);2005;657;381;120;158;97;7;276;258;0;0;18;657;181;81;57;41;3;477;297;101;56;22;27;21;36;42;11;695;367;93;274;477;93;384;65.0;56.0;10.0;44;262;51.0;21.0;30.0;15;6.0;10;695;52.0;42.0;2.0;39.0;10.0;0.0;370;277;121;110;9;37;86;71;22;11;21;18;15;9;6;8.0;4.0;3.0;273;53;359;189;135;26.0;8;359;27.0;143;37;8;4.0;141;688;381;262;30.0;15;688;44;181;86;1;376;273;104.0;65.0;52.0;8.0;21.0;41
16;Stikstof (N);2006;649;379;118;159;95;7;270;252;0;0;17;649;179;81;56;39;3;469;290;102;56;21;28;22;36;41;12;699;364;89;275;469;89;381;65.0;56.0;10.0;40;270;50.0;21.0;29.0;14;6.0;9;699;55.0;43.0;2.0;41.0;11.0;0.0;367;279;119;114;8;38;80;65;20;9;21;15;15;9;6;8.0;4.0;4.0;278;52;364;190;141;26.0;8;364;28.0;145;34;8;4.0;145;693;379;270;29.0;14;693;40;179;80;9;385;278;107.0;65.0;55.0;8.0;21.0;40
17;Stikstof (N);2007;661;383;116;163;98;7;278;261;0;0;17;661;184;82;59;40;3;478;295;105;57;21;28;22;36;41;12;666;361;81;280;478;81;397;67.0;57.0;10.0;49;240;50.0;22.0;28.0;15;6.0;9;666;51.0;42.0;2.0;40.0;9.0;0.0;365;277;127;106;6;37;80;65;22;9;18;15;15;9;6;8.0;5.0;3.0;250;55;348;189;125;26.0;8;348;27.0;145;34;8;4.0;131;667;383;240;28.0;15;667;49;184;80;-1;354;250;104.0;67.0;51.0;8.0;22.0;43
