ID;BedrijfstakkenBranchesSBI2008;Perioden;OndernemingenMetEPOPatentaanvragen_1;PatentaanvragenBijHetEPO_2;OndernemingenMetNLOCPatentaanvragen_3;PatentaanvragenBijHetNLOC_4
0;A-U Alle economische activiteiten;2009;777.0;4544.0;1097.0;1904.0
1;A-U Alle economische activiteiten;2010;695.0;3460.0;1039.0;1849.0
2;A-F Landbouw en nijverheid;2009;327.0;3211.0;431.0;873.0
3;A-F Landbouw en nijverheid;2010;304.0;2392.0;393.0;804.0
4;A Landbouw, bosbouw en visserij;2009;14.0;20.0;19.0;18.0
5;A Landbouw, bosbouw en visserij;2010;12.0;16.0;22.0;24.0
6;01 Landbouw;2009;14.0;20.0;19.0;18.0
7;01 Landbouw;2010;11.0;15.0;22.0;24.0
8;02 Bosbouw;2009;;;;
9;02 Bosbouw;2010;;;;
10;03 Visserij;2009;;;;
11;03 Visserij;2010;1.0;1.0;;
12;B Delfstoffenwinning;2009;1.0;165.0;1.0;1.0
13;B Delfstoffenwinning;2010;1.0;123.0;3.0;4.0
14;06 Winning van aardolie en aardgas;2009;;;;
15;06 Winning van aardolie en aardgas;2010;;;2.0;2.0
16;08 Delfstoffenwinning (geen olie en gas);2009;;;;
17;08 Delfstoffenwinning (geen olie en gas);2010;;;;
18;09 Dienstverlening delfstoffenwinning;2009;1.0;165.0;1.0;1.0
19;09 Dienstverlening delfstoffenwinning;2010;1.0;123.0;1.0;2.0
20;C Industrie;2009;279.0;2982.0;335.0;761.0
21;C Industrie;2010;254.0;2211.0;272.0;662.0
22;10 Voedingsmiddelenindustrie;2009;14.0;65.0;8.0;30.0
23;10 Voedingsmiddelenindustrie;2010;14.0;49.0;8.0;23.0
24;11 Drankenindustrie;2009;1.0;10.0;1.0;4.0
25;11 Drankenindustrie;2010;1.0;4.0;1.0;1.0
26;12 Tabaksindustrie;2009;;;1.0;1.0
27;12 Tabaksindustrie;2010;;;;
28;13 Textielindustrie;2009;3.0;6.0;6.0;8.0
29;13 Textielindustrie;2010;6.0;12.0;3.0;3.0
30;14 Kledingindustrie;2009;2.0;4.0;;
31;14 Kledingindustrie;2010;1.0;3.0;;
32;15 Leer- en schoenenindustrie;2009;;;3.0;3.0
33;15 Leer- en schoenenindustrie;2010;1.0;1.0;1.0;0.0
34;16 Houtindustrie;2009;1.0;1.0;6.0;7.0
35;16 Houtindustrie;2010;1.0;1.0;7.0;8.0
36;17 Papierindustrie;2009;8.0;15.0;8.0;10.0
37;17 Papierindustrie;2010;5.0;7.0;4.0;4.0
38;18 Grafische industrie;2009;1.0;1.0;3.0;3.0
39;18 Grafische industrie;2010;;;2.0;3.0
40;19 Aardolie-industrie;2009;1.0;176.0;;
41;19 Aardolie-industrie;2010;1.0;166.0;1.0;1.0
42;20 Chemische industrie;2009;22.0;400.0;8.0;8.0
